"Sample_Name","Biological_Replicate","Technical_Replicate","Negative_control","Cruise_ID_short","Cruise_ID_long","Cast_No.","Rosette_position","Field_collection_method","Preservation","Station","Depth_m_notes","Sample_volume_ml","Personnel_responsible_for_Collecting_Sample","Field_Notes","Date_UTC_notes","Lat_notes","Lon_notes","Date_UTC_btl","verbatimEventDate","verbatimEventTime","verbatimLongitude","verbatimLatitude","verbatimCoordinateSystem","Area.within.region","ctd_time..UTC.","ctd_pressure","ctd_latitude..degrees_north.","ctd_longitude..degrees_east.","ctd_BTLID","ctd_salinity_ch1..PSU.","ctd_salinity_ch2..PSU.","ctd_sigma_t_ch1..kg.m.3.","ctd_sigma_t_ch2..kg.m.3.","ctd_chlor_fluorescence..ugrams.l.","ctd_par..umol.m.2.s.1.","ctd_temperature_ch1..degree_C.","ctd_oxy_percentsat_ch1..percent.","ctd_oxy_percentsat_ch2..percent.","ctd_oxy_conc_ch1..umol.kg.","ctd_oxy_conc_ch2..umol.kg.","ctd_temperature_ch2..degree_C.","ctd_Water_Depth..dbar.","ctd_air_pressure_at_sealevel..mbar.","ctd_wind_direction..degrees.","ctd_wind_speed..m.s.1.","ctd_air_temperature..degree_C.","ctd_Station_Name","ctd_profile_id","ctd_SI..uM.l.","ctd_PO4..uM.l.","ctd_NO2..uM.l.","ctd_NO3..uM.l.","ctd_NH4..uM.l.","ctd_holder1","ctd_Cast","btl_cast","btl_date","btl_time","btl_nb","btl_Sbeox0ML.L","btl_Sbeox0PS","btl_Sbox0Mm.Kg","btl_Sbeox1ML.L","btl_Sbeox1PS","btl_Sbox1Mm.Kg","btl_Sal00","btl_Sal11","btl_Sigma.t00","btl_Sigma.t11","btl_FlECO.AFL","btl_T090C","btl_T190C","btl_TurbWETntu0","btl_PrDM","btl_bottle","btl_holder1","btl_Cast"
"E24.NC.DY2012",1,1,TRUE,"DY2012","DY20-12 Dyson 2020",NA,NA,"0.22µm swinex filter","95% EtOH",NA,NA,1000,"Sarah Donohoe, Penelope Adams","Filter stored in 50cc tube","2020/09/05 00:00:00",NA,NA,NA,"9/5/20","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E25.2B.DY2012",2,1,FALSE,"DY2012","DY20-12 Dyson 2020",10,10,"Niskin; 0.22 µm swinex filter","95% EtOH","M5",0,1000,"Sarah Donohoe, Penelope Adams","Filter stored in 50cc tube","2020/09/05 02:50:00",59.9048666666667,-171.698416666667,"2020/09/05 02:55:21","9/5/20","2:50","171˚ 41.905' W","59˚ 54.292' N","degrees minutes seconds","Bering Sea","2020-09-05T02:50:00Z",0,59.904865,-171.69841,NA,31.7307,NA,24.262983,NA,0.2704,NA,10.8146,102.08878,NA,282.01315,281.98962,10.8147,70,1022,142,6,10.2,"M5","dy2012c010",NA,NA,NA,NA,NA,"010",10,"ctd010","5-Sep-20","2:55:21",10,6.2191,98.163,271.167,6.0939,96.187,265.71,31.7253,31.6793,24.2589,24.2234,0.2642,10.814,10.8126,0.2014,1.973,10,"010",10
"E26.1B.NC.DY2012",1,1,TRUE,"DY2012","DY20-12 Dyson 2020",10,2,"Niskin; 0.22 µm swinex filter","95% EtOH","M5",65,1000,"Sarah Donohoe, Penelope Adams","Filter stored in 50cc tube","2020/09/05 02:50:00",59.9048666666667,-171.698416666667,"2020/09/05 02:50:42","9/5/20","2:50","171˚ 41.905' W","59˚ 54.292' N","degrees minutes seconds","Bering Sea","2020-09-05T02:50:00Z",65,59.904865,-171.69841,NA,31.8529,NA,25.569675,NA,1.2532,0.28212,-0.0813,97.14445,NA,347.1506,343.7756,-0.0805,70,1022,142,6,10.2,"M5","dy2012c010",NA,NA,NA,NA,NA,"010",10,"ctd010","5-Sep-20","2:50:42",2,7.6529,93.259,333.256,7.4137,90.344,322.841,31.8522,31.789,25.5691,25.518,1.2929,-0.08,-0.079,1.1491,65.235,2,"010",10
"E26.2B.DY2012",2,1,FALSE,"DY2012","DY20-12 Dyson 2020",10,2,"Niskin; 0.22 µm swinex filter","95% EtOH","M5",65,1000,"Sarah Donohoe, Penelope Adams","Filter stored in 50cc tube","2020/09/05 02:50:00",59.9048666666667,-171.698416666667,"2020/09/05 02:50:42","9/5/20","2:50","171˚ 41.905' W","59˚ 54.292' N","degrees minutes seconds","Bering Sea","2020-09-05T02:50:00Z",65,59.904865,-171.69841,NA,31.8529,NA,25.569675,NA,1.2532,0.28212,-0.0813,97.14445,NA,347.1506,343.7756,-0.0805,70,1022,142,6,10.2,"M5","dy2012c010",NA,NA,NA,NA,NA,"010",10,"ctd010","5-Sep-20","2:50:42",2,7.6529,93.259,333.256,7.4137,90.344,322.841,31.8522,31.789,25.5691,25.518,1.2929,-0.08,-0.079,1.1491,65.235,2,"010",10
"E27.1B.DY2012",1,1,FALSE,"DY2012","DY20-12 Dyson 2020",16,10,"Niskin; 0.22 µm swinex filter","95% EtOH","DBO1-5",0,1000,"Sarah Donohoe, Penelope Adams","The eDNA record sheet for station M8 box 2 is not consistent with the CTD log sheet, which doesnt show an eDNA sample taken at M8 box 2. Based on the date (09/07/20) and the bottom depth (58m), and cross-referencing the CTD log I believe samples 5-8 were actually from DBO 1-5, and that I wrote M8 box 2 in error. Filter stored in 50cc tube.","2020/09/07 23:59:00",62.4666,-174.0845,"2020/09/08 01:04:29","9/7/20","23:59","174˚ 05.070' W","62˚ 27.996' N","degrees minutes seconds","Chukchi Sea","2020-09-07T23:59:00Z",0,62.4666,-174.0845,NA,32.0417,32.0441,24.722107,24.723837,0.4254,NA,9.5114,103.718094,104.00871,294.045,294.85803,9.5123,68,1011,336,9,9.1,"DBO 1-5","dy2012c016",NA,NA,NA,NA,NA,"016",16,"ctd016","8-Sep-20","1:04:29",10,6.5017,99.981,283.362,6.3774,98.069,277.945,32.0423,32.0449,24.7207,24.7229,0.4405,9.5229,9.5224,0.2274,3.15,10,"016",16
"E27.2B.DY2012",2,1,FALSE,"DY2012","DY20-12 Dyson 2020",16,10,"Niskin; 0.22 µm swinex filter","95% EtOH","DBO1-5",0,1000,"Sarah Donohoe, Penelope Adams","The eDNA record sheet for station M8 box 2 is not consistent with the CTD log sheet, which doesnt show an eDNA sample taken at M8 box 2. Based on the date (09/07/20) and the bottom depth (58m), and cross-referencing the CTD log I believe samples 5-8 were actually from DBO 1-5, and that I wrote M8 box 2 in error. Filter stored in 50cc tube.","2020/09/07 23:59:00",62.4666,-174.0845,"2020/09/08 01:04:29","9/7/20","23:59","174˚ 05.070' W","62˚ 27.996' N","degrees minutes seconds","Chukchi Sea","2020-09-07T23:59:00Z",0,62.4666,-174.0845,NA,32.0417,32.0441,24.722107,24.723837,0.4254,NA,9.5114,103.718094,104.00871,294.045,294.85803,9.5123,68,1011,336,9,9.1,"DBO 1-5","dy2012c016",NA,NA,NA,NA,NA,"016",16,"ctd016","8-Sep-20","1:04:29",10,6.5017,99.981,283.362,6.3774,98.069,277.945,32.0423,32.0449,24.7207,24.7229,0.4405,9.5229,9.5224,0.2274,3.15,10,"016",16
"E28.1B.DY2012",1,1,FALSE,"DY2012","DY20-12 Dyson 2020",16,1,"Niskin; 0.22 µm swinex filter","95% EtOH","DBO1-5",58,1000,"Sarah Donohoe, Penelope Adams","The eDNA record sheet for station M8 box 2 is not consistent with the CTD log sheet, which doesnt show an eDNA sample taken at M8 box 2. Based on the date (09/07/20) and the bottom depth (58m), and cross-referencing the CTD log I believe samples 5-8 were actually from DBO 1-5, and that I wrote M8 box 2 in error. Filter stored in 50cc tube.","2020/09/07 23:59:00",62.4666,-174.0845,"2020/09/08 00:59:52","9/7/20","23:59","174˚ 05.070' W","62˚ 27.996' N","degrees minutes seconds","Chukchi Sea","2020-09-07T23:59:00Z",58,62.4666,-174.0845,NA,32.3383,32.3425,25.995764,25.999144,0.2277,0.23891,-0.9825,87.13649,86.57471,317.69864,315.63406,-0.9818,68,1011,336,9,9.1,"DBO 1-5","dy2012c016",NA,NA,NA,NA,NA,"016",16,"ctd016","8-Sep-20","0:59:52",1,6.9937,83.496,304.424,6.7893,81.057,295.529,32.3368,32.3393,25.9945,25.9965,0.2239,-0.9815,-0.9805,1.2745,57.289,1,"016",16
"E28.2B.DY2012",2,1,FALSE,"DY2012","DY20-12 Dyson 2020",16,1,"Niskin; 0.22 µm swinex filter","95% EtOH","DBO1-5",58,1000,"Sarah Donohoe, Penelope Adams","The eDNA record sheet for station M8 box 2 is not consistent with the CTD log sheet, which doesnt show an eDNA sample taken at M8 box 2. Based on the date (09/07/20) and the bottom depth (58m), and cross-referencing the CTD log I believe samples 5-8 were actually from DBO 1-5, and that I wrote M8 box 2 in error. Filter stored in 50cc tube.","2020/09/07 23:59:00",62.4666,-174.0845,"2020/09/08 00:59:52","9/7/20","23:59","174˚ 05.070' W","62˚ 27.996' N","degrees minutes seconds","Chukchi Sea","2020-09-07T23:59:00Z",58,62.4666,-174.0845,NA,32.3383,32.3425,25.995764,25.999144,0.2277,0.23891,-0.9825,87.13649,86.57471,317.69864,315.63406,-0.9818,68,1011,336,9,9.1,"DBO 1-5","dy2012c016",NA,NA,NA,NA,NA,"016",16,"ctd016","8-Sep-20","0:59:52",1,6.9937,83.496,304.424,6.7893,81.057,295.529,32.3368,32.3393,25.9945,25.9965,0.2239,-0.9815,-0.9805,1.2745,57.289,1,"016",16
"E29.1B.DY2012",1,1,FALSE,"DY2012","DY20-12 Dyson 2020",19,10,"Niskin; 0.22 µm swinex filter","95% EtOH","DBO1-1",0,1000,"Sarah Donohoe, Penelope Adams","Filter stored in 50cc tube","2020/09/08 07:11:00",62.0106666666667,-175.069666666667,"2020/09/08 06:54:35","9/8/20","7:11","175˚ 04.18' W","62˚ 00.64' N","degrees minutes seconds","Chukchi Sea","2020-09-08T07:11:00Z",0,62.010666,-175.06967,NA,32.0074,32.0092,24.67387,24.675308,0.9206,NA,9.6451,104.15116,104.33922,294.4843,295.01352,9.6449,80,1015,351,15,8.5,"DBO 1-1","dy2012c019",NA,NA,NA,NA,NA,"019",19,"ctd019","8-Sep-20","6:54:35",10,6.4757,99.939,282.239,6.3556,98.086,277.007,32.0174,32.0201,24.6738,24.6757,0.8915,9.6937,9.6952,0.241,3.724,10,"019",19
"E29.2B.DY2012",2,1,FALSE,"DY2012","DY20-12 Dyson 2020",19,10,"Niskin; 0.22 µm swinex filter","95% EtOH","DBO1-1",0,1000,"Sarah Donohoe, Penelope Adams","Filter stored in 50cc tube","2020/09/08 07:11:00",62.0106666666667,-175.069666666667,"2020/09/08 06:54:35","9/8/20","7:11","175˚ 04.18' W","62˚ 00.64' N","degrees minutes seconds","Chukchi Sea","2020-09-08T07:11:00Z",0,62.010666,-175.06967,NA,32.0074,32.0092,24.67387,24.675308,0.9206,NA,9.6451,104.15116,104.33922,294.4843,295.01352,9.6449,80,1015,351,15,8.5,"DBO 1-1","dy2012c019",NA,NA,NA,NA,NA,"019",19,"ctd019","8-Sep-20","6:54:35",10,6.4757,99.939,282.239,6.3556,98.086,277.007,32.0174,32.0201,24.6738,24.6757,0.8915,9.6937,9.6952,0.241,3.724,10,"019",19
