Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area within region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes
E24.NC.DY2012,1,1,TRUE,DY2012,DY20-12 Dyson 2020,9/5/20,,,Control-1,NA,NA,0.22µm swinex filter,95% EtOH,NA,NA,NA,NA,NA,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E25.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/5/20,,2:50,M5 0mR2 2,10,10,Niskin; 0.22 µm swinex filter,95% EtOH,Bering Sea,M5,0,59˚ 54.292' N,171˚ 41.905' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E26.1B.NC.DY2012,1,1,TRUE,DY2012,DY20-12 Dyson 2020,9/5/20,,2:50,M5 65mR1 3,10,2,Niskin; 0.22 µm swinex filter,95% EtOH,Bering Sea,M5,65,59˚ 54.292' N,171˚ 41.905' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E26.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/5/20,,2:50,M5 65mR2 4,10,2,Niskin; 0.22 µm swinex filter,95% EtOH,Bering Sea,M5,65,59˚ 54.292' N,171˚ 41.905' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E27.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/7/20,,23:59,DBO1-5 0mR1 5,16,10,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO1-5,0,62˚ 27.996' N,174˚ 05.070' W,1000,"Sarah Donohoe, Penelope Adams","The eDNA record sheet for station M8 box 2 is not consistent with the CTD log sheet, which doesnt show an eDNA sample taken at M8 box 2. Based on the date (09/07/20) and the bottom depth (58m), and cross-referencing the CTD log I believe samples 5-8 were actually from DBO 1-5, and that I wrote M8 box 2 in error. Filter stored in 50cc tube."
E27.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/7/20,,23:59,DBO1-5 0mR2 6,16,10,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO1-5,0,62˚ 27.996' N,174˚ 05.070' W,1000,"Sarah Donohoe, Penelope Adams","The eDNA record sheet for station M8 box 2 is not consistent with the CTD log sheet, which doesnt show an eDNA sample taken at M8 box 2. Based on the date (09/07/20) and the bottom depth (58m), and cross-referencing the CTD log I believe samples 5-8 were actually from DBO 1-5, and that I wrote M8 box 2 in error. Filter stored in 50cc tube."
E28.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/7/20,,23:59,DBO1-5 58mR1 7,16,1,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO1-5,58,62˚ 27.996' N,174˚ 05.070' W,1000,"Sarah Donohoe, Penelope Adams","The eDNA record sheet for station M8 box 2 is not consistent with the CTD log sheet, which doesnt show an eDNA sample taken at M8 box 2. Based on the date (09/07/20) and the bottom depth (58m), and cross-referencing the CTD log I believe samples 5-8 were actually from DBO 1-5, and that I wrote M8 box 2 in error. Filter stored in 50cc tube."
E28.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/7/20,,23:59,DBO1-5 58mR2 8,16,1,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO1-5,58,62˚ 27.996' N,174˚ 05.070' W,1000,"Sarah Donohoe, Penelope Adams","The eDNA record sheet for station M8 box 2 is not consistent with the CTD log sheet, which doesnt show an eDNA sample taken at M8 box 2. Based on the date (09/07/20) and the bottom depth (58m), and cross-referencing the CTD log I believe samples 5-8 were actually from DBO 1-5, and that I wrote M8 box 2 in error. Filter stored in 50cc tube."
E29.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/8/20,,7:11,DBO1-1 0mR1 9,19,10,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO1-1,0,62˚ 00.64' N,175˚ 04.18' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E29.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/8/20,,7:11,DBO1-1 0mR2 10,19,10,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO1-1,0,62˚ 00.64' N,175˚ 04.18' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E30.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/8/20,,7:11,DBO1-1 70mR1 11,19,1,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO1-1,70,62˚ 00.64' N,175˚ 04.18' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E30.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/8/20,,7:11,DBO1-1 70mR2 12,19,1,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO1-1,70,62˚ 00.64' N,175˚ 04.18' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E31.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/8/20,,11:58,DBO1-3 0mR1 13,22,9,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO1-3,0,62˚ 13.07' N,174˚ 52.69' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E31.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/8/20,,11:58,DBO1-3 0mR2 14,22,9,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO1-3,0,62˚ 13.07' N,174˚ 52.69' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E32.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/8/20,,11:58,DBO1-3 66mR1 15,22,1,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO1-3,66,62˚ 13.07' N,174˚ 52.69' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E32.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/8/20,,11:58,DBO1-3 66mR2 16,22,1,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO1-3,66,62˚ 13.07' N,174˚ 52.69' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E33.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/8/20,,3:55,M8 0mR1 17,24,9,Niskin; 0.22 µm swinex filter,95% EtOH,Bering Sea,M8,0,62˚ 12.224' N,174˚ 41.949' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E33.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/8/20,,3:55,M8 0mR2 18,24,9,Niskin; 0.22 µm swinex filter,95% EtOH,Bering Sea,M8,0,62˚ 12.224' N,174˚ 41.949' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E34.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/8/20,,3:55,M8 68mR1 19,24,2,Niskin; 0.22 µm swinex filter,95% EtOH,Bering Sea,M8,68,62˚ 12.224' N,174˚ 41.949' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E34.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/8/20,,3:55,M8 68mR2 20,24,2,Niskin; 0.22 µm swinex filter,95% EtOH,Bering Sea,M8,68,62˚ 12.224' N,174˚ 41.949' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E35.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/9/20,,12:48,DBO1-7 0mR1 21,26,9,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO1-7,0,62˚ 47.381' N,173˚ 29.850' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E35.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/9/20,,12:48,DBO1-7 0mR2 22,26,9,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO1-7,0,62˚ 47.381' N,173˚ 29.850' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E36.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/9/20,,12:48,DBO1-7 65mR1 23,26,1,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO1-7,65,62˚ 47.381' N,173˚ 29.850' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E36.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/9/20,,12:48,DBO1-7 65mR2 24,26,1,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO1-7,65,62˚ 47.381' N,173˚ 29.850' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E37.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/9/20,,4:48,DBO1-9 0mR1 25,28,10,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO1-9,0,63˚ 16.504' N,173˚ 17.279' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E37.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/9/20,,4:48,DBO1-9 0mR2 26,28,10,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO1-9,0,63˚ 16.504' N,173˚ 17.279' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E38.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/9/20,,4:48,DBO1-9 65mR1 27,28,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO1-9,65,63˚ 16.504' N,173˚ 17.279' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E38.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/9/20,,4:48,DBO1-9 65mR2 28,28,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO1-9,65,63˚ 16.504' N,173˚ 17.279' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E39.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/9/20,,17:40,DBO2-1 42mR1 29,30,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO2-1,42,64˚ 40.465' N,169˚ 55.270' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E39.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/9/20,,17:40,DBO2-1 42mR2 30,30,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO2-1,42,64˚ 40.465' N,169˚ 55.270' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E40.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/9/20,,17:40,DBO2-1 0mR1 31,30,8,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO2-1,0,64˚ 40.465' N,169˚ 55.270' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E40.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/9/20,,17:40,DBO2-1 0mR2 32,30,8,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO2-1,0,64˚ 40.465' N,169˚ 55.270' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E41.NC.DY2012,1,1,TRUE,DY2012,DY20-12 Dyson 2020,9/9/20,,,Control-2,NA,NA,0.22µm swinex filter,95% EtOH,NA,NA,NA,NA,NA,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E42.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/9/20,,22:31,DBO2-3 0mR1 33,32,8,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO2-3,0,64˚ 40.11' N,168˚ 14.14' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E42.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/9/20,,22:31,DBO2-3 0mR2 34,32,8,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO2-3,0,64˚ 40.11' N,168˚ 14.14' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E43.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/9/20,,22:31,DBO2-3 34mR1 35,32,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO2-3,34,64˚ 40.11' N,168˚ 14.14' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E43.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/9/20,,22:31,DBO2-3 34mR2 36,32,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO2-3,34,64˚ 40.11' N,168˚ 14.14' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E44.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/10/20,,3:02,DBO2-5 0mR1 37,34,8,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO2-5,0,64˚ 59.30' N,169˚ 08.33' W,1000,"Sarah Donohoe, Penelope Adams",DBO2-5 0mR2 lost because water was filtered without an inserted filter. Filter stored in 50cc tube
E45.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/10/20,,3:02,DBO2-5 43mR1 39,34,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO2-5,43,64˚ 59.30' N,169˚ 08.33' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E45.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/10/20,,3:02,DBO2-5 43mR2 40,34,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO2-5,43,64˚ 59.30' N,169˚ 08.33' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E46.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/10/20,,5:32,DBO2-4 0mR1 41,35,7,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO2-4,0,64˚ 57.567' N,169˚ 52.749' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E46.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/10/20,,5:32,DBO2-4 0mR2 42,35,7,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO2-4,0,64˚ 57.567' N,169˚ 52.749' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E47.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/10/20,,5:32,DBO2-4 45mR1 43,35,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO2-4,45,64˚ 57.567' N,169˚ 52.749' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
