Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area.within.region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes,Combined_date,Date_UTC,Date_local,Lat_fix,Lat_dec,Lon_fix,Lon_dec,cast,nb,date,time,Sbeox0ML.L,Sbeox0PS,Sbox0Mm.Kg,Sbeox1ML.L,Sbeox1PS,Sbox1Mm.Kg,Sal00,Sal11,Sigma.t00,Sigma.t11,FlECO.AFL,T090C,T190C,TurbWETntu0,PrDM
E24.NC.DY2012,1,1,TRUE,DY2012,DY20-12 Dyson 2020,9/5/20,NA,,Control-1,NA,NA,0.22µm swinex filter,95% EtOH,NA,NA,NA,NA,NA,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube,9/5/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E25.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/5/20,NA,2:50,M5 0mR2 2,10,10,Niskin; 0.22 µm swinex filter,95% EtOH,Bering Sea,M5,0,59˚ 54.292' N,171˚ 41.905' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube,9/5/20 2:50,9/5/20 2:50,9/5/20 10:50,59 54.292,59.90486667,171 41.905,-171.6984167,ctd010,10,5-Sep-20,2:55:21,6.2191,98.163,271.167,6.0939,96.187,265.71,31.7253,31.6793,24.2589,24.2234,0.2642,10.814,10.8126,0.2014,1.973
E26.1B.NC.DY2012,1,1,TRUE,DY2012,DY20-12 Dyson 2020,9/5/20,NA,2:50,M5 65mR1 3,10,2,Niskin; 0.22 µm swinex filter,95% EtOH,Bering Sea,M5,65,59˚ 54.292' N,171˚ 41.905' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube,9/5/20 2:50,9/5/20 2:50,9/5/20 10:50,59 54.292,59.90486667,171 41.905,-171.6984167,ctd010,2,5-Sep-20,2:50:42,7.6529,93.259,333.256,7.4137,90.344,322.841,31.8522,31.789,25.5691,25.518,1.2929,-0.08,-0.079,1.1491,65.235
E26.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/5/20,NA,2:50,M5 65mR2 4,10,2,Niskin; 0.22 µm swinex filter,95% EtOH,Bering Sea,M5,65,59˚ 54.292' N,171˚ 41.905' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube,9/5/20 2:50,9/5/20 2:50,9/5/20 10:50,59 54.292,59.90486667,171 41.905,-171.6984167,ctd010,2,5-Sep-20,2:50:42,7.6529,93.259,333.256,7.4137,90.344,322.841,31.8522,31.789,25.5691,25.518,1.2929,-0.08,-0.079,1.1491,65.235
E27.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/7/20,NA,23:59,DBO1-5 0mR1 5,16,10,Niskin; 0.22 µm swinex filter,95% EtOH,Bering Sea,DBO1-5,0,62˚ 27.996' N,174˚ 05.070' W,1000,"Sarah Donohoe, Penelope Adams","The eDNA record sheet for station M8 box 2 is not consistent with the CTD log sheet, which doesnt show an eDNA sample taken at M8 box 2. Based on the date (09/07/20) and the bottom depth (58m), and cross-referencing the CTD log I believe samples 5-8 were actually from DBO 1-5, and that I wrote M8 box 2 in error. Filter stored in 50cc tube.",9/7/20 23:59,9/7/20 23:59,9/8/20 7:59,62 27.996,62.4666,174 05.070,-174.0845,ctd016,10,8-Sep-20,1:04:29,6.5017,99.981,283.362,6.3774,98.069,277.945,32.0423,32.0449,24.7207,24.7229,0.4405,9.5229,9.5224,0.2274,3.15
E27.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/7/20,NA,23:59,DBO1-5 0mR2 6,16,10,Niskin; 0.22 µm swinex filter,95% EtOH,Bering Sea,DBO1-5,0,62˚ 27.996' N,174˚ 05.070' W,1000,"Sarah Donohoe, Penelope Adams","The eDNA record sheet for station M8 box 2 is not consistent with the CTD log sheet, which doesnt show an eDNA sample taken at M8 box 2. Based on the date (09/07/20) and the bottom depth (58m), and cross-referencing the CTD log I believe samples 5-8 were actually from DBO 1-5, and that I wrote M8 box 2 in error. Filter stored in 50cc tube.",9/7/20 23:59,9/7/20 23:59,9/8/20 7:59,62 27.996,62.4666,174 05.070,-174.0845,ctd016,10,8-Sep-20,1:04:29,6.5017,99.981,283.362,6.3774,98.069,277.945,32.0423,32.0449,24.7207,24.7229,0.4405,9.5229,9.5224,0.2274,3.15
E28.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/7/20,NA,23:59,DBO1-5 58mR1 7,16,1,Niskin; 0.22 µm swinex filter,95% EtOH,Bering Sea,DBO1-5,58,62˚ 27.996' N,174˚ 05.070' W,1000,"Sarah Donohoe, Penelope Adams","The eDNA record sheet for station M8 box 2 is not consistent with the CTD log sheet, which doesnt show an eDNA sample taken at M8 box 2. Based on the date (09/07/20) and the bottom depth (58m), and cross-referencing the CTD log I believe samples 5-8 were actually from DBO 1-5, and that I wrote M8 box 2 in error. Filter stored in 50cc tube.",9/7/20 23:59,9/7/20 23:59,9/8/20 7:59,62 27.996,62.4666,174 05.070,-174.0845,ctd016,1,8-Sep-20,0:59:52,6.9937,83.496,304.424,6.7893,81.057,295.529,32.3368,32.3393,25.9945,25.9965,0.2239,-0.9815,-0.9805,1.2745,57.289
E28.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/7/20,NA,23:59,DBO1-5 58mR2 8,16,1,Niskin; 0.22 µm swinex filter,95% EtOH,Bering Sea,DBO1-5,58,62˚ 27.996' N,174˚ 05.070' W,1000,"Sarah Donohoe, Penelope Adams","The eDNA record sheet for station M8 box 2 is not consistent with the CTD log sheet, which doesnt show an eDNA sample taken at M8 box 2. Based on the date (09/07/20) and the bottom depth (58m), and cross-referencing the CTD log I believe samples 5-8 were actually from DBO 1-5, and that I wrote M8 box 2 in error. Filter stored in 50cc tube.",9/7/20 23:59,9/7/20 23:59,9/8/20 7:59,62 27.996,62.4666,174 05.070,-174.0845,ctd016,1,8-Sep-20,0:59:52,6.9937,83.496,304.424,6.7893,81.057,295.529,32.3368,32.3393,25.9945,25.9965,0.2239,-0.9815,-0.9805,1.2745,57.289
E29.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/8/20,NA,7:11,DBO1-1 0mR1 9,19,10,Niskin; 0.22 µm swinex filter,95% EtOH,Bering Sea,DBO1-1,0,62˚ 00.64' N,175˚ 04.18' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube,9/8/20 7:11,9/8/20 7:11,9/8/20 15:11,62 00.64,62.01066667,175 04.18,-175.0696667,ctd019,10,8-Sep-20,6:54:35,6.4757,99.939,282.239,6.3556,98.086,277.007,32.0174,32.0201,24.6738,24.6757,0.8915,9.6937,9.6952,0.241,3.724
E29.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/8/20,NA,7:11,DBO1-1 0mR2 10,19,10,Niskin; 0.22 µm swinex filter,95% EtOH,Bering Sea,DBO1-1,0,62˚ 00.64' N,175˚ 04.18' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube,9/8/20 7:11,9/8/20 7:11,9/8/20 15:11,62 00.64,62.01066667,175 04.18,-175.0696667,ctd019,10,8-Sep-20,6:54:35,6.4757,99.939,282.239,6.3556,98.086,277.007,32.0174,32.0201,24.6738,24.6757,0.8915,9.6937,9.6952,0.241,3.724
