Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Collection_Time_local,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area.within.region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes
E232.NC.NO20,NA,NA,TRUE,NO20,Norseman 2020,,10/5/2020,NA,NA,Control-1,NA,NA,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,NA,NA,NA,NA,1000,Clare Gaffey,NA
E233.1B.NO20,1,1,FALSE,NO20,Norseman 2020,,10/5/2020,NA,21:59,CEO-BW-1,1,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,CEO,41.1,71˚ 35.909' N,161˚ 30.872' W,1000,Clare Gaffey,NA
E233.2B.NO20,2,1,FALSE,NO20,Norseman 2020,,10/5/2020,NA,21:59,CEO-BW-2,1,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,CEO,41.1,71˚ 35.909' N,161˚ 30.872' W,1000,Clare Gaffey,NA
E234.1B.NO20,1,1,FALSE,NO20,Norseman 2020,,10/5/2020,NA,22:06,CEO-SW-1,1,13,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,CEO,5.1,71˚ 35.909' N,161˚ 30.872' W,1000,Clare Gaffey,NA
E234.2B.NO20,2,1,FALSE,NO20,Norseman 2020,,10/5/2020,NA,22:06,CEO-SW-2,1,13,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,CEO,5.1,71˚ 35.909' N,161˚ 30.872' W,500,Clare Gaffey,NA
E234.3B.NO20,3,1,FALSE,NO20,Norseman 2020,,10/5/2020,NA,22:06,CEO-SW-3,1,13,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,CEO,5.1,71˚ 35.909' N,161˚ 30.872' W,1000,Clare Gaffey,NA
E235.1B.NO20,1,1,FALSE,NO20,Norseman 2020,,10/5/2020,NA,3:28,DBO4.6-BW-1,2,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,DBO4-6,40,71˚ 50' N,162˚ 08' W,1000,Clare Gaffey,NA
E235.2B.NO20,2,1,FALSE,NO20,Norseman 2020,,10/5/2020,NA,3:28,DBO4.6-BW-2,2,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,DBO4-6,40,71˚ 50' N,162˚ 08' W,1000,Clare Gaffey,NA
E235.3B.NO20,3,1,FALSE,NO20,Norseman 2020,,10/5/2020,NA,3:28,DBO4.6-BW-3,2,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,DBO4-6,40,71˚ 50' N,162˚ 08' W,1000,Clare Gaffey,NA
E236.1B.NO20,1,1,FALSE,NO20,Norseman 2020,,10/5/2020,NA,3:31,DBO4.6-SW-1,2,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,DBO4-6,2.6,71˚ 50' N,162˚ 08' W,500,Clare Gaffey,NA
E236.2B.NO20,2,1,FALSE,NO20,Norseman 2020,,10/5/2020,NA,3:31,DBO4.6-SW-2,2,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,DBO4-6,2.6,71˚ 50' N,162˚ 08' W,500,Clare Gaffey,NA
E236.3B.NO20,3,1,FALSE,NO20,Norseman 2020,,10/5/2020,NA,3:31,DBO4.6-SW-3,2,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,DBO4-6,2.6,71˚ 50' N,162˚ 08' W,1000,Clare Gaffey,NA
E237.1B.NO20,1,1,FALSE,NO20,Norseman 2020,,10/5/2020,NA,6:53,DBO4.5-BW-1,4,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,DBO4-5n,38.6,71˚ 43' N,161˚ 46' W,1000,Clare Gaffey,NA
E237.2B.NO20,2,1,FALSE,NO20,Norseman 2020,,10/5/2020,NA,6:53,DBO4.5-BW-2,4,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,DBO4-5n,38.6,71˚ 43' N,161˚ 46' W,1000,Clare Gaffey,NA
E238.1B.NO20,1,1,FALSE,NO20,Norseman 2020,,10/5/2020,NA,6:59,DBO4.5-SW-1,4,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,DBO4-5n,5,71˚ 43' N,161˚ 46' W,500,Clare Gaffey,NA
E238.2B.NO20,2,1,FALSE,NO20,Norseman 2020,,10/5/2020,NA,6:59,DBO4.5-SW-2,4,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,DBO4-5n,5,71˚ 43' N,161˚ 46' W,1000,Clare Gaffey,NA
E239.1B.NO20,1,1,FALSE,NO20,Norseman 2020,,10/6/2020,NA,9:52,DBO4.4-BW-1,6,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,DBO4-4n,41.4,71˚ 35' N,161˚ 24' W,1000,Clare Gaffey,NA
E239.2B.NO20,2,1,FALSE,NO20,Norseman 2020,,10/6/2020,NA,9:52,DBO4.4-BW-2,6,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,DBO4-4n,41.4,71˚ 35' N,161˚ 24' W,1000,Clare Gaffey,NA
E240.1B.NO20,1,1,FALSE,NO20,Norseman 2020,,10/6/2020,NA,9:58,DBO4.4-SW-1,6,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,DBO4-4n,5.5,71˚ 35' N,161˚ 24' W,1000,Clare Gaffey,NA
E240.2B.NO20,2,1,FALSE,NO20,Norseman 2020,,10/6/2020,NA,9:58,DBO4.4-SW-2,6,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,DBO4-4n,5.5,71˚ 35' N,161˚ 24' W,1000,Clare Gaffey,NA
E241.1B.NO20,1,1,FALSE,NO20,Norseman 2020,,10/6/2020,NA,12:43,DBO4.3-BW-1,8,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,DBO4-3,43.8,71˚ 27' N,161˚ 02' W,1000,Clare Gaffey,NA
E241.2B.NO20,2,1,FALSE,NO20,Norseman 2020,,10/6/2020,NA,12:43,DBO4.3-BW-2,8,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,DBO4-3,43.8,71˚ 27' N,161˚ 02' W,1000,Clare Gaffey,NA
E242.1B.NO20,1,1,FALSE,NO20,Norseman 2020,,10/6/2020,NA,12:50,DBO4.3-SW-1,8,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,DBO4-3,4.3,71˚ 27' N,161˚ 02' W,1000,Clare Gaffey,NA
E242.2B.NO20,2,1,FALSE,NO20,Norseman 2020,,10/6/2020,NA,12:50,DBO4.3-SW-2,8,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,DBO4-3,4.3,71˚ 27' N,161˚ 02' W,1000,Clare Gaffey,NA
E243.1B.NO20,1,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,9:13,BarcC-BW-1,10,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,BarcC,57.1,71˚ 37.246' N,157˚ 55.667' W,1000,Clare Gaffey,NA
E243.2B.NO20,2,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,9:13,BarcC-BW-2,10,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,BarcC,57.1,71˚ 37.246' N,157˚ 55.667' W,1000,Clare Gaffey,NA
E244.1B.NO20,1,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,9:21,BarcC-SW-1,10,12,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,BarcC,5.9,71˚ 37.246' N,157˚ 55.667' W,1000,Clare Gaffey,NA
E244.2B.NO20,2,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,9:21,BarcC-SW-2,10,12,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,BarcC,5.9,71˚ 37.246' N,157˚ 55.667' W,1000,Clare Gaffey,NA
E245.1B.NO20,1,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,10:44,Barc9-BW-1,11,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,Barc9,62.1,71˚ 34.722' N,157˚ 50.251' W,1000,Clare Gaffey,NA
E245.2B.NO20,2,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,10:44,Barc9-BW-2,11,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,Barc9,62.1,71˚ 34.722' N,157˚ 50.251' W,1000,Clare Gaffey,NA
E246.1B.NO20,1,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,10:50,Barc9-SW-1,11,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,Barc9,5.3,71˚ 34.722' N,157˚ 50.251' W,1000,Clare Gaffey,NA
E246.2B.NO20,2,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,10:50,Barc9-SW-2,11,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,Barc9,5.3,71˚ 34.722' N,157˚ 50.251' W,500,Clare Gaffey,NA
E247.1B.NO20,1,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,14:02,Barc7-BW-1,13,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,Barc7,78.6,71˚ 30' N,157˚ 39' W,1000,Clare Gaffey,NA
E247.2B.NO20,2,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,14:02,Barc7-BW-2,13,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,Barc7,78.6,71˚ 30' N,157˚ 39' W,1000,Clare Gaffey,NA
E248.1B.NO20,1,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,14:10,Barc7-SW-1,13,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,Barc7,3.7,71˚ 30' N,157˚ 39' W,1000,Clare Gaffey,NA
E248.2B.NO20,2,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,14:10,Barc7-SW-2,13,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,Barc7,3.7,71˚ 30' N,157˚ 39' W,1000,Clare Gaffey,NA
E249.1B.NO20,1,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,17:02,Barc5-BW-1,15,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,Barc5,120.5,71˚ 24' N,157˚ 29' W,1000,Clare Gaffey,NA
E249.2B.NO20,2,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,17:02,Barc5-BW-2,15,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,Barc5,120.5,71˚ 24' N,157˚ 29' W,1000,Clare Gaffey,NA
E250.1B.NO20,1,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,17:10,Barc5-SW-1,15,10,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,Barc5,2.1,71˚ 24' N,157˚ 29' W,1000,Clare Gaffey,NA
E250.2B.NO20,2,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,17:10,Barc5-SW-2,15,10,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,Barc5,2.1,71˚ 24' N,157˚ 29' W,1000,Clare Gaffey,NA
E251.1B.NO20,1,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,19:55,Barc3-BW-1,17,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,Barc3,85,71˚ 19' N,157˚ 14' W,1000,Clare Gaffey,NA
E251.2B.NO20,2,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,19:55,Barc3-BW-2,17,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,Barc3,85,71˚ 19' N,157˚ 14' W,1000,Clare Gaffey,NA
E252.1B.NO20,1,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,20:04,Barc3-SW-1,17,9,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,Barc3,3,71˚ 19' N,157˚ 14' W,1000,Clare Gaffey,NA
E252.2B.NO20,2,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,20:04,Barc3-SW-2,17,9,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,Barc3,3,71˚ 19' N,157˚ 14' W,1000,Clare Gaffey,NA
E253.NO20,,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,21:47,Barc2-BW-1,18,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,Barc2,49.9,71˚ 17' N,157˚ 14' W,1000,Clare Gaffey,NA
E254.NO20,,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,21:52,Barc2-SW-1,18,5,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,Barc2,2.6,71˚ 17' N,157˚ 14' W,1000,Clare Gaffey,NA
E255.1B.NO20,1,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,22:52,Barc1-BW-1,19,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,Barc1,46.5,71˚ 14.845' N,157˚ 09.849' W,1000,Clare Gaffey,NA
E255.2B.NO20,2,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,22:52,Barc1-BW-2,19,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,Barc1,46.5,71˚ 14.845' N,157˚ 09.849' W,1000,Clare Gaffey,NA
E256.1B.NO20,1,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,22:57,Barc1-SW-1,19,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,Barc1,6.1,71˚ 14.845' N,157˚ 09.849' W,1000,Clare Gaffey,NA
E256.2B.NO20,2,1,FALSE,NO20,Norseman 2020,,10/7/2020,NA,22:57,Barc1-SW-2,19,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,Barc1,6.1,71˚ 14.845' N,157˚ 09.849' W,1000,Clare Gaffey,NA
E257.1B.NO20,1,1,FALSE,NO20,Norseman 2020,,10/9/2020,NA,0:31,SEC7-BW-1,21,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,SEC7/DBO3-2,39.8,68˚ 14.495' N,167˚ 07.289' W,1000,Clare Gaffey,NA
E257.2B.NO20,2,1,FALSE,NO20,Norseman 2020,,10/9/2020,NA,0:31,SEC7-BW-2,21,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Bering Sea,SEC7/DBO3-2,39.8,68˚ 14.495' N,167˚ 07.289' W,1000,Clare Gaffey,NA
