"Sample_Name","Biological_Replicate","Technical_Replicate","Negative_control","Cruise_ID_short","Cruise_ID_long","Collection_Date_UTC","Collection_Date_local","Collection_Time_UTC","Collection_Time_local","Field_Sample_Name","Cast_No.","Rosette_position","Field_collection_method","Preservation","Area.within.region","Station","Depth_m","Lat","Lon","Sample_volume_ml","Personnel_responsible_for_Collecting_Sample","Field_Notes","Combined_date","Combined_date_local","Date_UTC","Date_local_check","Date_local","Lat_fix","Lat_dec","Lon_fix","Lon_dec","Cast","Bottle"
"E232.NC.NO20",NA,NA,TRUE,"NO20","Norseman 2020",NA,"10/5/2020",NA,NA,"Control-1",NA,NA,"Niskin; Sterivex 0.22µm filter","95% EtOH",NA,NA,NA,NA,NA,1000,"Clare Gaffey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E233.1B.NO20",1,1,FALSE,"NO20","Norseman 2020",NA,"10/5/2020",NA,"21:59","CEO-BW-1",1,3,"Niskin; Sterivex 0.22µm filter","95% EtOH","Bering Sea","CEO",41.1,"71˚ 35.909' N","161˚ 30.872' W",1000,"Clare Gaffey",NA,NA,"10/5/2020 21:59","2020-10-06 05:59:00","2020/10/05 21:59:00","2020-10-05 21:59:00","71 35.909",71.5984833333333,"161 30.872",-161.514533333333,"1","3"
"E233.2B.NO20",2,1,FALSE,"NO20","Norseman 2020",NA,"10/5/2020",NA,"21:59","CEO-BW-2",1,3,"Niskin; Sterivex 0.22µm filter","95% EtOH","Bering Sea","CEO",41.1,"71˚ 35.909' N","161˚ 30.872' W",1000,"Clare Gaffey",NA,NA,"10/5/2020 21:59","2020-10-06 05:59:00","2020/10/05 21:59:00","2020-10-05 21:59:00","71 35.909",71.5984833333333,"161 30.872",-161.514533333333,"1","3"
"E234.1B.NO20",1,1,FALSE,"NO20","Norseman 2020",NA,"10/5/2020",NA,"22:06","CEO-SW-1",1,13,"Niskin; Sterivex 0.22µm filter","95% EtOH","Bering Sea","CEO",5.1,"71˚ 35.909' N","161˚ 30.872' W",1000,"Clare Gaffey",NA,NA,"10/5/2020 22:06","2020-10-06 06:06:00","2020/10/05 22:06:00","2020-10-05 22:06:00","71 35.909",71.5984833333333,"161 30.872",-161.514533333333,"1","13"
"E234.2B.NO20",2,1,FALSE,"NO20","Norseman 2020",NA,"10/5/2020",NA,"22:06","CEO-SW-2",1,13,"Niskin; Sterivex 0.22µm filter","95% EtOH","Bering Sea","CEO",5.1,"71˚ 35.909' N","161˚ 30.872' W",500,"Clare Gaffey",NA,NA,"10/5/2020 22:06","2020-10-06 06:06:00","2020/10/05 22:06:00","2020-10-05 22:06:00","71 35.909",71.5984833333333,"161 30.872",-161.514533333333,"1","13"
"E234.3B.NO20",3,1,FALSE,"NO20","Norseman 2020",NA,"10/5/2020",NA,"22:06","CEO-SW-3",1,13,"Niskin; Sterivex 0.22µm filter","95% EtOH","Bering Sea","CEO",5.1,"71˚ 35.909' N","161˚ 30.872' W",1000,"Clare Gaffey",NA,NA,"10/5/2020 22:06","2020-10-06 06:06:00","2020/10/05 22:06:00","2020-10-05 22:06:00","71 35.909",71.5984833333333,"161 30.872",-161.514533333333,"1","13"
"E235.1B.NO20",1,1,FALSE,"NO20","Norseman 2020",NA,"10/5/2020",NA,"3:28","DBO4.6-BW-1",2,2,"Niskin; Sterivex 0.22µm filter","95% EtOH","Bering Sea","DBO4-6",40,"71˚ 50' N","162˚ 08' W",1000,"Clare Gaffey",NA,NA,"10/5/2020 3:28","2020-10-05 11:28:00","2020/10/05 03:28:00","2020-10-05 03:28:00","71 50",71.8333333333333,"162 08",-162.133333333333,"2","2"
"E235.2B.NO20",2,1,FALSE,"NO20","Norseman 2020",NA,"10/5/2020",NA,"3:28","DBO4.6-BW-2",2,2,"Niskin; Sterivex 0.22µm filter","95% EtOH","Bering Sea","DBO4-6",40,"71˚ 50' N","162˚ 08' W",1000,"Clare Gaffey",NA,NA,"10/5/2020 3:28","2020-10-05 11:28:00","2020/10/05 03:28:00","2020-10-05 03:28:00","71 50",71.8333333333333,"162 08",-162.133333333333,"2","2"
"E235.3B.NO20",3,1,FALSE,"NO20","Norseman 2020",NA,"10/5/2020",NA,"3:28","DBO4.6-BW-3",2,2,"Niskin; Sterivex 0.22µm filter","95% EtOH","Bering Sea","DBO4-6",40,"71˚ 50' N","162˚ 08' W",1000,"Clare Gaffey",NA,NA,"10/5/2020 3:28","2020-10-05 11:28:00","2020/10/05 03:28:00","2020-10-05 03:28:00","71 50",71.8333333333333,"162 08",-162.133333333333,"2","2"
"E236.1B.NO20",1,1,FALSE,"NO20","Norseman 2020",NA,"10/5/2020",NA,"3:31","DBO4.6-SW-1",2,6,"Niskin; Sterivex 0.22µm filter","95% EtOH","Bering Sea","DBO4-6",2.6,"71˚ 50' N","162˚ 08' W",500,"Clare Gaffey",NA,NA,"10/5/2020 3:31","2020-10-05 11:31:00","2020/10/05 03:31:00","2020-10-05 03:31:00","71 50",71.8333333333333,"162 08",-162.133333333333,"2","6"
