"Sample_Name","Biological_Replicate","Technical_Replicate","Negative_control","Cruise_ID_short","Cruise_ID_long","Cast_No.","Rosette_position","Field_collection_method","Preservation","Station","Depth_m_notes","Sample_volume_ml","Personnel_responsible_for_Collecting_Sample","Field_Notes","Date_UTC_notes","Lat_notes","Lon_notes","Date_UTC_btl","verbatimEventDate","verbatimEventTime","verbatimLongitude","verbatimLatitude","verbatimCoordinateSystem","Area.within.region","ctd_time..UTC.","ctd_pressure","ctd_latitude..degrees_north.","ctd_longitude..degrees_east.","ctd_BTLID","ctd_salinity_ch1..PSU.","ctd_salinity_ch2..PSU.","ctd_sigma_t_ch1..kg.m.3.","ctd_sigma_t_ch2..kg.m.3.","ctd_chlor_fluorescence..ugrams.l.","ctd_par..umol.m.2.s.1.","ctd_temperature_ch1..degree_C.","ctd_oxy_percentsat_ch1..percent.","ctd_oxy_percentsat_ch2..percent.","ctd_oxy_conc_ch1..umol.kg.","ctd_oxy_conc_ch2..umol.kg.","ctd_temperature_ch2..degree_C.","ctd_Water_Depth..dbar.","ctd_air_pressure_at_sealevel..mbar.","ctd_wind_direction..degrees.","ctd_wind_speed..m.s.1.","ctd_air_temperature..degree_C.","ctd_Station_Name","ctd_profile_id","ctd_SI..uM.l.","ctd_PO4..uM.l.","ctd_NO2..uM.l.","ctd_NO3..uM.l.","ctd_NH4..uM.l.","ctd_PO4_WOCE_FLAG","ctd_SI_WOCE_FLAG","ctd_NO3_WOCE_FLAG","ctd_NO2_WOCE_FLAG","ctd_NH4_WOCE_FLAG","ctd_holder1","ctd_Cast","btl_bottle","btl_oxy_concM_ch1","btl_oxy_percentsat_ch1","btl_oxy_conc_ch1","btl_salinity_ch1","btl_salinity_ch2","btl_sigma_t_ch1","btl_sigma_t_ch2","btl_chlor_fluorescence","btl_temperature_ch1","btl_temperature_ch2","btl_turbidity","btl_pressure","btl_latitude","btl_longitude","btl_time","btl_profile_id","btl_holder1","btl_Cast"
"START.NC.SKQ2021",NA,NA,TRUE,"SKQ2021","SKQ21 EcoFOCI DBO",NA,NA,"Sterivex 0.22µm filter","95% EtOH",NA,NA,1000,"Matt Galaska",NA,"2021/11/08 00:00:00",NA,NA,NA,"11/8/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1053.SKQ2021",1,1,FALSE,"SKQ2021","SKQ21 EcoFOCI DBO",1,4,"Niskin; Sterivex 0.22µm filter","95% EtOH","DBO3.8",46,1000,"Matt Galaska",NA,"2021/11/08 22:04:00",67.6766333333333,-168.9495,NA,"11/8/21","13:04","168˚ 56.97' W","67˚ 40.598' N","degrees minutes seconds","Chukchi Sea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1054.SKQ2021",1,1,FALSE,"SKQ2021","SKQ21 EcoFOCI DBO",1,10,"Niskin; Sterivex 0.22µm filter","95% EtOH","DBO3.8",30,1000,"Matt Galaska",NA,"2021/11/08 22:04:00",67.6766333333333,-168.9495,NA,"11/8/21","13:04","168˚ 56.97' W","67˚ 40.598' N","degrees minutes seconds","Chukchi Sea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1055.SKQ2021",1,1,FALSE,"SKQ2021","SKQ21 EcoFOCI DBO",1,16,"Niskin; Sterivex 0.22µm filter","95% EtOH","DBO3.8",10,1000,"Matt Galaska",NA,"2021/11/08 22:04:00",67.6766333333333,-168.9495,NA,"11/8/21","13:04","168˚ 56.97' W","67˚ 40.598' N","degrees minutes seconds","Chukchi Sea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1056.SKQ2021",1,1,FALSE,"SKQ2021","SKQ21 EcoFOCI DBO",2,3,"Niskin; Sterivex 0.22µm filter","95% EtOH","DBO4.1",49,1000,"Matt Galaska",NA,"2021/11/10 02:39:00",71.19315,-160.264733333333,"2021/11/10 02:43:21","11/9/21","17:39","160˚ 15.884' W","71˚ 11.589' N","degrees minutes seconds","Chukchi Sea","2021-11-10T02:43:21Z",49,71.1935,-160.26483,1,32.4796,32.4677,26.1149,26.105236,0.1792,NA,-1.1325,74.611,NA,272.82,NA,-1.1319,53,NA,NA,NA,NA,NA,"skq202115sc002",36.7,1.955,0.15,11.7,4.35,NA,NA,NA,NA,NA,"002",2,3,"6.2981","74.99","274.119","32.46","32.4604",26.0985,26.0991,"0.1966","-1.1147","-1.1261",NA,"49.348","71.1935","-160.26483333333334","2021-11-10T02:43:21Z","SKQ202115Sc002_btl","002_btl",2
"E1057.SKQ2021",1,1,FALSE,"SKQ2021","SKQ21 EcoFOCI DBO",2,8,"Niskin; Sterivex 0.22µm filter","95% EtOH","DBO4.1",30,1000,"Matt Galaska",NA,"2021/11/10 02:39:00",71.19315,-160.264733333333,"2021/11/10 02:43:21","11/9/21","17:39","160˚ 15.884' W","71˚ 11.589' N","degrees minutes seconds","Chukchi Sea","2021-11-10T02:43:21Z",30,71.1935,-160.26483,7,30.7346,30.721800000000002,24.652262,24.642023,0.3214,NA,0.278,93.546,NA,334.053,NA,0.2763,53,NA,NA,NA,NA,NA,"skq202115sc002",20.9,1.232,0.38,3.7,3.29,NA,NA,NA,NA,NA,"002",2,8,"7.5233","91.819","327.91","30.7279","30.7226",24.6469,24.6428,"0.3949","0.2772","0.2745",NA,"30.177","71.1935","-160.26483333333334","2021-11-10T02:43:21Z","SKQ202115Sc002_btl","002_btl",2
"E1058.SKQ2021",1,1,FALSE,"SKQ2021","SKQ21 EcoFOCI DBO",2,14,"Niskin; Sterivex 0.22µm filter","95% EtOH","DBO4.1",10,1000,"Matt Galaska",NA,"2021/11/10 02:39:00",71.19315,-160.264733333333,"2021/11/10 02:43:21","11/9/21","17:39","160˚ 15.884' W","71˚ 11.589' N","degrees minutes seconds","Chukchi Sea","2021-11-10T02:43:21Z",10,71.1935,-160.26483,13,30.7358,30.7211,24.653498,24.641777,0.2986,NA,0.2719,93.229,NA,332.973,NA,0.2691,53,NA,NA,NA,NA,NA,"skq202115sc002",16.5,1.038,0.44,1.6,3.05,NA,NA,NA,NA,NA,"002",2,14,"7.5784","92.471","330.31","30.7272","30.7227",24.6467,24.6431,"0.3726","0.2692","0.2665",NA,"9.922","71.1935","-160.26483333333334","2021-11-10T02:43:21Z","SKQ202115Sc002_btl","002_btl",2
"E1059.SKQ2021",1,1,FALSE,"SKQ2021","SKQ21 EcoFOCI DBO",3,2,"Niskin; Sterivex 0.22µm filter","95% EtOH","DBO4.2",43,1000,"Matt Galaska",NA,"2021/11/10 04:55:00",71.3218,-160.656666666667,"2021/11/10 04:54:19","11/9/21","19:55","160˚ 39.4' W","71˚ 19.308' N","degrees minutes seconds","Chukchi Sea","2021-11-10T04:54:19Z",43,71.32183,-160.65683,1,32.3957,32.3882,26.04159,26.035536,0.0919,NA,-0.9614,77.943,NA,283.888,NA,-0.9621,48,NA,NA,NA,NA,NA,"skq202115sc003",29.1,1.834,0.37,8.7,4.64,NA,NA,NA,NA,NA,"003",3,2,"6.48","77.396","282.047","32.4094","32.4049",26.0534,26.05,"0.0923","-0.985","-0.9894",NA,"43.305","71.32183333333333","-160.65683333333334","2021-11-10T04:54:19Z","SKQ202115Sc003_btl","003_btl",3
"E1060.SKQ2021",1,1,FALSE,"SKQ2021","SKQ21 EcoFOCI DBO",3,6,"Niskin; Sterivex 0.22µm filter","95% EtOH","DBO4.2",30,1000,"Matt Galaska",NA,"2021/11/10 04:55:00",71.3218,-160.656666666667,"2021/11/10 04:54:19","11/9/21","19:55","160˚ 39.4' W","71˚ 19.308' N","degrees minutes seconds","Chukchi Sea","2021-11-10T04:54:19Z",30,71.32183,-160.65683,4,31.9194,31.9068,25.620317,25.61026,6e-4,NA,-0.0117,80.402,NA,286.649,NA,-0.0142,48,NA,NA,NA,NA,NA,"skq202115sc003",22.8,1.62,0.59,6.3,5.18,NA,NA,NA,NA,NA,"003",3,6,"6.6831","81.643","291.016","31.9058","31.9097",25.6089,25.6123,"0.0339","-4.0E-4","-0.006",NA,"30.387","71.32183333333333","-160.65683333333334","2021-11-10T04:54:19Z","SKQ202115Sc003_btl","003_btl",3
"E1061.SKQ2021",1,1,FALSE,"SKQ2021","SKQ21 EcoFOCI DBO",3,11,"Niskin; Sterivex 0.22µm filter","95% EtOH","DBO4.2",10,1000,"Matt Galaska",NA,"2021/11/10 04:55:00",71.3218,-160.656666666667,"2021/11/10 04:54:19","11/9/21","19:55","160˚ 39.4' W","71˚ 19.308' N","degrees minutes seconds","Chukchi Sea","2021-11-10T04:54:19Z",10,71.32183,-160.65683,10,30.6929,30.6825,24.632223,24.624063,0.1671,NA,-0.0461,95.909,NA,345.538,NA,-0.0519,48,NA,NA,NA,NA,NA,"skq202115sc003",15.4,1.075,0.42,1.9,3.11,NA,NA,NA,NA,NA,"003",3,11,"8.0981","98.183","352.974","30.664","30.6593",24.6053,24.6016,"0.1691","0.043","0.0427",NA,"10.251","71.32183333333333","-160.65683333333334","2021-11-10T04:54:19Z","SKQ202115Sc003_btl","003_btl",3
"E1062.SKQ2021",1,1,FALSE,"SKQ2021","SKQ21 EcoFOCI DBO",4,2,"Niskin; Sterivex 0.22µm filter","95% EtOH","DBO4.3",43,1000,"Matt Galaska",NA,"2021/11/10 07:19:00",71.4543333333333,-161.039383333333,"2021/11/10 07:21:59","11/9/21","22:19","161˚ 2.363' W","71˚ 27.26' N","degrees minutes seconds","Chukchi Sea","2021-11-10T07:21:59Z",43,71.45433,-161.03934,1,32.1225,32.1157,25.795477,25.79013,0.1133,NA,-0.2751,80.197,NA,287.448,NA,-0.2787,47,NA,NA,NA,NA,NA,"skq202115sc004",25.1,1.685,0.6,6,5.22,NA,NA,NA,NA,NA,"004",4,2,"6.5923","80.094","287.008","32.1225","32.1166",25.7951,25.7904,"0.1112","-0.2657","-0.2677",NA,"43.344","71.45433333333334","-161.03933333333333","2021-11-10T07:21:59Z","SKQ202115Sc004_btl","004_btl",4
"E1063.SKQ2021",1,1,FALSE,"SKQ2021","SKQ21 EcoFOCI DBO",4,5,"Niskin; Sterivex 0.22µm filter","95% EtOH","DBO4.3",30,1000,"Matt Galaska",NA,"2021/11/10 07:19:00",71.4543333333333,-161.039383333333,"2021/11/10 07:21:59","11/9/21","22:19","161˚ 2.363' W","71˚ 27.26' N","degrees minutes seconds","Chukchi Sea","2021-11-10T07:21:59Z",30,71.45433,-161.03934,4,32.1261,32.1151,25.797718,25.788908,0.0902,NA,-0.2589,80.119,NA,287.039,NA,-0.2607,47,NA,NA,NA,NA,NA,"skq202115sc004",25.5,1.702,0.63,6.2,5.36,NA,NA,NA,NA,NA,"004",4,5,"6.6121","80.373","287.873","32.1213","32.1167",25.7934,25.7897,"0.1112","-0.2475","-0.2486",NA,"30.407","71.45433333333334","-161.03933333333333","2021-11-10T07:21:59Z","SKQ202115Sc004_btl","004_btl",4
"E1064.SKQ2021",1,1,FALSE,"SKQ2021","SKQ21 EcoFOCI DBO",4,11,"Niskin; Sterivex 0.22µm filter","95% EtOH","DBO4.3",10,1000,"Matt Galaska",NA,"2021/11/10 07:19:00",71.4543333333333,-161.039383333333,"2021/11/10 07:21:59","11/9/21","22:19","161˚ 2.363' W","71˚ 27.26' N","degrees minutes seconds","Chukchi Sea","2021-11-10T07:21:59Z",10,71.45433,-161.03934,10,30.7468,30.7336,24.718752,24.70808,0.0744,NA,-1.5209,96.387,NA,361.053,NA,-1.5232,47,NA,NA,NA,NA,NA,"skq202115sc004",8.2,0.912,0.16,1.8,2.23,NA,NA,NA,NA,NA,"004",4,11,"8.2945","96.567","361.495","30.7504","30.7382",24.7212,24.7117,"0.1095","-1.4981","-1.5196",NA,"10.307","71.45433333333334","-161.03933333333333","2021-11-10T07:21:59Z","SKQ202115Sc004_btl","004_btl",4
