"Sample_Name","Biological_Replicate","Technical_Replicate","Negative_control","Cruise_ID_short","Cruise_ID_long","Cast_No.","Rosette_position","Field_collection_method","Preservation","Station","Depth_m_notes","Sample_volume_ml","Personnel_responsible_for_Collecting_Sample","Field_Notes","Date_UTC_notes","Lat_notes","Lon_notes","verbatimEventDate","verbatimEventTime","verbatimLongitude","verbatimLatitude","verbatimCoordinateSystem","Area.within.region","Date_UTC_btl","ctd_time..UTC.","ctd_pressure","ctd_latitude..degrees_north.","ctd_longitude..degrees_east.","ctd_BTLID","ctd_salinity_ch1..PSU.","ctd_salinity_ch2..PSU.","ctd_sigma_t_ch1..kg.m.3.","ctd_sigma_t_ch2..kg.m.3.","ctd_chlor_fluorescence..ugrams.l.","ctd_par..umol.m.2.s.1.","ctd_temperature_ch1..degree_C.","ctd_oxy_percentsat_ch1..percent.","ctd_oxy_percentsat_ch2..percent.","ctd_oxy_conc_ch1..umol.kg.","ctd_oxy_conc_ch2..umol.kg.","ctd_temperature_ch2..degree_C.","ctd_Water_Depth..dbar.","ctd_air_pressure_at_sealevel..mbar.","ctd_wind_direction..degrees.","ctd_wind_speed..m.s.1.","ctd_air_temperature..degree_C.","ctd_Station_Name","ctd_profile_id","ctd_SI..uM.l.","ctd_PO4..uM.l.","ctd_NO2..uM.l.","ctd_NO3..uM.l.","ctd_NH4..uM.l.","ctd_PO4_WOCE_FLAG","ctd_SI_WOCE_FLAG","ctd_NO3_WOCE_FLAG","ctd_NO2_WOCE_FLAG","ctd_NH4_WOCE_FLAG","ctd_holder1","ctd_Cast","btl_bottle","btl_oxy_concM_ch1..ml.l.","btl_oxy_percentsat_ch1..percent.","btl_oxy_conc_ch1..micromole.kg.","btl_salinity_ch1..PSU.","btl_salinity_ch2..PSU.","btl_sigma_t_ch1","btl_sigma_t_ch2","btl_chlor_fluorescence..ugrams.l.","btl_temperature_ch1..degree_C.","btl_temperature_ch2..degree_C.","btl_turbidity..NTU.","btl_pressure..decibar.","btl_latitude..degrees_north.","btl_longitude..degrees_east.","btl_time..UTC.","btl_profile_id","btl_holder1","btl_Cast"
"E1147.NC.DY2206",NA,NA,TRUE,"DY2206","EcoFoci Spring Mooring 2022",NA,NA,"Sterivex 0.22µm filter","95% EtOH",NA,NA,1000,"Emily Lemagie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1148.DY2206",1,1,FALSE,"DY2206","EcoFoci Spring Mooring 2022",1,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","70M6",72,1000,"Emily Lemagie","s1h1","2022/05/11 13:59:00",56.8631666666667,-164.031833333333,"5/11/2022","13:59","164˚ 01.91' W","56˚ 51.79' N","degrees minutes seconds","Beiring Sea","2022/05/11 13:59:00","2022-05-11T13:59:00Z",69,56.863167,-164.03183,1,32.2323,32.2324,25.71134,25.71146,6.9653,0.28367,2.5724,109.53961,109.25184,364.67413,363.72037,2.5719,72,1027,275,14,NA,"70MC","dy2206c001",16,1.124,0.23,9.2,0.94,2,2,2,2,2,"001",1,1,8.7851,114.901,382.508,32.2324,32.232,25.7113,25.711,7.5429,2.5735,2.5731,2.1371000000000002,NA,56.863166666666665,-164.03183333333334,"2022-05-11T13:59:00Z","DY2206c001_btl","001_btl",1
"E1149.DY2206",1,1,FALSE,"DY2206","EcoFoci Spring Mooring 2022",1,4,"Niskin; Sterivex 0.22µm filter","95% EtOH","70M6",30,1000,"Emily Lemagie","s1h1","2022/05/11 13:59:00",56.8631666666667,-164.031833333333,"5/11/2022","13:59","164˚ 01.91' W","56˚ 51.79' N","degrees minutes seconds","Beiring Sea","2022/05/11 13:59:00","2022-05-11T13:59:00Z",30,56.863167,-164.03183,4,32.2315,32.231,25.707336,25.706888,4.8745,0.28366,2.6146,110.97975,111.066216,369.08258,369.366,2.6152,72,1027,275,14,NA,"70MC","dy2206c001",15.4,1.041,0.22,8.9,0.65,2,2,2,2,2,"001",1,4,8.8655,116.045,386.01,32.2314,32.2309,25.708,25.7076,5.2776,2.6055,2.605,0.6942,NA,56.863166666666665,-164.03183333333334,"2022-05-11T13:59:00Z","DY2206c001_btl","001_btl",1
"E1150.DY2206",1,1,FALSE,"DY2206","EcoFoci Spring Mooring 2022",1,7,"Niskin; Sterivex 0.22µm filter","95% EtOH","70M6",1,1000,"Emily Lemagie","s1h1","2022/05/11 13:59:00",56.8631666666667,-164.031833333333,"5/11/2022","13:59","164˚ 01.91' W","56˚ 51.79' N","degrees minutes seconds","Beiring Sea","2022/05/11 13:59:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,10.1528,133.418,442.099,32.1363,32.1362,25.6172,25.6172,9.2872,2.7888,2.7883,0.7226,NA,56.863166666666665,-164.03183333333334,"2022-05-11T13:59:00Z","DY2206c001_btl","001_btl",1
"E1151.DY2206",1,1,FALSE,"DY2206","EcoFoci Spring Mooring 2022",3,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","M2E",69,1000,"Emily Lemagie","s4h1","2022/05/12 07:41:00",56.9406666666667,-163.837,"5/12/2022","7:41","163˚ 50.22' W","56˚ 56.44' N","degrees minutes seconds","Beiring Sea","2022/05/12 07:41:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8.5303,110.962,371.41,32.2195,32.2194,25.7177,25.7177,7.0084,2.3595,2.3594,1.8307,64.757,56.940666666666665,-163.837,"2022-05-12T07:41:00Z","DY2206c003_btl","003_btl",3
"E1152.DY2206",1,1,FALSE,"DY2206","EcoFoci Spring Mooring 2022",3,4,"Niskin; Sterivex 0.22µm filter","95% EtOH","M2E",30,1000,"Emily Lemagie","s4h1","2022/05/12 07:41:00",56.9406666666667,-163.837,"5/12/2022","7:41","163˚ 50.22' W","56˚ 56.44' N","degrees minutes seconds","Beiring Sea","2022/05/12 07:41:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9.1988,119.244,400.54,32.1413,32.1445,25.6641,25.6662,5.1014,2.2429,2.2478,0.6922,30.851,56.940666666666665,-163.837,"2022-05-12T07:41:00Z","DY2206c003_btl","003_btl",3
"E1153.DY2206",1,1,FALSE,"DY2206","EcoFoci Spring Mooring 2022",3,7,"Niskin; Sterivex 0.22µm filter","95% EtOH","M2E",1,1000,"Emily Lemagie","s4h1","2022/05/12 07:41:00",56.9406666666667,-163.837,"5/12/2022","7:41","163˚ 50.22' W","56˚ 56.44' N","degrees minutes seconds","Beiring Sea","2022/05/12 07:41:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9.9477,129.067,433.22,31.938,31.9375,25.4946,25.4942,6.2778,2.3338,2.3333,0.4612,3.939,56.940666666666665,-163.837,"2022-05-12T07:41:00Z","DY2206c003_btl","003_btl",3
"E1154.DY2206",1,1,FALSE,"DY2206","EcoFoci Spring Mooring 2022",7,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","M2",72,1000,"Emily Lemagie","s7h3","2022/05/12 21:46:00",56.8593333333333,-164.056333333333,"5/12/2022","21:46","164˚ 03.38' W","56˚ 51.56' N","degrees minutes seconds","Beiring Sea","2022/05/12 21:46:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8.6747,113.423,377.699,32.2331,32.2327,25.7128,25.7125,7.1378,2.5614,2.5613,1.8438,67.508,56.85933333333333,-164.05633333333333,"2022-05-12T21:46:00Z","DY2206c007_btl","007_btl",7
"E1155.DY2206",1,1,FALSE,"DY2206","EcoFoci Spring Mooring 2022",7,4,"Niskin; Sterivex 0.22µm filter","95% EtOH","M2",30,1000,"Emily Lemagie","s7h3","2022/05/12 21:46:00",56.8593333333333,-164.056333333333,"5/12/2022","21:46","164˚ 03.38' W","56˚ 51.56' N","degrees minutes seconds","Beiring Sea","2022/05/12 21:46:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8.7195,114.008,379.652,32.2334,32.2331,25.7132,25.7129,5.4298,2.5605,2.5602,0.6375,30.463,56.85933333333333,-164.05633333333333,"2022-05-12T21:46:00Z","DY2206c007_btl","007_btl",7
"E1156.DY2206",1,1,FALSE,"DY2206","EcoFoci Spring Mooring 2022",7,7,"Niskin; Sterivex 0.22µm filter","95% EtOH","M2",1,1000,"Emily Lemagie","s7h3","2022/05/12 21:46:00",56.8593333333333,-164.056333333333,"5/12/2022","21:46","164˚ 03.38' W","56˚ 51.56' N","degrees minutes seconds","Beiring Sea","2022/05/12 21:46:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,10.0705,131.086,438.553,31.997,31.9966,25.5331,25.5328,3.2385,2.4472,2.4472,0.6583,3.225,56.85933333333333,-164.05633333333333,"2022-05-12T21:46:00Z","DY2206c007_btl","007_btl",7
