bottle,oxy_concM_ch1 (ml/l),oxy_percentsat_ch1 (percent),oxy_conc_ch1 (micromole/kg),salinity_ch1 (PSU),salinity_ch2 (PSU),sigma_t_ch1 (kg m-3),sigma_t_ch2 (kg m-3),chlor_fluorescence (ugrams/l),temperature_ch1 (degree_C),temperature_ch2 (degree_C),turbidity (NTU),pressure (decibar),latitude (degrees_north),longitude (degrees_east),time (UTC),profile_id
1.0,7.0715,97.652,308.063,31.8166,31.8136,25.1624,25.1594,0.9191,4.9063,4.9114,2.1691,33.251,64.00383333333333,163.06616,2022-09-21T05:10:00Z,DY2209c001_btl
2.0,7.0501,100.859,307.222,31.6566,31.6541,24.857,24.8542,0.8815,6.4465,6.4526,1.9087,20.521,64.00383333333333,163.06616,2022-09-21T05:10:00Z,DY2209c001_btl
3.0,7.1668,102.976,312.327,31.6005,31.599,24.7871,24.7859,1.2102,6.6499,6.6505,1.9491,9.801,64.00383333333333,163.06616,2022-09-21T05:10:00Z,DY2209c001_btl
4.0,7.1746,103.098,312.67,31.5954,31.5945,24.7824,24.7817,1.8287,6.655,6.655,1.7677,3.089,64.00383333333333,163.06616,2022-09-21T05:10:00Z,DY2209c001_btl
5.0,7.1725,103.073,312.578,31.5971,31.5959,24.7835,24.7829,1.5655,6.6569,6.6544,1.7434,3.012,64.00383333333333,163.06616,2022-09-21T05:10:00Z,DY2209c001_btl
6.0,7.1817,103.204,312.979,31.5972,31.5959,24.7837,24.783,1.4446,6.6565,6.6538,2.1865,3.163,64.00383333333333,163.06616,2022-09-21T05:10:00Z,DY2209c001_btl
1.0,6.697,95.449,291.865,31.4992,31.4972,24.7472,24.7457,1.8137,6.3305,6.3301,7.7422,33.889,64.67333333333333,168.21834,2022-09-21T09:17:00Z,DY2209c002_btl
2.0,6.5971,94.91,287.566,31.3164,31.3133,24.5461,24.5432,1.6507,6.7849,6.7891,3.16,19.886,64.67333333333333,168.21834,2022-09-21T09:17:00Z,DY2209c002_btl
3.0,6.8863,100.506,300.245,31.1156,31.1138,24.2985,24.297,1.4865,7.4662,7.4673,3.9536,9.338,64.67333333333333,168.21834,2022-09-21T09:17:00Z,DY2209c002_btl
4.0,6.8873,100.587,300.293,31.1076,31.1059,24.288,24.2867,1.5516,7.4972,7.4976,4.1386,3.13,64.67333333333333,168.21834,2022-09-21T09:17:00Z,DY2209c002_btl
5.0,6.8886,100.606,300.351,31.108,31.1064,24.2884,24.2871,1.4883,7.4968,7.4974,4.0848,3.002,64.67333333333333,168.21834,2022-09-21T09:17:00Z,DY2209c002_btl
6.0,6.8812,100.501,300.029,31.1077,31.1063,24.288,24.2869,1.5184,7.4982,7.4978,4.1942,2.978,64.67333333333333,168.21834,2022-09-21T09:17:00Z,DY2209c002_btl
1.0,8.5466,108.144,372.134,32.0821,32.0784,25.681,25.6779,0.8159,1.3073,1.3079,2.4285,41.673,64.67916666666666,169.1,2022-09-21T12:00:00Z,DY2209c003_btl
2.0,7.8581,106.605,342.286,31.8885,31.8884,25.297,25.2962,3.2697,4.1512,4.1587,0.74,29.728,64.67916666666666,169.1,2022-09-21T12:00:00Z,DY2209c003_btl
3.0,7.0412,102.388,306.916,31.4236,31.4303,24.5739,24.5769,1.0016,7.2176,7.2348,0.5692,19.43,64.67916666666666,169.1,2022-09-21T12:00:00Z,DY2209c003_btl
4.0,7.0437,102.651,307.031,31.4151,31.422,24.5541,24.5595,1.0337,7.3163,7.3161,0.5192,9.555,64.67916666666666,169.1,2022-09-21T12:00:00Z,DY2209c003_btl
5.0,7.0357,102.535,306.683,31.415,31.422,24.554,24.5595,1.0943,7.3161,7.3158,0.501,9.394,64.67916666666666,169.1,2022-09-21T12:00:00Z,DY2209c003_btl
6.0,7.0372,102.56,306.748,31.4212,31.4196,24.559,24.5578,1.1735,7.3157,7.3152,0.6147,2.716,64.67916666666666,169.1,2022-09-21T12:00:00Z,DY2209c003_btl
7.0,7.0241,102.368,306.179,31.4188,31.4184,24.5571,24.5568,1.1175,7.3156,7.3155,0.5751,2.449,64.67916666666666,169.1,2022-09-21T12:00:00Z,DY2209c003_btl
1.0,7.7072,104.857,335.747,31.7741,31.7713,25.1913,25.1885,0.9932,4.3005,4.3068,2.5683,43.571,64.9915,169.14633,2022-09-21T14:05:00Z,DY2209c004_btl
2.0,7.5581,106.654,329.358,31.5644,31.5595,24.8521,24.8459,1.1583,5.8876,5.9078,0.6281,29.995,64.9915,169.14633,2022-09-21T14:05:00Z,DY2209c004_btl
3.0,7.2109,104.535,314.308,31.435,31.4345,24.6011,24.6006,1.3649,7.0808,7.0811,0.5927,20.141,64.9915,169.14633,2022-09-21T14:05:00Z,DY2209c004_btl
4.0,7.2062,104.464,314.101,31.4363,31.4355,24.6023,24.6017,1.3559,7.0793,7.079,0.617,9.66,64.9915,169.14633,2022-09-21T14:05:00Z,DY2209c004_btl
5.0,7.2129,104.567,314.392,31.436,31.4351,24.6016,24.601,1.3831,7.0821,7.0818,0.585,9.755,64.9915,169.14633,2022-09-21T14:05:00Z,DY2209c004_btl
6.0,7.1993,104.38,313.8,31.4358,31.4346,24.601,24.6,1.3896,7.0863,7.0859,0.6162,2.721,64.9915,169.14633,2022-09-21T14:05:00Z,DY2209c004_btl
7.0,7.1954,104.325,313.632,31.4358,31.4344,24.6009,24.5998,1.33,7.0866,7.0865,0.6253,3.357,64.9915,169.14633,2022-09-21T14:05:00Z,DY2209c004_btl
