"Sample_Name","Biological_Replicate","Technical_Replicate","Negative_control","Cruise_ID_short","Cruise_ID_long","Collection_Date_UTC","Collection_Date_local","Collection_Time_UTC","Collection_Time_local","Field_Sample_Name","Cast_No.","Rosette_position","Field_collection_method","Preservation","Area.within.region","Station","Depth_m","Lat","Lon","Sample_volume_ml","Personnel_responsible_for_Collecting_Sample","Field_Notes","Combined_date","Date_UTC","Date_local","Lat_fix","Lat_dec","Lon_fix","Lon_dec","oxy_concM_ch1..ml.l.","oxy_percentsat_ch1..percent.","oxy_conc_ch1..micromole.kg.","salinity_ch1..PSU.","salinity_ch2..PSU.","sigma_t_ch1..kg.m.3.","sigma_t_ch2..kg.m.3.","chlor_fluorescence..ugrams.l.","temperature_ch1..degree_C.","temperature_ch2..degree_C.","turbidity..NTU.","pressure..decibar.","latitude..degrees_north.","longitude..degrees_east.","time..UTC.","profile_id","holder1"
"E1610.NC.DY2209",NA,NA,TRUE,"DY2209","EcoFOCI Fall Mooring 2022",NA,"9/20/2022",NA,NA,NA,NA,NA,"Sterivex 0.22µm filter","95% EtOH",NA,NA,NA,NA,NA,1000,"Shannon Brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1611.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022","9/21/2022","9/20/2022","5:10",NA,NA,"1","1","Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","M14",33,"64˚ 00.23' N","163˚ 53.97' W",1000,"Shannon Brown",NA,"9/21/2022 5:10","2022/09/21 05:10:00","2022-09-20 21:10:00","64 00.23","64.0038333333333","163 53.97",-163.8995,7.0715,97.652,308.063,31.8166,31.8136,25.1624,25.1594,0.9191,4.9063,4.9114,2.1691,33.251,64.00383333333333,163.06616,"2022-09-21T05:10:00Z","DY2209c001_btl","001_btl"
"E1612.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022","9/21/2022","9/20/2022","5:10",NA,NA,"1","2","Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","M14",20,"64˚ 00.23' N","163˚ 53.97' W",1000,"Shannon Brown",NA,"9/21/2022 5:10","2022/09/21 05:10:00","2022-09-20 21:10:00","64 00.23","64.0038333333333","163 53.97",-163.8995,7.0501,100.859,307.222,31.6566,31.6541,24.857,24.8542,0.8815,6.4465,6.4526,1.9087,20.521,64.00383333333333,163.06616,"2022-09-21T05:10:00Z","DY2209c001_btl","001_btl"
"E1613.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022","9/21/2022","9/20/2022","5:10",NA,NA,"1","3","Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","M14",10,"64˚ 00.23' N","163˚ 53.97' W",1000,"Shannon Brown",NA,"9/21/2022 5:10","2022/09/21 05:10:00","2022-09-20 21:10:00","64 00.23","64.0038333333333","163 53.97",-163.8995,7.1668,102.976,312.327,31.6005,31.599,24.7871,24.7859,1.2102,6.6499,6.6505,1.9491,9.801,64.00383333333333,163.06616,"2022-09-21T05:10:00Z","DY2209c001_btl","001_btl"
"E1614.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022","9/21/2022","9/21/2022","9:17",NA,NA,"2","1","Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","DB02-3",33,"64˚ 40.40' N","168˚ 13.10' W",1000,"Shannon Brown",NA,"9/21/2022 9:17","2022/09/21 09:17:00","2022-09-21 01:17:00","64 40.40","64.6733333333333","168 13.10",-168.218333333333,6.697,95.449,291.865,31.4992,31.4972,24.7472,24.7457,1.8137,6.3305,6.3301,7.7422,33.889,64.67333333333333,168.21834,"2022-09-21T09:17:00Z","DY2209c002_btl","002_btl"
"E1615.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022","9/21/2022","9/21/2022","9:17",NA,NA,"2","2","Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","DB02-3",20,"64˚ 40.40' N","168˚ 13.10' W",1000,"Shannon Brown",NA,"9/21/2022 9:17","2022/09/21 09:17:00","2022-09-21 01:17:00","64 40.40","64.6733333333333","168 13.10",-168.218333333333,6.5971,94.91,287.566,31.3164,31.3133,24.5461,24.5432,1.6507,6.7849,6.7891,3.16,19.886,64.67333333333333,168.21834,"2022-09-21T09:17:00Z","DY2209c002_btl","002_btl"
"E1616.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022","9/21/2022","9/21/2022","9:17",NA,NA,"2","3","Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","DB02-3",10,"64˚ 40.40' N","168˚ 13.10' W",1000,"Shannon Brown",NA,"9/21/2022 9:17","2022/09/21 09:17:00","2022-09-21 01:17:00","64 40.40","64.6733333333333","168 13.10",-168.218333333333,6.8863,100.506,300.245,31.1156,31.1138,24.2985,24.297,1.4865,7.4662,7.4673,3.9536,9.338,64.67333333333333,168.21834,"2022-09-21T09:17:00Z","DY2209c002_btl","002_btl"
"E1617.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022","9/21/2022","9/21/2022","12:00",NA,NA,"3","1","Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","DB02-2",41,"64˚ 40.75' N","169˚ 06.00' W",1000,"Shannon Brown",NA,"9/21/2022 12:00","2022/09/21 12:00:00","2022-09-21 04:00:00","64 40.75","64.6791666666667","169 06.00",-169.1,8.5466,108.144,372.134,32.0821,32.0784,25.681,25.6779,0.8159,1.3073,1.3079,2.4285,41.673,64.67916666666666,169.1,"2022-09-21T12:00:00Z","DY2209c003_btl","003_btl"
"E1618.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022","9/21/2022","9/21/2022","12:00",NA,NA,"3","2","Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","DB02-2",30,"64˚ 40.75' N","169˚ 06.00' W",1000,"Shannon Brown",NA,"9/21/2022 12:00","2022/09/21 12:00:00","2022-09-21 04:00:00","64 40.75","64.6791666666667","169 06.00",-169.1,7.8581,106.605,342.286,31.8885,31.8884,25.297,25.2962,3.2697,4.1512,4.1587,0.74,29.728,64.67916666666666,169.1,"2022-09-21T12:00:00Z","DY2209c003_btl","003_btl"
"E1619.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022","9/21/2022","9/21/2022","12:00",NA,NA,"3","5","Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","DB02-2",10,"64˚ 40.75' N","169˚ 06.00' W",1000,"Shannon Brown",NA,"9/21/2022 12:00","2022/09/21 12:00:00","2022-09-21 04:00:00","64 40.75","64.6791666666667","169 06.00",-169.1,7.0357,102.535,306.683,31.415,31.422,24.554,24.5595,1.0943,7.3161,7.3158,0.501,9.394,64.67916666666666,169.1,"2022-09-21T12:00:00Z","DY2209c003_btl","003_btl"
"E1620.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022","9/21/2022","9/21/2022","14:05",NA,NA,"4","1","Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","DB02-5",43,"64˚ 08.78' N","169˚ 08.78' W",1000,"Shannon Brown",NA,"9/21/2022 14:05","2022/09/21 14:05:00","2022-09-21 06:05:00","64 08.78","64.1463333333333","169 08.78",-169.146333333333,7.7072,104.857,335.747,31.7741,31.7713,25.1913,25.1885,0.9932,4.3005,4.3068,2.5683,43.571,64.9915,169.14633,"2022-09-21T14:05:00Z","DY2209c004_btl","004_btl"
