Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Collection_Time_local,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area.within.region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes
E1610.NC.DY2209,NA,NA,TRUE,DY2209,EcoFOCI Fall Mooring 2022,NA,9/20/2022,NA,NA,NA,NA,NA,Sterivex 0.22µm filter,95% EtOH,NA,NA,NA,NA,NA,1000,Shannon Brown,
E1611.DY2209,1,1,FALSE,DY2209,EcoFOCI Fall Mooring 2022,9/21/2022,9/20/2022,5:10,NA,NA,1,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M14,33.0,64˚ 00.23' N,163˚ 53.97' W,1000,Shannon Brown,
E1612.DY2209,1,1,FALSE,DY2209,EcoFOCI Fall Mooring 2022,9/21/2022,9/20/2022,5:10,NA,NA,1,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M14,20.0,64˚ 00.23' N,163˚ 53.97' W,1000,Shannon Brown,
E1613.DY2209,1,1,FALSE,DY2209,EcoFOCI Fall Mooring 2022,9/21/2022,9/20/2022,5:10,NA,NA,1,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M14,10.0,64˚ 00.23' N,163˚ 53.97' W,1000,Shannon Brown,
E1614.DY2209,1,1,FALSE,DY2209,EcoFOCI Fall Mooring 2022,9/21/2022,9/21/2022,9:17,NA,NA,2,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,DB02-3,33.0,64˚ 40.40' N,168˚ 13.10' W,1000,Shannon Brown,
E1615.DY2209,1,1,FALSE,DY2209,EcoFOCI Fall Mooring 2022,9/21/2022,9/21/2022,9:17,NA,NA,2,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,DB02-3,20.0,64˚ 40.40' N,168˚ 13.10' W,1000,Shannon Brown,
E1616.DY2209,1,1,FALSE,DY2209,EcoFOCI Fall Mooring 2022,9/21/2022,9/21/2022,9:17,NA,NA,2,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,DB02-3,10.0,64˚ 40.40' N,168˚ 13.10' W,1000,Shannon Brown,
E1617.DY2209,1,1,FALSE,DY2209,EcoFOCI Fall Mooring 2022,9/21/2022,9/21/2022,12:00,NA,NA,3,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,DB02-2,41.0,64˚ 40.75' N,169˚ 06.00' W,1000,Shannon Brown,
E1618.DY2209,1,1,FALSE,DY2209,EcoFOCI Fall Mooring 2022,9/21/2022,9/21/2022,12:00,NA,NA,3,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,DB02-2,30.0,64˚ 40.75' N,169˚ 06.00' W,1000,Shannon Brown,
E1619.DY2209,1,1,FALSE,DY2209,EcoFOCI Fall Mooring 2022,9/21/2022,9/21/2022,12:00,NA,NA,3,5,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,DB02-2,10.0,64˚ 40.75' N,169˚ 06.00' W,1000,Shannon Brown,
E1620.DY2209,1,1,FALSE,DY2209,EcoFOCI Fall Mooring 2022,9/21/2022,9/21/2022,14:05,NA,NA,4,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,DB02-5,43.0,64˚ 08.78' N,169˚ 08.78' W,1000,Shannon Brown,
E1621.DY2209,1,1,FALSE,DY2209,EcoFOCI Fall Mooring 2022,9/21/2022,9/21/2022,14:05,NA,NA,4,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,DB02-5,30.0,64˚ 08.78' N,169˚ 08.78' W,1000,Shannon Brown,
E1622.DY2209,1,1,FALSE,DY2209,EcoFOCI Fall Mooring 2022,9/21/2022,9/21/2022,14:05,NA,NA,4,5,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,DB02-5,10.0,64˚ 08.78' N,169˚ 08.78' W,1000,Shannon Brown,
