"Sample_Name","Biological_Replicate","Technical_Replicate","Negative_control","Cruise_ID_short","Cruise_ID_long","Collection_Date_UTC","Collection_Date_local","Collection_Time_UTC","Collection_Time_local","Field_Sample_Name","Cast_No.","Rosette_position","Field_collection_method","Preservation","Area.within.region","Station","Depth_m","Lat","Lon","Sample_volume_ml","Personnel_responsible_for_Collecting_Sample","Field_Notes","Combined_date","Combined_date_local","Date_UTC","Date_local_check","Date_local","Lat_fix","Lat_dec","Lon_fix","Lon_dec","Cast","Bottle"
"E1610.NC.DY2209",NA,NA,TRUE,"DY2209","EcoFOCI Fall Mooring 2022",NA,"9/20/2022",NA,NA,NA,NA,NA,"Sterivex 0.22µm filter","95% EtOH",NA,NA,NA,NA,NA,1000,"Shannon Brown",NA,NA,NA,"2022/09/20 00:00:00",NA,"2022-09-19 16:00:00",NA,NA,NA,NA,NA,NA
"E1611.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022","9/21/2022","9/20/2022","5:10",NA,NA,1,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","M14",33,"64˚ 00.23' N","163˚ 53.97' W",1000,"Shannon Brown",NA,"9/21/2022 5:10",NA,"2022/09/21 05:10:00",NA,"2022-09-20 21:10:00","64 00.23",64.0038333333333,"163 53.97",-163.8995,"1","1"
"E1612.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022","9/21/2022","9/20/2022","5:10",NA,NA,1,2,"Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","M14",20,"64˚ 00.23' N","163˚ 53.97' W",1000,"Shannon Brown",NA,"9/21/2022 5:10",NA,"2022/09/21 05:10:00",NA,"2022-09-20 21:10:00","64 00.23",64.0038333333333,"163 53.97",-163.8995,"1","2"
"E1613.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022","9/21/2022","9/20/2022","5:10",NA,NA,1,3,"Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","M14",10,"64˚ 00.23' N","163˚ 53.97' W",1000,"Shannon Brown",NA,"9/21/2022 5:10",NA,"2022/09/21 05:10:00",NA,"2022-09-20 21:10:00","64 00.23",64.0038333333333,"163 53.97",-163.8995,"1","3"
"E1614.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022","9/21/2022","9/21/2022","9:17",NA,NA,2,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","DB02-3",33,"64˚ 40.40' N","168˚ 13.10' W",1000,"Shannon Brown",NA,"9/21/2022 9:17",NA,"2022/09/21 09:17:00",NA,"2022-09-21 01:17:00","64 40.40",64.6733333333333,"168 13.10",-168.218333333333,"2","1"
"E1615.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022","9/21/2022","9/21/2022","9:17",NA,NA,2,2,"Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","DB02-3",20,"64˚ 40.40' N","168˚ 13.10' W",1000,"Shannon Brown",NA,"9/21/2022 9:17",NA,"2022/09/21 09:17:00",NA,"2022-09-21 01:17:00","64 40.40",64.6733333333333,"168 13.10",-168.218333333333,"2","2"
"E1616.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022","9/21/2022","9/21/2022","9:17",NA,NA,2,3,"Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","DB02-3",10,"64˚ 40.40' N","168˚ 13.10' W",1000,"Shannon Brown",NA,"9/21/2022 9:17",NA,"2022/09/21 09:17:00",NA,"2022-09-21 01:17:00","64 40.40",64.6733333333333,"168 13.10",-168.218333333333,"2","3"
"E1617.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022","9/21/2022","9/21/2022","12:00",NA,NA,3,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","DB02-2",41,"64˚ 40.75' N","169˚ 06.00' W",1000,"Shannon Brown",NA,"9/21/2022 12:00",NA,"2022/09/21 12:00:00",NA,"2022-09-21 04:00:00","64 40.75",64.6791666666667,"169 06.00",-169.1,"3","1"
"E1618.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022","9/21/2022","9/21/2022","12:00",NA,NA,3,2,"Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","DB02-2",30,"64˚ 40.75' N","169˚ 06.00' W",1000,"Shannon Brown",NA,"9/21/2022 12:00",NA,"2022/09/21 12:00:00",NA,"2022-09-21 04:00:00","64 40.75",64.6791666666667,"169 06.00",-169.1,"3","2"
"E1619.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022","9/21/2022","9/21/2022","12:00",NA,NA,3,5,"Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","DB02-2",10,"64˚ 40.75' N","169˚ 06.00' W",1000,"Shannon Brown",NA,"9/21/2022 12:00",NA,"2022/09/21 12:00:00",NA,"2022-09-21 04:00:00","64 40.75",64.6791666666667,"169 06.00",-169.1,"3","5"
"E1620.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022","9/21/2022","9/21/2022","14:05",NA,NA,4,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","Beiring Sea","DB02-5",43,"64˚ 08.78' N","169˚ 08.78' W",1000,"Shannon Brown",NA,"9/21/2022 14:05",NA,"2022/09/21 14:05:00",NA,"2022-09-21 06:05:00","64 08.78",64.1463333333333,"169 08.78",-169.146333333333,"4","1"
