time (UTC),pressure,latitude (degrees_north),longitude (degrees_east),BTLID,salinity_ch1 (PSU),salinity_ch2 (PSU),sigma_t_ch1 (kg m-3),sigma_t_ch2 (kg m-3),chlor_fluorescence (ugrams/l),par (umol m-2 s-1),temperature_ch1 (degree_C),oxy_percentsat_ch1 (percent),oxy_percentsat_ch2 (percent),oxy_conc_ch1 (umol/kg),oxy_conc_ch2 (umol/kg),temperature_ch2 (degree_C),Water_Depth (dbar),air_pressure_at_sealevel (mbar),wind_direction (degrees),wind_speed (m s-1),air_temperature (degree_C),Station_Name,profile_id,SI (uM/l),PO4 (uM/l),NO2 (uM/l),NO3 (uM/l),NH4 (uM/l),PO4_WOCE_FLAG,SI_WOCE_FLAG,NO3_WOCE_FLAG,NO2_WOCE_FLAG,NH4_WOCE_FLAG
2022-05-11T13:59:00Z,1,56.863167,-164.03183,NaN,32.1281,32.1272,25.613096,25.612469,8.541,NaN,2.7589,127.17775,126.688126,421.76816,420.15875,2.7578,72,1027,275,14,NaN,70MC,dy2206c001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-11T13:59:00Z,2,56.863167,-164.03183,NaN,32.1281,32.1272,25.613096,25.612469,8.541,NaN,2.7589,127.17775,126.688126,421.76816,420.15875,2.7578,72,1027,275,14,NaN,70MC,dy2206c001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-11T13:59:00Z,3,56.863167,-164.03183,NaN,32.1281,32.1272,25.613096,25.612469,8.541,NaN,2.7589,127.17775,126.688126,421.76816,420.15875,2.7578,72,1027,275,14,NaN,70MC,dy2206c001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-11T13:59:00Z,4,56.863167,-164.03183,NaN,32.1281,32.1272,25.613096,25.612469,8.541,NaN,2.7589,127.17775,126.688126,421.76816,420.15875,2.7578,72,1027,275,14,NaN,70MC,dy2206c001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-11T13:59:00Z,5,56.863167,-164.03183,NaN,32.1281,32.1272,25.613096,25.612469,8.541,0.66307,2.7589,127.17776,126.688126,421.76816,420.15875,2.7578,72,1027,275,14,NaN,70MC,dy2206c001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-11T13:59:00Z,6,56.863167,-164.03183,NaN,32.1276,32.1272,25.612705,25.61237,7.9636,0.52841,2.7588,127.24455,126.81988,421.99237,420.58316,2.759,72,1027,275,14,NaN,70MC,dy2206c001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-11T13:59:00Z,7,56.863167,-164.03183,NaN,32.1273,32.127,25.612255,25.612047,8.6323,0.40275,2.7614,127.39546,126.87791,422.4665,420.75534,2.761,72,1027,275,14,NaN,70MC,dy2206c001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-11T13:59:00Z,8,56.863167,-164.03183,NaN,32.1271,32.1268,25.61212,25.611912,8.1528,0.35811,2.7611,127.23178,126.890656,421.9275,420.8014,2.7607,72,1027,275,14,NaN,70MC,dy2206c001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-11T13:59:00Z,9,56.863167,-164.03183,NaN,32.1275,32.1276,25.612423,25.61251,8.3074,0.30927,2.7613,127.31479,126.936775,422.19937,420.94653,2.7612,72,1027,275,14,NaN,70MC,dy2206c001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-11T13:59:00Z,10,56.863167,-164.03183,6,32.1351,32.1348,25.61791,25.617687,8.2734,0.28311,2.7684,127.12046,126.72215,421.4562,420.13873,2.7682,72,1027,275,14,NaN,70MC,dy2206c001,5.2,0.528,0.08,1.7,0.12,2,2,2,2,2
