"Sample_Name","Biological_Replicate","Technical_Replicate","Negative_control","Cruise_ID_short","Cruise_ID_long","Cast_No.","Rosette_position","Field_collection_method","Preservation","Station","Depth_m_notes","Sample_volume_ml","Personnel_responsible_for_Collecting_Sample","Field_Notes","Date_UTC_notes","Lat_notes","Lon_notes","Date_UTC_btl","btl_Bottle","btl_Density00","btl_Potemp090C","btl_OxsolMm.Kg","btl_OxsatMm.Kg","btl_OxsolML.L","btl_OxsolMg.L","btl_OxsatML.L","btl_OxsatMg.L","btl_Latitude","btl_Longitude","btl_SfdSM","btl_PrDM","btl_DepSM","btl_T090C","btl_Sal00","btl_Density00.1","btl_Sigma.é00","btl_Potemp090C.1","btl_Sbeox0PS","btl_CStarTr0","btl_FlECO.AFL","btl_Ph","btl_Sbeox0ML.L","btl_Sbeox0Mg.L","btl_Sbox0Mm.Kg","btl_Sbeox0Mm.L","btl_Scan","btl_Latitude_sdev","btl_Longitude_sdev","btl_SfdSM_sdev","btl_PrDM_sdev","btl_DepSM_sdev","btl_T090C_sdev","btl_Sal00_sdev","btl_Density00.1_sdev","btl_Sigma.é00_sdev","btl_Potemp090C.1_sdev","btl_Sbeox0PS_sdev","btl_CStarTr0_sdev","btl_FlECO.AFL_sdev","btl_Ph_sdev","btl_Sbeox0ML.L_sdev","btl_Sbeox0Mg.L_sdev","btl_Sbox0Mm.Kg_sdev","btl_Sbeox0Mm.L_sdev","btl_Scan_sdev","btl_time","btl_Cast","btl2_EXPOCODE","btl2_Cruise","btl2_Station","btl2_Section_ID","btl2_Station_ID","btl2_Cast_number","btl2_Rosette_position","btl2_Niskin_ID","btl2_Niskin_flag","btl2_Sample_ID","btl2_Date.and.Time..UTC.","btl2_Year_UTC","btl2_Month_UTC","btl2_Day_UTC","btl2_Time_UTC","btl2_Latitude","btl2_Longitude","btl2_Depth_bottom","btl2_CTDPRES","btl2_CTDTEMP_ITS90","btl2_CTDTEMP_flag","btl2_CTDSAL_PSS78","btl2_CTDSAL_flag","btl2_CTDOXY","btl2_CTDOXY_flag","btl2_Oxygen","btl2_OXYGEN_flag","btl2_DIC.umol.kg.1","btl2_DIC_flag","btl2_TA.umol.kg.1","btl2_TA_flag","btl2_Silicate.umol.kg.1","btl2_Silicate_flag","btl2_Phosphate.umol.kg.1","btl2_Phosphate_flag","btl2_Nitrate.umol.kg.1","btl2_Nitrate_flag","btl2_Nitrite.umol.kg.1","btl2_Nitrite_flag","btl2_Ammonium.umol.kg.1","btl2_Ammonium_flag","btl2_d18O.permil","btl2_d18O_Flag","btl2_X.H....nmol.KgSW.","btl2_pCO2..uatm.","btl2_Omega.C","btl2_Omega.A","btl2_SBE.18.pH..BA.","btl2_SBE43.O2..BA..umol.kg.1"
"E1451.NC.RC0083",NA,NA,TRUE,"RC_GOA_2022","RC Alaska OA Cruise 2022",NA,NA,"Sterivex 0.22µm filter","95% EtOH",NA,NA,"1000","Kesten Bozinovic","","0022/08/12 00:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1452.RC0083",1,1,FALSE,"RC_GOA_2022","RC Alaska OA Cruise 2022",1,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","DE1",113.4,"1000","Kesten Bozinovic","","0022/08/12 03:46:00",54.68,-132.85512,"2022/08/11 20:52:45",1,1026.4637,6.6613,299.91367,300.34923,6.88967,9.84603,6.89968,9.86033,54.68398,-132.85512,121.461,114.507,113.446,6.6713,33.0629,1026.4637,25.938,6.6613,42.555,104.1921,-0.0125,7.757,2.9319,4.19,127.629,130.939,9230,0,0,0.082,0.23,0.227,0.0167,0.0108,0.0114,0.0107,0.0167,0.159,0.0535,0.0145,0.001,0.0116,0.0166,0.506,0.52,14,"2022/08/11 20:52:45",1,"32RC20220812","RC0083","DE1","DE",1,1,1,1,2,10101,"8/11/22 20:52",2022,8,11,"20:52:45",54.684,-132.8551,125,114.51,6.6713,2,33.0629,2,127.63,2,141.93,2,2154.35,2,2209.82,2,47.74,2,2.03,2,27.19,2,0.09,2,0.5,2,NA,9,17.7,794.18,1.41,0.89,7.697,132.23
"E1453.RC0083",1,1,FALSE,"RC_GOA_2022","RC Alaska OA Cruise 2022",1,3,"Niskin; Sterivex 0.22µm filter","95% EtOH","DE1",25.2,"0","Kesten Bozinovic","Filter locked, sample wasn't processed","0022/08/12 03:46:00",54.68,-132.85376,"2022/08/11 20:58:35",3,1023.7081,10.731,278.45991,278.48819,6.38221,9.12082,6.38286,9.12175,54.68499,-132.85376,103.484,25.419,25.189,10.7339,30.8516,1023.708,23.5932,10.731,78.004,94.7922,1.732,8.065,4.9784,7.1146,217.211,222.336,17635,1e-5,2e-5,28.345,0.227,0.225,0.0071,0.0169,0.0137,0.0129,0.0071,0.048,0.0272,0.0676,0.002,0.003,0.0042,0.128,0.133,14,"2022/08/11 20:58:35",1,"32RC20220812","RC0083","DE1","DE",1,1,3,3,2,10103,"8/11/22 20:58",2022,8,11,"20:58:35",54.685,-132.8538,125,25.42,10.7339,2,30.8516,2,217.21,2,NA,9,1976.36,2,2089.62,2,23.54,2,1.11,2,11.51,2,0.12,2,0.18,2,NA,9,12.1,516.78,2.14,1.35,7.923,220.91
"E1454.RC0083",1,1,FALSE,"RC_GOA_2022","RC Alaska OA Cruise 2022",1,5,"Niskin; Sterivex 0.22µm filter","95% EtOH","DE1",3.4,"1000","Kesten Bozinovic","","0022/08/12 03:46:00",54.69,-132.85325,"2022/08/11 21:00:58",5,1021.4065,14.0561,263.58305,263.37633,6.02824,8.61496,6.02352,8.60821,54.68524,-132.85325,84.8,3.468,3.437,14.0566,28.8009,1021.4065,21.391,14.0561,104.419,74.9867,3.3048,8.247,6.2946,8.9957,275.231,281.119,21071,0,1e-5,34.482,0.169,0.168,0.0143,0.0043,0.0056,0.0061,0.0142,0.112,0.0608,0.0231,0.001,0.0076,0.0109,0.333,0.341,14,"2022/08/11 21:00:58",1,"32RC20220812","RC0083","DE1","DE",1,1,5,5,2,10105,"8/11/22 21:00",2022,8,11,"21:00:58",54.6852,-132.8533,125,3.47,14.0566,2,28.8009,2,275.23,2,NA,9,1793.9,2,1961.13,2,10.97,2,0.37,2,1.72,2,0.04,2,0.08,2,NA,9,8.6,340.64,2.93,1.85,8.054,278.35
"E1455.RC0083",1,1,FALSE,"RC_GOA_2022","RC Alaska OA Cruise 2022",4,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","DE4",342.3,"1000","Kesten Bozinovic","","0022/08/12 07:22:00",54.66,-133.27985,"2022/08/12 00:34:25",1,1028.3248,5.321,307.47175,308.08165,7.06877,10.10198,7.08279,10.12202,54.66146,-133.27985,351.462,345.711,342.318,5.3487,33.8577,1028.3248,26.7325,5.321,24.292,101.217,-0.0723,7.688,1.7171,2.454,74.691,76.688,17250,0,1e-5,0.211,0.354,0.35,1e-4,2e-4,0.0016,2e-4,2e-4,0.025,0.1374,0.0147,0,0.0017,0.0025,0.076,0.078,14,"2022/08/12 00:34:25",4,"32RC20220812","RC0083","DE4","DE",4,4,1,1,2,40401,"8/12/22 0:34",2022,8,12,"0:34:25",54.6615,-133.2799,345,345.71,5.3487,2,33.8577,2,74.69,2,80.26,2,2266.4,2,2293.26,2,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,21.7,987.55,1.13,0.72,7.648,79.82
"E1456.RC0083",1,1,FALSE,"RC_GOA_2022","RC Alaska OA Cruise 2022",4,5,"Niskin; Sterivex 0.22µm filter","95% EtOH","DE4",100.7,"1000","Kesten Bozinovic","","0022/08/12 07:22:00",54.66,-133.27544,"2022/08/12 00:44:10",5,1026.0419,7.0906,297.82879,298.20984,6.83937,9.77414,6.84812,9.78664,54.66112,-133.27544,199.308,101.613,100.675,7.0998,32.6758,1026.0419,25.5761,7.0907,60.542,106.2115,-0.0298,7.943,4.1407,5.9175,180.313,184.924,31283,0,1e-5,0.137,0.138,0.137,3e-4,3e-4,6e-4,3e-4,3e-4,0.064,0.0141,0,0.001,0.0044,0.0063,0.191,0.196,14,"2022/08/12 00:44:10",4,"32RC20220812","RC0083","DE4","DE",4,4,5,5,2,40405,"8/12/22 0:44",2022,8,12,"0:44:10",54.6611,-133.2754,345,101.61,7.0998,2,32.6758,2,180.31,2,NA,9,2132.8,2,2203.24,2,29.43,2,1.6,2,17.06,2,0,2,0.09,2,NA,9,15.8,702.79,1.59,1,7.838,184.38
"E1457.RC0083",1,1,FALSE,"RC_GOA_2022","RC Alaska OA Cruise 2022",4,10,"Niskin; Sterivex 0.22µm filter","95% EtOH","DE4",2.8,"1000","Kesten Bozinovic","","0022/08/12 07:22:00",54.66,-133.27171,"2022/08/12 00:50:25",10,1023.5767,12.6224,266.83537,266.73798,6.11561,8.73982,6.11338,8.73663,54.6606,-133.27171,63.81,2.819,2.794,12.6228,31.2528,1023.5767,23.5641,12.6224,102.27,87.9295,2.7941,8.244,6.2544,8.9382,272.893,279.323,40271,0,1e-5,40.664,0.409,0.406,0.0204,0.0013,0.0028,0.0045,0.0203,0.2,0.4505,0.1738,0,0.0097,0.0138,0.424,0.432,14,"2022/08/12 00:50:25",4,"32RC20220812","RC0083","DE4","DE",4,4,10,10,2,40410,"8/12/22 0:50",2022,8,12,"0:50:25",54.6606,-133.2717,345,2.82,12.6228,2,31.2528,2,272.89,2,NA,9,1942.36,2,2134.12,2,12.31,2,0.71,2,4.1,2,0.1,2,0.08,2,NA,9,8.2,341.12,3.31,2.1,8.058,276.04
"E1458.RC0083",1,1,FALSE,"RC_GOA_2022","RC Alaska OA Cruise 2022",6,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","DE6",241.6,"1000","Kesten Bozinovic","","0022/08/12 11:05:00",54.63,-133.77878,"2022/08/12 04:15:07",1,1027.8197,5.4352,306.77411,307.37007,7.05248,10.07869,7.06618,10.09827,54.63394,-133.77878,251.439,243.937,241.603,5.4547,33.828,1027.8197,26.6955,5.4352,26.326,104.9666,-0.0579,7.697,1.8566,2.6533,80.76,82.916,14329,0,1e-5,0.141,0.231,0.229,2e-4,3e-4,0.001,2e-4,2e-4,0.014,0.0338,0.0059,0,0.001,0.0015,0.044,0.045,14,"2022/08/12 04:15:07",6,"32RC20220812","RC0083","DE6","DE",6,6,1,1,2,60601,"8/12/22 4:15",2022,8,12,"4:15:07",54.6339,-133.7788,247,243.94,5.4547,2,33.828,2,80.76,2,NA,9,2221.14,2,2291.2,2,67.13,2,2.68,2,35.76,2,0.01,2,0.02,2,NA,9,15.9,715.53,1.54,0.97,7.654,85.83
"E1459.RC0083",1,1,FALSE,"RC_GOA_2022","RC Alaska OA Cruise 2022",6,5,"Niskin; Sterivex 0.22µm filter","95% EtOH","DE6",76.7,"1000","Kesten Bozinovic","","0022/08/12 11:05:00",54.63,-133.77932,"2022/08/12 04:22:52",5,1025.6943,7.6311,294.64845,294.97041,6.76477,9.66754,6.77217,9.6781,54.63319,-133.77932,175.372,77.449,76.739,7.6383,32.4702,1025.6943,25.34,7.6311,67.269,106.0791,-0.0041,7.993,4.5506,6.5033,198.207,203.23,25495,1e-5,0,0.115,0.117,0.116,0.0026,0.0024,0.0024,0.0023,0.0026,0.33,0.0125,0.0097,0,0.0222,0.0317,0.968,0.992,14,"2022/08/12 04:22:52",6,"32RC20220812","RC0083","DE6","DE",6,6,5,5,2,60605,"8/12/22 4:22",2022,8,12,"4:22:52",54.6332,-133.7793,247,77.45,7.6383,2,32.4702,2,198.21,2,NA,9,NA,3,NA,3,26.23,2,1.49,2,16.87,2,0,2,0.05,2,NA,9,NA,NA,NA,NA,7.875,202.1
"E1460.RC0083",1,1,FALSE,"RC_GOA_2022","RC Alaska OA Cruise 2022",6,9,"Niskin; Sterivex 0.22µm filter","95% EtOH","DE6",3,"1000","Kesten Bozinovic","","0022/08/12 11:05:00",54.63,-133.77968,"2022/08/12 04:28:10",9,1023.3363,13.808,260.45477,260.28449,5.96797,8.52882,5.96406,8.52324,54.6329,-133.77968,7.587,2.995,2.968,13.8084,31.2411,1023.3363,23.323,13.808,104.198,90.5181,3.0459,8.314,6.2185,8.8868,271.388,277.718,33137,0,1e-5,8.816,0.44,0.436,2e-4,2e-4,0.0019,2e-4,2e-4,0.043,0.0136,0.1369,0.001,0.0026,0.0037,0.112,0.114,14,"2022/08/12 04:28:10",6,"32RC20220812","RC0083","DE6","DE",6,6,9,9,2,60609,"8/12/22 4:28",2022,8,12,"4:28:10",54.6329,-133.7797,247,3,13.8084,2,31.2411,2,271.39,2,284.85,2,1904.48,2,2121.56,2,6.64,2,0.37,2,0.39,2,0,2,0.06,2,-1.31,2,7.4,303.83,3.7,2.35,8.11,274.55
