Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Collection_Time_local,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area.within.region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes
E1451.NC.RC0083,NA,NA,TRUE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/12/22,8/11/22,NA,NA,NA,NA,NA,Sterivex 0.22µm filter,95% EtOH,,NA,NA,NA,NA,1000,Kesten Bozinovic,
E1452.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/12/22,8/11/22,3:46,20:52,NA,1,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,DE1,113.4,54.68,-132.85512,1000,Kesten Bozinovic,
E1453.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/12/22,8/11/22,3:46,20:58,NA,1,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,DE1,25.2,54.68,-132.85376,0,Kesten Bozinovic,"Filter locked, sample wasn't processed"
E1454.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/12/22,8/11/22,3:46,21:00,NA,1,5,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,DE1,3.4,54.69,-132.85325,1000,Kesten Bozinovic,
E1455.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/12/22,8/12/22,7:22,0:34,NA,4,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,DE4,342.3,54.66,-133.27985,1000,Kesten Bozinovic,
E1456.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/12/22,8/12/22,7:22,0:44,NA,4,5,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,DE4,100.7,54.66,-133.27544,1000,Kesten Bozinovic,
E1457.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/12/22,8/12/22,7:22,0:50,NA,4,10,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,DE4,2.8,54.66,-133.27171,1000,Kesten Bozinovic,
E1458.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/12/22,8/12/22,11:05,4:15,NA,6,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,DE6,241.6,54.63,-133.77878,1000,Kesten Bozinovic,
E1459.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/12/22,8/12/22,11:05,4:22,NA,6,5,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,DE6,76.7,54.63,-133.77932,1000,Kesten Bozinovic,
E1460.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/12/22,8/12/22,11:05,4:28,NA,6,9,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,DE6,3,54.63,-133.77968,1000,Kesten Bozinovic,
E1461.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/12/22,8/12/22,15:42,8:55,NA,8,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,DE8,500.4,54.57,-134.74624,1000,Kesten Bozinovic,
E1462.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/12/22,8/12/22,15:42,9:12,NA,8,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,DE8,50.1,54.57,-134.74746,1000,Kesten Bozinovic,
E1463.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/12/22,8/12/22,15:42,9:17,NA,8,10,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,DE8,4,54.57,-134.74826,1000,Kesten Bozinovic,
E1464.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/12/22,8/12/22,22:34,16:02,NA,9,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,POW8,1029.7,55.22,-135.35132,1000,Kesten Bozinovic,
E1465.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/12/22,8/12/22,22:34,16:26,NA,9,5,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,POW8,250.9,55.22,-135.35244,1000,Kesten Bozinovic,
E1466.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/12/22,8/12/22,22:34,16:38,NA,9,12,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,POW8,2.9,55.22,-135.35376,1000,Kesten Bozinovic,
E1467.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/13/22,8/12/22,5:59,23:04,NA,13,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,POW4,166.6,55.73,-134.4723,1000,Kesten Bozinovic,
E1468.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/13/22,8/12/22,5:59,23:10,NA,13,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,POW4,25.8,55.73,-134.47225,1000,Kesten Bozinovic,
E1469.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/13/22,8/12/22,5:59,23:12,NA,13,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,POW4,3.7,55.74,-134.47222,1000,Kesten Bozinovic,
E1470.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/13/22,8/13/22,15:43,9:00,NA,17,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,CS2,476.8,56.18,-134.40468,1000,Kesten Bozinovic,
E1471.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/13/22,8/13/22,15:43,9:11,NA,17,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,CS2,150.3,56.18,-134.40536,1000,Kesten Bozinovic,
E1472.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/13/22,8/13/22,15:43,9:20,NA,17,9,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,CS2,3.1,56.17,-134.40714,1000,Kesten Bozinovic,
E1473.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/13/22,8/13/22,19:18,12:28,NA,20,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,CS5,351,56.19,-134.62034,1000,Kesten Bozinovic,
E1474.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/13/22,8/13/22,19:18,12:37,NA,20,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,CS5,100.5,56.19,-134.62096,1000,Kesten Bozinovic,
E1475.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/13/22,8/13/22,19:18,12:44,NA,20,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,CS5,3.7,56.19,-134.6224,1000,Kesten Bozinovic,
