"Sample_Name","Biological_Replicate","Technical_Replicate","Negative_control","Cruise_ID_short","Cruise_ID_long","Cast_No.","Rosette_position","Field_collection_method","Preservation","Station","Depth_m_notes","Sample_volume_ml","Personnel_responsible_for_Collecting_Sample","Field_Notes","Date_UTC_notes","Lat_notes","Lon_notes","verbatimEventDate","verbatimEventTime","verbatimLongitude","verbatimLatitude","verbatimCoordinateSystem","Date_UTC_btl","btl_bottle","btl_oxy_concM_ch1..ml.l.","btl_oxy_percentsat_ch1..percent.","btl_oxy_conc_ch1..micromole.kg.","btl_salinity_ch1..PSU.","btl_salinity_ch2..PSU.","btl_sigma_t_ch1","btl_sigma_t_ch2","btl_chlor_fluorescence..ugrams.l.","btl_temperature_ch1..degree_C.","btl_temperature_ch2..degree_C.","btl_turbidity..NTU.","btl_pressure..decibar.","btl_latitude..degrees_north.","btl_longitude..degrees_east.","btl_time..UTC.","btl_profile_id","btl_holder1","btl_Cast"
"E1717.NC.DY2306",NA,NA,TRUE,"DY2306","EcoFOCI Spring Mooring",NA,NA,"Sterivex 0.22µm filter","95% EtOH",NA,NA,1000,"Shannon Brown","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1718.DY2306",1,1,FALSE,"DY2306","EcoFOCI Spring Mooring",4,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","UBS2",133,1000,"Shannon Brown","Lost the 10 m sample as the Niskin didn't close","2023/04/24 08:51:00",54.4225,-165.147666666667,"4/24/2023","8:51","165°08.86' W","54°25.35' N","degrees minutes seconds","2023/04/24 08:51:00",1,7.3127,99.448,318.349,32.5947,32.5971,25.8677,25.8695,0.3252,4.0554,4.0554,0.4115,135.51,54.40583333333333,-165.14766666666668,"2023-04-24T08:51:00Z","DY2306c004_btl","004_btl",4
"E1719.DY2306",1,1,FALSE,"DY2306","EcoFOCI Spring Mooring",4,7,"Niskin; Sterivex 0.22µm filter","95% EtOH","UBS2",30,1000,"Shannon Brown","Lost the 10 m sample as the Niskin didn't close","2023/04/24 08:51:00",54.4225,-165.147666666667,"4/24/2023","8:51","165°08.86' W","54°25.35' N","degrees minutes seconds","2023/04/24 08:51:00",7,8.338,112.965,363.146,32.0308,32.0351,25.4193,25.4227,1.9902,4.0567,4.0572,0.3467,29.952,54.40583333333333,-165.14766666666668,"2023-04-24T08:51:00Z","DY2306c004_btl","004_btl",4
"E1720.DY2306",1,1,FALSE,"DY2306","EcoFOCI Spring Mooring",7,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","UBW1",467,1000,"Shannon Brown","","2023/04/24 14:44:00",54.3601666666667,-165.931666666667,"4/24/2023","14:44","165°55.90' W","54°21.61' N","degrees minutes seconds","2023/04/24 14:44:00",1,2.7831,38.216,121.062,33.6372,33.638,26.6853,26.6856,0.0277,4.1642,4.1679,0.0811,471.772,54.360166666666665,-165.93166666666667,"2023-04-24T14:44:00Z","DY2306c007_btl","007_btl",7
"E1721.DY2306",1,1,FALSE,"DY2306","EcoFOCI Spring Mooring",7,8,"Niskin; Sterivex 0.22µm filter","95% EtOH","UBW1",30,1000,"Shannon Brown","","2023/04/24 14:44:00",54.3601666666667,-165.931666666667,"4/24/2023","14:44","165°55.90' W","54°21.61' N","degrees minutes seconds","2023/04/24 14:44:00",8,8.5335,115.319,371.546,32.393,32.3962,25.7271,25.7296,1.078,3.8519,3.8524,0.1718,30.392,54.360166666666665,-165.93166666666667,"2023-04-24T14:44:00Z","DY2306c007_btl","007_btl",7
"E1722.DY2306",1,1,FALSE,"DY2306","EcoFOCI Spring Mooring",7,10,"Niskin; Sterivex 0.22µm filter","95% EtOH","UBW1",10,1000,"Shannon Brown","","2023/04/24 14:44:00",54.3601666666667,-165.931666666667,"4/24/2023","14:44","165°55.90' W","54°21.61' N","degrees minutes seconds","2023/04/24 14:44:00",10,9.4735,129.471,412.515,32.3231,32.3262,25.6238,25.6264,6.1454,4.3348,4.3338,0.5047,10.404,54.360166666666665,-165.93166666666667,"2023-04-24T14:44:00Z","DY2306c007_btl","007_btl",7
"E1723.DY2306",1,1,FALSE,"DY2306","EcoFOCI Spring Mooring",10,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","UBW4",287,1000,"Shannon Brown","Stored in fridge for ~2 hours before filtering","2023/04/24 22:34:00",54.6868333333333,-166.230166666667,"4/24/2023","22:34","166°13.81' W","54°41.21' N","degrees minutes seconds","2023/04/24 22:34:00",1,3.5711,49.134,155.359,33.4956,33.4983,26.5602,26.5623,0.0214,4.2859,4.286,0.2261,290.247,54.68683333333333,-166.23016666666666,"2023-04-24T22:34:00Z","DY2306c010_btl","010_btl",10
"E1724.DY2306",1,1,FALSE,"DY2306","EcoFOCI Spring Mooring",10,7,"Niskin; Sterivex 0.22µm filter","95% EtOH","UBW4",40,1000,"Shannon Brown","Stored in fridge for ~2 hours before filtering","2023/04/24 22:34:00",54.6868333333333,-166.230166666667,"4/24/2023","22:34","166°13.81' W","54°41.21' N","degrees minutes seconds","2023/04/24 22:34:00",7,8.7377,119.105,380.475,32.3151,32.3154,25.6281,25.6276,3.2748,4.2294,4.2365,0.3193,30.162,54.68683333333333,-166.23016666666666,"2023-04-24T22:34:00Z","DY2306c010_btl","010_btl",10
"E1725.DY2306",1,1,FALSE,"DY2306","EcoFOCI Spring Mooring",10,9,"Niskin; Sterivex 0.22µm filter","95% EtOH","UBW4",10,1000,"Shannon Brown","Stored in fridge for ~2 hours before filtering","2023/04/24 22:34:00",54.6868333333333,-166.230166666667,"4/24/2023","22:34","166°13.81' W","54°41.21' N","degrees minutes seconds","2023/04/24 22:34:00",9,8.7155,118.883,379.513,32.3039,32.3069,25.6161,25.6184,2.7084,4.2603,4.2609,0.3253,10.924,54.68683333333333,-166.23016666666666,"2023-04-24T22:34:00Z","DY2306c010_btl","010_btl",10
"E1726.DY2306",1,1,FALSE,"DY2306","EcoFOCI Spring Mooring",14,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","UBN4",121,1000,"Shannon Brown","","2023/04/25 06:00:00",54.9351666666667,-165.4825,"4/25/2023","6:00","165°28.95' W","54°56.11' N","degrees minutes seconds","2023/04/25 06:00:00",1,6.7217,91.765,292.561,32.8681,32.8715,26.0766,26.0793,0.0852,4.1388,4.139,0.2496,122.003,54.93516666666667,-165.4825,"2023-04-25T06:00:00Z","DY2306c014_btl","014_btl",14
