Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Collection_Time_local,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area.within.region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes
E1717.NC.DY2306,NA,NA,TRUE,DY2306,EcoFOCI Spring Mooring,NA,NA,NA,NA,NA,NA,NA,Sterivex 0.22µm filter,95% EtOH,NA,NA,NA,NA,NA,1000,Shannon Brown,
E1718.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/24/2023,NA,8:51,NA,NA,4,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBS2,133,54°25.35' N,165°08.86' W,1000,Shannon Brown,Lost the 10 m sample as the Niskin didn't close
E1719.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/24/2023,NA,8:51,NA,NA,4,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBS2,30,54°25.35' N,165°08.86' W,1000,Shannon Brown,Lost the 10 m sample as the Niskin didn't close
E1720.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/24/2023,NA,14:44,NA,NA,7,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBW1,467,54°21.61' N,165°55.90' W,1000,Shannon Brown,
E1721.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/24/2023,NA,14:44,NA,NA,7,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBW1,30,54°21.61' N,165°55.90' W,1000,Shannon Brown,
E1722.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/24/2023,NA,14:44,NA,NA,7,10,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBW1,10,54°21.61' N,165°55.90' W,1000,Shannon Brown,
E1723.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/24/2023,NA,22:34,NA,NA,10,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBW4,287,54°41.21' N,166°13.81' W,1000,Shannon Brown,Stored in fridge for ~2 hours before filtering
E1724.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/24/2023,NA,22:34,NA,NA,10,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBW4,40,54°41.21' N,166°13.81' W,1000,Shannon Brown,Stored in fridge for ~2 hours before filtering
E1725.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/24/2023,NA,22:34,NA,NA,10,9,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBW4,10,54°41.21' N,166°13.81' W,1000,Shannon Brown,Stored in fridge for ~2 hours before filtering
E1726.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/25/2023,NA,6:00,NA,NA,14,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBN4,121,54°56.11' N,165°28.95' W,1000,Shannon Brown,
E1727.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/25/2023,NA,6:00,NA,NA,14,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBN4,30,54°56.11' N,165°28.95' W,1000,Shannon Brown,
E1728.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/25/2023,NA,6:00,NA,NA,14,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBN4,10,54°56.11' N,165°28.95' W,1000,Shannon Brown,
E1729.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/25/2023,NA,8:41,NA,NA,16,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBN6,110,55°02.85' N,165°05.82' W,800,Shannon Brown,Airlocked (smaller volume filtered)
E1730.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/25/2023,NA,8:41,NA,NA,16,5,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBN6,30,55°02.85' N,165°05.82' W,1000,Shannon Brown,
E1731.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/25/2023,NA,8:41,NA,NA,16,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBN6,10,55°02.85' N,165°05.82' W,1000,Shannon Brown,
E1732.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/25/2023,NA,13:28,NA,NA,19,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBE3,43,54°43.32' N,164°46.47' W,1000,Shannon Brown,
