BOTTLE, ECOFOCI NUTRIENTS,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,STNNBR,SECT_ID,BTLNBR,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDOXY,PAR,SILCAT,SILCAT_FLAG,NITRAT,NITRAT_FLAG,NITRIT,NITRIT_FLAG,PHSPHT,PHSPHT_FLAG,NH4,NH4_FLAG
,,,,,,,,METERS,DBAR,ITS-90,PSS-78,UMOL/KG,,UMOL/L,,UMOL/L,,UMOL/L,,UMOL/L,,UMOL/L,
DY2306,1,Shumagins,1,20240422,633,54.84,-158.98,74,65.42,3.7358,31.8459,382.65,0.0,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999
DY2306,3,UBS1,1,20240423,312,54.44,-164.98,56,52.83,4.0161,31.6185,397.38,0.0,12.2,2,6.6,2,0.17,2,0.785,2,0.51,2
DY2306,3,UBS1,2,20240423,312,54.44,-164.98,56,40.77,4.0135,31.6201,397.33,0.0,12.3,2,6.8,2,0.17,2,0.791,2,0.53,2
DY2306,3,UBS1,3,20240423,312,54.44,-164.98,56,30.26,4.0139,31.6189,397.63,0.0,10.2,2,6.2,2,0.15,2,0.75,2,0.68,2
DY2306,3,UBS1,4,20240423,312,54.44,-164.98,56,19.51,4.0123,31.6194,398.03,0.0,12.1,2,6.7,2,0.16,2,0.8,2,0.52,2
DY2306,3,UBS1,5,20240423,312,54.44,-164.98,56,10.04,4.0164,31.6176,398.09,0.03,11.7,2,6.5,2,0.16,2,0.786,2,0.5,2
DY2306,3,UBS1,7,20240423,312,54.44,-164.98,56,2.1,4.0111,31.6187,377.26,1.59,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999
DY2306,4,UBS2,1,20240423,851,54.41,-165.15,138,135.51,4.0554,32.5947,318.35,0.0,47.8,2,24.1,2,0.2,2,1.983,2,0.37,2
DY2306,4,UBS2,2,20240423,851,54.41,-165.15,138,102.21,4.0461,32.4875,326.74,0.0,44.3,2,22.7,2,0.2,2,1.867,2,0.41,2
DY2306,4,UBS2,3,20240423,851,54.41,-165.15,138,76.25,4.0556,32.0906,356.8,0.0,33.6,2,17.3,2,0.2,2,1.483,2,0.43,2
DY2306,4,UBS2,4,20240423,851,54.41,-165.15,138,49.63,4.0568,32.07,359.29,0.0,31.7,2,16.5,2,0.2,2,1.439,2,0.39,2
DY2306,4,UBS2,5,20240423,851,54.41,-165.15,138,40.87,4.0612,32.0471,362.27,0.0,30.4,2,16.0,2,0.2,2,1.411,2,0.45,2
