"Sample_Name","Biological_Replicate","Technical_Replicate","Negative_control","Cruise_ID_short","Cruise_ID_long","Cast_No.","Rosette_position","Field_collection_method","Preservation","Station","Depth_m_notes","Sample_volume_ml","Personnel_responsible_for_Collecting_Sample","Field_Notes","Date_UTC_notes","Lat_notes","Lon_notes"
"E1820.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler","Event 1",NA,"PPS Unit; Programmed Sampling","95% EtOH","M2",50,1000,"Shannon Brown",NA,"2023-04-30 20:00:00",56.8725,-164.054166666667
"E1821.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler","Event 2",NA,"PPS Unit; Programmed Sampling","95% EtOH","M2",50,1000,"Shannon Brown",NA,"2023-05-05 20:00:00",56.8725,-164.054166666667
"E1822.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler","Event 3",NA,"PPS Unit; Programmed Sampling","95% EtOH","M2",50,1000,"Shannon Brown",NA,"2023-05-10 20:00:00",56.8725,-164.054166666667
"E1823.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler","Event 4",NA,"PPS Unit; Programmed Sampling","95% EtOH","M2",50,1000,"Shannon Brown",NA,"2023-05-15 20:00:00",56.8725,-164.054166666667
"E1824.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler","Event 5",NA,"PPS Unit; Programmed Sampling","95% EtOH","M2",50,1000,"Shannon Brown",NA,"2023-05-20 20:00:00",56.8725,-164.054166666667
"E1825.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler","Event 6",NA,"PPS Unit; Programmed Sampling","95% EtOH","M2",50,1000,"Shannon Brown",NA,"2023-05-25 20:00:00",56.8725,-164.054166666667
"E1826.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler","Event 7",NA,"PPS Unit; Programmed Sampling","95% EtOH","M2",50,1000,"Shannon Brown",NA,"2023-05-30 20:00:00",56.8725,-164.054166666667
"E1827.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler","Event 8",NA,"PPS Unit; Programmed Sampling","95% EtOH","M2",50,1000,"Shannon Brown",NA,"2023-06-04 20:00:00",56.8725,-164.054166666667
"E1828.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler","Event 9",NA,"PPS Unit; Programmed Sampling","95% EtOH","M2",50,1000,"Shannon Brown",NA,"2023-06-09 20:00:00",56.8725,-164.054166666667
"E1829.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler","Event 10",NA,"PPS Unit; Programmed Sampling","95% EtOH","M2",50,1000,"Shannon Brown",NA,"2023-06-14 20:00:00",56.8725,-164.054166666667
"E1830.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler","Event 11",NA,"PPS Unit; Programmed Sampling","95% EtOH","M2",50,1000,"Shannon Brown",NA,"2023-06-19 20:00:00",56.8725,-164.054166666667
"E1831.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler","Event 12",NA,"PPS Unit; Programmed Sampling","95% EtOH","M2",50,1000,"Shannon Brown",NA,"2023-06-24 20:00:00",56.8725,-164.054166666667
"E1832.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler","Event 13",NA,"PPS Unit; Programmed Sampling","95% EtOH","M2",50,1000,"Shannon Brown",NA,"2023-06-29 20:00:00",56.8725,-164.054166666667
"E1833.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler","Event 14",NA,"PPS Unit; Programmed Sampling","95% EtOH","M2",50,1000,"Shannon Brown",NA,"2023-07-04 20:00:00",56.8725,-164.054166666667
"E1834.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler","Event 15",NA,"PPS Unit; Programmed Sampling","95% EtOH","M2",50,1000,"Shannon Brown",NA,"2023-07-09 20:00:00",56.8725,-164.054166666667
"E1835.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler","Event 16",NA,"PPS Unit; Programmed Sampling","95% EtOH","M2",50,1000,"Shannon Brown",NA,"2023-07-14 20:00:00",56.8725,-164.054166666667
"E1836.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler","Event 17",NA,"PPS Unit; Programmed Sampling","95% EtOH","M2",50,1000,"Shannon Brown",NA,"2023-07-19 20:00:00",56.8725,-164.054166666667
"E1837.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler","Event 18",NA,"PPS Unit; Programmed Sampling","95% EtOH","M2",50,1000,"Shannon Brown",NA,"2023-07-24 20:00:00",56.8725,-164.054166666667
"E1838.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler","Event 19",NA,"PPS Unit; Programmed Sampling","95% EtOH","M2",50,1000,"Shannon Brown",NA,"2023-07-29 20:00:00",56.8725,-164.054166666667
"E1839.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler","Event 20",NA,"PPS Unit; Programmed Sampling","95% EtOH","M2",50,1000,"Shannon Brown",NA,"2023-08-03 20:00:00",56.8725,-164.054166666667
"E1840.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler","Event 21",NA,"PPS Unit; Programmed Sampling","95% EtOH","M2",50,1000,"Shannon Brown",NA,"2023-08-08 20:00:00",56.8725,-164.054166666667
"E1841.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler","Event 22",NA,"PPS Unit; Programmed Sampling","95% EtOH","M2",50,1000,"Shannon Brown",NA,"2023-08-13 20:00:00",56.8725,-164.054166666667
"E1842.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler","Event 23",NA,"PPS Unit; Programmed Sampling","95% EtOH","M2",50,1000,"Shannon Brown",NA,"2023-08-18 20:00:00",56.8725,-164.054166666667
