"Sample_Name","Biological_Replicate","Technical_Replicate","Negative_control","Cruise_ID_short","Cruise_ID_long","Collection_Date_UTC","Collection_Date_local","Collection_Time_UTC","Collection_Time_local","Field_Sample_Name","Cast_No.","Rosette_position","Field_collection_method","Preservation","Area.within.region","Station","Depth_m","Lat","Lon","Sample_volume_ml","Personnel_responsible_for_Collecting_Sample","Field_Notes","Combined_date","Combined_date_local","Date_UTC","Date_local_check","Date_local","Lat_fix","Lat_dec","Lon_fix","Lon_dec","Cast","Bottle"
"E1820.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler",NA,"4/30/2023",NA,"12:00","PPS Port 1","Event 1",NA,"PPS Unit; Programmed Sampling","95% EtOH","Beiring Sea","M2",50,"56°52.35' N","164°03.25' W",1000,"Shannon Brown",NA,"4/30/2023 12:00","4/30/2023 12:00","2023-04-30 20:00:00","2020/04/30 00:00:00","2023/04/30 12:00:00","56 52.35",56.8725,"164 03.25",-164.054166666667,1,NA
"E1821.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler",NA,"5/5/2023",NA,"12:00","PPS Port 2","Event 2",NA,"PPS Unit; Programmed Sampling","95% EtOH","Beiring Sea","M2",50,"56°52.35' N","164°03.25' W",1000,"Shannon Brown",NA,"5/5/2023 12:00","5/5/2023 12:00","2023-05-05 20:00:00","2020/05/05 00:00:00","2023/05/05 12:00:00","56 52.35",56.8725,"164 03.25",-164.054166666667,2,NA
"E1822.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler",NA,"5/10/2023",NA,"12:00","PPS Port 3","Event 3",NA,"PPS Unit; Programmed Sampling","95% EtOH","Beiring Sea","M2",50,"56°52.35' N","164°03.25' W",1000,"Shannon Brown",NA,"5/10/2023 12:00","5/10/2023 12:00","2023-05-10 20:00:00","2020/05/10 00:00:00","2023/05/10 12:00:00","56 52.35",56.8725,"164 03.25",-164.054166666667,3,NA
"E1823.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler",NA,"5/15/2023",NA,"12:00","PPS Port 4","Event 4",NA,"PPS Unit; Programmed Sampling","95% EtOH","Beiring Sea","M2",50,"56°52.35' N","164°03.25' W",1000,"Shannon Brown",NA,"5/15/2023 12:00","5/15/2023 12:00","2023-05-15 20:00:00","2020/05/15 00:00:00","2023/05/15 12:00:00","56 52.35",56.8725,"164 03.25",-164.054166666667,4,NA
"E1824.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler",NA,"5/20/2023",NA,"12:00","PPS Port 5","Event 5",NA,"PPS Unit; Programmed Sampling","95% EtOH","Beiring Sea","M2",50,"56°52.35' N","164°03.25' W",1000,"Shannon Brown",NA,"5/20/2023 12:00","5/20/2023 12:00","2023-05-20 20:00:00","2020/05/20 00:00:00","2023/05/20 12:00:00","56 52.35",56.8725,"164 03.25",-164.054166666667,5,NA
"E1825.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler",NA,"5/25/2023",NA,"12:00","PPS Port 6","Event 6",NA,"PPS Unit; Programmed Sampling","95% EtOH","Beiring Sea","M2",50,"56°52.35' N","164°03.25' W",1000,"Shannon Brown",NA,"5/25/2023 12:00","5/25/2023 12:00","2023-05-25 20:00:00","2020/05/25 00:00:00","2023/05/25 12:00:00","56 52.35",56.8725,"164 03.25",-164.054166666667,6,NA
"E1826.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler",NA,"5/30/2023",NA,"12:00","PPS Port 7","Event 7",NA,"PPS Unit; Programmed Sampling","95% EtOH","Beiring Sea","M2",50,"56°52.35' N","164°03.25' W",1000,"Shannon Brown",NA,"5/30/2023 12:00","5/30/2023 12:00","2023-05-30 20:00:00","2020/05/30 00:00:00","2023/05/30 12:00:00","56 52.35",56.8725,"164 03.25",-164.054166666667,7,NA
"E1827.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler",NA,"6/4/2023",NA,"12:00","PPS Port 8","Event 8",NA,"PPS Unit; Programmed Sampling","95% EtOH","Beiring Sea","M2",50,"56°52.35' N","164°03.25' W",1000,"Shannon Brown",NA,"6/4/2023 12:00","6/4/2023 12:00","2023-06-04 20:00:00","2020/06/04 00:00:00","2023/06/04 12:00:00","56 52.35",56.8725,"164 03.25",-164.054166666667,8,NA
"E1828.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler",NA,"6/9/2023",NA,"12:00","PPS Port 9","Event 9",NA,"PPS Unit; Programmed Sampling","95% EtOH","Beiring Sea","M2",50,"56°52.35' N","164°03.25' W",1000,"Shannon Brown",NA,"6/9/2023 12:00","6/9/2023 12:00","2023-06-09 20:00:00","2020/06/09 00:00:00","2023/06/09 12:00:00","56 52.35",56.8725,"164 03.25",-164.054166666667,9,NA
"E1829.DY2306",1,1,FALSE,"DY2306","M2 Automated Sampler",NA,"6/14/2023",NA,"12:00","PPS Port 10","Event 10",NA,"PPS Unit; Programmed Sampling","95% EtOH","Beiring Sea","M2",50,"56°52.35' N","164°03.25' W",1000,"Shannon Brown",NA,"6/14/2023 12:00","6/14/2023 12:00","2023-06-14 20:00:00","2020/06/14 00:00:00","2023/06/14 12:00:00","56 52.35",56.8725,"164 03.25",-164.054166666667,10,NA
