Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Collection_Time_local,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area.within.region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes
E1877.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/14/2023,9/14/2023,13:34,5:34,NA,CTD001,1,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,M8,67.6,62° 11.695' N,174° 40.410' W,1000,Matthew Galaska,
E1878.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/14/2023,9/14/2023,13:44,5:44,NA,CTD001,12,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,M8,30.4,62° 11.695' N,174° 40.410' W,1000,Matthew Galaska,
E1879.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/14/2023,9/14/2023,13:51,5:51,NA,CTD001,18,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,M8,10.3,62° 11.695' N,174° 40.410' W,1000,Matthew Galaska,
E1880.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/15/2023,9/14/2023,5:31,21:31,NA,CTD002,1,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO1.1,74.2,62° 00.602' N,175° 03.599' W,1000,Matthew Galaska,
E1881.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/15/2023,9/14/2023,5:39,21:39,NA,CTD002,10,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO1.1,30.6,62° 00.602' N,175° 03.599' W,1000,Matthew Galaska,
E1882.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/15/2023,9/14/2023,5:46,21:46,NA,CTD002,16,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO1.1,10.5,62° 00.602' N,175° 03.599' W,1000,Matthew Galaska,
E1883.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/15/2023,9/14/2023,8:07,0:07,NA,CTD003,1,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO1.2,75.6,62° 03.024' N,175° 12.681' W,1000,Matthew Galaska,
E1884.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/15/2023,9/14/2023,8:18,0:18,NA,CTD003,12,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO1.2,27.4,62° 03.024' N,175° 12.681' W,1000,Matthew Galaska,
E1885.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/15/2023,9/14/2023,8:24,0:24,NA,CTD003,17,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO1.2,10.2,62° 03.024' N,175° 12.681' W,1000,Matthew Galaska,
E1886.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/15/2023,9/15/2023,22:19,14:19,NA,CTD005,1,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO1.4,66,62° 23.400' N,174° 34.200' W,1000,Matthew Galaska,
E1887.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/15/2023,9/15/2023,22:30,14:30,NA,CTD005,12,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO1.4,24.4,62° 23.400' N,174° 34.200' W,1000,Matthew Galaska,
E1888.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/15/2023,9/15/2023,22:37,14:37,NA,CTD005,21,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO1.4,1.5,62° 23.400' N,174° 34.200' W,1000,Matthew Galaska,
E1889.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/16/2023,9/15/2023,4:54,20:54,NA,CTD007,1,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO1.6,61.2,62° 33.600' N,173° 33.000' W,1000,Matthew Galaska,
E1890.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/16/2023,9/15/2023,5:01,21:01,NA,CTD007,10,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO1.6,30.5,62° 33.600' N,173° 33.000' W,1000,Matthew Galaska,
E1891.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/16/2023,9/15/2023,5:08,21:08,NA,CTD007,18,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO1.6,10.6,62° 33.600' N,173° 33.000' W,1000,Matthew Galaska,
E1892.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/16/2023,9/16/2023,11:01,3:01,NA,CTD009,1,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO1.8,66.6,63° 01.800' N,173° 27.600' W,1000,Matthew Galaska,
E1893.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/16/2023,9/16/2023,11:09,3:09,NA,CTD009,10,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO1.8,30.4,63° 01.800' N,173° 27.600' W,1000,Matthew Galaska,
E1894.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/16/2023,9/16/2023,11:15,3:15,NA,CTD009,17,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO1.8,10.3,63° 01.800' N,173° 27.600' W,1000,Matthew Galaska,
E1895.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/17/2023,9/16/2023,3:50,19:50,NA,CTD012,1,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO2.09,41.4,64° 40.300' N,170° 15.740' W,1000,Matthew Galaska,
E1896.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/17/2023,9/16/2023,3:53,19:53,NA,CTD012,8,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO2.09,30.3,64° 40.300' N,170° 15.740' W,1000,Matthew Galaska,
E1897.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/17/2023,9/16/2023,3:59,19:59,NA,CTD012,15,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO2.09,10.3,64° 40.300' N,170° 15.740' W,1000,Matthew Galaska,
E1898.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/17/2023,9/17/2023,8:38,0:38,NA,CTD014,1,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO2.1,41,64° 40.200' N,169° 55.200' W,1000,Matthew Galaska,
E1899.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/17/2023,9/17/2023,8:41,0:41,NA,CTD014,8,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO2.1,30.7,64° 40.200' N,169° 55.200' W,1000,Matthew Galaska,
E1900.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/17/2023,9/17/2023,8:49,0:49,NA,CTD014,13,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO2.1,10.4,64° 40.200' N,169° 55.200' W,1000,Matthew Galaska,
E1901.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/17/2023,9/17/2023,13:47,5:47,NA,CTD016,1,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO2.2,40,64° 40.800' N,169° 06.000' W,1000,Matthew Galaska,
E1902.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/17/2023,9/17/2023,13:50,5:50,NA,CTD016,5,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO2.2,30.4,64° 40.800' N,169° 06.000' W,1000,Matthew Galaska,
E1903.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/17/2023,9/17/2023,13:56,5:56,NA,CTD016,13,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO2.2,10.8,64° 40.800' N,169° 06.000' W,1000,Matthew Galaska,
E1904.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/17/2023,9/17/2023,19:01,11:01,NA,CTD018,1,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO2.3,33,64° 40.200' N,168° 14.100' W,1000,Matthew Galaska,
E1905.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/17/2023,9/17/2023,19:06,11:06,NA,CTD018,12,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO2.3,10.1,64° 40.200' N,168° 14.100' W,1000,Matthew Galaska,
E1906.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,9/17/2023,9/17/2023,22:36,14:36,NA,CTD019,1,Niskin; Sterivex 0.22µm filter,95% EtOH,NA,DBO2.7,40.6,65° 00.000' N,168° 13.325' W,1000,Matthew Galaska,
