"Sample_Name","Biological_Replicate","Technical_Replicate","Negative_control","Cruise_ID_short","Cruise_ID_long","Collection_Date_UTC","Collection_Date_local","Collection_Time_UTC","Collection_Time_local","Field_Sample_Name","Cast_No.","Rosette_position","Field_collection_method","Preservation","Area.within.region","Station","Depth_m","Lat","Lon","Sample_volume_ml","Personnel_responsible_for_Collecting_Sample","Field_Notes","Combined_date","Combined_date_local","Date_UTC","Date_local_check","Date_local","Lat_fix","Lat_dec","Lon_fix","Lon_dec","Cast","Bottle"
"E1877.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO","9/14/2023","9/14/2023","13:34","5:34",NA,"CTD001",1,"Niskin; Sterivex 0.22µm filter","95% EtOH",NA,"M8",67.6,"62° 11.695' N","174° 40.410' W",1000,"Matthew Galaska",NA,"9/14/2023 13:34","9/14/2023 5:34","2023/09/14 13:34:00","2020/09/14 00:00:00","2023-09-14 05:34:00","62 11.695",62.1949166666667,"174 40.410",-174.6735,"1","1"
"E1878.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO","9/14/2023","9/14/2023","13:44","5:44",NA,"CTD001",12,"Niskin; Sterivex 0.22µm filter","95% EtOH",NA,"M8",30.4,"62° 11.695' N","174° 40.410' W",1000,"Matthew Galaska",NA,"9/14/2023 13:44","9/14/2023 5:44","2023/09/14 13:44:00","2020/09/14 00:00:00","2023-09-14 05:44:00","62 11.695",62.1949166666667,"174 40.410",-174.6735,"1","12"
"E1879.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO","9/14/2023","9/14/2023","13:51","5:51",NA,"CTD001",18,"Niskin; Sterivex 0.22µm filter","95% EtOH",NA,"M8",10.3,"62° 11.695' N","174° 40.410' W",1000,"Matthew Galaska",NA,"9/14/2023 13:51","9/14/2023 5:51","2023/09/14 13:51:00","2020/09/14 00:00:00","2023-09-14 05:51:00","62 11.695",62.1949166666667,"174 40.410",-174.6735,"1","18"
"E1880.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO","9/15/2023","9/14/2023","5:31","21:31",NA,"CTD002",1,"Niskin; Sterivex 0.22µm filter","95% EtOH",NA,"DBO1.1",74.2,"62° 00.602' N","175° 03.599' W",1000,"Matthew Galaska",NA,"9/15/2023 5:31","9/14/2023 21:31","2023/09/15 05:31:00","2020/09/14 00:00:00","2023-09-14 21:31:00","62 00.602",62.0100333333333,"175 03.599",-175.059983333333,"2","1"
"E1881.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO","9/15/2023","9/14/2023","5:39","21:39",NA,"CTD002",10,"Niskin; Sterivex 0.22µm filter","95% EtOH",NA,"DBO1.1",30.6,"62° 00.602' N","175° 03.599' W",1000,"Matthew Galaska",NA,"9/15/2023 5:39","9/14/2023 21:39","2023/09/15 05:39:00","2020/09/14 00:00:00","2023-09-14 21:39:00","62 00.602",62.0100333333333,"175 03.599",-175.059983333333,"2","10"
"E1882.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO","9/15/2023","9/14/2023","5:46","21:46",NA,"CTD002",16,"Niskin; Sterivex 0.22µm filter","95% EtOH",NA,"DBO1.1",10.5,"62° 00.602' N","175° 03.599' W",1000,"Matthew Galaska",NA,"9/15/2023 5:46","9/14/2023 21:46","2023/09/15 05:46:00","2020/09/14 00:00:00","2023-09-14 21:46:00","62 00.602",62.0100333333333,"175 03.599",-175.059983333333,"2","16"
"E1883.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO","9/15/2023","9/14/2023","8:07","0:07",NA,"CTD003",1,"Niskin; Sterivex 0.22µm filter","95% EtOH",NA,"DBO1.2",75.6,"62° 03.024' N","175° 12.681' W",1000,"Matthew Galaska",NA,"9/15/2023 8:07","9/14/2023 0:07","2023/09/15 08:07:00","2020/09/14 00:00:00","2023-09-15 00:07:00","62 03.024",62.0504,"175 12.681",-175.21135,"3","1"
"E1884.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO","9/15/2023","9/14/2023","8:18","0:18",NA,"CTD003",12,"Niskin; Sterivex 0.22µm filter","95% EtOH",NA,"DBO1.2",27.4,"62° 03.024' N","175° 12.681' W",1000,"Matthew Galaska",NA,"9/15/2023 8:18","9/14/2023 0:18","2023/09/15 08:18:00","2020/09/14 00:00:00","2023-09-15 00:18:00","62 03.024",62.0504,"175 12.681",-175.21135,"3","12"
"E1885.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO","9/15/2023","9/14/2023","8:24","0:24",NA,"CTD003",17,"Niskin; Sterivex 0.22µm filter","95% EtOH",NA,"DBO1.2",10.2,"62° 03.024' N","175° 12.681' W",1000,"Matthew Galaska",NA,"9/15/2023 8:24","9/14/2023 0:24","2023/09/15 08:24:00","2020/09/14 00:00:00","2023-09-15 00:24:00","62 03.024",62.0504,"175 12.681",-175.21135,"3","17"
"E1886.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO","9/15/2023","9/15/2023","22:19","14:19",NA,"CTD005",1,"Niskin; Sterivex 0.22µm filter","95% EtOH",NA,"DBO1.4",66,"62° 23.400' N","174° 34.200' W",1000,"Matthew Galaska",NA,"9/15/2023 22:19","9/15/2023 14:19","2023/09/15 22:19:00","2020/09/15 00:00:00","2023-09-15 14:19:00","62 23.400",62.39,"174 34.200",-174.57,"5","1"
