% Cruise_CSN    Bottle        Date                PrDM      DepSM      T090C      T190C      C0S/m      C1S/m      C1S/m         V0         V1         V2         V3         V4         V5         V6         V7  FlECO-AFL   CStarAt0   CStarTr0        Par Sbox0Mm/Kg Sbox1Mm/Kg   Latitude  Longitude       Sal00      Sal11  Sigma-t00  Sigma-t11    
SKQ202312S_001       1    2023 09 14 13 34 08   67.589     66.929    -1.5216    -1.5218   2.547897   2.548659   2.548659     0.0726     3.4493     0.0126     0.0000     2.1080     2.1266     0.9265     0.0000     0.0878     1.2484    73.1918 3.1119e-06    280.045    268.246   62.19452 -174.67402     31.8370    31.8476    25.6037    25.6124  
SKQ202312S_001       2    2023 09 14 13 34 22   67.423     66.765    -1.5221    -1.5215   2.547857   2.548667   2.548667     0.0734     3.4357     0.0125     0.0000     2.1088     2.1253     0.2592     0.0000     0.0920     1.2642    72.9020 2.2475e-06    280.352    268.273   62.19452 -174.67402     31.8371    31.8475    25.6038    25.6123  
SKQ202312S_001       3    2023 09 14 13 34 30   67.590     66.930    -1.5227    -1.5224   2.547821   2.548612   2.548612     0.0724     3.4497     0.0127     0.0000     2.1097     2.1239     0.2506     0.0000     0.0865     1.2479    73.2003 3.2848e-06    280.799    267.238   62.19452 -174.67402     31.8371    31.8476    25.6038    25.6124  
SKQ202312S_001       4    2023 09 14 13 34 36   67.592     66.932    -1.5220    -1.5218   2.547875   2.548662   2.548662     0.0726     3.4446     0.0126     0.0000     2.1095     2.1250     0.2517     0.0000     0.0877     1.2538    73.0914 2.7662e-06    280.434    268.216   62.19452 -174.67402     31.8371    31.8477    25.6038    25.6125  
SKQ202312S_001       5    2023 09 14 13 34 45   67.291     66.635    -1.5214    -1.5205   2.547903   2.548739   2.548739     0.0710     3.4356     0.0126     0.0000     2.1081     2.1331     0.2594     0.0000     0.0784     1.2642    72.9020 2.9391e-06    280.122    270.130   62.19452 -174.67402     31.8370    31.8475    25.6037    25.6123  
SKQ202312S_001       6    2023 09 14 13 37 31   55.904     55.360    -1.5231    -1.5218   2.547249   2.548086   2.548086     0.0727     3.4855     0.0128     0.0000     2.1129     2.1327     0.8420     0.0000     0.0883     1.2066    73.9598 3.9764e-06    280.518    269.114   62.19452 -174.67401     31.8367    31.8467    25.6035    25.6117  
SKQ202312S_001       7    2023 09 14 13 39 28   49.971     49.485    -1.5165    -1.5151   2.545255   2.546097   2.546097     0.0771     3.6622     0.0126     0.0000     2.1451     2.1617     1.1398     0.0000     0.1144     1.0086    77.7121 3.1119e-06    286.046    272.828   62.19454 -174.67400     31.8058    31.8159    25.5783    25.5865  
SKQ202312S_001       8    2023 09 14 13 39 35   50.047     49.560    -1.5165    -1.5147   2.545227   2.546199   2.546199     0.0749     3.6707     0.0126     0.0000     2.1444     2.1628     1.1348     0.0000     0.1016     0.9994    77.8919 2.9391e-06    286.035    273.312   62.19454 -174.67400     31.8053    31.8168    25.5779    25.5872  
SKQ202312S_001       9    2023 09 14 13 41 43   40.679     40.285    -1.4334    -1.4321   2.542770   2.543675   2.543675     0.0962     4.0137     0.0125     0.0000     2.3396     2.3632     1.6118     0.0000     0.2293     0.6420    85.1711 2.2475e-06    319.042    304.355   62.19454 -174.67400     31.6887    31.6997    25.4814    25.4903  
SKQ202312S_001      10    2023 09 14 13 41 50   40.629     40.235    -1.4324    -1.4326   2.542767   2.543724   2.543724     0.0987     3.9611     0.0124     0.0000     2.3413     2.3635     1.6121     0.0000     0.2441     0.6949    84.0551 1.2102e-06    319.242    305.513   62.19454 -174.67400     31.6876    31.7009    25.4805    25.4913  
SKQ202312S_001      11    2023 09 14 13 44 09   30.521     30.226    -1.2954    -1.2937   2.543982   2.544701   2.544701     0.1412     4.1386     0.0123     0.0000     2.5761     2.6000     2.1256     0.0000     0.4990     0.5194    87.8222 8.6443e-07    358.241    341.116   62.19454 -174.67400     31.5650    31.5730    25.3777    25.3842  
