"Sample_Name","Biological_Replicate","Technical_Replicate","Negative_control","Cruise_ID_short","Cruise_ID_long","Cast_No.","Rosette_position","Field_collection_method","Preservation","Station","Depth_m_notes","Sample_volume_ml","Personnel_responsible_for_Collecting_Sample","Field_Notes","Date_UTC_notes","Lat_notes","Lon_notes"
"E2081.1B.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,NA,"Aquamonitor; HgCl2","95% EtOH","M2",38,1000,"Seth Danielson and Matt Galaska",NA,"2022-09-11 16:12:00",71.6004333333333,-161.499566666667
"E2081.2B.SKQ23_12S",2,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,NA,"Aquamonitor; HgCl2","95% EtOH","M3",38,1000,"Seth Danielson and Matt Galaska",NA,"2022-09-11 16:27:00",71.6004333333333,-161.499566666667
"E2081.3B.SKQ23_12S",3,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,NA,"Aquamonitor; HgCl2","95% EtOH","M4",38,1000,"Seth Danielson and Matt Galaska",NA,"2022-09-11 16:42:00",71.6004333333333,-161.499566666667
"E2081.4B.SKQ23_12S",4,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,NA,"Aquamonitor; HgCl2","95% EtOH","M6",38,1000,"Seth Danielson and Matt Galaska",NA,"2022-09-11 16:57:00",71.6004333333333,-161.499566666667
"E2082.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,NA,"Aquamonitor; HgCl2","95% EtOH","M7",38,1000,"Seth Danielson and Matt Galaska",NA,"2022-09-20 16:12:00",71.6004333333333,-161.499566666667
"E2084.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,NA,"Aquamonitor; HgCl2","95% EtOH","M8",38,1000,"Seth Danielson and Matt Galaska",NA,"2022-09-29 16:12:00",71.6004333333333,-161.499566666667
"E2085.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,NA,"Aquamonitor; HgCl2","95% EtOH","M9",38,1000,"Seth Danielson and Matt Galaska",NA,"2022-10-08 16:12:00",71.6004333333333,-161.499566666667
"E2086.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,NA,"Aquamonitor; HgCl2","95% EtOH","M10",38,1000,"Seth Danielson and Matt Galaska",NA,"2022-10-17 16:12:00",71.6004333333333,-161.499566666667
"E2087.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,NA,"Aquamonitor; HgCl2","95% EtOH","M11",38,1000,"Seth Danielson and Matt Galaska",NA,"2022-10-26 16:12:00",71.6004333333333,-161.499566666667
"E2088.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,NA,"Aquamonitor; HgCl2","95% EtOH","M12",38,1000,"Seth Danielson and Matt Galaska",NA,"2022-11-04 16:12:00",71.6004333333333,-161.499566666667
"E2089.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,NA,"Aquamonitor; HgCl2","95% EtOH","M14",38,1000,"Seth Danielson and Matt Galaska",NA,"2022-11-13 15:12:00",71.6004333333333,-161.499566666667
"E2090.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,NA,"Aquamonitor; HgCl2","95% EtOH","M15",38,1000,"Seth Danielson and Matt Galaska",NA,"2022-12-01 15:12:00",71.6004333333333,-161.499566666667
"E2091.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,NA,"Aquamonitor; HgCl2","95% EtOH","M16",38,1000,"Seth Danielson and Matt Galaska",NA,"2022-12-10 15:12:00",71.6004333333333,-161.499566666667
"E2092.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,NA,"Aquamonitor; HgCl2","95% EtOH","M17",38,1000,"Seth Danielson and Matt Galaska",NA,"2022-12-19 15:12:00",71.6004333333333,-161.499566666667
"E2093.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,NA,"Aquamonitor; HgCl2","95% EtOH","M18",38,1000,"Seth Danielson and Matt Galaska",NA,"2022-12-28 15:12:00",71.6004333333333,-161.499566666667
"E2094.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,NA,"Aquamonitor; HgCl2","95% EtOH","M19",38,1000,"Seth Danielson and Matt Galaska",NA,"2023-01-06 15:12:00",71.6004333333333,-161.499566666667
"E2095.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,NA,"Aquamonitor; HgCl2","95% EtOH","M20",38,1000,"Seth Danielson and Matt Galaska",NA,"2023-01-15 15:12:00",71.6004333333333,-161.499566666667
"E2096.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,NA,"Aquamonitor; HgCl2","95% EtOH","M21",38,1000,"Seth Danielson and Matt Galaska",NA,"2023-01-24 15:12:00",71.6004333333333,-161.499566666667
