"Sample_Name","Biological_Replicate","Technical_Replicate","Negative_control","Cruise_ID_short","Cruise_ID_long","Collection_Date_UTC","Collection_Date_local","Collection_Time_UTC","Collection_Time_local","Field_Sample_Name","Cast_No.","Rosette_position","Field_collection_method","Preservation","Area.within.region","Station","Depth_m","Lat","Lon","Sample_volume_ml","Personnel_responsible_for_Collecting_Sample","Field_Notes","Combined_date","Combined_date_local","Date_UTC","Date_local_check","Date_local","Lat_fix","Lat_dec","Lon_fix","Lon_dec","Cast","Bottle"
"E2081.1B.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,"9/12/2022",NA,"0:12",NA,NA,NA,"Aquamonitor; HgCl2","95% EtOH",NA,"M2",38,"71° 36.026' N","161° 29.974' W",1000,"Seth Danielson and Matt Galaska",NA,NA,"9/12/2022 0:12","2022-09-11 16:12:00","2020/09/12 00:00:00","2022/09/12 00:12:00","71 36.026",71.6004333333333,"161 29.974",-161.499566666667,NA,NA
"E2081.2B.SKQ23_12S",2,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,"9/12/2022",NA,"0:27",NA,NA,NA,"Aquamonitor; HgCl2","95% EtOH",NA,"M3",38,"71° 36.026' N","161° 29.974' W",1000,"Seth Danielson and Matt Galaska",NA,NA,"9/12/2022 0:27","2022-09-11 16:27:00","2020/09/12 00:00:00","2022/09/12 00:27:00","71 36.026",71.6004333333333,"161 29.974",-161.499566666667,NA,NA
"E2081.3B.SKQ23_12S",3,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,"9/12/2022",NA,"0:42",NA,NA,NA,"Aquamonitor; HgCl2","95% EtOH",NA,"M4",38,"71° 36.026' N","161° 29.974' W",1000,"Seth Danielson and Matt Galaska",NA,NA,"9/12/2022 0:42","2022-09-11 16:42:00","2020/09/12 00:00:00","2022/09/12 00:42:00","71 36.026",71.6004333333333,"161 29.974",-161.499566666667,NA,NA
"E2081.4B.SKQ23_12S",4,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,"9/12/2022",NA,"0:57",NA,NA,NA,"Aquamonitor; HgCl2","95% EtOH",NA,"M6",38,"71° 36.026' N","161° 29.974' W",1000,"Seth Danielson and Matt Galaska",NA,NA,"9/12/2022 0:57","2022-09-11 16:57:00","2020/09/12 00:00:00","2022/09/12 00:57:00","71 36.026",71.6004333333333,"161 29.974",-161.499566666667,NA,NA
"E2082.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,"9/21/2022",NA,"0:12",NA,NA,NA,"Aquamonitor; HgCl2","95% EtOH",NA,"M7",38,"71° 36.026' N","161° 29.974' W",1000,"Seth Danielson and Matt Galaska",NA,NA,"9/21/2022 0:12","2022-09-20 16:12:00","2020/09/21 00:00:00","2022/09/21 00:12:00","71 36.026",71.6004333333333,"161 29.974",-161.499566666667,NA,NA
"E2084.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,"9/30/2022",NA,"0:12",NA,NA,NA,"Aquamonitor; HgCl2","95% EtOH",NA,"M8",38,"71° 36.026' N","161° 29.974' W",1000,"Seth Danielson and Matt Galaska",NA,NA,"9/30/2022 0:12","2022-09-29 16:12:00","2020/09/30 00:00:00","2022/09/30 00:12:00","71 36.026",71.6004333333333,"161 29.974",-161.499566666667,NA,NA
"E2085.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,"10/9/2022",NA,"0:12",NA,NA,NA,"Aquamonitor; HgCl2","95% EtOH",NA,"M9",38,"71° 36.026' N","161° 29.974' W",1000,"Seth Danielson and Matt Galaska",NA,NA,"10/9/2022 0:12","2022-10-08 16:12:00","2020/10/09 00:00:00","2022/10/09 00:12:00","71 36.026",71.6004333333333,"161 29.974",-161.499566666667,NA,NA
"E2086.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,"10/18/2022",NA,"0:12",NA,NA,NA,"Aquamonitor; HgCl2","95% EtOH",NA,"M10",38,"71° 36.026' N","161° 29.974' W",1000,"Seth Danielson and Matt Galaska",NA,NA,"10/18/2022 0:12","2022-10-17 16:12:00","2020/10/18 00:00:00","2022/10/18 00:12:00","71 36.026",71.6004333333333,"161 29.974",-161.499566666667,NA,NA
"E2087.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,"10/27/2022",NA,"0:12",NA,NA,NA,"Aquamonitor; HgCl2","95% EtOH",NA,"M11",38,"71° 36.026' N","161° 29.974' W",1000,"Seth Danielson and Matt Galaska",NA,NA,"10/27/2022 0:12","2022-10-26 16:12:00","2020/10/27 00:00:00","2022/10/27 00:12:00","71 36.026",71.6004333333333,"161 29.974",-161.499566666667,NA,NA
"E2088.SKQ23_12S",1,1,FALSE,"SKQ23-12S","SKQ23 EcoFOCI DBO",NA,"11/5/2022",NA,"0:12",NA,NA,NA,"Aquamonitor; HgCl2","95% EtOH",NA,"M12",38,"71° 36.026' N","161° 29.974' W",1000,"Seth Danielson and Matt Galaska",NA,NA,"11/5/2022 0:12","2022-11-04 16:12:00","2020/11/05 00:00:00","2022/11/05 00:12:00","71 36.026",71.6004333333333,"161 29.974",-161.499566666667,NA,NA
