bottle,oxy_concM_ch1,oxy_percentsat_ch1,oxy_conc_ch1,oxy_concM_ch2,oxy_percentsat_ch2,oxy_conc_ch2,salinity_ch1,salinity_ch2,sigma_t_ch1,sigma_t_ch2,chlor_fluorescence,temperature_ch1,temperature_ch2,turbidity,pressure,latitude,longitude,time,profile_id
,ml/l,percent,micromole/kg,,,,PSU,PSU,,,ugrams/l,degree_C,degree_C,,decibar,degrees_north,degrees_east,UTC,
1.0,2.0082,24.912,87.376,NaN,NaN,NaN,32.9608,32.9548,26.445,26.4403,0.3084,0.3038,0.3034,NaN,46.143,67.67666666666666,-168.94966666666667,2021-11-08T21:59:39Z,SKQ202115Sc001_btl
2.0,2.0019,24.833,87.099,NaN,NaN,NaN,32.9607,32.9548,26.445,26.4402,0.356,0.3032,0.3032,NaN,46.134,67.67666666666666,-168.94966666666667,2021-11-08T21:59:39Z,SKQ202115Sc001_btl
3.0,2.0005,24.817,87.042,NaN,NaN,NaN,32.9604,32.9554,26.4447,26.4408,0.3296,0.3042,0.3025,NaN,46.149,67.67666666666666,-168.94966666666667,2021-11-08T21:59:39Z,SKQ202115Sc001_btl
4.0,2.0022,24.839,87.116,NaN,NaN,NaN,32.96,32.9551,26.4443,26.4405,0.3365,0.3058,0.3039,NaN,46.131,67.67666666666666,-168.94966666666667,2021-11-08T21:59:39Z,SKQ202115Sc001_btl
5.0,2.0007,24.82,87.048,NaN,NaN,NaN,32.9598,32.9549,26.4442,26.4403,0.3628,0.3061,0.305,NaN,46.139,67.67666666666666,-168.94966666666667,2021-11-08T21:59:39Z,SKQ202115Sc001_btl
6.0,1.9953,24.763,86.813,NaN,NaN,NaN,32.9552,32.9515,26.4395,26.4366,0.3428,0.3235,0.3217,NaN,40.577,67.67666666666666,-168.94966666666667,2021-11-08T21:59:39Z,SKQ202115Sc001_btl
7.0,1.9942,24.748,86.765,NaN,NaN,NaN,32.9555,32.9517,26.4399,26.4369,0.3611,0.3215,0.3203,NaN,40.579,67.67666666666666,-168.94966666666667,2021-11-08T21:59:39Z,SKQ202115Sc001_btl
8.0,1.9896,24.692,86.566,NaN,NaN,NaN,32.9552,32.9514,26.4396,26.4365,0.3611,0.3226,0.3215,NaN,40.582,67.67666666666666,-168.94966666666667,2021-11-08T21:59:39Z,SKQ202115Sc001_btl
9.0,1.8149,22.673,78.97,NaN,NaN,NaN,32.8781,32.8755,26.3627,26.3607,0.4493,0.5969,0.5956,NaN,30.531,67.67666666666666,-168.94966666666667,2021-11-08T21:59:39Z,SKQ202115Sc001_btl
10.0,1.8158,22.684,79.011,NaN,NaN,NaN,32.8781,32.8753,26.3627,26.3605,0.4482,0.5968,0.5956,NaN,30.529,67.67666666666666,-168.94966666666667,2021-11-08T21:59:39Z,SKQ202115Sc001_btl
11.0,1.8166,22.694,79.046,NaN,NaN,NaN,32.8778,32.8752,26.3625,26.3605,0.4488,0.5966,0.5955,NaN,30.531,67.67666666666666,-168.94966666666667,2021-11-08T21:59:39Z,SKQ202115Sc001_btl
12.0,7.7848,93.539,339.32,NaN,NaN,NaN,30.6446,30.6531,24.6026,24.6093,0.3686,-0.2928,-0.2905,NaN,20.466,67.67666666666666,-168.94966666666667,2021-11-08T21:59:39Z,SKQ202115Sc001_btl
13.0,7.7214,92.687,336.563,NaN,NaN,NaN,30.6261,30.6275,24.5888,24.5896,0.3628,-0.3248,-0.3155,NaN,20.467,67.67666666666666,-168.94966666666667,2021-11-08T21:59:39Z,SKQ202115Sc001_btl
14.0,7.8889,94.826,343.85,NaN,NaN,NaN,30.6691,30.67,24.6221,24.6227,0.3909,-0.2847,-0.2836,NaN,20.476,67.67666666666666,-168.94966666666667,2021-11-08T21:59:39Z,SKQ202115Sc001_btl
15.0,8.0187,96.203,349.525,NaN,NaN,NaN,30.6082,30.6044,24.5749,24.5718,0.376,-0.3404,-0.3413,NaN,10.312,67.67666666666666,-168.94966666666667,2021-11-08T21:59:39Z,SKQ202115Sc001_btl
16.0,7.9506,95.387,346.557,NaN,NaN,NaN,30.6089,30.6045,24.5754,24.5719,0.3662,-0.34,-0.3425,NaN,10.304,67.67666666666666,-168.94966666666667,2021-11-08T21:59:39Z,SKQ202115Sc001_btl
17.0,7.9838,95.774,348.004,NaN,NaN,NaN,30.609,30.6055,24.5756,24.5729,0.3279,-0.3446,-0.348,NaN,10.311,67.67666666666666,-168.94966666666667,2021-11-08T21:59:39Z,SKQ202115Sc001_btl
18.0,7.9467,95.366,346.387,NaN,NaN,NaN,30.6081,30.6037,24.5744,24.5709,0.317,-0.3297,-0.3311,NaN,2.064,67.67666666666666,-168.94966666666667,2021-11-08T21:59:39Z,SKQ202115Sc001_btl
19.0,7.9274,95.117,345.547,NaN,NaN,NaN,30.6072,30.6033,24.5739,24.5709,0.3468,-0.3365,-0.3391,NaN,2.061,67.67666666666666,-168.94966666666667,2021-11-08T21:59:39Z,SKQ202115Sc001_btl
20.0,7.9452,95.324,346.321,NaN,NaN,NaN,30.6075,30.6029,24.5742,24.5705,0.3479,-0.3389,-0.3387,NaN,2.074,67.67666666666666,-168.94966666666667,2021-11-08T21:59:39Z,SKQ202115Sc001_btl
1.0,6.3314,75.382,275.567,NaN,NaN,NaN,32.4607,32.4505,26.0991,26.0909,0.1794,-1.1167,-1.1176,NaN,49.331,71.1935,-160.26483333333334,2021-11-10T02:43:21Z,SKQ202115Sc002_btl
2.0,6.3157,75.191,274.883,NaN,NaN,NaN,32.4631,32.459,26.1011,26.098,0.1811,-1.1195,-1.125,NaN,49.327,71.1935,-160.26483333333334,2021-11-10T02:43:21Z,SKQ202115Sc002_btl
3.0,6.2981,74.99,274.119,NaN,NaN,NaN,32.46,32.4604,26.0985,26.0991,0.1966,-1.1147,-1.1261,NaN,49.348,71.1935,-160.26483333333334,2021-11-10T02:43:21Z,SKQ202115Sc002_btl
4.0,6.4719,77.627,281.753,NaN,NaN,NaN,32.1599,32.1535,25.844,25.8389,0.1806,-0.7606,-0.761,NaN,40.422,71.1935,-160.26483333333334,2021-11-10T02:43:21Z,SKQ202115Sc002_btl
5.0,6.4761,77.676,281.934,NaN,NaN,NaN,32.16,32.1537,25.8441,25.839,0.1972,-0.761,-0.7613,NaN,40.407,71.1935,-160.26483333333334,2021-11-10T02:43:21Z,SKQ202115Sc002_btl
6.0,6.4909,77.853,282.58,NaN,NaN,NaN,32.1602,32.1539,25.8443,25.8392,0.1955,-0.7616,-0.7621,NaN,40.434,71.1935,-160.26483333333334,2021-11-10T02:43:21Z,SKQ202115Sc002_btl
7.0,7.5452,92.091,328.864,NaN,NaN,NaN,30.7282,30.7234,24.6471,24.6433,0.3892,0.2789,0.2766,NaN,30.154,71.1935,-160.26483333333334,2021-11-10T02:43:21Z,SKQ202115Sc002_btl
8.0,7.5233,91.819,327.91,NaN,NaN,NaN,30.7279,30.7226,24.6469,24.6428,0.3949,0.2772,0.2745,NaN,30.177,71.1935,-160.26483333333334,2021-11-10T02:43:21Z,SKQ202115Sc002_btl
9.0,7.5243,91.831,327.952,NaN,NaN,NaN,30.7273,30.7226,24.6464,24.6427,0.4081,0.2777,0.2752,NaN,30.179,71.1935,-160.26483333333334,2021-11-10T02:43:21Z,SKQ202115Sc002_btl
10.0,7.6126,92.905,331.803,NaN,NaN,NaN,30.7272,30.7229,24.6464,24.643,0.3468,0.2758,0.2745,NaN,20.333,71.1935,-160.26483333333334,2021-11-10T02:43:21Z,SKQ202115Sc002_btl
11.0,7.5648,92.321,329.716,NaN,NaN,NaN,30.7272,30.7229,24.6464,24.643,0.3347,0.2759,0.274,NaN,20.329,71.1935,-160.26483333333334,2021-11-10T02:43:21Z,SKQ202115Sc002_btl
12.0,7.5596,92.258,329.489,NaN,NaN,NaN,30.7272,30.7229,24.6464,24.643,0.3456,0.2759,0.2742,NaN,20.328,71.1935,-160.26483333333334,2021-11-10T02:43:21Z,SKQ202115Sc002_btl
13.0,7.5969,92.688,331.117,NaN,NaN,NaN,30.7272,30.7229,24.6469,24.6434,0.3514,0.2655,0.2644,NaN,9.947,71.1935,-160.26483333333334,2021-11-10T02:43:21Z,SKQ202115Sc002_btl
14.0,7.5784,92.471,330.31,NaN,NaN,NaN,30.7272,30.7227,24.6467,24.6431,0.3726,0.2692,0.2665,NaN,9.922,71.1935,-160.26483333333334,2021-11-10T02:43:21Z,SKQ202115Sc002_btl
15.0,7.583,92.542,330.509,NaN,NaN,NaN,30.727,30.7227,24.6463,24.6428,0.317,0.2754,0.2763,NaN,9.927,71.1935,-160.26483333333334,2021-11-10T02:43:21Z,SKQ202115Sc002_btl
16.0,7.5708,92.436,329.981,NaN,NaN,NaN,30.7277,30.7234,24.646,24.6429,0.3365,0.2927,0.2865,NaN,2.179,71.1935,-160.26483333333334,2021-11-10T02:43:21Z,SKQ202115Sc002_btl
17.0,7.5797,92.537,330.367,NaN,NaN,NaN,30.7275,30.7234,24.646,24.6431,0.3347,0.2895,0.2814,NaN,2.213,71.1935,-160.26483333333334,2021-11-10T02:43:21Z,SKQ202115Sc002_btl
18.0,7.6039,92.813,331.421,NaN,NaN,NaN,30.7275,30.7231,24.6464,24.6427,0.3623,0.2818,0.2838,NaN,2.235,71.1935,-160.26483333333334,2021-11-10T02:43:21Z,SKQ202115Sc002_btl
1.0,6.4928,77.525,282.605,NaN,NaN,NaN,32.4186,32.4014,26.0614,26.0468,0.0848,-0.9991,-0.9789,NaN,43.273,71.32183333333333,-160.65683333333334,2021-11-10T04:54:19Z,SKQ202115Sc003_btl
2.0,6.48,77.396,282.047,NaN,NaN,NaN,32.4094,32.4049,26.0534,26.05,0.0923,-0.985,-0.9894,NaN,43.305,71.32183333333333,-160.65683333333334,2021-11-10T04:54:19Z,SKQ202115Sc003_btl
