sample	lat	long	replicate	Site	Depth	bottle	Fluorescence WET Labs ECO-AFL/FL [mg/m^3]	CStarAt0 Beam Attenuation WET Labs C-Star [1/m]	CStarTr0 Beam Transmission WET Labs C-Star %	oxy_conc_ch1 (micromole/kg)	salinity_ch1 (PSU)	salinity_ch2 (PSU)	sigma_t_ch1 (kg m-3)	sigma_t_ch2 (kg m-3)	temperature_ch1 (degree_C)	temperature_ch2 (degree_C)	pressure (decibar)	time (UTC)
E1877.SKQ23-12S	62.19452	-174.67402	E1877	M8	66.929	1	0.0878	1.2484	73.1918	280.045	31.837	31.8476	25.6037	25.6124	-1.5216	-1.5218	67.589	2023-9-14T13:34:8
E1878.SKQ23-12S	62.19454	-174.674	E1878	M8	30.104	12	0.5474	0.5219	87.7671	356.9	31.5575	31.5726	25.3716	25.3839	-1.2925	-1.2943	30.398	2023-9-14T13:44:17
E1879.SKQ23-12S	62.19454	-174.67401	E1879	M8	10.24	18	0.9592	0.7431	83.0464	287.982	30.779	30.7869	23.995	24.0011	7.7534	7.7544	10.339	2023-9-14T13:51:44
E1880.SKQ23-12S	62.0098	-175.06118	E1880	DBO1.1	73.483	1	0.0644	1.1355	75.2864	250.053	31.9484	31.9579	25.6731	25.6808	-0.7691	-0.7691	74.207	2023-9-15T5:31:41
E1881.SKQ23-12S	62.0098	-175.06098	E1881	DBO1.1	30.309	10	0.6201	0.4659	89.0059	346.362	31.473	31.4811	25.2982	25.3047	-1.1017	-1.1008	30.604	2023-9-15T5:39:51
E1882.SKQ23-12S	62.0098	-175.06122	E1882	DBO1.1	10.368	16	0.6839	0.6013	86.0434	292.993	30.6707	30.6785	23.9483	23.9544	7.4707	7.4717	10.468	2023-9-15T5:46:58
E1883.SKQ23-12S	62.05014	-175.20878	E1883	DBO1.2	74.882	1	0.0532	1.4564	69.4819	254.253	31.9119	31.9433	25.6504	25.6758	-0.9855	-0.9825	75.621	2023-9-15T8:7:48
E1884.SKQ23-12S	62.05016	-175.20864	E1884	DBO1.2	27.16	12	1.8978	0.5514	87.1218	366.124	31.3536	31.3816	25.2073	25.23	-1.3386	-1.3384	27.424	2023-9-15T8:18:57
E1885.SKQ23-12S	62.05002	-175.2095	E1885	DBO1.2	10.105	17	0.7363	0.5655	86.8166	293.867	30.6496	30.6735	23.95	23.9685	7.3349	7.3361	10.203	2023-9-15T8:24:0
E1886.SKQ23-12S	62.38978	-174.5696	E1886	DBO1.4	65.336	1	0.0946	1.0108	77.6698	284.281	31.899	31.9097	25.6541	25.6628	-1.5235	-1.5231	65.981	2023-9-15T22:19:27
