Value	Sample	TerminalTaxa
7	MP_E373	Chaetoceros constrictus
1374	MP_E373	Amoebophryaceae
807	MP_E373	Amoebophrya sp_
946	MP_E373	Strobilidiidae
7663	MP_E373	Dinophyceae
84	MP_E373	Cosmoeca ventricosa
65	MP_E373	Oblongichytrium sp_
2300	MP_E373	Environmental Unknown
16	MP_E373	Prorocentrum mariae_labouriae
2885	MP_E373	Ciliophora
8273	MP_E373	Gymnodiniales
2223	MP_E373	Amoebophrya
332	MP_E373	Chlorarachniophyceae
3	MP_E373	Gymnodinium smaydae
57	MP_E373	Clytia gracilis
51	MP_E373	Chrysophyceae
119	MP_E373	Leucocryptos marina
16	MP_E373	Stephanoecidae
162	MP_E373	Prorocentraceae
789	MP_E373	Spirotrichea
11	MP_E373	Thoracosphaeraceae
291	MP_E373	Prorocentrum
14	MP_E373	Chlorophyta
1442	MP_E373	Syndiniales
284	MP_E373	Geminigeraceae
11	MP_E373	Prymnesium
386	MP_E373	Thalassiosiraceae
60	MP_E373	Rhogostoma sp_
8475	MP_E373	Heterocapsa rotundata
2	MP_E373	Pleurasiga
20	MP_E373	Acanthoecidae
1912	MP_E373	Telonema
1	MP_E373	Dinobryon
257	MP_E373	Picozoa
32	MP_E373	Thalassiosira
4	MP_E373	Pigoraptor__f__o
29	MP_E373	Leucocryptos sp_
80	MP_E373	Chaetoceros
34	MP_E373	Ebria tripartita
11	MP_E373	Pterosperma
20	MP_E373	Crustomastix
8	MP_E373	Gymnodinium
52	MP_E373	Euduboscquella sp_
4	MP_E373	Chaetoceros hirtisetus
1	MP_E373	Aequorea victoria
54	MP_E373	Crustomastigaceae
2	MP_E373	Pycnococcus
41	MP_E373	Unknown
9	MP_E373	Telonema__f
107	MP_E373	Karenia bidigitata
2197	MP_E373	Leegaardiella sp_
27	MP_E373	Cercozoa
10	MP_E373	Halosphaera sp_ M1670
246	MP_E373	Heterocapsa
8	MP_E373	Gymnodinium catenatum
5	MP_E373	Chaetocerotaceae
3	MP_E373	Heterocapsaceae
53	MP_E373	Cryothecomonas aestivalis
13	MP_E373	Pedinellales
22	MP_E373	Triparmaceae
91	MP_E373	Aureococcus anophagefferens
552	MP_E373	Chrysochromulina
7	MP_E373	Bicosta
125	MP_E373	Picomonadidae
34	MP_E373	Dinobryon balticum
9	MP_E373	Chromulinales
48	MP_E373	Warnowia sp_
4	MP_E373	Acanthoecida
27	MP_E373	Protaspidae
223	MP_E373	Katablepharis japonica
3218	MP_E373	Strombidium sp_
20	MP_E373	Islandinium
1	MP_E373	Pelagococcus
823	MP_E373	Haptophyta
8	MP_E373	Dolichomastigales
19	MP_E373	Diphyidae
3	MP_E373	Protaspis grandis
19	MP_E373	Heterocapsa triquetra
42	MP_E373	Dissodinium pseudolunula
12	MP_E373	Apicomplexa
45	MP_E373	Triparma
203	MP_E373	Mediophyceae
3	MP_E373	Haliscera conica
80	MP_E373	Gymnodiniaceae
213	MP_E373	Picomonas sp_
18	MP_E373	Stephanopyxis turris
91	MP_E373	Eukaryota
6	MP_E373	Stephanopyxidaceae
2	MP_E373	Gladiolithus
27	MP_E373	Dolichomastix
21	MP_E373	Pterosperma cristatum
4	MP_E373	Syndinium
186	MP_E373	Prymnesiales
13	MP_E373	Cryothecomonas
10	MP_E373	Salpingoecidae
19	MP_E373	Prorocentrum micans
8	MP_E373	Bacillariophyta
13	MP_E373	Incisomonas__f
395	MP_E373	Rhizosoleniaceae
95	MP_E373	Tremula__f__o
219	MP_E373	Ptychodiscus noctiluca
1	MP_E373	Solenicola__f
1450	MP_E373	Karlodinium veneficum
9	MP_E373	Pleurasiga reynoldsii
344	MP_E373	Chaetoceros debilis
429	MP_E373	Pseudotontonia sp_ JG_2011a
43	MP_E373	Triparma pacifica
116	MP_E373	Pyrenomonadales
5	MP_E373	Thaumatomastigidae
3	MP_E373	Prorocentrales
558	MP_E373	Micromonas
5	MP_E373	Pseudochattonella verruculosa
158	MP_E373	Incisomonas
1679	MP_E373	Hemiselmis cryptochromatica
3	MP_E373	Amphisiellidae
469	MP_E373	Strombidium
522	MP_E373	Chaetoceros sp_ UNC1415
376	MP_E373	Sinophysis sp_
38	MP_E373	Dysteriida
519	MP_E373	Cymatosiraceae
53	MP_E373	Rhodomonas
41	MP_E373	Paraphysomonas sp_
47	MP_E373	Siphonophorae
70	MP_E373	Chrysochromulina sp_
4	MP_E373	Bacillariaceae
66	MP_E373	Amphidinium longum
154	MP_E373	Gymnodinium heterostriatum
225	MP_E373	Tintinnida
101	MP_E373	Gymnodinium sp_
10	MP_E373	Thraustochytriaceae
2	MP_E373	Chrysolepidomonas sp_
4	MP_E373	Pirum__f
122	MP_E373	Guinardia striata
11	MP_E373	Acantharea
127	MP_E373	Phytodiniales
7	MP_E373	Crustomastix stigmatica
10	MP_E373	Picomonas
3311	MP_E373	Pseliodinium fusus
63	MP_E373	Quadricilia__f__o
64	MP_E373	Cryptocaryon
21	MP_E373	Paraphysomonas
182	MP_E373	Fragilariopsis sp_
6	MP_E373	Kathablepharidacea
1970	MP_E373	Pseudocalanus
203	MP_E373	Bicosta minor
9	MP_E373	Florenciella sp_ RCC1007
14	MP_E373	Quadricilia rotundata
6	MP_E373	Amoebophrya sp_ ex Cochlodinium polykrikoides
9	MP_E373	Mortierellaceae
477	MP_E373	Pseudo_nitzschia
363	MP_E373	Florenciella
2	MP_E373	Achnanthaceae
20	MP_E373	Fragilariaceae
5	MP_E373	Skeletonema
292	MP_E373	Sarcinochrysidales
108	MP_E373	Gyrodinium helveticum
7	MP_E373	Labyrinthulochytrium haliotidis
12	MP_E373	Isochrysis
17	MP_E373	Crustomastix sp_ BH41_108
25	MP_E373	Incisomonas marina
447	MP_E373	Katodinium glaucum
1	MP_E373	Attheya
6	MP_E373	Dinophysaceae
4	MP_E373	Aplanochytrium
1570	MP_E373	Teleaulax gracilis
36	MP_E373	Scyphosphaera apsteinii
12	MP_E373	Pseudopedinella elastica
9	MP_E373	Nitzschia
91	MP_E373	Pseudotontonia
107	MP_E373	Pyramimonas
7	MP_E373	Chromulinaceae
7	MP_E373	Densosporaceae
34	MP_E373	Tentaculata
62	MP_E373	Calliacantha natans
2	MP_E373	Cylindrotheca sp_ RCC2608
62	MP_E373	Meringosphaera mediterranea
10	MP_E373	Leegaardiella
1	MP_E373	Nitzschia sp_ RCC1859
11	MP_E373	Syracosphaera pulchra
28	MP_E373	Mertensia ovum
26	MP_E373	Gyrodinium cf_ spirale AR_2015
11	MP_E373	Euplokamis
66	MP_E373	Lepidodinium
58	MP_E373	Actinocyclus
6	MP_E373	Prostomatea
3	MP_E373	Bicosoecida
8	MP_E373	Strombidiidae
1	MP_E373	Rhogostoma
181	MP_E373	Prasinoderma
211	MP_E373	Phaeocystis pouchetii
249	MP_E373	Rhizosolenia delicatula
7	MP_E373	Pyramimonas australis
35	MP_E373	Chytriodinium roseum
1	MP_E373	Euphysa
6	MP_E373	Apedinella radians
3	MP_E373	Hydruraceae
14	MP_E373	Apolemia
5	MP_E373	Mataza hastifera
5	MP_E373	Leegaardiellidae
702	MP_E373	Bathycoccus prasinos
1	MP_E373	Amoebophrya sp_ ex Gonyaulax polygramma
137	MP_E373	Pelagomonas calceolata
70	MP_E373	Teleaulax
85	MP_E373	Phaeocystis sp_ RCC5646
22	MP_E373	Phaeocystis sp_ JD_2012
7	MP_E373	Corethron
4	MP_E373	Protaspis
4	MP_E373	Gonyaulacaceae
4059	MP_E373	Rhizosolenia setigera
45	MP_E373	Limnofilidae__o
4	MP_E373	Clytiidae
6	MP_E373	Kareniaceae
5	MP_E373	Rhizosolenia
2	MP_E373	Scleralcyonacea
17	MP_E373	Takayama acrotrocha
23	MP_E373	Ceratiaceae
4	MP_E373	Chaetoceros cinctus
51	MP_E373	Chaetoceros diadema
114	MP_E373	Cercomonadidae
28	MP_E373	Prorocentrum koreanum
9	MP_E373	Tiarina fusa
9	MP_E373	Pentapharsodinium tyrrhenicum
560	MP_E373	Mantoniella
20	MP_E373	Noelaerhabdaceae
94	MP_E373	Phaeocystis
1	MP_E373	Gastropoda
4	MP_E373	Calliacantha longicaudata
123	MP_E373	Pelagodinium
27	MP_E373	Diaphanoeca undulata
353	MP_E373	Hexanauplia
8	MP_E373	Amoebophrya sp_ _Dinophysis_
5	MP_E373	Amphidomataceae
8	MP_E373	Peridiniales
2	MP_E373	Pelagomonas
2	MP_E373	Plagiacanthidae
8	MP_E373	Plagiocampa sp_
4	MP_E373	Monodopsidaceae
23	MP_E373	Teleaulax amphioxeia
13	MP_E373	Pelagophyceae
3	MP_E373	Pseudoscourfieldia marina
55	MP_E373	Scrippsiella
31	MP_E373	Biddulphiaceae
3	MP_E373	Bigyra
5	MP_E373	Oblongichytrium__f
70	MP_E373	Pirsonia
54	MP_E373	Develocanicus__f__o
21	MP_E373	Chaetoceros brevis
107	MP_E373	Paragymnodinium sp_
1	MP_E373	Cryomonadida
12	MP_E373	Prorocentrum cf_ balticum
1	MP_E373	Sticholonche sp_ JB_2011
3	MP_E373	Phascolosoma agassizii
5	MP_E373	Perkinsida
69	MP_E373	Oithona
2840	MP_E373	Cryptophyceae
53	MP_E373	Mitrocomidae
32	MP_E373	Ceratoperidiniaeceae
214	MP_E373	Gyrodinium sp_
11	MP_E373	Mucoromycota
811	MP_E373	Strombidium caudispina
8	MP_E373	Azadinium polongum
57	MP_E373	Tintinnidae
3	MP_E373	Labyrinthulochytrium
2	MP_E373	Gymnodinioides
6	MP_E373	Chaetocerotales
23	MP_E373	Micromonas pusilla
3	MP_E373	Kryptoperidiniaceae
4	MP_E373	Katablepharidaceae
16	MP_E373	Polykrikos hartmannii
2	MP_E373	Cystobasidiaceae
1	MP_E373	Cylindrotheca closterium
25	MP_E373	Tetrasporopsidaceae
32	MP_E373	Haptolina
39	MP_E373	Fragilariophyceae
41	MP_E373	Torodinium
2	MP_E373	Spumellaria
3	MP_E373	Pseudostephanoeca paucicostata
13	MP_E373	Pirsonia guinardiae
11	MP_E373	Cryothecomonas longipes
4	MP_E373	Karlodinium
148	MP_E373	Leptocylindraceae
13	MP_E373	Paraphysomonas sp_ HJL10
1	MP_E373	Resomia
19	MP_E373	Pycnococcaceae
813	MP_E373	Dictyocha
363	MP_E373	Ostreococcus
1	MP_E373	Protaspa
494	MP_E373	Parafavella
2	MP_E373	Pseudochattonella sp_
1	MP_E373	Gyrodinium
1	MP_E373	Coccolithus
2	MP_E373	Eudubosquellidae
1	MP_E373	Haptolina sp_
10	MP_E373	Gertia stigmatica
3	MP_E373	Thalassiosira sp_ RCC5341
14	MP_E373	Mamiellaceae
24	MP_E373	Echinidinium karaense
183	MP_E373	Chytriodinium sp_
21	MP_E373	Pleurasiga minima
7	MP_E373	Biddulphia
8	MP_E373	Pyramimonas sp_ RCC4805
2	MP_E373	Viridiraptoridae
3	MP_E373	Mamiella sp_
4	MP_E373	Pyramimonadaceae
11	MP_E373	Heterocapsa pygmaea
1	MP_E373	Katablepharis remigera
4	MP_E373	Dictyoceratida
4	MP_E373	Cyanea
59	MP_E373	Pelagostrobilidium sp_
29	MP_E373	Chrysochromulina leadbeateri
9	MP_E373	Eucampia
22	MP_E373	Pentapharsodinium sp_
26	MP_E373	Rhizophydiales
2	MP_E373	Pirsonia__f
2	MP_E373	Strombidinopsidae
16	MP_E373	Teleaulax acuta
13	MP_E373	Brockmanniella brockmannii
15	MP_E373	Lithomelissa setosa
5	MP_E373	Salpa younti
3	MP_E373	Chrysochromulina scutellum
2374	MP_E373	Strombidium cf_ basimorphum
5	MP_E373	Pyramimonas sp_ RCC5483
11	MP_E373	Chrysochromulina throndsenii
1	MP_E373	Bathycoccus
1	MP_E373	Proboscia
28	MP_E373	Strombidium capitatum
5	MP_E373	Telonema sp_
12	MP_E373	Pyramimonas obovata
1	MP_E373	Eucoccidiorida
2	MP_E373	Dinobryon sp_ RCC5261
5391	MP_E378	Amoebophryaceae
2538	MP_E378	Amoebophrya sp_
76	MP_E378	Strobilidiidae
11051	MP_E378	Dinophyceae
87	MP_E378	Cosmoeca ventricosa
113	MP_E378	Oblongichytrium sp_
7322	MP_E378	Environmental Unknown
9	MP_E378	Prorocentrum mariae_labouriae
2138	MP_E378	Ciliophora
6904	MP_E378	Gymnodiniales
765	MP_E378	Amoebophrya
16	MP_E378	Chlorarachniophyceae
40	MP_E378	Gymnodinium smaydae
241	MP_E378	Clytia gracilis
11	MP_E378	Chrysophyceae
83	MP_E378	Leucocryptos marina
20	MP_E378	Stephanoecidae
321	MP_E378	Prorocentraceae
643	MP_E378	Spirotrichea
2	MP_E378	Thoracosphaeraceae
33	MP_E378	Prorocentrum
1884	MP_E378	Syndiniales
54	MP_E378	Geminigeraceae
22	MP_E378	Thalassiosiraceae
21	MP_E378	Rhogostoma sp_
5221	MP_E378	Heterocapsa rotundata
54	MP_E378	Pleurasiga
39	MP_E378	Acanthoecidae
243	MP_E378	Telonema
1	MP_E378	Dinobryon
562	MP_E378	Picozoa
1	MP_E378	Thalassiosira
42	MP_E378	Pigoraptor__f__o
674	MP_E378	Leucocryptos sp_
1	MP_E378	Chaetoceros
3	MP_E378	Ebria tripartita
9	MP_E378	Pterosperma
8	MP_E378	Crustomastix
44	MP_E378	Gymnodinium
802	MP_E378	Euduboscquella sp_
9	MP_E378	Chaetoceros hirtisetus
25	MP_E378	Crustomastigaceae
12815	MP_E378	Unknown
3	MP_E378	Telonema__f
136	MP_E378	Karenia bidigitata
114	MP_E378	Leegaardiella sp_
36	MP_E378	Cercozoa
660	MP_E378	Heterocapsa
11	MP_E378	Heterocapsaceae
27	MP_E378	Cryothecomonas aestivalis
7	MP_E378	Pedinellales
36	MP_E378	Triparmaceae
83	MP_E378	Aureococcus anophagefferens
36	MP_E378	Chrysochromulina
20	MP_E378	Bicosta
247	MP_E378	Picomonadidae
114	MP_E378	Dinobryon balticum
12	MP_E378	Chromulinales
24	MP_E378	Warnowia sp_
5	MP_E378	Acanthoecida
23	MP_E378	Protaspidae
71	MP_E378	Katablepharis japonica
584	MP_E378	Strombidium sp_
108	MP_E378	Haptophyta
88	MP_E378	Heterocapsa triquetra
81	MP_E378	Dissodinium pseudolunula
23	MP_E378	Apicomplexa
14	MP_E378	Triparma
220	MP_E378	Mediophyceae
181	MP_E378	Gymnodiniaceae
298	MP_E378	Picomonas sp_
9	MP_E378	Stephanopyxis turris
28	MP_E378	Eukaryota
15	MP_E378	Stephanopyxidaceae
6	MP_E378	Pterosperma cristatum
84	MP_E378	Syndinium
114	MP_E378	Prymnesiales
12	MP_E378	Cryothecomonas
13	MP_E378	Salpingoecidae
33	MP_E378	Prorocentrum micans
20	MP_E378	Bacillariophyta
23	MP_E378	Incisomonas__f
3	MP_E378	Rhizosoleniaceae
95	MP_E378	Tremula__f__o
592	MP_E378	Ptychodiscus noctiluca
942	MP_E378	Karlodinium veneficum
17	MP_E378	Pleurasiga reynoldsii
39	MP_E378	Pseudotontonia sp_ JG_2011a
5	MP_E378	Triparma pacifica
75	MP_E378	Pyrenomonadales
3	MP_E378	Thaumatomastigidae
283	MP_E378	Prorocentrales
99	MP_E378	Micromonas
58	MP_E378	Incisomonas
404	MP_E378	Hemiselmis cryptochromatica
4	MP_E378	Strombidium
4	MP_E378	Chaetoceros sp_ UNC1415
509	MP_E378	Sinophysis sp_
15	MP_E378	Cymatosiraceae
13	MP_E378	Rhodomonas
78	MP_E378	Paraphysomonas sp_
14	MP_E378	Siphonophorae
1	MP_E378	Bacillariaceae
184	MP_E378	Amphidinium longum
1006	MP_E378	Gymnodinium heterostriatum
726	MP_E378	Gymnodinium sp_
23	MP_E378	Thraustochytriaceae
2	MP_E378	Pirum__f
12	MP_E378	Guinardia striata
14	MP_E378	Acantharea
141	MP_E378	Phytodiniales
3	MP_E378	Crustomastix stigmatica
3	MP_E378	Picomonas
829	MP_E378	Pseliodinium fusus
289	MP_E378	Quadricilia__f__o
88	MP_E378	Paraphysomonas
9	MP_E378	Fragilariopsis sp_
16	MP_E378	Kathablepharidacea
645	MP_E378	Pseudocalanus
191	MP_E378	Bicosta minor
1	MP_E378	Florenciella sp_ RCC1007
8	MP_E378	Amoebophrya sp_ ex Cochlodinium polykrikoides
