reads.in	reads.out
MP_E373_R1_trimmed.fq.gz	133079	121680
MP_E378_R1_trimmed.fq.gz	127385	117784
MP_E380_R1_trimmed.fq.gz	147870	139057
MP_E384_3B_R1_trimmed.fq.gz	156905	146551
MP_E386_1B_R1_trimmed.fq.gz	121223	113092
MP_E394_R1_trimmed.fq.gz	122339	113327
MP_E395_R1_trimmed.fq.gz	145438	134615
MP_E404_R1_trimmed.fq.gz	168515	158156
MP_E405_R1_trimmed.fq.gz	118248	110968
MP_E406_R1_trimmed.fq.gz	145133	136532
MP_E408_R1_trimmed.fq.gz	150010	141508
MP_E412_1B_R1_trimmed.fq.gz	138576	128464
MP_E412_2T_R1_trimmed.fq.gz	113134	105085
MP_E412_3T_R1_trimmed.fq.gz	128984	120151
MP_E413_1B_R1_trimmed.fq.gz	147596	137103
MP_E413_2B_R1_trimmed.fq.gz	122695	114059
MP_E413_3B_R1_trimmed.fq.gz	138019	128040
MP_E418_1B_R1_trimmed.fq.gz	114640	106554
MP_E418_2T_R1_trimmed.fq.gz	103367	92086
MP_E418_3T_R1_trimmed.fq.gz	113749	106757
MP_E419_1B_R1_trimmed.fq.gz	90457	84303
MP_E419_2B_R1_trimmed.fq.gz	84802	79189
MP_E419_3B_R1_trimmed.fq.gz	137546	128526
MP_E423_R1_trimmed.fq.gz	172492	161728
MP_E424_R1_trimmed.fq.gz	128287	119804
MP_E425_R1_trimmed.fq.gz	136422	122873
MP_E428_R1_trimmed.fq.gz	99970	93216
MP_E429_R1_trimmed.fq.gz	68396	63866
MP_E430_R1_trimmed.fq.gz	131523	123103
MP_E431_R1_trimmed.fq.gz	90535	85059
MP_E432_R1_trimmed.fq.gz	99481	93708
MP_E433_R1_trimmed.fq.gz	141036	131071
MP_E434_R1_trimmed.fq.gz	99785	93694
MP_E435_R1_trimmed.fq.gz	144866	136804
MP_E436_R1_trimmed.fq.gz	122199	115059
MP_E437_R1_trimmed.fq.gz	118818	110489
MP_E440_R1_trimmed.fq.gz	89247	82448
MP_E441_R1_trimmed.fq.gz	118082	107425
MP_E444_R1_trimmed.fq.gz	143163	133418
MP_E445_R1_trimmed.fq.gz	92108	86181
MP_E446_1B_PCR1_R1_trimmed.fq.gz	93741	88130
MP_E446_2B_PCR1_R1_trimmed.fq.gz	156652	146245
