ASV	Multi_taxID_entry	USED
ASV_10146	186163, 36331;186163	FALSE
ASV_10180	1989827;1992640;1992769;2001807, 1675520	FALSE
ASV_10216	2248581, 2248578;2248582;2248583, 2248572;2248576, 2248645, 2248644, 2248570;2248571;2248574;2248577, 2248569;2248573;2248575, 1037251	FALSE
ASV_10224	2115077, 2085682;2115132;2334093	FALSE
ASV_10259	2554787;2554789	TRUE
ASV_10311	1072375, 940420;1072375	FALSE
ASV_10320	361005, 1441010, 1441007;1441010	FALSE
ASV_10333	1886293;1886294	TRUE
ASV_10367	2196546;2198103	TRUE
ASV_10395	837100;1099360	TRUE
ASV_10399	2802103;2802104;2802105;2802106;2802107	TRUE
ASV_10441	366657;874853	TRUE
ASV_10442	2509836;2509837;2509838	TRUE
ASV_10519	443219, 443219;457354	FALSE
ASV_10527	2872752, 2872750;2872751, 168771	FALSE
ASV_10532	1072375, 940420;1072375	FALSE
ASV_10539	2017132, 1881774, 1881774;1888100	FALSE
ASV_10552	1692615, 1692615;2548600	FALSE
ASV_10601	2065307, 1477121, 1861855, 981404, 475626;544909, 544909;565288;747254;864826;864827	FALSE
ASV_10620	2554787;2554789	TRUE
ASV_10636	2554787;2554789	TRUE
ASV_10645	1666779, 989835;1666779	FALSE
ASV_10656	1035836;2053695	TRUE
ASV_10766	219348, 1887266, 219348;1887266	FALSE
ASV_10777	901114;1085683	TRUE
ASV_10781	1474169, 1881774, 2164184, 1881774;1888100;2164184;2553912	FALSE
ASV_10801	818436;1098035	TRUE
ASV_10857	219348, 1887266, 219348;1887266	FALSE
ASV_10872	2795334;3054709, 2908799	FALSE
ASV_10910	676265;1320138;1320139	TRUE
ASV_10933	2872752, 2872750;2872751, 168771	FALSE
ASV_10953	1072375, 940420;1072375	FALSE
ASV_1097	2872752, 2872750;2872751, 168771	FALSE
ASV_11048	819697;2660453	TRUE
ASV_11068	2554787;2554789	TRUE
ASV_11285	2109117;2109207	TRUE
ASV_1135	2872752, 2872750;2872751, 168771	FALSE
ASV_11427	1072375, 940420;1072375	FALSE
ASV_11462	1520954;2560868	TRUE
ASV_11499	1072375, 940420;1072375	FALSE
ASV_11539	1893228;1893230	TRUE
ASV_11560	2332731;2332733;2332735	TRUE
ASV_11605	1376081;1376146	TRUE
ASV_11712	912001;1816959	TRUE
ASV_11727	378745;875033	TRUE
ASV_1173	36331, 241406, 241406;946375	FALSE
ASV_11815	219348, 1887266, 219348;1887266	FALSE
ASV_11830	189646, 902892, 189646;902892	FALSE
ASV_11914	89336, 247283, 1205998, 247283;767458	FALSE
ASV_12014	1881774, 1741877;1881774	FALSE
ASV_12035	2065307, 1477121, 1861855, 981404, 475626;544909, 544909;565288;747254;864826;864827	FALSE
ASV_12052	163341;1609944	TRUE
ASV_12055	2554787;2554789	TRUE
ASV_1208	708009, 475626;544909, 747252	FALSE
ASV_12093	2115156;2115157, 2085728	FALSE
ASV_12130	1564259;1569279, 1564257	FALSE
ASV_12294	1927828, 309723;1927828	FALSE
ASV_124	1072375, 940420;1072375	FALSE
ASV_1241	112081;112083	TRUE
ASV_12436	2651588, 2795671, 866028;1709689;1943765, 1943767	FALSE
ASV_12630	2896139;2896145;2896148;2896152;2896158;2896259	TRUE
ASV_12676	1049592, 1704120, 1704119;1704127, 1704127	FALSE
ASV_12743	2795334;3054709, 2908799	FALSE
ASV_1276	2872752, 2872750;2872751, 168771	FALSE
ASV_1278	3037938;3054743	TRUE
ASV_12813	1376081;1376146	TRUE
ASV_12814	1881925, 1881925;2327446	FALSE
ASV_12855	2872752, 2872750;2872751, 168771	FALSE
ASV_1289	496195, 496195;1103170;1413163	FALSE
ASV_12900	496195, 496195;1103170;1413163	FALSE
ASV_1293	236714, 1656575, 236714;1656575;1864008	FALSE
ASV_1296	2503181;2503219	TRUE
ASV_1297	61755, 61755;309591	FALSE
ASV_1300	2332731;2332733;2332735	TRUE
ASV_13066	2248581, 2248578;2248582;2248583, 2248572;2248576, 2248645, 2248644, 2248570;2248571;2248574;2248577, 2248569;2248573;2248575, 1037251	FALSE
ASV_13177	336594, 815499, 336594;815499	FALSE
ASV_13200	47934, 1527696, 83649, 493464, 1091503, 673126, 673127;673134, 673131, 1469975	FALSE
ASV_13380	2872752, 2872750;2872751, 168771	FALSE
ASV_13460	2897529;2897546;2897564	TRUE
ASV_13500	2185075, 1239271;2853650, 1239271	FALSE
ASV_13581	1072375, 940420;1072375	FALSE
ASV_13592	1072375, 940420;1072375	FALSE
ASV_13681	189646, 902892, 189646;902892	FALSE
ASV_13696	2248581, 2248578;2248582;2248583, 2248572;2248576, 2248645, 2248644, 2248570;2248571;2248574;2248577, 2248569;2248573;2248575, 1037251	FALSE
ASV_13741	764688, 2328299, 2328297;2328298	FALSE
ASV_13743	1316372, 1316368;1316369;1316370	FALSE
ASV_13771	1106927;1115403	TRUE
ASV_13849	112081;112083	TRUE
ASV_13958	89336;3044185	TRUE
ASV_1396	2872752, 2872750;2872751, 168771	FALSE
ASV_13971	2857313;2857316	TRUE
ASV_14005	2394313, 2324751;2394979	FALSE
ASV_14056	1763819, 1763819;2798770, 2798770	FALSE
ASV_14070	2082488, 2082479, 2082489, 2044622;2082475	FALSE
