x	MP_E370	MP_E378	MP_E384_3B	MP_E388_1B	MP_E392	MP_E396	MP_E400	MP_E404	MP_E408	MP_E411_1T	MP_E423	MP_E427	MP_E431	MP_E435	MP_E438	MP_E442	MP_E446_1B_PCR1	MP_E446_2B_PCR1	MP_E446_3B_PCR1	MP_E449_1B_PCR1	MP_E449_2B_PCR1	MP_E449_3B_PCR1	MP_E451	MP_E455	MP_E458_1B	MP_E467	MP_E471	MP_E472	MP_E475_PCR1	MP_E486_PCR1	MP_E492_1B_PCR1	MP_E499	MP_E501	MP_E506	MP_E516	MP_E520_1B	MP_E524	MP_E528	MP_E529	MP_E532	MP_E536	MP_E540	MP_E543	MP_E552	MP_E555	MP_E560	MP_E561	MP_E562	MP_E565	MP_E566	MP_E569	MP_E570	MP_E573_1B_PCR1	MP_E573_2B_PCR1	MP_E573_3B_PCR1	MP_E579	MP_E583	MP_E588	MP_E590	MP_E594	MP_E598_1B_PCR1	MP_E598_2B_PCR1	MP_E598_3B_PCR1	MP_E601	MP_E604	MP_E607	MP_E632	MP_E635	MP_E638	MP_E655	MP_E658_1B	MP_E658_2T	MP_E658_3T	MP_E661	MP_E675_1B	MP_E685	MP_E688	MP_E691_1B	MP_E691_2B	MP_E691_3B	MP_E694_1B	MP_E694_2B	MP_E694_3B	MP_E707	MP_E713	MP_E716	MP_E721	MP_E725_1B	MP_E750	MP_E758	MP_E761	MP_E768_1B	MP_E773	MP_E811_1B	MP_E811_2B	MP_E811_3B	MP_E824	MP_E829	MP_E840	MP_E846	MP_E852	MP_E856	MP_E860_1B	MP_E860_2B	MP_E860_3B	MP_E872_1B	MP_E872_2B	MP_E872_3B	MP_E875	MP_POSITIVE
ASV_1	73997	9939	29561	105694	8082	86622	51884	41839	13226	10703	57290	48124	11817	0	3047	17726	46440	85588	31636	3934	2262	7513	292	1900	443	348	1521	3503	824	76065	4083	7702	40410	128008	0	29797	15972	34826	91325	88810	20033	602	2	8402	0	46573	4738	600	8633	11363	5132	1844	79561	24191	13739	16095	0	0	0	4793	0	0	10704	17163	1019	0	4868	0	34	31282	64037	16074	12501	1369	28641	7	1799	26847	867	7756	8815	69753	9118	295	2125	1566	18857	535	0	4129	0	3367	70403	4918	66301	9044	0	3071	11	5454	3306	34	89701	1235	16079	20531	19253	90713	11600	0
ASV_10	0	579	0	0	0	0	0	614	669	134	51254	0	0	0	0	0	105	3	213	55098	241	7576	0	11	0	8	1952	1786	0	0	0	1	0	0	0	0	0	316	0	152	0	53977	1	0	0	0	0	0	0	0	0	0	0	0	0	103708	57186	5957	0	1422	0	4624	1313	181	0	107	39	161	5633	645	1704	1158	630	0	0	0	14	0	0	0	0	0	0	0	36	18	760	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_100	0	0	113	0	0	0	0	10	0	0	0	0	0	0	88	187	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6457	428	1	112	97	0	0	0	0	0	0	69	0	216	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1001	0	0	0	0	0	0	0	0	0	0	0	0	0	709	0	0	1159	172	0	0	0	45	0	0	0	25	6210	330	0	0	0	0	0	0	0	0	0	0	0	51	1022	0	5	0	0	0	108	0	727	0	0	0	0	1421	0	0	0	0	0	0	0	0	0	0	6964	0	928	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1003	1	0	0	0	8	0	0	0	0	0	0	1	0	0	10	34	0	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	1	0	2	2	4	0	0	0	0	0	0	13	9	0	0	0	0	1	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1004	0	0	5	0	9	0	0	3	0	1	0	2	6	1	6	5	10	0	4	0	0	0	0	1	0	0	2	4	0	0	4	2	0	0	0	0	4	0	2	1	0	0	0	0	3	3	7	3	0	3	1	0	7	0	1	0	0	11	1	9	0	4	0	0	0	0	0	4	0	0	2	0	5	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	11	3	4	6	0	0	0	0	0	3	0	48	0	0	0	3	1	0	0	0	0	0
ASV_1006	0	0	530	0	0	0	0	0	378	0	173	246	0	224	482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	416	1608	916	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	714	1297	3975	233	2046	0	0	0	0	0	0	334	0	0	0	0	0	0	0	871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1008	0	0	0	0	0	0	0	807	22	386	36	240	396	300	0	0	0	90	568	23	0	43	0	26	0	0	1	2	0	164	1114	669	0	0	171	0	596	2236	1667	717	651	10	0	0	0	0	0	0	0	0	0	0	18	7	386	20	154	0	0	569	46	14	66	0	1110	102	44	0	701	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	405	87	0	0	95	0	0	0	0	386	120613	0	0	0	0	0	186	0	0	0	0	36	346	0
