ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_10	Eukaryota	Arthropoda	Thecostraca	Balanomorpha	NA	NA	NA
ASV_100	Eukaryota	Echinodermata	Ophiuroidea	Amphilepidida	Ophiuridae	Ophiura	Ophiura sarsii
ASV_1000	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	Umbonulidae	Oshurkovia	Oshurkovia littoralis
ASV_1001	Eukaryota	Annelida	Polychaeta	Spionida	Magelonidae	NA	NA
ASV_1002	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	Cribrilinidae	Reginella	Reginella hippocrepis
ASV_1003	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	NA	NA
ASV_1004	Eukaryota	Porifera	Demospongiae	Spongillida	NA	NA	NA
ASV_1005	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_1006	Eukaryota	Echinodermata	Ophiuroidea	Amphilepidida	Amphiuridae	Amphipholis	Amphipholis torelli
ASV_1007	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_1008	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	Sagittidae	NA	NA
ASV_1009	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Euphausia	Euphausia pacifica
ASV_101	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_1010	Bacteria	Bacillota	NA	NA	NA	NA	NA
ASV_1011	Eukaryota	Arthropoda	Thecostraca	Balanomorpha	NA	NA	NA
ASV_1012	Eukaryota	Mollusca	Bivalvia	Adapedonta	Pharidae	Siliqua	Siliqua alta
ASV_1013	Eukaryota	Chordata	Actinopteri	Aulopiformes	Paralepididae	NA	NA
ASV_1014	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	Sagittidae	NA	NA
ASV_1015	Eukaryota	Mollusca	Bivalvia	Galeommatida	Lasaeidae	NA	NA
ASV_1016	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	NA
ASV_1017	Eukaryota	Chordata	Mammalia	NA	NA	NA	NA
ASV_1019	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	Electridae	NA	NA
ASV_102	Eukaryota	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
ASV_1020	Eukaryota	Mollusca	Bivalvia	Cardiida	Tellinidae	NA	NA
ASV_1021	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	NA
ASV_1022	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	Sagittidae	NA	NA
ASV_1023	Eukaryota	Porifera	NA	NA	NA	NA	NA
ASV_1024	Bacteria	Candidatus Woesebacteria	NA	NA	NA	NA	NA
ASV_1025	Eukaryota	Porifera	NA	NA	NA	NA	NA
ASV_1026	Eukaryota	Arthropoda	Branchiopoda	Diplostraca	NA	NA	NA
