All percentages range 0-100% of the total count for either Eukaryotes or Prokaryotes, with exception of the first three data rows (% Known, % Eukaryote, % Prokaryote), which represent %s of total reads.
Taxonomy String (K->S)	Terminal Taxa	MP_E370	MP_E378	MP_E384_3B	MP_E388_1B	MP_E392	MP_E396	MP_E400	MP_E404	MP_E408	MP_E411_1T	MP_E423	MP_E427	MP_E431	MP_E435	MP_E438	MP_E442	MP_E446_1B_PCR1	MP_E446_2B_PCR1	MP_E446_3B_PCR1	MP_E449_1B_PCR1	MP_E449_2B_PCR1	MP_E449_3B_PCR1	MP_E451	MP_E455	MP_E458_1B	MP_E467	MP_E471	MP_E472	MP_E475_PCR1	MP_E486_PCR1	MP_E492_1B_PCR1	MP_E499	MP_E501	MP_E506	MP_E516	MP_E520_1B	MP_E524	MP_E528	MP_E529	MP_E532	MP_E536	MP_E540	MP_E543	MP_E552	MP_E555	MP_E560	MP_E561	MP_E562	MP_E565	MP_E566	MP_E569	MP_E570	MP_E573_1B_PCR1	MP_E573_2B_PCR1	MP_E573_3B_PCR1	MP_E579	MP_E583	MP_E588	MP_E590	MP_E594	MP_E598_1B_PCR1	MP_E598_2B_PCR1	MP_E598_3B_PCR1	MP_E601	MP_E604	MP_E607	MP_E632	MP_E635	MP_E638	MP_E655	MP_E658_1B	MP_E658_2T	MP_E658_3T	MP_E661	MP_E675_1B	MP_E685	MP_E688	MP_E691_1B	MP_E691_2B	MP_E691_3B	MP_E694_1B	MP_E694_2B	MP_E694_3B	MP_E707	MP_E713	MP_E716	MP_E721	MP_E725_1B	MP_E750	MP_E758	MP_E761	MP_E768_1B	MP_E773	MP_E811_1B	MP_E811_2B	MP_E811_3B	MP_E824	MP_E829	MP_E840	MP_E846	MP_E852	MP_E856	MP_E860_1B	MP_E860_2B	MP_E860_3B	MP_E872_1B	MP_E872_2B	MP_E872_3B	MP_E875	MP_POSITIVE
	% Known	99.6373132163064	68.9559529001308	86.3533420818694	99.7107370780829	98.5998854451728	99.6030382183118	99.2684578911718	98.6151781954224	96.3004128294697	98.5145972996623	99.6090002234284	99.5672997522709	98.6926381823453	98.5287693344292	98.9157145038804	98.3964411338713	99.1466304329815	99.0498279215921	98.9564040461604	99.9227848542201	99.8448031891423	99.8958710910469	97.4030792060842	96.8918872602223	89.7763298860879	99.730585346944	99.9862856359179	99.9697437878203	99.9847383429053	99.343839426061	98.2570006650919	97.2069289646838	98.5645617962731	99.8096552560933	75.4840827042993	99.293449933399	97.7475905978806	97.7601884112513	99.804189318012	99.7472136045042	98.7592267371835	99.9671291413858	99.8926453350046	94.0825688073395	97.2263183765185	95.6870370072793	98.2071138260263	97.1856818854156	99.1357420737531	99.2612650507387	99.8953131880458	98.6465930808534	99.5427667507815	99.7231392688082	99.4045555830651	99.7919944531854	95.1406539439107	95.2004363239705	97.542638357118	98.9805622564483	98.7150431882323	96.9981015662079	94.5279585171889	99.9301937440903	99.4535337043084	97.8283595091719	98.9401701367674	89.5763838925589	99.9560131323112	98.8186224944983	98.5529775927245	97.6249664460862	97.5714684246847	97.88336030909	98.4834123222749	99.6836264053041	99.6867819139534	99.2779719033017	98.9341904923025	99.0198714157328	98.889906576296	99.7363151692939	55.713979946326	99.8732066557821	99.2748775001752	99.5309543621244	99.0260632300973	95.7607691107457	99.1872914276089	96.9667853742816	99.2072701370618	98.0084769290566	98.1956626681604	99.8778569062603	99.6991277232312	99.6546986080411	99.9637348916968	99.1252065880207	95.0343118566527	99.8796212080681	96.4915184112536	100	99.8288289121846	98.6160956339883	98.9855026082504	98.2444493619532	98.8928480529397	99.5136823005676	99.8719425123221	100
	% Eukaryote	97.6685640163508	68.8547754034017	51.4752571646277	99.6646357999024	79.1085937334267	96.8380533406654	99.226311432227	97.0883484971647	95.5789536360749	98.3981660266563	99.5938859463509	96.18717313515	95.3912860117557	91.0593305048979	84.7089366782824	70.9541544737075	98.1399857495567	97.7888264660672	97.2868286080638	99.9175597691674	99.8394778083776	99.891257784954	81.7751808569839	96.8661814941334	77.4755668277325	99.730585346944	99.9862856359179	99.9697437878203	99.9847383429053	94.6975131997904	94.7824690961631	91.4686003312296	93.5668663988938	99.0232508758892	74.8276993764358	97.8475319009286	86.3481749596616	86.6618916392507	97.8898822559452	99.1981418558461	97.4774083718552	99.934943092326	99.8926453350046	93.7889908256881	74.8683378976196	85.4453568157349	84.8969481253457	74.1563948328567	90.8565704568221	89.5433513854566	96.4647429772597	84.242755177659	97.8426424616775	98.185994515188	96.2106957167616	99.7919944531854	94.1498298367294	76.8702845195891	68.2144100243648	92.8210243087771	96.3760369451809	90.3179876601803	85.5109316181786	99.7271209996256	98.5571956949119	96.9410359160714	98.3761808525638	89.4804543571631	99.9560131323112	95.3964194373402	94.4858379444475	90.1882520453299	91.9141938420427	91.942776588524	89.7555989220333	99.1726722398386	99.6832467211086	98.0698376476741	98.1159932944741	97.917610821357	93.1599193991574	98.0808688415172	53.7020267711609	99.8688644179664	99.2748775001752	99.5309543621244	96.7939668975187	91.9584238510748	93.6867703256098	96.6988117485279	97.0060086625843	93.1499750134187	94.9886602726999	97.9121811858231	89.9650246513	83.60236573272	99.9637348916968	79.4323816036929	15.2115897826916	94.6899577336686	45.4633843607778	98.406374501992	90.4680835314908	60.7136402365031	70.0035203379524	89.9424651471564	92.3135657928226	98.094816127603	99.8714818738772	100
	% Prokaryote	1.96874919995562	0.101177496729176	34.8696185920501	0.0461012781805362	19.4912917117461	2.76498487764641	0.0421464589448333	1.52682969825771	0.721459193394729	0.116431273006024	0.015114277077556	3.38012661712084	3.30135217058963	7.46943882953123	14.206777825598	27.4422866601638	1.00664468342475	1.26100145552487	1.6695754380966	0.00522508505277336	0.00532538076472468	0.00461330609285926	15.6278983491004	0.0257057660889534	12.3007630583554	0	0	0	0	4.64632622627061	3.47453156892874	5.73832863345419	4.99769539737934	0.786404380204147	0.656383327863472	1.44591803247042	11.399415638219	11.0982967720005	1.91430706206683	0.549071748658098	1.28181836532833	0.0321860490597565	0	0.293577981651376	22.357980478899	10.2416801915444	13.3101657006806	23.0292870525589	8.27917161693107	9.71791366528209	3.43057021078606	14.4038379031944	1.70012428910399	1.53714475362015	3.19385986630354	0	0.990824107181321	18.3301518043814	29.3282283327532	6.15953794767118	2.3390062430514	6.68011390602753	9.0170268990103	0.203072744464681	0.896338009396555	0.88732359310053	0.5639892842036	0.0959295353958183	0	3.42220305715815	4.067139648277	7.42504347420142	5.65727458264202	5.94058372056597	8.72781340024161	0.510954165465552	0.00353519284476968	1.20694573201169	0.818197197828394	1.10226059437578	5.72998717713867	1.65544632777672	2.01195317516506	0.00434223781568069	0	0	2.23114892326932	3.8023452596709	5.50052110199914	0.267973625753676	2.20126147447754	4.8585019156379	3.19789418076163	1.96567572043723	9.72398971809026	16.0379951012605	0	19.6857012594746	79.8227220739611	5.18966347439944	51.0281340504758	1.59362549800797	9.35149288946049	37.8353257080891	28.8955739751016	8.28354355683411	6.56655637566811	1.41675633478912	0.00046063844488461	0
	<<<Annelida>>>
Eukaryota;Annelida;Polychaeta;Chaetopteridae__o;NA;NA;NA	Chaetopteridae__o	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00162625424858922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112362419877934	0	0.00978712992414974	0	0	0	0	0	0	0	0	0	0.00137051072082011	0	0	0	0	0	0	0	0	0.0172259353682905	0	0.00384938140440831	1.88398964606257	0.00772011991919608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14028306004115	0	0	0	0	0	0	0	0.00121191555372422	0	0.0125513822209671	0.0104871270515442	0.0697314917498404	0	0	0	0	0.000978789628745094	0.0287142540167326	0.0213497539159943	0.00182317067612285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Sabellida;Oweniidae;NA;NA	Oweniidae	0	0	0	0	0	0	0	0	0.00311484430969859	0.00146989651928504	0.00197946633587585	0	0	0	0	0	0.0303918009674723	0.0264301860545992	0.0118985511225825	0.390461581369405	0.220215643692612	0.0917068021376262	0.0793920834751049	0.195197320312316	0	0.0116608254568776	0	0.00257577611354021	0.011247148044603	0	0	0	0	0	0	0	0	0	0	0	0.00483198497942955	0.204891352762607	0.00232367652099151	0	0	0	0	0	0	0	0.00172259353682905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Spionida;Magelonidae;Magelona;NA	Magelona	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.596016985639874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.13031867377547	10.2178408543667	4.48658280364884	3.21650171786062	1.32117849121416	1.72948391097637	0	0	0	0	0	0	0	0	1.04955393957568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Spionida;Magelonidae;NA;NA	Magelonidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57650713112488	0	0	0.978447147813901	0.11963136845766	0	0	0	0.0296892524905984	0	0	0	0.01619559091233	3.54907843977711	0.212501529367067	0	0	0	0	0	0	0	0	0	0	0	0.0421958383320233	0.705469806996714	0	0.00290459565123939	0	0	0	0.152970170816691	0	0.932003487000667	0	0	0	0	1.26399871910052	0	0	0	0	0	0	0	0	0	0	5.88613158428562	0	0.55418866301985	0	0	0	0	0	0	0	0	0	0	0.207843517463703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Spionida;NA;NA;NA	Spionida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4368510321433	0	0	0	0	0	0	0	0	0	0	0	0	0.0315649275161482	0	0	0	0	0	0	0	0	0	0	0	0.533335587260802	0	0.265150610324153	0	0	0	0	0	0	0	0	0	0	0	0	0.157676739150899	0	0	0	0	0	0.00745489786789921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	<<<Apicomplexa>>>
