x	E370	E378	E384	E388	E392	E396	E400	E404	E408	E411	E423	E427	E431	E435	E438	E442	E446	E449	E451	E455	E458	E467	E471	E472	E475	E486	E492	E499	E501	E506	E516	E520	E524	E528	E529	E532	E536	E540	E543	E552	E555	E560	E561	E562	E565	E566	E569	E570	E573	E579	E583	E588	E590	E594	E598	E601	E604	E607	E632	E635	E638	E655	E658	E661	E675	E685	E688	E691	E694	E707	E713	E716	E721	E725	E750	E758	E761	E768	E773	E811	E824	E829	E840	E846	E852	E856	E860	E872	E875
ASV_1	63.3774709650896	25.143565483569	36.2315998480187	95.8189037767664	17.388498031369	74.7243836372733	78.6729139183308	41.5510512150795	13.6294311624073	7.85685446870986	37.795472987683	53.2156758669498	15.7799855780787	0	4.2766112732989	26.6248103699476	42.0152254874501	2.98859933466882	2.78042277661398	1.12017073760295	1.07888263802635	0.225442625499634	0.869267038148307	2.25573593143284	0.661974999196632	61.7205313166884	9.53014494783278	17.7326518395727	67.4894782550605	97.259430915929	0	57.9313696898999	35.6287224787526	43.2470693423406	58.939127965511	73.0742014580282	13.6489681344661	0.412390908219047	0.00116183826049576	81.9307654802535	0	39.1060842695686	5.80132482766221	1.21758188238159	10.1431055550334	15.0475408533517	4.26837889764041	3.64542147714692	32.8341068172995	10.7526522540819	0	0	0	5.61602905852715	9.40977899678253	10.899288113851	0.853519616711897	0	2.89053036600717	0	0.0216842266384347	23.5353421359515	27.509323241459	1.46045360472807	54.0508407405311	0.00506069215809602	1.27595891965502	7.58693815610001	27.3293490205256	0.256517277960383	1.36391935866907	0.833883575795012	18.0411779338321	0.670552108792379	0	3.75353399452742	0	6.35846883085	65.308905380334	23.9977469336283	0	4.41432247121563	0.110319927790593	14.6074939068484	7.08772832518652	1.04198590254367	46.1373144869764	85.2828654540617	5.35025736582846
ASV_10	0	1.46474740064257	0	0	0	0	0	0.609774264348068	0.689406430338005	0.0983666727839971	33.813391037017	0	0	0	0	0	0.0938222504606544	12.3981464485497	0	0.00648519900717499	0	0.00518258909194561	1.11558794113445	1.1500840346957	0	0	0	0.00230234378597412	0	0	0	0	0	0.392410093383668	0	0.125067882238715	0	36.9761196892682	0.000580919130247878	0	0	0	0	0	0	0	0	0	0	69.2846262793619	86.3119764546072	28.4397975747159	0	1.66617845216474	5.86780271973768	0.114943258673136	0	0.136116729636556	0.023157494715341	0.391860974541206	3.59256613689125	0.485272542602415	1.1722139144183	0	0	0	0.00992964139809351	0	0	0	0.0231063985468643	0.00958486868729898	0.72711964945179	0	0	0	0	0	0.0398886827458256	0	0	0	0	0	0	0	0	0	0
ASV_100	0	0	0.138499062373604	0	0	0	0	0.00993117694377961	0	0	0	0	0	0	0.12351223894004	0.280877780614927	0	0	0	0	0.13881785636005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.42176767931214	0.52405382571537	0.00202930313730265	0.131591314973212	0.128453002092327	0	0	0	0	0.104143083540865	0	0.770767913217242	0.289413556740289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0323939099449304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.532802284511911	0	0	0.362207076485149	0.00989596046893658	0	0	0	0.01619559091233	3.54907843977711	0.212501529367067	0	0	0	0	0	0	0	0	0	0	0	0.0419635657511478	0.696313354636071	0	0.00290459565123939	0	0	0	0.13223788125528	0	0.854168624870759	0	0	0	0.414838429043945	0	0	0	0	0	0	0	5.8330820517975	0	0.551029617841959	0	0	0	0	0	0	0	0	0.068438894841543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0127699395622704	0	0	0.0282411537795008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1003	0.000856487032786324	0	0	0	0.0172120742701005	0	0	0	0	0	0	0.00110580325548478	0	0	0.0140354816977319	0.0510686873845322	0	0	0.0285659874309655	0	0.0170478069214096	0	0	0	0	0	0	0	0	0.00075979181704213	0	0.00388840283853407	0.00446139775591693	0.00496721637194516	0	0	0	0	0	0	0.0938899321103568	0.00755705577107159	0	0	0	0	0.000831718413413955	0	0	0	0	0.0763868996467106	0	0	0	0	0	0	0	0	0	0	0	0.00640081930487102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1004	0	0	0.00612827709617718	0	0.019363583553863	0	0	0.00297935308313388	0	0.000734079647641769	0	0.00221160651096957	0.00801217851133723	0.000751484181257984	0.00842128901863912	0.00751010108596062	0.0039852587267025	0	0	0.000589563546106817	0	0	0.00114302043149021	0.00257577611354021	0	0	0.00933641435006886	0.00460468757194824	0	0	0	0	0.00892279551183386	0	0.00129075560833312	0.000822815014728389	0	0	0	0	0.0216669074100823	0.0025190185903572	0.00857097378506447	0.00608790941190795	0	0.00397277326058744	0.000831718413413955	0	0.00218081222045051	0	0	0.0525159935071135	0.00356836996859834	0.010545433241549	0.00407747196738022	0	0	0	0	0.00973567638611693	0	0	0.0029712875393838	0	0	0	0	0	0.00219737417224129	0	0	0	0	0	0.0116749275623813	0.00272719834913593	0.0046322567196674	0.0113308027873775	0	0	0	0.00431226552056232	0	0.128558802260492	0	0	0.00369857109487743	0	0
ASV_1006	0	0	0.649597372194781	0	0	0	0	0	0.389530090684254	0	0.114131904815311	0.272027600849257	0	0.168332456601789	0.676510217830676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.488767741329072	2.12940646767487	0.761854066687182	0.733433496757868	0	0	0	0	0	0	0	0	0	0	0	0	0	0.537185419252906	2.00149987407058	2.18267938296102	0	0	0	0	0.137489297240335	0	0	0	0	0	0.924441991530371	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1008	0	0	0	0	0	0	0	0.801445979363014	0.0226710634789777	0.283354743989723	0.0237499917534751	0.265392781316348	0.528803781748257	0.225445254377395	0	0	0.190968263345639	0.0139105778826409	0	0.0153286521987772	0	0	0.000571510215745106	0.00128788805677011	0	0.133072597593333	2.60019139649418	1.54026799281669	0	0	7.43478260869565	0	1.32949653126324	2.77667395191735	1.07584479954565	0.589958365560255	0.443542068364072	0.00685034731260875	0	0	0	0	0	0	0	0	0	0	0.166818359943927	0.0133614815210711	0.2324352879028	0	0	0.666705723826821	0.105500968863374	0	0.929741682581164	0.129756134793726	0.0261264042942308	0	0.447077731574785	0	0	0	0	0	0	0.00658450008679568	0	0	0	0	0.387478234247335	0.10904305320549	0	0	0.110016097092101	0	0	0.154287678570001	62.5090047835483	0	0	0	0	0	0.0574691335137741	0.0127211627142721	0.159585262808332
