Value	Sample	TerminalTaxa
1	MP_E370	Engraulis mordax
3171	MP_E370	Sphingomonadales
20	MP_E370	Iodidimonadales
19700	MP_E370	Bacteria
209	MP_E370	Unknown
6671	MP_E370	Planctomycetota
232	MP_E370	Nitrospina
7	MP_E370	Acidobacteriota
12	MP_E370	Acidobacterium sp_ SCGC AAA007_P13
4593	MP_E370	Chloroflexota
9	MP_E370	Telonemida
2	MP_E370	Flavobacteriales
15	MP_E370	Fibrella aquatilis
34	MP_E370	Pelagomonadales
277	MP_E370	Planctomycetaceae
4989	MP_E370	Gammaproteobacteria
11	MP_E370	Vicinamibacteria
3	MP_E370	Candidatus Nitromaritima sp_ SCGC AAA288_L16
13	MP_E370	Thalassionema sp_ CCMP1100
319	MP_E370	Pirellulaceae
415	MP_E370	Thiotrichales
3608	MP_E370	Eukaryota
6	MP_E370	Euryarchaeota
19	MP_E370	Virgulinella fragilis
54	MP_E370	Verrucomicrobiota
1328	MP_E370	Deltaproteobacteria
394	MP_E370	Chaetoceros sp_
2	MP_E370	Porticoccaceae
307	MP_E370	Acidobacterium sp_ SCGC AAA007_N14
135	MP_E370	Colwelliaceae
89	MP_E370	Nitrospina sp_ SCGC AAA288_E23
1176	MP_E370	Candidatus Falkowbacteria
322	MP_E370	Dictyocha speculum
4133	MP_E370	Chloroparvula pacifica
65	MP_E370	Nitrospinaceae
1	MP_E370	Myxococcales
76	MP_E370	Candidatus Marinimicrobia
680	MP_E370	Picozoa
228	MP_E370	Pseudo_nitzschia
1	MP_E370	Desulfobulbales
42186	MP_E370	Pseudoalteromonas
4	MP_E370	Planctomycetia
15	MP_E370	Cellvibrionaceae
11	MP_E370	Leiosporocerotopsida
179	MP_E370	Gemmatimonadota
37	MP_E370	Alphaproteobacteria
38	MP_E370	Cycloclasticus
723	MP_E370	Dehalococcoidia
151	MP_E370	Oxalobacteraceae
12	MP_E370	Nitrospina sp_ SCGC AAA288_O16
3	MP_E370	Candidatus Brocadiales
461	MP_E370	Cytophagia
54	MP_E370	Nitrospina sp_ SCGC AAA003_G17
78	MP_E370	Candidatus Poribacteria
1100	MP_E370	Alteromonadales
13	MP_E370	Actinocyclus
2209	MP_E370	Sinobacterium
64	MP_E370	Rotaliida
483	MP_E370	Psychromonas
94	MP_E370	Vicinamibacterales
4371	MP_E370	Homo sapiens
29	MP_E370	Meringosphaera mediterranea
4	MP_E370	Nitrospina sp_ SCGC AAA001_J21
70	MP_E370	Methylococcales
54	MP_E370	Planctomycetales
9	MP_E370	Phaeocystis jahnii
1960	MP_E370	Florenciella
154	MP_E370	Koliellaceae
54	MP_E370	Crenothrix polyspora
1	MP_E370	Colwellia
18	MP_E370	Pelagomonas
64	MP_E370	Rhizosolenia sp_
343	MP_E370	Bacillariophyta
62	MP_E370	Candidatus Brocadiaceae
1	MP_E370	Allosmerus elongatus
30	MP_E370	Nocardioidaceae
31	MP_E370	Actinomycetes
89	MP_E370	Nitrospina sp_ SCGC AAA003_C16
24	MP_E370	Bacteroidota
6	MP_E370	Anaeromyxobacteraceae
401	MP_E370	Rhizosoleniaceae
65	MP_E370	Sedimentisphaerales
533	MP_E370	Prasinoderma coloniale
16	MP_E370	Bacterioplanes
42	MP_E370	Pseudomonadota
18	MP_E370	Dinophysis
7	MP_E370	Psychrobium
19	MP_E370	Phycisphaerales
1761	MP_E370	Cytophagales
32	MP_E370	Elliptochloris bilobata
37	MP_E370	Methylococcaceae
623	MP_E370	Nitrospina sp_ SCGC AAA288_C20
2	MP_E370	Chrysochromulina sp_ clone 124
4	MP_E373	Engraulis mordax
9363	MP_E373	Bacteria
667	MP_E373	Unknown
1883	MP_E373	Planctomycetota
112	MP_E373	Nitrospina
5632	MP_E373	Pelagomonadales
2227	MP_E373	Planctomycetaceae
302	MP_E373	Gammaproteobacteria
2	MP_E373	Candidatus Nitromaritima sp_ SCGC AAA288_L16
346	MP_E373	Thalassionema sp_ CCMP1100
3	MP_E373	Thiotrichales
14788	MP_E373	Eukaryota
160	MP_E373	Virgulinella fragilis
4	MP_E373	Verrucomicrobiota
222	MP_E373	Deltaproteobacteria
