Sample	lat	long	replicates	controls	group1	group2	group3	group4	group5	group6	group7	group8	Depth	Altitude	rough_mi_offshore	hr_afterLD	CTDTEMP	CTDSAL	CTDOXY	DIC	TA	pH	Carbonate	Silicate	Phosphate	Nitrate	Nitrite	Ammonium	Methane	aragonite_sat	degLat	Chl_a	SYNECHOCOCCUS	EUK_PHYTOPLANKTON	LARGE_DIATOM	CRYPTOPHYTE	BACTERIA	BACTERIA_HNA	BACTERIA_LNA	mL_filt
Anacapa	33.993	-119.371	E856_E857_E858_E859	NA	Line16	day	undersat_arg_oversat_arg	benthic_pelagic_surface	upper100	waySouth	near	shelf	81.9_59.1_29.6_3.3	10.1_32.9_62.4_88.7	13	9.6_9.7_9.8	10.322_11.068_13.912_19.517	33.771_33.588_33.502_33.537	144.4_171.8_247.4_262.4	2151.6_2129.5_2052_1996.5	2235.1_2229.5_2233.3_2237.6	7.5864_7.6296_7.837_7.9665	81.11795174_86.7303874_136.533843_167.1096243	18.6_14.1_2.6_0.8	1.55_1.33_0.44_0.2	18_14.7_0.6_0	0.04_0.03_0.02	0.04_0.01	4.935_5.21_5.156_4.582	1.14430607_1.281028792_2.017005279_2.67417149	33.993	NA_1.1_0.9	NA	NA	NA	NA	NA	NA	NA	1000
B17	41.941_41.942	-124.602	E626_E627	NA	Line8	day	undersat_arg_oversat_arg	pelagic_surface	upper100	waySouth	offshore	shelf	99.2_3.6	337.8_433.4	17	6.7_7	8.196_11.561	33.946_33.298	114.3_254	2218_2055.5	2261_2236.1	7.4464_7.8329	60.94214489_130.3730327	39.6_9.4	2.24_0.98	29.3_8.9	0.31_0.44	0.04_0.2	11.093_5.797	0.857622996_2.000973697	41.941_41.942	NA_3	NA	NA	NA	NA	NA	NA	NA	1000
B26	41.899_41.898	-124.795_-124.796	E622_E623	NA	Line8	day	undersat_arg_oversat_arg	pelagic_surface	upper100	waySouth	offshore	shelf	99.4_4.2	597.6_692.8	26	4.4_4.7	8.27_11.796	33.787_33.132	159_263.9	2190.5_2069.1	2248.8_2220.8	7.5048_7.7744	68.65169747_114.093709	32.5_11.7	1.98_1.09	26.4_10.5	0.18_0.36	0.04_0.24	6.649_5.254	0.952775899_1.736926719	41.899_41.898	NA	NA	NA	NA	NA	NA	NA	NA	1000
B2_5	41.998	-124.283	E638_E639_E640	NA	Line8	day	oversat_arg	benthic_pelagic_surface	upper100	waySouth	near	shelf	26.1_10.4_3.1	9.9_25.6_32.9	2.5	13_13.1	10.144_12.893_13.249	33.447_33.331_33.31	247.7_368.6_375.6	2049.6_1998.2_1976.8	2252_2251.9_2250.5	7.8575_7.9829_8.0243	136.1401956_170.4718264_184.9268011	3.1_1.1_0.8	0.7_0.36_0.32	1.6_0	0.23_0.03	0.26_0.05_0.03	9.881_9.932_9.274	2.180469548_2.706174383_2.907401679	41.998	NA_18.5	4965_1055_828	3760_3510_2510	1640_922_673	10.7_10.2_8.63	2430000_2230000_2510000	1280000_1290000_1410000	735000_662000_819000	1000
B5	41.993	-124.327	E635_E636_E637	NA	Line8	day	undersat_arg_oversat_arg	benthic_pelagic_surface	upper100	waySouth	near	shelf	36.4_19.5_3.6	9.6_26.5_42.4	5	11.9_12.1	9.443_9.841_13.517	33.759_33.462_33.339	149.5_217.1_355.5	2183.2_2145.2_1948.3	2254.8_2240.7_2251.5	7.5372_7.6123_8.0748	73.85526177_83.84894603_196.4576601	29.3_19.2_0.6	1.98_1.55_0.24	19.8_16.4_0	0.54_0.59_0.03	3.83_1.44_0.04	17.746_10.781_8.441	1.068056864_1.25079548_3.19848794	41.993	NA_9.4_19.1	1795_5735_1110	2630_4830_6790	1120_1010_2840	7.62_0	1200000_1210000_2570000	709000_606000_1220000	289000_379000_969000	1000
B9	41.975	-124.416	E632_E633_E634	NA	Line8	day	undersat_arg_oversat_arg	benthic_pelagic_surface	upper100	waySouth	near	shelf	78.4_39.4_3.8	9.6_48.6_84.2	9	10.2_10.3_10.5	8.331_8.577_10.849	33.885_33.75_33.465	117.5_152_270.5	2212.7_2188.1_2066	2252.6_NA_2246.3	7.4475_7.4986_7.8252	61.59365865_67.72051678_125.1370943	40.5_31_12.4	2.19_1.98_1.08	27.5_25.8_9	0.36_0.29_0.46	0.54_0.15_0.36	29.787_13.231_9.857	0.840277997_NA_1.990761955	41.975	NA_8.7	468.5_778_10750	216_366_4080	149_68_858	0	733000_641000_2770000	508000_505000_1340000	120000_73000_1070000	1000
BS14	48.719_48.718	-125.677	E411_E412_E413	NA	Line2	day	undersat_arg_oversat_arg	benthic_pelagic_surface	deep_upper100	northBound	near	shelf	156.6_79_3.1	10.4_88_163.9	14	13.2_13.3_13.6	7.709_8.236_8.235_17.599_17.716_17.751	33.309_33.033_33.034_31.496_31.488_31.487	100.2_125.3_124.9_346.1_346.2	2219.4_2188.1_1880.1	2237.4_2226.5_2163.5	7.3744_7.4412_8.0813	51.4469261_58.08017187_194.361735	51.3_44.1_0.4	2.55_2.29_0.18	29.5_27.1_0	0.23_0.22_0.02	1.87_1.46_0.08	38.073_23.455_7.902	0.69536937_0.823368692_3.051104986	48.719_48.718	NA_1	1135_NA_809_10850	813_NA_536_2220	52.4_NA_64.7_328	0_NA_9.25	1120000_NA_1260000_5020000	876000_NA_796000_2740000	224000_NA_573000_2580000	1000
BS2	48.865	-125.425	E423_E424_E425	NA	Line2	day	undersat_arg_oversat_arg	benthic_pelagic_surface	upper100	northBound	near	shelf	43.5_20.5_3.3	10.5_33.5_50.7	2	0.7_0.8	9.224_9.83_16.577	32.359_32.195_29.785	148.2_187.7_346.3	2148_2117.1_1828.2	2205.5_2198.8_2072	7.5011_7.5684_8.0419	64.76379116_72.31976412_150.5299182	42.9_38.9_1.9	2.23_1.98_0.17	19.2_0	0.34_0.33_0.06	4.52_2.59_0.11	30.182_31.285_10.258	0.954676231_1.137430828_2.669807654	48.865	NA_6.1	432_NA_22000	921_NA_7830	247_NA_2330	0_NA	1730000_NA_10000000	1040000_NA_6100000	583000_NA_2770000	1000
BS20	48.658	-125.782	E408	NA	Line2	day	undersat_arg	benthic	upper100	northBound	offshore	shelf	56.7	10.3	20	11	8.334	32.905	127.9	2186.1	2220.2	7.4321	56.65955223	46.9	2.34	27.5	0.26	1.33	32.477	0.799742935	48.658	NA	NA	NA	NA	NA	NA	NA	NA	1000
BS32	48.537_48.536	-125.996	E404_E405_E406	NA	Line2	day	undersat_arg_oversat_arg	benthic_pelagic_surface	deep_upper100	northBound	offshore	shelf	114_59.3_3.4	10_64.7_120.6	32	9.2_9.3_9.5	7.131_7.874_16.756	33.641_32.899_31.726	73.2_126_290.5	2247.8_2186.6_1922.2	2251.3_2213.6_2154.9	7.3183_7.3995_7.9703	46.5864774_53.13741077_155.2343153	52.8_41.8_4.2	2.62_2.33_0.32	33_28.8_0	0.2_0.17_0.03	0.67_0.33_0.04	67.326_16.706_5.917	0.629579869_0.752493754_2.553305791	48.537_48.536	NA_1.3	NA	NA	NA	NA	NA	NA	NA	1000
