Value	Sample	TerminalTaxa
63	MP_E1032_OC0821_PCR1	Gyrodinium helveticum
7665	MP_E1032_OC0821_PCR1	Gymnodiniales
70	MP_E1032_OC0821_PCR1	Leegaardiella
86	MP_E1032_OC0821_PCR1	Euduboscquella sp_
6860	MP_E1032_OC0821_PCR1	Dinophyceae
6396	MP_E1032_OC0821_PCR1	Environmental Unknown
218	MP_E1032_OC0821_PCR1	Ceratoperidiniaeceae
21	MP_E1032_OC0821_PCR1	Micromonas
131	MP_E1032_OC0821_PCR1	Rhogostoma sp_
325	MP_E1032_OC0821_PCR1	Chaetoceros constrictus
26	MP_E1032_OC0821_PCR1	Katablepharis japonica
12138	MP_E1032_OC0821_PCR1	Amoebophryaceae
270	MP_E1032_OC0821_PCR1	Leucocryptos sp_
1312	MP_E1032_OC0821_PCR1	Amoebophrya sp_
90	MP_E1032_OC0821_PCR1	Unknown
82	MP_E1032_OC0821_PCR1	Prorocentraceae
9	MP_E1032_OC0821_PCR1	Kryptoperidiniaceae
3	MP_E1032_OC0821_PCR1	Rhogostomidae
7	MP_E1032_OC0821_PCR1	Chaetoceros curvisetus
2	MP_E1032_OC0821_PCR1	Pleurasiga reynoldsii
15	MP_E1032_OC0821_PCR1	Halocafeteria__f
9	MP_E1032_OC0821_PCR1	Cylindrotheca sp_ RCC2608
261	MP_E1032_OC0821_PCR1	Strombidium cf_ basimorphum
48	MP_E1032_OC0821_PCR1	Cercomonadidae
1767	MP_E1032_OC0821_PCR1	Syndiniales
7	MP_E1032_OC0821_PCR1	Coutea__f
21	MP_E1032_OC0821_PCR1	Stephanoecidae
806	MP_E1032_OC0821_PCR1	Ciliophora
553	MP_E1032_OC0821_PCR1	Pseliodinium fusus
149	MP_E1032_OC0821_PCR1	Picozoa
5	MP_E1032_OC0821_PCR1	Cryothecomonas longipes
2	MP_E1032_OC0821_PCR1	Heterosigma akashiwo
17	MP_E1032_OC0821_PCR1	Tremula__f__o
21	MP_E1032_OC0821_PCR1	Hemiselmis cryptochromatica
2	MP_E1032_OC0821_PCR1	Gymnodinium
80	MP_E1032_OC0821_PCR1	Chaetoceros debilis
14	MP_E1032_OC0821_PCR1	Paraphysomonas butcheri
3	MP_E1032_OC0821_PCR1	Incisomonas__f
9	MP_E1032_OC0821_PCR1	Spirostrombidium sp_
196	MP_E1032_OC0821_PCR1	Chaetoceros contortus
35	MP_E1032_OC0821_PCR1	Protaspis grandis
199	MP_E1032_OC0821_PCR1	Gyrodinium
1	MP_E1032_OC0821_PCR1	Chrysochromulina scutellum
93	MP_E1032_OC0821_PCR1	Mucoromycota
265	MP_E1032_OC0821_PCR1	Amoebophrya
