Sample	lat	long	sites	controls	group1	group2	group3	group4	group5	group6	samp_vol	depth
E1032.OC0821	47.87823333	-124.73565	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	Niskin	1000	33.3404
E1033.OC0821	47.87823333	-124.73565	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	Niskin	1000	33.02
E1034.OC0821	47.87823333	-124.73565	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	Niskin	1000	32.9666
E1053.SKQ2021	67.67663333	-168.9495	DBO3.8	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	46
E1054.SKQ2021	67.67663333	-168.9495	DBO3.8	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30
E1055.SKQ2021	67.67663333	-168.9495	DBO3.8	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
E1056.SKQ2021	71.19315	-160.2647333	DBO4.1	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	49
E1057.SKQ2021	71.19315	-160.2647333	DBO4.1	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30
E1058.SKQ2021	71.19315	-160.2647333	DBO4.1	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
E1059.SKQ2021	71.3218	-160.6566667	DBO4.2	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	43
E1060.SKQ2021	71.3218	-160.6566667	DBO4.2	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30
E1061.SKQ2021	71.3218	-160.6566667	DBO4.2	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
E1062.SKQ2021	71.45433333	-161.0393833	DBO4.3	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	43
E1063.SKQ2021	71.45433333	-161.0393833	DBO4.3	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30
E1064.SKQ2021	71.45433333	-161.0393833	DBO4.3	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
E1065.SKQ2021	71.589	-161.4058333	DBO4.4	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	43
E1066.SKQ2021	71.589	-161.4058333	DBO4.4	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30
E1067.SKQ2021	71.589	-161.4058333	DBO4.4	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
E1068.SKQ2021	71.59083333	-161.5248333	CEO	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	42
E1069.SKQ2021	71.59083333	-161.5248333	CEO	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30
E1070.SKQ2021	71.59083333	-161.5248333	CEO	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
E1071.SKQ2021	71.71866667	-161.7747167	DBO4.5	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	39
E1072.SKQ2021	71.71866667	-161.7747167	DBO4.5	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30
E1073.SKQ2021	71.71866667	-161.7747167	DBO4.5	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
E1074.SKQ2021	71.8507	-162.17025	DBO4.6	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	37
E1075.SKQ2021	71.8507	-162.17025	DBO4.6	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.6
E1076.SKQ2021	71.8507	-162.17025	DBO4.6	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.5
E1077.SKQ2021	71	-164	C2	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	40.3
E1078.SKQ2021	71	-164	C2	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.4
E1079.SKQ2021	71	-164	C2	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
E1080.SKQ2021	68.304	-166.9293667	DBO3.1	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30
E1081.SKQ2021	68.304	-166.9293667	DBO3.1	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
