ASV	Multi_taxID_entry	USED
ASV_10089	50225, 50207, 92907, 41550, 416131, 1220052, 1903714, 1954296, 1972656, 1954295, 1954291, 379268, 1053381, 1522193, 112408, 1532325, 305361, 4222, 1954286, 121177, 123810, 40592, 123806, 1809698, 143172, 434692, 1552228, 231818, 1234499, 92906;1261132, 4236, 56535, 41486, 69404, 69405, 2547412, 265785, 13427, 119182, 4265, 92921, 41561, 1224295, 112788, 859427, 268104, 1041103, 90037, 2710643, 170727, 333970, 189230, 221204, 143190	FALSE
ASV_10096	109743, 182055, 1574080, 1922184, 1398758, 282373, 40145, 1398937, 1472000, 1358933, 604282, 341943, 190371, 289421, 51221, 456999, 40145;47476, 56183	FALSE
ASV_10113	73431, 1320671, 1320681, 707724;1081868;1320672	FALSE
ASV_10133	2604071, 33653, 167961;1764937, 2939511, 427040, 409286, 127151, 1162744	FALSE
ASV_10148	8014, 56723, 13489, 29151, 195611, 137520, 34816, 761803, 94946, 13489;94946;761803, 61084	FALSE
ASV_10151	256004;264121, 662079, 662078	FALSE
ASV_10161	1312089;1312103;1312105, 627966	FALSE
ASV_10224	2715280, 2715282, 36630, 746128, 3110706, 3080930, 5061, 5065, 1287682, 1684064, 45372, 279138, 279137, 340414, 1354928;1517513, 340412, 41047, 1517514, 1517513, 1907244, 2079209, 91492, 1309686, 1774284, 454252, 1517512, 2082511, 2601843, 1907481, 1907480, 91491, 1907209, 1907208, 1907207, 75552, 293939, 41057, 1226384, 286432, 41049, 388753, 1245746, 454254, 75551, 151553, 1194566, 1220166, 1245748, 1806848, 1825619, 41052, 36631, 1602734, 2713054, 1747902	FALSE
ASV_10376	1607969, 1607966;1607967;1607968;1607971;1607974	FALSE
ASV_10439	92955, 92955;104405	FALSE
ASV_10462	1198971, 143670, 2292165, 1695222, 1691974, 1691973, 71861, 1652117, 1655535, 631048, 160611, 858356, 289378, 284798;284799;284802, 284797	FALSE
ASV_10464	284684, 284676;284681, 1677987, 1677983, 1677981, 1677972, 1677985, 1677982, 1677984, 1677973, 357350	FALSE
ASV_10495	268820;268821	TRUE
ASV_10528	259040, 266818;266820	FALSE
ASV_10558	3016982, 2881280, 1519773, 2836766;2836767, 2836765, 2836763, 2836761, 2836759, 2836758, 324890	FALSE
ASV_10588	1172189, 94289, 742176, 99912;1172189, 200599	FALSE
ASV_10599	35677, 35677;44463	FALSE
ASV_10610	1312089;1312103;1312105, 2026621	FALSE
ASV_1064	2066645, 2066664;2066665, 2066608, 2066653, 2066652, 2066686, 862916, 1940680	FALSE
ASV_10645	268820;463290	TRUE
ASV_10657	1198971, 143670, 1695222, 1691974, 1691973, 71861, 1652117, 1736631, 60595, 1655535, 2067435, 106539, 2684370, 631048, 2699462, 160611, 66473, 319230, 858356, 107757, 289378, 240361, 160612, 284798;284799;284802, 284797	FALSE
ASV_10686	760132, 328562, 470419, 2751900, 2614888, 2614890, 2614889, 2614891, 2614893, 2614892, 2614888;2614889;2614890;2614892	FALSE
ASV_10702	1000990, 119497, 119497;119529, 284699	FALSE
ASV_1073	2903, 1856765, 280463, 2903;38817;1663125, 38817;284784;284790, 38817, 2903;38817, 1856766	FALSE
ASV_10815	2724370, 2865343, 2865269, 2865559, 2865190, 2865170, 2780335, 2780240, 2780240;2865196, 2780313, 2780184, 1445003, 2725113	FALSE
ASV_1083	39449, 71860, 2968077, 1290334, 257771, 257771;260685	FALSE
ASV_10862	1198971, 143670, 1695222, 1691974, 1691973, 71861, 1652117, 1655535, 631048, 160611, 858356, 289378, 284798;284799;284802, 284797	FALSE
ASV_10938	1805497, 5278, 5005, 115111, 231218, 106004, 480363, 5002;198839, 1709941, 672585	FALSE
ASV_1097	86556;639591, 86556, 639591, 1460409;1460412, 1460410, 270263, 1460408, 44243, 86518, 1499518, 125323	FALSE
ASV_11021	2066033, 1720109, 1720110, 1169002;1967944, 1967943, 1169001, 1050079, 626736, 1169005	FALSE
ASV_1104	2152760, 355634, 431563, 1923966, 2014769, 1752179, 265549;265559	FALSE
ASV_11099	2606882;2606883	TRUE
ASV_11298	328570, 2712102, 2501652, 513426, 1643395, 1643394, 2987705, 2987704, 861490, 2915640, 44925, 3003226, 1643393, 1806067, 2839827, 2814046, 513425, 470412, 542703, 542705, 2608285, 470411;1285666, 1285667, 908899, 475660, 546832, 1285673, 861502, 861503, 861501, 2608291, 518607, 518606, 2501657, 2073168	FALSE
ASV_1132	6550, 40252, 6549, 2840390;2840391;2840392;2840393;2840394, 2840387;2840389, 2840388, 2840382, 6551, 29158, 61353	FALSE
ASV_11343	2015895, 2015894, 1366059, 316203, 500023, 316177, 499908, 499907, 2837385, 316211, 168756, 2747905, 316226, 316191, 316177;316209;316211	FALSE
