dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
MP_E1032_OC0821_PCR1	170661	144568	144487	144514	142012	138452	81.1
MP_E1032_OC0821_PCR2	169548	148375	148255	148279	145310	140993	83.2
MP_E1032_OC0821_PCR3	6264	5530	5523	5525	5377	5249	83.8
MP_E1033_OC0821_PCR1	260068	214440	214318	214382	210677	202236	77.8
MP_E1033_OC0821_PCR2	268286	225397	225291	225232	221291	211770	78.9
MP_E1033_OC0821_PCR3	223359	189829	189760	189766	186457	178741	80
MP_E1034_OC0821_PCR1	215280	153439	153328	153361	150686	146982	68.3
MP_E1034_OC0821_PCR2	248149	175044	174950	174979	171803	167267	67.4
MP_E1034_OC0821_PCR3	278096	193660	193477	193562	189877	183179	65.9
MP_E1053_SKQ2021	222497	166379	166184	166235	154942	150245	67.5
MP_E1054_SKQ2021	204859	149874	149779	149832	141633	140513	68.6
MP_E1055_SKQ2021	203193	149924	149830	149843	143971	140832	69.3
MP_E1056_SKQ2021	219216	174684	174490	174538	167415	164507	75
MP_E1057_SKQ2021	210015	159935	159763	159860	156399	152744	72.7
MP_E1058_SKQ2021	199403	158082	157978	157963	150662	146940	73.7
MP_E1059_SKQ2021	205851	156747	156650	156697	148384	145827	70.8
MP_E1060_SKQ2021	256022	227831	227790	227790	226121	223344	87.2
MP_E1061_SKQ2021	239040	176485	176392	176420	166533	163591	68.4
MP_E1062_SKQ2021	203203	140765	140690	140653	131318	128283	63.1
MP_E1063_SKQ2021	224087	166480	166394	166419	157035	155271	69.3
MP_E1064_SKQ2021	200518	158699	158600	158652	155762	150630	75.1
MP_E1065_SKQ2021	240611	194938	194867	194828	186794	183373	76.2
MP_E1066_SKQ2021	284681	247893	247795	247764	240000	234453	82.4
MP_E1067_SKQ2021	221309	188261	188207	188220	185914	181684	82.1
MP_E1068_SKQ2021	186845	151882	151789	151817	141641	138935	74.4
MP_E1069_SKQ2021	251915	212520	212438	212412	203819	198022	78.6
MP_E1070_SKQ2021	236804	194771	194726	194740	191967	186088	78.6
MP_E1071_SKQ2021	248439	211865	211758	211777	206576	201568	81.1
