ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_10	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_100	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	Sagittidae	Parasagitta	Parasagitta elegans
ASV_1000	Eukaryota	Cercozoa	Imbricatea	Thaumatomonadida	Thaumatomastigidae	NA	NA
ASV_10000	Eukaryota	zzOther	zzOther	zzOther	zzOther	zzOther	NA
ASV_10001	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	Sagittidae	NA	NA
ASV_10002	Eukaryota	zzOther	zzOther	zzOther	zzOther	zzOther	NA
ASV_10004	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	NA	NA	NA
ASV_10005	Eukaryota	Bigyra__p	Bigyra	zzOther	NA	NA	NA
ASV_10006	Eukaryota	zzOther	zzOther	zzOther	zzOther	NA	NA
ASV_10007	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_10008	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	zzOther	zzOther	zzOther
ASV_10009	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_1001	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Kareniaceae	NA	NA
ASV_10010	Eukaryota	Apicomplexa	Conoidasida	zzOther	NA	NA	NA
ASV_10011	Eukaryota	zzOther	zzOther	zzOther	zzOther	NA	NA
ASV_10012	Eukaryota	Arthropoda	Malacostraca	zzOther	zzOther	zzOther	zzOther
ASV_10013	Eukaryota	Euglenozoa	zzOther	zzOther	NA	NA	NA
ASV_10014	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	zzOther	zzOther	NA
ASV_10015	Eukaryota	Mollusca	zzOther	zzOther	zzOther	zzOther	NA
ASV_10016	Eukaryota	zzOther	zzOther	zzOther	NA	NA	NA
ASV_10017	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Melosirales	zzOther	zzOther	NA
ASV_10018	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_10019	Eukaryota	Cercozoa	zzOther	zzOther	NA	NA	NA
ASV_1002	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	zzOther	zzOther	zzOther
ASV_10020	Eukaryota	Dinophyceae__p	Dinophyceae	Prorocentrales	NA	NA	NA
