Sample	lat	long	replicates	controls	group1	group2	group3	group4	group5	group6	samp_vol	depth
C2	71	-164	E1077.SKQ2021_E1078.SKQ2021_E1079.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	40.3_30.4_10
CA42	48.16601667	-124.8233667	E2129.OC0919	NA	surface	2019	Sep	2019_Sep	OCNMS	Bottle	1000	0
CANS	48.1663	-124.7568333	E2128.OC0919	NA	surface	2019	Sep	2019_Sep	OCNMS	Bottle	1000	0
CE42	47.35313333	-124.4887333	E2131.OC0919	NA	surface	2019	Sep	2019_Sep	OCNMS	Bottle	1000	0
CENS	47.35678333	-124.3481333	E2130.OC0919	NA	surface	2019	Sep	2019_Sep	OCNMS	Bottle	1000	0
CEO	71.59083333	-161.5248333	E1068.SKQ2021_E1069.SKQ2021_E1070.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	42_30_10
CL42	47.59456667	-124.4970667	E2133.OC0919_E2137.OC0919	NA	surface_deep	2019	Sep	2019_Sep	OCNMS	Bottle	1000	0_NA
CLNS	47.60083333	-124.4284	E2132.OC0919	NA	surface	2019	Sep	2019_Sep	OCNMS	Bottle	1000	0
CR13	46.129	-124.269	E486.WCOA21	NA	deep	2021	Jul	2021_Jul	WCOA	Niskin	1000	87.7
CR24	46.129_46.128	-124.526_-124.527	E492.WCOA21_E494.WCOA21_E496.WCOA21_E498.WCOA21	NA	deep_mid_surface	2021	Jul	2021_Jul	WCOA	Niskin	1000_350	131_79.7_20.5_20.3_3.2
CR3	46.131	-124.031	E475.WCOA21	NA	mid	2021	Jul	2021_Jul	WCOA	Niskin	1000	19.7
CapeElizabeth	47.35015	-124.4854333	E1299.OC1021_E1300.OC1021_E1301.OC1021_E1302.OC1021_E1303.OC1021_E1304.OC1021_E1305.OC1021_E1306.OC1021_E1307.OC1021_E1308.OC1021_E1309.OC1021_E1310.OC1021_E1312.OC1021_E1313.OC1021_E1315.OC1021_E1316.OC1021_E1317.OC1021_E1318.OC1021_E1319.OC1021_E1320.OC1021_E1321.OC1021_E1322.OC1021	NA	deep	2021	Aug_Sep	2021_Aug_2021_Sep	OCNMS	PPS	1000	34
ChaBa	47.954	-124.907	E446.WCOA21_E447.WCOA21_E448.WCOA21	NA	deep_surface	2021	Jun	2021_Jun	WCOA	Niskin	1000	77.1_76.2_76.5_10.8_3.3_2.9_3.1
DBO1.1	62	-175.0666667	E1103.SKQ2021_E1104.SKQ2021_E1105.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	73.9_30.3_9.8
DBO1.10	63.60483333	-172.5931667	E1130.SKQ2021_E1131.SKQ2021_E1132.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	45.5_29.7_10.5
DBO1.2	62.04928333	-175.2086333	E1106.SKQ2021_E1107.SKQ2021_E1108.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	75.9_30.8_10
DBO1.3	62.22	-174.8778333	E1109.SKQ2021_E1110.SKQ2021_E1111.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	69.7_30.5_9.9
DBO1.4	62.39033333	-174.5716	E1112.SKQ2021_E1113.SKQ2021_E1114.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	65.4_30.3_10.2
DBO1.5	62.46833333	-174.0845	E1115.SKQ2021_E1116.SKQ2021_E1117.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	62.6_29.5_9.8
DBO1.6	62.5605	-173.55045	E1118.SKQ2021_E1119.SKQ2021_E1120.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	60.2_30.6_10.9
DBO1.7	62.7875	-173.5004167	E1121.SKQ2021_E1122.SKQ2021_E1123.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	65.6_31.2_10.9
DBO1.8	63.03016667	-173.461	E1124.SKQ2021_E1125.SKQ2021_E1126.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	64.9_30.4_10.8
DBO1.9	63.27833333	-173.281	E1127.SKQ2021_E1128.SKQ2021_E1129.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	60.9_30.6_10.6
DBO2.1	64.67016667	-169.9187	E1133.SKQ2021_E1134.SKQ2021_E1135.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	42.6_30.1_10.4
DBO2.2	64.68	-169.1006667	E1136.SKQ2021_E1137.SKQ2021_E1138.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	40.8_30.2_10
DBO2.3	64.66983333	-168.2356667	E1145.SKQ2021_E1146.SKQ2021	NA	deep_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	33.7_10.2
DBO2.4	64.95883333	-169.8803333	E1142.SKQ2021_E1143.SKQ2021_E1144.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	44_30.4_10.2
DBO2.5	64.98983333	-169.1398333	E1139.SKQ2021_E1140.SKQ2021_E1141.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	44.4_30.5_10.4
DBO3.1	68.304	-166.9293667	E1080.SKQ2021_E1081.SKQ2021	NA	deep_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30_10
DBO3.2	68.25066667	-167.12175	E1082.SKQ2021_E1083.SKQ2021_E1084.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	38.4_30.6_9.9
DBO3.3	68.19051667	-167.2911667	E1085.SKQ2021_E1086.SKQ2021_E1087.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	43_30_9.6
DBO3.4	68.11666667	-167.4833333	E1088.SKQ2021_E1089.SKQ2021_E1090.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	45_30_10
DBO3.5	68.013	-167.8853333	E1091.SKQ2021_E1092.SKQ2021_E1093.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	48.5_30.6_10.2
DBO3.6	68.88333333	-167.2166667	E1094.SKQ2021_E1095.SKQ2021_E1096.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	52.7_30.3_10.3
DBO3.7	67.78283333	-168.5949667	E1097.SKQ2021_E1098.SKQ2021_E1099.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	45_30_10
DBO3.8	67.67663333	-168.9495	E1053.SKQ2021_E1054.SKQ2021_E1055.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	46_30_10
DBO4.1	71.19315	-160.2647333	E1056.SKQ2021_E1057.SKQ2021_E1058.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	49_30_10
DBO4.2	71.3218	-160.6566667	E1059.SKQ2021_E1060.SKQ2021_E1061.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	43_30_10
DBO4.3	71.45433333	-161.0393833	E1062.SKQ2021_E1063.SKQ2021_E1064.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	43_30_10
DBO4.4	71.589	-161.4058333	E1065.SKQ2021_E1066.SKQ2021_E1067.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	43_30_10
DBO4.5	71.71866667	-161.7747167	E1071.SKQ2021_E1072.SKQ2021_E1073.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	39_30_10
DBO4.6	71.8507	-162.17025	E1074.SKQ2021_E1075.SKQ2021_E1076.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	37_30.6_10.5
HH20	44.001	-124.6_-124.601	E598.WCOA21_E600.WCOA21	NA	deep_surface	2021	Jul	2021_Jul	WCOA	Niskin	1000	144.2_143.3_143.5_3.7_3.8
M8	62.20133333	-174.68	E1100.SKQ2021_E1101.SKQ2021_E1102.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	68.4_31.1_10
MB42	48.32396667	-124.7353833	E2134.OC0919	NA	surface	2019	Sep	2019_Sep	OCNMS	Bottle	1000	0
NH10	44.652	-124.297_-124.298	E573.WCOA21_E574.WCOA21_E575.WCOA21	NA	deep_mid_surface	2021	Jul	2021_Jul	WCOA	Niskin	1000	70.4_71.1_70.5_40.6_39.6_40.4_4_4.4
Sokul	47.946	-124.746	E449.WCOA21_E450.WCOA21	NA	mid_surface	2021	Jun	2021_Jun	WCOA	Niskin	1000	25.7_25.3_26_3.1_3.6
TH42	47.87615	-124.7334167	E2136.OC0919	NA	surface	2019	Sep	2019_Sep	OCNMS	Bottle	1000	0
THNS	47.87611667	-124.6194667	E2135.OC0919	NA	surface	2019	Sep	2019_Sep	OCNMS	Bottle	1000	0
TeahwhiteHead	47.87823333_47.87831667_47.87553333_47.87445_47.87788333	-124.73565_-124.73645_-124.7332_-124.7345_-124.739	E1032.OC0821_E1033.OC0821_E1034.OC0821_E1172.OC0622_E1173.OC0622_E1174.OC0622_E1229.OC0822_E1230.OC0822_E1231.OC0822_E1240.OC0922_E1241.OC0922_E1242.OC0922_E1243.OC0922_E1244.OC0922_E1245.OC0922_E1246.OC0922_E1247.OC0922_E1248.OC0922_E1249.OC0922_E1250.OC0922_E1251.OC0922_E1252.OC0922_E1253.OC0922_E1254.OC0922_E1255.OC0922_E1256.OC0922_E1257.OC0922_E1258.OC0922_E1259.OC0922_E1260.OC0922_E1261.OC0922_E1262.OC0922_E1263.OC0922_E1265.OC0922_E1266.OC0922_E1267.OC0922_E1275.OC1021_E1276.OC1021_E1277.OC1021_E1278.OC1021_E1279.OC1021_E1280.OC1021_E1281.OC1021_E1282.OC1021_E1283.OC1021_E1284.OC1021_E1285.OC1021_E1286.OC1021_E1287.OC1021_E1288.OC1021_E1289.OC1021_E1290.OC1021_E1291.OC1021_E1292.OC1021_E1293.OC1021_E1294.OC1021_E1295.OC1021_E1296.OC1021_E1297.OC1021_E1298.OC1021_E1323.OC1021_E1324.OC1021_E1325.OC1021_E1389.OC0722_E1390.OC0722_E1391.OC0722_E1403.OC0722_E1404.OC0722_E1406.OC0722_E1408.OC0722_E1410.OC0722_E1412.OC0722_E1414.OC0722_E1416.OC0722_E1418.OC0722_E1420.OC0722_E1422.OC0722_E1424.OC0722_E1426.OC0722_E1845.OC0623_E1846.OC0623_E1847.OC0623_E1849.OC0723_E1850.OC0723_E1851.OC0723_E1852.OC0723_E1853.OC0723_E1854.OC0723_E1855.OC0723_E1856.OC0723_E1857.OC0723_E1858.OC0723_E1859.OC0723_E1860.OC0723_E1861.OC0723_E1862.OC0723_E1863.OC0723_E1864.OC0723_E1865.OC0723_E1866.OC0723_E1867.OC0723_E1868.OC0723_E1869.OC0723_E1870.OC0723_E1871.OC0723_E1872.OC0723_E1873.OC0723_E1874.OC0723_E1875.OC0723	NA	deep	2021_2022_2023	Aug_Jun_Sep_Oct_Jul	2021_Aug_2022_Jun_2022_Aug_2022_Sep_2021_Sep_2021_Oct_2022_Jul_2023_Jun_2023_Jul	OCNMS	Niskin_PPS	1000_87_28_812_216_479_1001	33.3404_33.02_32.9666_32.4282_32.1612_32.4816_32.802_32.8554_33.0154_34_33.2286_32.6952_33.0688_33_32.9098_33.337_33.7088_33.5256_34.1672_33.579_33.6858
