Sample	lat	long	replicates	sites	controls	group1	group2	group3	group4	group5	group6	samp_vol	depth
MP_E1032_OC0821_PCR1	47.87823333	-124.73565	E1032.OC0821	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	Niskin	1000	33.3404
MP_E1032_OC0821_PCR2	47.87823333	-124.73565	E1032.OC0821	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	Niskin	1000	33.3404
MP_E1032_OC0821_PCR3	47.87823333	-124.73565	E1032.OC0821	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	Niskin	1000	33.3404
MP_E1033_OC0821_PCR1	47.87823333	-124.73565	E1033.OC0821	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	Niskin	1000	33.02
MP_E1033_OC0821_PCR2	47.87823333	-124.73565	E1033.OC0821	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	Niskin	1000	33.02
MP_E1033_OC0821_PCR3	47.87823333	-124.73565	E1033.OC0821	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	Niskin	1000	33.02
MP_E1034_OC0821_PCR1	47.87823333	-124.73565	E1034.OC0821	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	Niskin	1000	32.9666
MP_E1034_OC0821_PCR2	47.87823333	-124.73565	E1034.OC0821	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	Niskin	1000	32.9666
MP_E1034_OC0821_PCR3	47.87823333	-124.73565	E1034.OC0821	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	Niskin	1000	32.9666
MP_E1053_SKQ2021	67.67663333	-168.9495	E1053.SKQ2021	DBO3.8	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	46
MP_E1054_SKQ2021	67.67663333	-168.9495	E1054.SKQ2021	DBO3.8	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30
