ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	Cryptophyceae__p	Cryptophyceae	Cyathomonadacea	NA	NA	NA
ASV_10	Eukaryota	Oomycota	Peronosporales__c	Peronosporales	NA	NA	NA
ASV_100	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	NA	NA	NA
ASV_1000	Eukaryota	Arthropoda	Insecta	NA	NA	NA	NA
ASV_10000	Eukaryota	Discosea	Flabellinia	Dactylopodida	NA	NA	NA
ASV_10001	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus acuspes
ASV_10002	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	Pelagiidae	Chrysaora	Chrysaora melanaster
ASV_10003	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	NA	NA	NA
ASV_10004	Eukaryota	Nematoda	Chromadorea	Monhysterida	NA	NA	NA
ASV_10005	Eukaryota	Arthropoda	Insecta	NA	NA	NA	NA
ASV_10006	Eukaryota	Discosea	Flabellinia	Dactylopodida	Paramoebidae	NA	NA
ASV_10007	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	Gymnodinium sp_ NVA_RUS_2008
ASV_10008	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus
ASV_10010	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Balellidae	NA	NA
ASV_10011	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus
ASV_10012	Eukaryota	Nemertea	Enopla	Monostilifera	NA	NA	NA
ASV_10013	Eukaryota	Porifera	Demospongiae	Axinellida	NA	NA	NA
ASV_10014	Eukaryota	Chrysophyceae__p	Chrysophyceae	Segregatospumella__f__o	NA	NA	NA
ASV_10015	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Eirenidae	Eutonina	Eutonina indicans
ASV_10016	Eukaryota	Mollusca	Gastropoda	Planorbidae__o	NA	NA	NA
ASV_10017	Eukaryota	Phaeophyceae__p	Phaeophyceae	Ectocarpales	Chordariaceae	NA	NA
ASV_10018	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Eirenidae	Eutonina	Eutonina indicans
ASV_10019	Eukaryota	Arthropoda	Arachnida	NA	NA	NA	NA
ASV_1002	Eukaryota	Haptophyta	Phaeocystales__c	Phaeocystales	NA	NA	NA
ASV_10020	Eukaryota	Oomycota	Pythiales__c	Pythiales	NA	NA	NA
ASV_10021	Eukaryota	Rhodophyta	Florideophyceae	Halymeniales	Halymeniaceae	Grateloupia	Grateloupia sp_ GWS_2014
ASV_10022	Eukaryota	Phaeophyceae__p	Phaeophyceae	Ectocarpales	NA	NA	NA
ASV_10023	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	NA	NA	NA
ASV_10024	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	NA	NA	NA
ASV_10025	Eukaryota	Chordata	Aves	NA	NA	NA	NA
ASV_10026	Eukaryota	Arthropoda	Arachnida	NA	NA	NA	NA
ASV_10027	Eukaryota	Arthropoda	Insecta	Hemiptera	NA	NA	NA
ASV_10028	Eukaryota	Nematoda	Enoplea	Dorylaimida	Longidoridae	Xiphinema	Xiphinema brevicolle
ASV_1003	Eukaryota	Discosea	Longamoebia__c	Longamoebia	Acanthamoebidae	NA	NA
ASV_10030	Eukaryota	Porifera	Homoscleromorpha	Homosclerophorida	NA	NA	NA
ASV_10031	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA
ASV_10032	Eukaryota	Discosea	Longamoebia__c	Longamoebia	NA	NA	NA
ASV_10033	Eukaryota	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV_10034	Eukaryota	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	NA	NA
ASV_10035	Eukaryota	Arthropoda	Collembola	Poduromorpha	NA	NA	NA
ASV_10037	Eukaryota	Oomycota	Peronosporales__c	NA	NA	NA	NA
ASV_10038	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Eirenidae	Eutonina	Eutonina indicans
ASV_10039	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	NA	NA
ASV_1004	Eukaryota	Echinodermata	Echinoidea	Clypeasteroida	Dendrasteridae	Dendraster	Dendraster excentricus
ASV_10040	Eukaryota	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV_10041	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Rhizosoleniales	NA	NA	NA
