Value	Sample	TerminalTaxa
13419	MP_E1032_OC0821_PCR1	Cyathomonadacea
2485	MP_E1032_OC0821_PCR1	Peronosporales
4397	MP_E1032_OC0821_PCR1	Leptothecata
937	MP_E1032_OC0821_PCR1	Lepidoptera
1748	MP_E1032_OC0821_PCR1	Saprolegniales
750	MP_E1032_OC0821_PCR1	Unknown
530	MP_E1032_OC0821_PCR1	Dactylopodida
3414	MP_E1032_OC0821_PCR1	Diptera
24	MP_E1032_OC0821_PCR1	Agaricales
1182	MP_E1032_OC0821_PCR1	Ectocarpales
712	MP_E1032_OC0821_PCR1	Dictyotales
243	MP_E1032_OC0821_PCR1	Araneae
472	MP_E1032_OC0821_PCR1	Coleoptera
404	MP_E1032_OC0821_PCR1	Bubarida
153	MP_E1032_OC0821_PCR1	Ancylidae__o
145	MP_E1032_OC0821_PCR1	Planorbidae__o
18656	MP_E1032_OC0821_PCR1	Pseudocalanus mimus
101	MP_E1032_OC0821_PCR1	Hymenoptera
10	MP_E1032_OC0821_PCR1	Margalefidinium polykrikoides
43	MP_E1032_OC0821_PCR1	Naviculales
471	MP_E1032_OC0821_PCR1	Phaeocystales
7	MP_E1032_OC0821_PCR1	Euphysa
60	MP_E1032_OC0821_PCR1	Phaeocystis globosa
1	MP_E1032_OC0821_PCR1	Pseudo_nitzschia
263	MP_E1032_OC0821_PCR1	Anthoathecata
1603	MP_E1032_OC0821_PCR1	Ephemeroptera
376	MP_E1032_OC0821_PCR1	Prymnesiales
35	MP_E1032_OC0821_PCR1	Haptoglossa__f__o
1261	MP_E1032_OC0821_PCR1	Stylommatophora
200	MP_E1032_OC0821_PCR1	Insecta
5	MP_E1032_OC0821_PCR1	Poduromorpha
29	MP_E1032_OC0821_PCR1	Laminariales
180	MP_E1032_OC0821_PCR1	Longamoebia
94	MP_E1032_OC0821_PCR1	Hemiptera
107	MP_E1032_OC0821_PCR1	Gelidiales
12	MP_E1032_OC0821_PCR1	Peridiniaceae
109	MP_E1032_OC0821_PCR1	Thalassiosirales
53	MP_E1032_OC0821_PCR1	Chaetocerotaceae
27	MP_E1032_OC0821_PCR1	Plakobranchidae__o
268	MP_E1032_OC0821_PCR1	Pythiaceae
121	MP_E1032_OC0821_PCR1	Lithodesmiales
50	MP_E1032_OC0821_PCR1	Apusomonadida
68	MP_E1032_OC0821_PCR1	Himatismenida
205	MP_E1032_OC0821_PCR1	Bathycoccus prasinos
86	MP_E1032_OC0821_PCR1	Neuroptera
57	MP_E1032_OC0821_PCR1	Halitholus sp_ PS_2018
24	MP_E1032_OC0821_PCR1	Flavobacteriales
24	MP_E1032_OC0821_PCR1	Phaeophyceae
42	MP_E1032_OC0821_PCR1	Cerobasis guestfalica
39	MP_E1032_OC0821_PCR1	Ceramiales
113	MP_E1032_OC0821_PCR1	Isochrysidales
54	MP_E1032_OC0821_PCR1	Skeletonemataceae
99	MP_E1032_OC0821_PCR1	Environmental Unknown
32	MP_E1032_OC0821_PCR1	Rhizosoleniaceae
1537	MP_E1032_OC0821_PCR1	Chromulinales
1	MP_E1032_OC0821_PCR1	Sarsia bella
77	MP_E1032_OC0821_PCR1	Hydrozoa
86	MP_E1032_OC0821_PCR1	Peyssonneliales
3	MP_E1032_OC0821_PCR1	Thraustochytrida
377	MP_E1032_OC0821_PCR1	Hemiaulales
3	MP_E1032_OC0821_PCR1	Florideophyceae
10	MP_E1032_OC0821_PCR1	Candidatus Pelagibacteraceae
71	MP_E1032_OC0821_PCR1	Siphonophorae
3	MP_E1032_OC0821_PCR1	Monostilifera
133	MP_E1032_OC0821_PCR1	Chaetocerotales
31	MP_E1032_OC0821_PCR1	Telonemida
2	MP_E1032_OC0821_PCR1	Ixodida
1	MP_E1032_OC0821_PCR1	Candidatus Pelagibacterales
14	MP_E1032_OC0821_PCR1	Chrysoparadoxa__f__o
442	MP_E1032_OC0821_PCR1	Blastocladiales
48	MP_E1032_OC0821_PCR1	Perophoridae
7	MP_E1032_OC0821_PCR1	Arcellinida
2	MP_E1032_OC0821_PCR1	Cymbellales
29	MP_E1032_OC0821_PCR1	Poecilosclerida
13	MP_E1032_OC0821_PCR1	Salmoniformes
26	MP_E1032_OC0821_PCR1	Homo sapiens
98	MP_E1032_OC0821_PCR1	Littorinimorpha
143	MP_E1032_OC0821_PCR1	Pythiales
4	MP_E1032_OC0821_PCR1	Gastropoda
193	MP_E1032_OC0821_PCR1	Bacillariales
2	MP_E1032_OC0821_PCR1	Malacalcyonacea
375	MP_E1032_OC0821_PCR1	Thysanoessa spinifera
28	MP_E1032_OC0821_PCR1	Aureococcus anophagefferens
8	MP_E1032_OC0821_PCR1	Taphrinales
56	MP_E1032_OC0821_PCR1	Peronosporales__c
2	MP_E1032_OC0821_PCR1	Chattonellales
5	MP_E1032_OC0821_PCR1	Penicillium sclerotiorum
42	MP_E1032_OC0821_PCR1	Picozoa
20	MP_E1032_OC0821_PCR1	Chlorellales
3	MP_E1032_OC0821_PCR1	Bacillariaceae
479	MP_E1032_OC0821_PCR1	Pseudocalanus moultoni
22	MP_E1032_OC0821_PCR1	Mysida
8	MP_E1032_OC0821_PCR1	Bangiaceae
231	MP_E1032_OC0821_PCR1	Clytia gregaria
179	MP_E1032_OC0821_PCR1	Rhizostomeae
42	MP_E1032_OC0821_PCR1	Hemiaulaceae
5615	MP_E1032_OC0821_PCR1	Noelaerhabdaceae
2	MP_E1032_OC0821_PCR1	Lymnaeidae__o
6	MP_E1032_OC0821_PCR1	Chlorellaceae
289	MP_E1032_OC0821_PCR1	Pseudocalanus
29	MP_E1032_OC0821_PCR1	Oomycota
51	MP_E1032_OC0821_PCR1	Segregatospumella__f__o
3	MP_E1032_OC0821_PCR1	Synurales
361	MP_E1032_OC0821_PCR1	Phaeocystaceae
352	MP_E1032_OC0821_PCR1	Clausocalanidae
56	MP_E1032_OC0821_PCR1	Lithodesmiaceae
23	MP_E1032_OC0821_PCR1	Phaeocystis
12	MP_E1032_OC0821_PCR1	Plagiogrammaceae
1634	MP_E1032_OC0821_PCR1	Acartia longiremis
13	MP_E1032_OC0821_PCR1	Euglyphida
51	MP_E1032_OC0821_PCR1	Arachnida
122	MP_E1032_OC0821_PCR1	Ditylum brightwellii
27	MP_E1032_OC0821_PCR1	Stephanodiscales
47	MP_E1032_OC0821_PCR1	Stephanodiscaceae
5	MP_E1032_OC0821_PCR1	Alphaproteobacteria
12	MP_E1032_OC0821_PCR1	Schizobranchia insignis
292	MP_E1032_OC0821_PCR1	Bangiales
52	MP_E1032_OC0821_PCR1	Thalassiosiraceae
15	MP_E1032_OC0821_PCR1	Ochromonadales
4	MP_E1032_OC0821_PCR1	Cymatosirales
4	MP_E1032_OC0821_PCR1	Aequorea
4	MP_E1032_OC0821_PCR1	Ischyroceridae
2	MP_E1032_OC0821_PCR1	Archinemertea
8	MP_E1032_OC0821_PCR1	Cymatosiraceae
4	MP_E1032_OC0821_PCR1	Parengyodontium
114	MP_E1032_OC0821_PCR1	Phacellophora camtschatica
22	MP_E1032_OC0821_PCR1	Rhodymeniales
1	MP_E1032_OC0821_PCR1	Axinellida
1	MP_E1032_OC0821_PCR1	Skeletonema dohrnii
40	MP_E1032_OC0821_PCR1	Rhizosoleniales
2	MP_E1032_OC0821_PCR1	Solifugae
1	MP_E1032_OC0821_PCR1	Stephanopyxis turris
3	MP_E1032_OC0821_PCR1	Calanoida
3	MP_E1032_OC0821_PCR1	Magnoliopsida
8	MP_E1032_OC0821_PCR1	Chordariaceae
3	MP_E1032_OC0821_PCR1	Triceratiales
3	MP_E1032_OC0821_PCR1	Chrysophyceae
