dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
MP_E1032_OC0821_PCR1	84646	75283	74817	74765	73626	71307	84.2
MP_E1032_OC0821_PCR2	94239	77999	77417	77453	75928	73010	77.5
MP_E1032_OC0821_PCR3	107125	98833	98406	98147	96641	93195	87
MP_E1033_OC0821_PCR1	117978	109289	109039	108917	107813	104431	88.5
MP_E1033_OC0821_PCR2	116016	107502	107240	107097	105938	102794	88.6
MP_E1033_OC0821_PCR3	95064	87273	87021	86826	85977	83121	87.4
MP_E1034_OC0821_PCR1	533	483	463	463	443	438	82.2
MP_E1034_OC0821_PCR2	105411	95530	94945	94689	93285	91796	87.1
MP_E1034_OC0821_PCR3	113819	104956	104369	104139	102720	100988	88.7
MP_E1053_SKQ2021	105682	90931	90148	90034	88541	86946	82.3
MP_E1054_SKQ2021	104763	87143	86869	86856	86207	85728	81.8
MP_E1055_SKQ2021	123361	94660	94221	94358	93443	91080	73.8
MP_E1056_SKQ2021	112607	57779	57407	57284	56366	52376	46.5
MP_E1057_SKQ2021	107237	91977	91377	91313	89862	86558	80.7
MP_E1058_SKQ2021	102849	91965	91486	91352	90175	86371	84
MP_E1059_SKQ2021	118131	102787	102145	101851	100439	98578	83.4
MP_E1060_SKQ2021	124278	112116	111769	111589	109791	108883	87.6
MP_E1061_SKQ2021	118642	108673	108240	108008	106607	102760	86.6
MP_E1062_SKQ2021	121083	95519	94864	94530	92938	91223	75.3
MP_E1063_SKQ2021	109065	98309	97785	97732	96539	94310	86.5
MP_E1064_SKQ2021	110093	101831	101666	101598	101141	98862	89.8
MP_E1065_SKQ2021	130569	84346	83918	83612	82464	79280	60.7
MP_E1066_SKQ2021	125601	111714	111241	110996	109689	106746	85
MP_E1067_SKQ2021	128092	105178	104775	104794	103876	100028	78.1
MP_E1068_SKQ2021	112171	94870	94570	94431	93799	92510	82.5
MP_E1069_SKQ2021	140046	87698	87196	87054	85764	83289	59.5
MP_E1070_SKQ2021	110944	30448	30293	30224	29762	28479	25.7
MP_E1071_SKQ2021	117488	60406	60097	59920	59288	54365	46.3
MP_E1072_SKQ2021	86041	59563	59249	59229	58542	57316	66.6
MP_E1073_SKQ2021	97902	76995	76806	76769	76349	75046	76.7
MP_E1074_SKQ2021	116690	71308	70888	70653	69615	67881	58.2
MP_E1075_SKQ2021	117618	78157	77666	77338	76369	74674	63.5
MP_E1076_SKQ2021	88444	49081	48946	48840	48269	46787	52.9
MP_E1077_SKQ2021	114602	103925	103329	103037	101873	99683	87
MP_E1078_SKQ2021	107070	95885	95500	95209	94072	91605	85.6
MP_E1079_SKQ2021	118964	78744	78438	78268	77227	74490	62.6
MP_E1080_SKQ2021	116699	108629	108022	107815	106194	102364	87.7
MP_E1081_SKQ2021	101546	87408	87054	87021	86098	83674	82.4
MP_E1082_SKQ2021	118479	108220	107742	107459	106212	104104	87.9
MP_E1083_SKQ2021	106420	71089	70364	70305	68865	66798	62.8
MP_E1084_SKQ2021	136761	122068	121659	121435	120187	116327	85.1
MP_E1085_SKQ2021	113791	102419	101803	101579	100198	97829	86
MP_E1086_SKQ2021	103931	80571	79971	79977	78595	76453	73.6
MP_E1087_SKQ2021	123546	104351	103993	103869	102663	99455	80.5
MP_E1088_SKQ2021	123297	61780	61344	61232	60364	58588	47.5
MP_E1089_SKQ2021	121248	83331	82781	82375	81118	78683	64.9
MP_E1090_SKQ2021	131673	104121	103780	103763	102716	100168	76.1
MP_E1091_SKQ2021	120366	112063	111656	111480	110427	108725	90.3
MP_E1092_SKQ2021	118693	81557	81176	80929	79844	78801	66.4
MP_E1093_SKQ2021	135074	86914	86601	86377	85496	83197	61.6
MP_E1094_SKQ2021	104819	30013	29754	29530	28519	26187	25
MP_E1095_SKQ2021	109906	100090	99646	99558	97904	96208	87.5
MP_E1096_SKQ2021	127293	109380	108890	108745	107348	103660	81.4
MP_E1097_SKQ2021	111151	66196	65759	65607	64797	63609	57.2
MP_E1098_SKQ2021	111977	71874	71473	71299	70158	68398	61.1
MP_E1099_SKQ2021	137044	115933	115641	115571	114641	110302	80.5
MP_E1100_SKQ2021	106021	69908	69590	69467	68621	67296	63.5
MP_E1101_SKQ2021	104109	96790	96318	96153	95075	93239	89.6
MP_E1102_SKQ2021	131879	93535	93111	93096	92082	89288	67.7
MP_E1103_SKQ2021	106206	98675	98341	98160	96792	95406	89.8
MP_E1104_SKQ2021	128922	119110	118747	118584	117544	115815	89.8
MP_E1105_SKQ2021	3253	2969	2933	2924	2865	2815	86.5
MP_E1106_SKQ2021	119628	110883	110264	110318	108941	107028	89.5
MP_E1107_SKQ2021	122056	110965	110542	110422	109331	107732	88.3
MP_E1108_SKQ2021	115680	106552	106234	106100	104900	103477	89.5
MP_E1109_SKQ2021	95035	73531	73152	73095	71899	70603	74.3
MP_E1110_SKQ2021	115586	106551	106113	105987	104871	102856	89
MP_E1111_SKQ2021	1368	1266	1256	1242	1221	1207	88.2
MP_E1112_SKQ2021	115294	105773	105219	104876	103309	101475	88
MP_E1113_SKQ2021	119253	108877	108490	108360	106923	103074	86.4
MP_E1114_SKQ2021	119928	110790	110386	110267	108888	104797	87.4
MP_E1115_SKQ2021	114088	59213	58787	58634	57675	55219	48.4
MP_E1116_SKQ2021	115688	106647	106334	106188	105142	101386	87.6
MP_E1117_SKQ2021	116422	102180	101813	101800	100391	96690	83.1
MP_E1118_SKQ2021	105071	53078	52688	52546	51094	46339	44.1
MP_E1119_SKQ2021	125892	114152	113784	113726	112664	109093	86.7
MP_E1120_SKQ2021	122040	111446	111065	111001	109750	105585	86.5
MP_E1121_SKQ2021	110403	63247	62918	62716	61300	60064	54.4
MP_E1122_SKQ2021	128000	116976	116635	116567	115060	109435	85.5
MP_E1123_SKQ2021	137515	126698	126389	126322	124762	117973	85.8
MP_E1124_SKQ2021	114761	63363	63144	63028	62526	61709	53.8
MP_E1125_SKQ2021	118892	110211	109952	109819	108461	103061	86.7
MP_E1126_SKQ2021	137095	127326	126915	126983	125380	118378	86.3
MP_E1127_SKQ2021	156967	147469	147132	146976	145051	135440	86.3
MP_E1128_SKQ2021	144901	135151	134826	134831	133260	125617	86.7
MP_E1129_SKQ2021	108577	99279	98920	98683	97385	94216	86.8
MP_E1130_SKQ2021	116333	106837	106303	106006	104773	103264	88.8
MP_E1131_SKQ2021	127217	117627	117374	117205	116049	110929	87.2
MP_E1132_SKQ2021	117015	109582	109444	109335	108388	104286	89.1
MP_E1133_SKQ2021	151275	84326	83808	83527	82094	79370	52.5
MP_E1134_SKQ2021	167478	98812	98063	97734	95796	90287	53.9
MP_E1135_SKQ2021	152153	136999	136486	136226	134616	129993	85.4
MP_E1136_SKQ2021	134580	124315	123730	123686	122241	118784	88.3
MP_E1137_SKQ2021	156368	143641	143296	143073	141811	138450	88.5
MP_E1138_SKQ2021	135185	125298	124863	124634	123339	120068	88.8
MP_E1139_SKQ2021	139000	79659	79242	79076	77955	75440	54.3
MP_E1140_SKQ2021	106777	96996	96629	96543	95722	94083	88.1
MP_E1141_SKQ2021	150310	75820	75512	75479	74642	71896	47.8
MP_E1142_SKQ2021	129561	81538	80977	80711	79310	76160	58.8
MP_E1143_SKQ2021	138724	78109	77768	77636	76646	73847	53.2
MP_E1144_SKQ2021	146136	90256	89923	89851	88789	85635	58.6
MP_E1145_SKQ2021	106400	83809	83386	83367	82223	80279	75.5
MP_E1146_SKQ2021	137887	108724	108205	108172	106919	103716	75.2
MP_E1172_OC0622	123658	113616	113095	112775	111259	101700	82.2
MP_E1173_OC0622	107279	99515	98854	98674	97452	94855	88.4
MP_E1174_OC0622	125456	114927	114361	114024	112964	110638	88.2
MP_E1229_OC0822_PCR1	105126	96494	96013	95692	94474	92317	87.8
