x	MP_E1053_SKQ2021	MP_E1054_SKQ2021	MP_E1055_SKQ2021	MP_E1056_SKQ2021	MP_E1057_SKQ2021	MP_E1058_SKQ2021	MP_E1059_SKQ2021	MP_E1060_SKQ2021	MP_E1061_SKQ2021	MP_E1062_SKQ2021	MP_E1063_SKQ2021	MP_E1064_SKQ2021	MP_E1065_SKQ2021	MP_E1066_SKQ2021	MP_E1067_SKQ2021	MP_E1068_SKQ2021	MP_E1069_SKQ2021	MP_E1070_SKQ2021	MP_E1071_SKQ2021	MP_E1072_SKQ2021	MP_E1073_SKQ2021	MP_E1074_SKQ2021	MP_E1075_SKQ2021	MP_E1076_SKQ2021	MP_E1077_SKQ2021	MP_E1078_SKQ2021	MP_E1079_SKQ2021	MP_E1080_SKQ2021	MP_E1081_SKQ2021	MP_E1082_SKQ2021	MP_E1083_SKQ2021	MP_E1084_SKQ2021	MP_E1085_SKQ2021	MP_E1086_SKQ2021	MP_E1087_SKQ2021	MP_E1088_SKQ2021	MP_E1089_SKQ2021	MP_E1090_SKQ2021	MP_E1091_SKQ2021	MP_E1092_SKQ2021	MP_E1093_SKQ2021	MP_E1094_SKQ2021	MP_E1095_SKQ2021	MP_E1096_SKQ2021	MP_E1097_SKQ2021	MP_E1098_SKQ2021	MP_E1099_SKQ2021	MP_E1100_SKQ2021	MP_E1101_SKQ2021	MP_E1102_SKQ2021	MP_E1103_SKQ2021	MP_E1104_SKQ2021	MP_E1105_SKQ2021	MP_E1106_SKQ2021	MP_E1107_SKQ2021	MP_E1108_SKQ2021	MP_E1109_SKQ2021	MP_E1110_SKQ2021	MP_E1111_SKQ2021	MP_E1112_SKQ2021	MP_E1113_SKQ2021	MP_E1114_SKQ2021	MP_E1115_SKQ2021	MP_E1116_SKQ2021	MP_E1117_SKQ2021	MP_E1118_SKQ2021	MP_E1119_SKQ2021	MP_E1120_SKQ2021	MP_E1121_SKQ2021	MP_E1122_SKQ2021	MP_E1123_SKQ2021	MP_E1124_SKQ2021	MP_E1125_SKQ2021	MP_E1126_SKQ2021	MP_E1127_SKQ2021	MP_E1128_SKQ2021	MP_E1129_SKQ2021	MP_E1130_SKQ2021	MP_E1131_SKQ2021	MP_E1132_SKQ2021	MP_E1133_SKQ2021	MP_E1134_SKQ2021	MP_E1135_SKQ2021	MP_E1136_SKQ2021	MP_E1137_SKQ2021	MP_E1138_SKQ2021	MP_E1139_SKQ2021	MP_E1140_SKQ2021	MP_E1141_SKQ2021	MP_E1142_SKQ2021	MP_E1143_SKQ2021	MP_E1144_SKQ2021	MP_E1145_SKQ2021	MP_E1146_SKQ2021	MP_POSITIVE
ASV_1005	108	1432	703	11686	1648	160	5734	836	291	209	143	7	23914	16142	1070	15747	16865	175	3382	5767	1356	1541	3498	3765	896	491	763	65	226	768	748	224	531	891	437	854	576	693	1558	1771	1575	82	509	502	600	973	193	161	217	103	45	134	88	143	169	83	382	82	48	147	211	102	0	277	278	236	130	118	470	98	67	309	286	119	653	390	325	122	171	51	241	441	130	116	252	398	334	344	168	182	258	228	72	79	0
ASV_1015	27019	39215	42723	15661	18162	21434	9097	12840	36746	14648	18720	34181	11113	11157	44099	10479	9598	2018	12349	19919	13068	17518	22196	25631	33219	33554	31115	28537	46698	60050	35335	100396	51290	56236	86998	72838	74632	79108	20111	19007	39452	57052	28630	39503	47949	28879	55399	23854	41782	40258	9992	13934	11332	16445	13073	14310	15474	15123	16198	22607	36909	31240	85	50694	54478	52759	67653	42944	44176	40930	38805	79956	64059	60693	76046	59948	33767	42850	115673	118302	40697	37013	22743	32785	38133	27638	63325	60597	45469	30574	42312	32826	58358	82370	0
ASV_1018	2	3	3	0	26	26	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5	0	0	3	0	0	0	0	0	4	0	0	0	12	5	0	0	1	14	0	2	8	13	40	0	3	0	0	0	0	0	0	11	3	6	20	0	30	19	2	17	0	0	4	11	11	1	1	2	0	5	1	0	0	1	0	0	0	0	0	0	0	0	3	7	4	0	2	0
ASV_1019	24	0	36	40	8	3	15	23	7	35	30	0	52	106	0	36	26	0	10	50	0	34	31	0	26	26	0	11	16	13	24	14	2	3	7	0	6	21	18	46	35	63	0	40	53	15	4	32	45	6	152	36	36	17	12	2	8	5	105	107	2	1	0	0	16	193	0	0	1493	22	33	240	23	4	2	2	624	117	0	0	169	80	38	6	20	18	274	97	115	46	147	31	73	54	0
ASV_1044	87	139	281	4844	14578	19095	240	1635	17697	13	219	265	0	13	67	7	16	1	0	2	24	5	7	0	9509	10762	14539	12612	1320	12062	12134	120	5137	4215	99	1508	1900	54	25	0	161	55	0	144	20	27	358	5187	5931	5202	5048	3674	3897	6329	6834	5750	2961	2323	3363	6014	6752	6389	47	13297	12033	27230	45755	21867	14296	27027	25605	13419	40337	33614	38527	31883	10254	8201	4926	7879	41252	35360	30929	51350	65868	41159	41827	33221	34978	33821	45761	28274	8873	10543	0
ASV_1070	322	4247	1185	1329	1787	2459	2113	1342	1904	1586	2456	335	765	1449	731	545	769	73	968	2203	307	921	1124	2283	835	1772	1733	1590	1950	1013	779	3998	649	666	2913	436	327	2954	1981	1559	2337	903	2384	1484	716	1107	1034	2321	4218	6153	330	723	399	352	406	674	1690	2613	2530	975	15335	13612	7	20194	23519	2138	16216	20088	927	18251	19984	746	4773	4498	7046	6726	1116	659	1014	5381	1421	1701	3433	2432	3986	4437	560	792	2816	3919	6351	6458	1945	3389	0
ASV_1071	2	0	912	0	41	84	0	0	40	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	10	27	128	55	26	40	21	7	8	18	8	11	5	4	0	0	181	0	0	40	0	0	143	121	266	457	7	5	0	7	12	5	7	42	102	61	276	210	0	186	327	10	353	202	0	117	150	0	76	49	86	66	8	0	4	35	17	13	6	22	23	18	6	9	13	32	44	25	20	20	0
ASV_1074	0	27	28	1	3	1	2	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	6	2	11	11	0	0	2	2	1	2	6	10	7	8	6	0	5	4	7	9	15	2	11	7	2	1	8	5	5	7	0	0	0	0	0	0	0	0	3	0	0	32	4	0	6	0	9	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	21	2	0
ASV_1081	6074	6162	741	83	748	209	195	29	141	48	8	76	61	73	56	31	86	0	31	47	11	32	48	41	130	472	25	118	155	358	385	57	796	413	168	523	653	130	551	556	81	15387	3344	162	259	455	174	370	290	141	52	71	80	31	102	69	116	62	59	1215	526	495	3	985	1220	10875	427	244	9692	283	404	4888	71	91	100	104	7245	913	0	0	1397	1514	501	297	117	164	780	1105	249	1165	1401	1211	101	81	0
ASV_1088	0	211	114	125	45	24	55	6	40	78	18	64	104	87	35	53	58	6	169	369	170	226	184	154	49	180	96	15	64	51	35	21	79	107	19	63	162	54	44	42	44	52	75	30	94	86	34	24	2	36	48	17	20	15	20	15	43	34	5	10	26	19	0	23	33	18	6	76	40	45	78	111	24	34	106	29	18	0	7	185	43	90	18	24	19	16	112	153	95	45	65	84	1	21	0
