Sample	ASV	count	Kingdom	Phylum	Class	Order	Family	Genus	Species	(common name)
MP_E1053_SKQ2021	ASV_1	5227	Unknown							
MP_E1055_SKQ2021	ASV_1	16838	Unknown							
MP_E1056_SKQ2021	ASV_1	80966	Unknown							
MP_E1057_SKQ2021	ASV_1	41348	Unknown							
MP_E1058_SKQ2021	ASV_1	18067	Unknown							
MP_E1059_SKQ2021	ASV_1	105018	Unknown							
MP_E1060_SKQ2021	ASV_1	102749	Unknown							
MP_E1061_SKQ2021	ASV_1	7265	Unknown							
MP_E1062_SKQ2021	ASV_1	63146	Unknown							
MP_E1063_SKQ2021	ASV_1	45245	Unknown							
MP_E1064_SKQ2021	ASV_1	17149	Unknown							
MP_E1065_SKQ2021	ASV_1	116667	Unknown							
MP_E1066_SKQ2021	ASV_1	119755	Unknown							
MP_E1067_SKQ2021	ASV_1	24860	Unknown							
MP_E1068_SKQ2021	ASV_1	115552	Unknown							
MP_E1069_SKQ2021	ASV_1	110668	Unknown							
MP_E1070_SKQ2021	ASV_1	5684	Unknown							
MP_E1071_SKQ2021	ASV_1	69902	Unknown							
MP_E1072_SKQ2021	ASV_1	91505	Unknown							
MP_E1074_SKQ2021	ASV_1	86084	Unknown							
MP_E1075_SKQ2021	ASV_1	66029	Unknown							
MP_E1076_SKQ2021	ASV_1	20144	Unknown							
MP_E1077_SKQ2021	ASV_1	26853	Unknown							
MP_E1078_SKQ2021	ASV_1	10354	Unknown							
MP_E1079_SKQ2021	ASV_1	14495	Unknown							
MP_E1080_SKQ2021	ASV_1	22271	Unknown							
MP_E1081_SKQ2021	ASV_1	7193	Unknown							
MP_E1082_SKQ2021	ASV_1	24535	Unknown							
MP_E1083_SKQ2021	ASV_1	15283	Unknown							
MP_E1084_SKQ2021	ASV_1	17107	Unknown							
MP_E1085_SKQ2021	ASV_1	7471	Unknown							
MP_E1086_SKQ2021	ASV_1	7202	Unknown							
MP_E1087_SKQ2021	ASV_1	23558	Unknown							
MP_E1088_SKQ2021	ASV_1	12238	Unknown							
MP_E1089_SKQ2021	ASV_1	13991	Unknown							
MP_E1090_SKQ2021	ASV_1	18210	Unknown							
MP_E1091_SKQ2021	ASV_1	31199	Unknown							
MP_E1092_SKQ2021	ASV_1	23901	Unknown							
MP_E1093_SKQ2021	ASV_1	31652	Unknown							
MP_E1094_SKQ2021	ASV_1	69	Unknown							
MP_E1095_SKQ2021	ASV_1	5325	Unknown							
MP_E1096_SKQ2021	ASV_1	11059	Unknown							
MP_E1097_SKQ2021	ASV_1	9549	Unknown							
MP_E1098_SKQ2021	ASV_1	14610	Unknown							
MP_E1099_SKQ2021	ASV_1	21534	Unknown							
MP_E1100_SKQ2021	ASV_1	804	Unknown							
MP_E1101_SKQ2021	ASV_1	5290	Unknown							
MP_E1102_SKQ2021	ASV_1	14396	Unknown							
MP_E1103_SKQ2021	ASV_1	7641	Unknown							
MP_E1104_SKQ2021	ASV_1	21250	Unknown							
MP_E1105_SKQ2021	ASV_1	17954	Unknown							
MP_E1106_SKQ2021	ASV_1	8135	Unknown							
MP_E1107_SKQ2021	ASV_1	8299	Unknown							
MP_E1108_SKQ2021	ASV_1	16580	Unknown							
MP_E1109_SKQ2021	ASV_1	1295	Unknown							
MP_E1110_SKQ2021	ASV_1	11104	Unknown							
MP_E1111_SKQ2021	ASV_1	9327	Unknown							
MP_E1112_SKQ2021	ASV_1	1723	Unknown							
MP_E1113_SKQ2021	ASV_1	21421	Unknown							
MP_E1114_SKQ2021	ASV_1	21482	Unknown							
MP_E1116_SKQ2021	ASV_1	14049	Unknown							
MP_E1117_SKQ2021	ASV_1	4942	Unknown							
MP_E1118_SKQ2021	ASV_1	1167	Unknown							
MP_E1119_SKQ2021	ASV_1	1303	Unknown							
MP_E1120_SKQ2021	ASV_1	3705	Unknown							
MP_E1124_SKQ2021	ASV_1	505	Unknown							
MP_E1127_SKQ2021	ASV_1	3175	Unknown							
MP_E1130_SKQ2021	ASV_1	3274	Unknown							
MP_E1133_SKQ2021	ASV_1	5852	Unknown							
MP_E1134_SKQ2021	ASV_1	8091	Unknown							
MP_E1136_SKQ2021	ASV_1	20540	Unknown							
MP_E1137_SKQ2021	ASV_1	10335	Unknown							
MP_E1138_SKQ2021	ASV_1	17029	Unknown							
MP_E1139_SKQ2021	ASV_1	41789	Unknown							
MP_E1140_SKQ2021	ASV_1	25439	Unknown							
MP_E1145_SKQ2021	ASV_1	16467	Unknown							
MP_E1146_SKQ2021	ASV_1	25973	Unknown							
MP_E1053_SKQ2021	ASV_10	5130	Unknown							
MP_E1054_SKQ2021	ASV_10	4098	Unknown							
MP_E1055_SKQ2021	ASV_10	13422	Unknown							
MP_E1056_SKQ2021	ASV_10	3472	Unknown							
MP_E1057_SKQ2021	ASV_10	13788	Unknown							
MP_E1058_SKQ2021	ASV_10	24283	Unknown							
MP_E1059_SKQ2021	ASV_10	2893	Unknown							
MP_E1060_SKQ2021	ASV_10	4219	Unknown							
