Sample	Unknown	Peridiniales	Coscinodiscophyceae	Gymnodiniales	Dinophyceae	Bacterosira sp_ RCC4607	Cylindrotheca closterium	Prorocentrales	Environmental Unknown	Pseudo_nitzschia granii	Minidiscus trioculatus	Chaetocerotales	Chaetoceros cf_ neogracilis clade I	Chaetocerotaceae	Chaetoceros gelidus	Pseudo_nitzschia pungens	Thalassiosirales	Pseudo_nitzschia seriata	Fragilariopsis cylindrus	Prorocentrum	Bacillariophyceae	Pseudo_nitzschia	Gyrodinium dominans	Chaetoceros	Thalassiosira hyalina	Fragilariopsis oceanica	Thalassiosira	Gymnodiniaceae	Pseudo_nitzschia delicatissima	Florenciellales	Thalassiosira nordenskioeldii	Thalassiosiraceae	Chaetoceros cf_ neogracilis clade II	Thalassiosira sp_ RCC4858	Levanderina__f__o	Levanderina__f	Minidiscus	Cymatosirales	Suessiales	Thalassiosira sp_	Florenciella__f	Florenciella	Pelagomonadales	Shimiella gracilenta	Porosira glacialis	Shionodiscus sp_ IAL_2014	Kareniaceae	Fragilariopsis	Cylindrotheca	Chaetoceros atlanticus	Bacillariaceae	Karlodinium veneficum	Tovelliaceae	Azadinium dalianense	Heterocapsa triquetra	Asterionellopsis glacialis	Gyrodinium	Pseudochattonella	Pelagodinium	Eukaryota	Karlodinium	Mediophyceae	Heterocapsa	Dictyocha speculum	Fragilariopsis reginae_jahniae	Azadinium obesum	Chaetoceros sp_ CCAP 1010_16	Thalassiosira gravida	Mertensia ovum	Polarella glacialis	Laminariales	Scrippsiella	Thalassiosira bioculata	Suessiaceae	Gonyaulacales	Rhaponeidales	Shimiella	Porosira	Bacillariales	Chaetoceros cf_ neogracilis clade IV	Peridiniaceae	Skeletonemataceae	Azadinium perforatum	Karlodinium elegans	Gymnodinium	Aureococcus__f	Gymnodinium aureolum	Pseudo_nitzschia pseudodelicatissima	Chaetoceros cf_ neogracilis clade III	Corethron hystrix	Biecheleriaceae	Phaeophyceae	Prorocentrum criophilum	Thalassiosira aff_ guillardii IAL_2014	Tentaculata	Ctenophora sp_ _in_ diatoms_	Limacina helicina	Pythiales	Bacterosira	Fragilariopsis pacifica	Conticribra	Azadinium trinitatum	Hyperia galba	Luticola ventricosa	Diadesmidaceae	
MP_E1053_SKQ2021	181304	108	2	27019	322	3	238	6074	117	55	4	794	9	17	17056	12948	5	54	27	5	2	4	1135	21	8	24	6	4	87	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1054_SKQ2021	180446	1432	3	39215	4247	27	0	6162	581	0	0	837	24	0	31214	3464	3	0	106	0	0	0	6	311	16	0	0	0	139	0	27	5	48	7	142	211	6	20	2	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1055_SKQ2021	150937	703	3	42723	1185	4	0	741	687	0	2	41	5	0	2654	19816	0	0	84	19	0	0	1499	1	0	36	12	0	281	912	28	5	0	0	16	114	7	5	0	0	75	19	9	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1056_SKQ2021	222534	11686	0	15661	1329	0	59	83	24	0	7	167	0	0	870	223	0	3	30	6	0	49	755	0	9	40	4	274	4844	0	1	0	0	2	54	125	0	0	0	0	1	0	0	3	2	15	2	4	4	3	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1057_SKQ2021	190247	1648	26	18162	1787	2	13	748	101	0	0	8	0	0	481	227	3	0	72	2	0	101	308	0	0	8	0	0	14578	41	3	9	5	1	25	45	1	0	0	0	0	4	0	49	0	5	32	0	3	0	4	2	3	7	1	1	1	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1058_SKQ2021	185689	160	26	21434	2459	0	0	209	110	3	0	6	0	0	224	196	0	0	12	18	3	115	464	3	1	3	0	0	19095	84	1	0	0	0	18	24	1	0	0	0	21	11	0	122	0	0	14	0	0	0	5	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1059_SKQ2021	245849	5734	0	9097	2113	0	186	195	5	0	0	32	0	0	898	416	0	24	56	13	0	51	846	0	7	15	0	4	240	0	2	0	0	0	13	55	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1060_SKQ2021	344764	836	0	12840	1342	0	157	29	130	0	0	4	0	0	232	852	0	0	6	1	0	32	1747	2	0	23	6	0	1635	0	1	0	0	0	3	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1061_SKQ2021	188192	291	22	36746	1904	0	145	141	145	4	2	7	0	14	647	1027	0	0	52	9	0	172	747	0	0	7	0	0	17697	40	3	3	3	0	9	40	23	14	0	0	1	17	0	47	3	0	12	0	3	0	0	0	0	0	0	1	0	0	11	2	2	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1062_SKQ2021	217751	209	0	14648	1586	0	355	48	113	0	0	22	0	0	442	730	0	37	0	10	19	46	1209	1	4	35	6	0	13	0	0	0	0	0	3	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
