Value	Sample	TerminalTaxa
181304	MP_E1053_SKQ2021	Unknown
108	MP_E1053_SKQ2021	Peridiniales
2	MP_E1053_SKQ2021	Coscinodiscophyceae
27019	MP_E1053_SKQ2021	Gymnodiniales
322	MP_E1053_SKQ2021	Dinophyceae
3	MP_E1053_SKQ2021	Bacterosira sp_ RCC4607
238	MP_E1053_SKQ2021	Cylindrotheca closterium
6074	MP_E1053_SKQ2021	Prorocentrales
117	MP_E1053_SKQ2021	Environmental Unknown
55	MP_E1053_SKQ2021	Pseudo_nitzschia granii
4	MP_E1053_SKQ2021	Minidiscus trioculatus
794	MP_E1053_SKQ2021	Chaetocerotales
9	MP_E1053_SKQ2021	Chaetoceros cf_ neogracilis clade I
17	MP_E1053_SKQ2021	Chaetocerotaceae
17056	MP_E1053_SKQ2021	Chaetoceros gelidus
12948	MP_E1053_SKQ2021	Pseudo_nitzschia pungens
5	MP_E1053_SKQ2021	Thalassiosirales
54	MP_E1053_SKQ2021	Pseudo_nitzschia seriata
27	MP_E1053_SKQ2021	Fragilariopsis cylindrus
5	MP_E1053_SKQ2021	Prorocentrum
2	MP_E1053_SKQ2021	Bacillariophyceae
4	MP_E1053_SKQ2021	Pseudo_nitzschia
1135	MP_E1053_SKQ2021	Gyrodinium dominans
21	MP_E1053_SKQ2021	Chaetoceros
8	MP_E1053_SKQ2021	Thalassiosira hyalina
24	MP_E1053_SKQ2021	Fragilariopsis oceanica
6	MP_E1053_SKQ2021	Thalassiosira
4	MP_E1053_SKQ2021	Gymnodiniaceae
87	MP_E1053_SKQ2021	Pseudo_nitzschia delicatissima
2	MP_E1053_SKQ2021	Florenciellales
180446	MP_E1054_SKQ2021	Unknown
1432	MP_E1054_SKQ2021	Peridiniales
3	MP_E1054_SKQ2021	Coscinodiscophyceae
39215	MP_E1054_SKQ2021	Gymnodiniales
4247	MP_E1054_SKQ2021	Dinophyceae
27	MP_E1054_SKQ2021	Bacterosira sp_ RCC4607
6162	MP_E1054_SKQ2021	Prorocentrales
581	MP_E1054_SKQ2021	Environmental Unknown
837	MP_E1054_SKQ2021	Chaetocerotales
24	MP_E1054_SKQ2021	Chaetoceros cf_ neogracilis clade I
