All percentages range 0-100% of the total count for either Eukaryotes or Prokaryotes, with exception of the first three data rows (% Known, % Eukaryote, % Prokaryote), which represent %s of total reads.
Taxonomy String (K->S)	Terminal Taxa	MP_E1053_SKQ2021	MP_E1054_SKQ2021	MP_E1055_SKQ2021	MP_E1056_SKQ2021	MP_E1057_SKQ2021	MP_E1058_SKQ2021	MP_E1059_SKQ2021	MP_E1060_SKQ2021	MP_E1061_SKQ2021	MP_E1062_SKQ2021	MP_E1063_SKQ2021	MP_E1064_SKQ2021	MP_E1065_SKQ2021	MP_E1066_SKQ2021	MP_E1067_SKQ2021	MP_E1068_SKQ2021	MP_E1069_SKQ2021	MP_E1070_SKQ2021	MP_E1071_SKQ2021	MP_E1072_SKQ2021	MP_E1073_SKQ2021	MP_E1074_SKQ2021	MP_E1075_SKQ2021	MP_E1076_SKQ2021	MP_E1077_SKQ2021	MP_E1078_SKQ2021	MP_E1079_SKQ2021	MP_E1080_SKQ2021	MP_E1081_SKQ2021	MP_E1082_SKQ2021	MP_E1083_SKQ2021	MP_E1084_SKQ2021	MP_E1085_SKQ2021	MP_E1086_SKQ2021	MP_E1087_SKQ2021	MP_E1088_SKQ2021	MP_E1089_SKQ2021	MP_E1090_SKQ2021	MP_E1091_SKQ2021	MP_E1092_SKQ2021	MP_E1093_SKQ2021	MP_E1094_SKQ2021	MP_E1095_SKQ2021	MP_E1096_SKQ2021	MP_E1097_SKQ2021	MP_E1098_SKQ2021	MP_E1099_SKQ2021	MP_E1100_SKQ2021	MP_E1101_SKQ2021	MP_E1102_SKQ2021	MP_E1103_SKQ2021	MP_E1104_SKQ2021	MP_E1105_SKQ2021	MP_E1106_SKQ2021	MP_E1107_SKQ2021	MP_E1108_SKQ2021	MP_E1109_SKQ2021	MP_E1110_SKQ2021	MP_E1111_SKQ2021	MP_E1112_SKQ2021	MP_E1113_SKQ2021	MP_E1114_SKQ2021	MP_E1115_SKQ2021	MP_E1116_SKQ2021	MP_E1117_SKQ2021	MP_E1118_SKQ2021	MP_E1119_SKQ2021	MP_E1120_SKQ2021	MP_E1121_SKQ2021	MP_E1122_SKQ2021	MP_E1123_SKQ2021	MP_E1124_SKQ2021	MP_E1125_SKQ2021	MP_E1126_SKQ2021	MP_E1127_SKQ2021	MP_E1128_SKQ2021	MP_E1129_SKQ2021	MP_E1130_SKQ2021	MP_E1131_SKQ2021	MP_E1132_SKQ2021	MP_E1133_SKQ2021	MP_E1134_SKQ2021	MP_E1135_SKQ2021	MP_E1136_SKQ2021	MP_E1137_SKQ2021	MP_E1138_SKQ2021	MP_E1139_SKQ2021	MP_E1140_SKQ2021	MP_E1141_SKQ2021	MP_E1142_SKQ2021	MP_E1143_SKQ2021	MP_E1144_SKQ2021	MP_E1145_SKQ2021	MP_E1146_SKQ2021	MP_POSITIVE
	% Known	26.73	32.88	32.21	14.04	16.84	19.45	7.53	5.45	24.18	8.26	10.25	18.66	12.96	10.52	20.69	10.48	10.38	8.47	10.95	11.48	9.93	8.86	12.04	11.64	18.51	21.15	22.12	22.98	31.12	32.37	25.95	32.2	23.41	26.05	30.17	32.55	30.42	34.56	18.33	17.68	29.83	41.04	19.03	24.33	32.82	17.73	24.11	19	22.68	24.69	16.31	13.99	18.56	16.62	16.59	15.04	16.4	18.4	21.84	15.13	24.18	25.38	33.4	32.66	31.89	37.15	48.19	34.74	29.39	35.54	34.77	41.77	39.52	39.46	43.91	36.52	27.33	22.93	47.48	48.79	36.72	32.77	26.09	45.63	43.79	34.94	49.95	43.74	40.92	32.93	32.88	27.22	53.58	52.36	100
	% Eukaryote	26.68	32.67	31.9	14.03	16.8	19.41	7.53	5.42	24.12	8.22	10.22	18.66	12.96	10.52	20.69	10.48	10.38	8.47	10.95	11.48	9.93	8.86	12.04	11.64	18.4	21.1	22.09	22.9	31.11	32.25	25.8	32.19	23.27	25.86	30.17	32.47	30.32	34.56	18.33	17.67	29.82	40.99	18.99	24.33	32.82	17.71	24.1	18.89	22.52	24.56	16.24	13.97	18.52	16.57	16.57	15.01	16.02	18.33	21.75	15.02	24.15	25.35	33.4	32.61	31.85	37.11	48.13	34.7	29.33	35.53	34.76	41.71	39.52	39.46	43.9	36.52	27.31	22.91	47.47	48.79	36.7	32.76	26.09	45.63	43.78	34.92	49.91	43.72	40.87	32.9	32.85	27.2	53.57	52.36	100
	% Prokaryote	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	<<<Arthropoda, Malacostraca>>>
Eukaryota;Arthropoda;Malacostraca;Amphipoda;Hyperiidae;Hyperia;Hyperia galba	Hyperia galba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0
	<<<Bacillariophyta>>>
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Cylindrotheca;Cylindrotheca closterium	Cylindrotheca closterium	0.36	0	0	0.16	0.03	0	0.93	0.79	0.24	1.82	2.08	7.66	0.15	1.12	9.76	0.26	1.38	22.56	0.39	0.42	8.45	0.55	0.62	2.7	0.08	0.03	0.17	0	0	0	0	D	0.01	0	0	0.01	0.01	0.01	0.01	0.02	0.01	0.05	0.07	0.04	0.2	0.02	D	0.02	0	0	0	0	0.01	0	0	0	0	0	0	0.02	0	0	0	0.01	0	0	0	0	0.11	0	0	0.2	0	0	0	0.01	0.09	0.08	0	0.02	0	0.01	0.04	0.01	0.01	0	0.01	D	0.03	0.01	0	0	0.03	0.01	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Cylindrotheca;NA	Cylindrotheca	0	0	0	0.01	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	D	0	0	0	0	0	0	D	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Fragilariopsis;Fragilariopsis cylindrus	Fragilariopsis cylindrus	0.04	0.12	0.12	0.08	0.19	0.03	0.28	0.03	0.09	0	0.08	0.01	0.11	0.22	0	0.03	0.03	0	0.08	0.02	0	0.06	0.04	0	0.02	0.04	0	0.17	0.32	0.05	0.05	0.14	0.06	0.08	0.06	0.06	0.11	0.11	0.06	0.11	0.3	0.05	0.01	0.11	0.07	0.1	0.18	0.03	0.01	0.03	0.15	0.05	0.08	0.08	0.07	0.01	0.01	0.01	0.01	0.12	0.01	0.01	0	0	0	0.31	D	D	0.49	D	0.01	0.04	0.09	0.03	0.01	0.01	0.95	0.23	0	0	0.17	0.09	0.03	0.08	0.05	0.04	0.2	0.09	0.54	0.07	0.11	0.04	0.59	0.37	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Fragilariopsis;Fragilariopsis oceanica	Fragilariopsis oceanica	0.04	0	0.05	0.11	0.02	0.01	0.07	0.12	0.01	0.18	0.12	0	0.14	0.35	0	0.13	0.09	0	0.05	0.17	0	0.16	0.11	0	0.05	0.05	0	0.02	0.03	0.02	0.04	0.01	D	D	0.01	0	0.01	0.02	0.03	0.09	0.04	0.06	0	0.06	0.06	0.03	0.01	0.07	0.07	0.01	0.4	0.09	0.08	0.04	0.03	D	0.02	0.01	0.2	0.29	D	D	0	0	0.02	0.2	0	0	1.88	0.02	0.04	0.21	0.02	D	D	D	0.92	0.2	0	0	0.15	0.08	0.05	0.01	0.01	0.02	0.19	0.08	0.09	0.05	0.12	0.04	0.06	0.03	0
