All percentages range 0-100% of the total count for either Eukaryotes or Prokaryotes, with exception of the first three data rows (% Known, % Eukaryote, % Prokaryote), which represent %s of total reads.
Taxonomy String (K->S)	Terminal Taxa	MP_E1053_SKQ2021	MP_E1054_SKQ2021	MP_E1055_SKQ2021	MP_E1056_SKQ2021	MP_E1057_SKQ2021	MP_E1058_SKQ2021	MP_E1059_SKQ2021	MP_E1060_SKQ2021	MP_E1061_SKQ2021	MP_E1062_SKQ2021	MP_E1063_SKQ2021	MP_E1064_SKQ2021	MP_E1065_SKQ2021	MP_E1066_SKQ2021	MP_E1067_SKQ2021	MP_E1068_SKQ2021	MP_E1069_SKQ2021	MP_E1070_SKQ2021	MP_E1071_SKQ2021	MP_E1072_SKQ2021	MP_E1073_SKQ2021	MP_E1074_SKQ2021	MP_E1075_SKQ2021	MP_E1076_SKQ2021	MP_E1077_SKQ2021	MP_E1078_SKQ2021	MP_E1079_SKQ2021	MP_E1080_SKQ2021	MP_E1081_SKQ2021	MP_E1082_SKQ2021	MP_E1083_SKQ2021	MP_E1084_SKQ2021	MP_E1085_SKQ2021	MP_E1086_SKQ2021	MP_E1087_SKQ2021	MP_E1088_SKQ2021	MP_E1089_SKQ2021	MP_E1090_SKQ2021	MP_E1091_SKQ2021	MP_E1092_SKQ2021	MP_E1093_SKQ2021	MP_E1094_SKQ2021	MP_E1095_SKQ2021	MP_E1096_SKQ2021	MP_E1097_SKQ2021	MP_E1098_SKQ2021	MP_E1099_SKQ2021	MP_E1100_SKQ2021	MP_E1101_SKQ2021	MP_E1102_SKQ2021	MP_E1103_SKQ2021	MP_E1104_SKQ2021	MP_E1105_SKQ2021	MP_E1106_SKQ2021	MP_E1107_SKQ2021	MP_E1108_SKQ2021	MP_E1109_SKQ2021	MP_E1110_SKQ2021	MP_E1111_SKQ2021	MP_E1112_SKQ2021	MP_E1113_SKQ2021	MP_E1114_SKQ2021	MP_E1115_SKQ2021	MP_E1116_SKQ2021	MP_E1117_SKQ2021	MP_E1118_SKQ2021	MP_E1119_SKQ2021	MP_E1120_SKQ2021	MP_E1121_SKQ2021	MP_E1122_SKQ2021	MP_E1123_SKQ2021	MP_E1124_SKQ2021	MP_E1125_SKQ2021	MP_E1126_SKQ2021	MP_E1127_SKQ2021	MP_E1128_SKQ2021	MP_E1129_SKQ2021	MP_E1130_SKQ2021	MP_E1131_SKQ2021	MP_E1132_SKQ2021	MP_E1133_SKQ2021	MP_E1134_SKQ2021	MP_E1135_SKQ2021	MP_E1136_SKQ2021	MP_E1137_SKQ2021	MP_E1138_SKQ2021	MP_E1139_SKQ2021	MP_E1140_SKQ2021	MP_E1141_SKQ2021	MP_E1142_SKQ2021	MP_E1143_SKQ2021	MP_E1144_SKQ2021	MP_E1145_SKQ2021	MP_E1146_SKQ2021	MP_POSITIVE
	% Known	26.7322411438085	32.8827756535194	32.2076300494956	14.0433618781649	16.8402739833809	19.4530114733121	7.52724167892244	5.45474489586047	24.1812475575413	8.26438273061238	10.2459387582028	18.6577371520075	12.9635591372166	10.5217633928571	20.6935526200682	10.4806112603333	10.3824504866435	8.47297958296346	10.9480341959549	11.4842911966418	9.9316320168555	8.86235177699881	12.0431461889928	11.6428021555042	18.5066950100527	21.150728059819	22.1244184448676	22.9794313503113	31.1228006329986	32.3692545262594	25.9501132089594	32.1961500474139	23.4058992280782	26.0452412633938	30.1658934656355	32.5473161650636	30.4178461602901	34.5613201140839	18.3330310297803	17.6827964974948	29.8273601266549	41.0381624850839	19.0321369628197	24.3295516450892	32.8229297966789	17.7328894319332	24.1111177481298	19.0046575815077	22.6789016929862	24.6865583542537	16.3083434972738	13.9927151658296	18.562993063382	16.6215426679548	16.5932404664151	15.037767657371	16.4043229787266	18.3958552162738	21.8406120523112	15.1277566194015	24.176798378926	25.3840891002937	33.4033613445378	32.6566159250585	31.8945637570435	37.1457313138215	48.1865956841374	34.7447171648292	29.3937272939373	35.5379049713392	34.7683744038765	41.7731266225671	39.5239804241436	39.4635882782311	43.9070167728704	36.5213390617036	27.3294406759827	22.9313131473977	47.4819885760211	48.7885668764873	36.7184242237187	32.7668269230769	26.0912300409211	45.6288632812199	43.7926448317677	34.935415847139	49.952054289297	43.7370267639009	40.9180255072388	32.9258134241008	32.8752492943471	27.2167618999831	53.5757887867313	52.3638203751163	100
	% Eukaryote	26.6849596288603	32.6666716260247	31.8990684764155	14.0340915674937	16.796125416898	19.4052963758215	7.52536099691192	5.4190947608013	24.1228299887597	8.21677732466044	10.2241196182886	18.6552351086721	12.9635591372166	10.5217633928571	20.6935526200682	10.4806112603333	10.3824504866435	8.47297958296346	10.9480341959549	11.4842911966418	9.9316320168555	8.86235177699881	12.0431461889928	11.6428021555042	18.3970625945347	21.0952380952381	22.0886908384209	22.9048528951003	31.1084644269102	32.2483179175267	25.799011994536	32.193617554118	23.2714031234574	25.8627666114185	30.1658934656355	32.4729309370948	30.3249992146405	34.5598110673488	18.3313515655965	17.6748263781967	29.8246409126891	40.9895188076219	18.9882204608399	24.3251642529917	32.8156226594326	17.7089755517941	24.0956573986556	18.8929618768328	22.524541186513	24.5572101598452	16.2416227173631	13.9660373063187	18.5213257353291	16.570372435283	16.572570349325	15.0115664528051	16.0172585211102	18.3259423877764	21.7535347317006	15.019414705554	24.1526204292162	25.3496479086284	33.4033613445378	32.6105093676815	31.8457692487651	37.1054929203204	48.1282440108491	34.7037237040745	29.3337332933373	35.5263714337341	34.758790425222	41.7129908036199	39.5181076672104	39.458053267559	43.9027442076223	36.5186911247774	27.3056327854828	22.9149913613962	47.4740951232814	48.7885668764873	36.6964253466465	32.759271978022	26.0852122281955	45.6250144331801	43.7823066907331	34.9234856741193	49.9141192214881	43.7197597310752	40.8697015013093	32.8996028924937	32.8485489161826	27.1966907729266	53.5713492947867	52.3592497673887	100
	% Prokaryote	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	<<<Arthropoda, Malacostraca>>>
Eukaryota;Arthropoda;Malacostraca;Amphipoda;Hyperiidae;Hyperia;Hyperia galba	Hyperia galba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0049765273791948	0	0	0	0
	<<<Bacillariophyta>>>
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Cylindrotheca;Cylindrotheca closterium	Cylindrotheca closterium	0.360425847682219	0	0	0.162386810888173	0.0338321405335068	0	0.92967461388514	0.794494205758818	0.242167145433897	1.8201394585726	2.08173948057177	7.66049713876967	0.154877299794387	1.12370723945903	9.75869590949828	0.259481747414069	1.38492588210731	22.5571947829805	0.386202518252037	0.424871864041004	8.44788397012664	0.553557910673732	0.621205208296775	2.6976990214229	0.0808031836454356	0.0279835083857247	0.168855868185777	0	0	0	0	0.00262214841360021	0.00614835992499001	0	0	0.00612482391131255	0.00690615683882181	0.00873295708843211	0.00549702244617499	0.0204968434861031	0.0121564535572822	0.0519196358208402	0.0671466408027754	0.0405819755906932	0.200405263978267	0.0189897455374098	0.00291647223518432	0.0205437238923509	0	0	0	0	0.00642769909797956	0	0	0	0	0	0	0.0192725971201233	0	0	0	0.00561053883614982	0	0	0	0	0.106048555088437	0	0	0.198667346472336	0	0	0	0.00634454505080168	0.0871904001891588	0.0764393176053647	0	0.0188398819367399	0	0.00943445673253315	0.0410130216343689	0.00843582865144843	0.0127635676724358	0	0.0091482294657434	0.00252094485012983	0.0263641447631222	0.0130961475499291	0	0	0.0281760172370929	0.00872932241752349	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Cylindrotheca;NA	Cylindrotheca	0	0	0	0.0110092753144524	0.00780741704619388	0	0	0	0.0050103547331151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00385326757090012	0.00354496791804034	0	0	0	0	0	0	0.00244992956452502	0.0034530784194109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Fragilariopsis;Fragilariopsis cylindrus	Fragilariopsis cylindrus	0.040888646585798	0.120694563051523	0.118273211117682	0.0825695648583932	0.187378009108653	0.0268240343347639	0.279902034287999	0.030362835888872	0.0868461487073285	0	0.0765049325548621	0.013412017167382	0.112152527437315	0.215460090161761	0	0.0284363558809939	0.0347971327162642	0	0.0846471272881177	0.0236039924467224	0	0.0615064345193036	0.0386059733969747	0	0.0202007959113589	0.0354457772885846	0	0.167617139334155	0.31550214470559	0.053748335633925	0.050771546174908	0.136351717507211	0.0553352393249101	0.0827403607479729	0.0649078726968174	0.0612482391131255	0.111649535560953	0.105887104697239	0.0622995877233165	0.110682954824957	0.304924376728496	0.050065363112953	0.00746073786697504	0.105212529309205	0.0679151172370794	0.0970586994134279	0.177904806346244	0.0273916318564679	0.00789515237644087	0.0281907474999258	0.151760950337537	0.0458446883834654	0.0792749555417479	0.082962689834766	0.0684764000978234	0.00688974117538984	0.0118458148736052	0.0110578695171397	0.0148945281227309	0.11563558272074	0.00953379731146916	0.00734403113869203	0	0	0	0.31203003672747	0.00224522328745594	0.00340742591688152	0.491105808683357	0.00432862955588261	0.00551456396342741	0.0369204803178678	0.089165558977238	0.0263017157485907	0.00903675177433145	0.0135954536802893	0.948749778329491	0.229317952816094	0	0	0.169107844277623	0.0911997484144871	0.0333230800779247	0.0818275379190498	0.0548833409914739	0.0369306903269289	0.196335078534031	0.0890733847045873	0.539266597427499	0.0720288115246098	0.112801287261749	0.0403593131998017	0.593353774757603	0.369749156685102	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Fragilariopsis;Fragilariopsis oceanica	Fragilariopsis oceanica	0.0363454636318205	0	0.0506885190504351	0.110092753144524	0.0208197787898504	0.00670600858369099	0.0749737591842855	0.116390870907343	0.0116908277106019	0.179450369155045	0.12079726192873	0	0.138855510160485	0.351365685494564	0	0.127963601464472	0.0904725450622869	0	0.0529044545550735	0.168599946048017	0	0.160862982588948	0.108798652300565	0	0.0525220693695332	0.0485047478685894	0	0.0211929716399507	0.0283597433443227	0.0158801900736597	0.0435184681499211	0.012236692596801	0.003074179962495	0.00451311058625307	0.00732830820770519	0	0.00690615683882181	0.0229240123571343	0.0329821346770499	0.0942854800360745	0.0354563228754065	0.0584095902984452	0	0.0601214453195455	0.0590082166158231	0.031649575895683	0.00583294447036864	0.0730443516172476	0.0710563713879678	0.00890234131576605	0.397718352608718	0.0916893767669307	0.0771323891757547	0.0391768257553061	0.0293470286133529	0.00459316078359323	0.0189533037977682	0.00921489126428308	0.195490681610843	0.294595413121885	0.00317793243715639	0.00183600778467301	0	0	0.0167913776275882	0.19744851504394	0	0	1.8848868184171	0.0238074625573543	0.0363961221586209	0.210974173244959	0.0189889616340414	0.00350689543314542	0.0013902695037433	0.00181272715737191	0.922149317254832	0.203259094541538	0	0	0.151212834301155	0.0838618376225169	0.0487029631908131	0.00506149719086906	0.0127635676724358	0.016618810647118	0.192816528739515	0.0815105501541978	0.0918750499320924	0.0502018989413947	0.121924920790273	0.0357468202626815	0.0604955664208171	0.0336702436104478	0
