reads.in	reads.out
MP_E1053_SKQ2021_R1_trimmed.fq.gz	289853	263183
MP_E1054_SKQ2021_R1_trimmed.fq.gz	305242	288067
MP_E1055_SKQ2021_R1_trimmed.fq.gz	274347	254329
MP_E1056_SKQ2021_R1_trimmed.fq.gz	316857	292341
MP_E1057_SKQ2021_R1_trimmed.fq.gz	278745	254457
MP_E1058_SKQ2021_R1_trimmed.fq.gz	275384	258701
MP_E1059_SKQ2021_R1_trimmed.fq.gz	305188	286854
MP_E1060_SKQ2021_R1_trimmed.fq.gz	422693	394853
MP_E1061_SKQ2021_R1_trimmed.fq.gz	290233	273862
MP_E1062_SKQ2021_R1_trimmed.fq.gz	283493	254205
MP_E1063_SKQ2021_R1_trimmed.fq.gz	286300	268078
MP_E1064_SKQ2021_R1_trimmed.fq.gz	293999	274187
MP_E1065_SKQ2021_R1_trimmed.fq.gz	339842	317754
MP_E1066_SKQ2021_R1_trimmed.fq.gz	336635	314239
MP_E1067_SKQ2021_R1_trimmed.fq.gz	344330	324171
MP_E1068_SKQ2021_R1_trimmed.fq.gz	326760	298373
MP_E1069_SKQ2021_R1_trimmed.fq.gz	332557	308406
MP_E1070_SKQ2021_R1_trimmed.fq.gz	67559	63305
MP_E1071_SKQ2021_R1_trimmed.fq.gz	216187	199603
MP_E1072_SKQ2021_R1_trimmed.fq.gz	320286	299306
MP_E1073_SKQ2021_R1_trimmed.fq.gz	267233	222869
MP_E1074_SKQ2021_R1_trimmed.fq.gz	295004	273470
MP_E1075_SKQ2021_R1_trimmed.fq.gz	299506	277212
MP_E1076_SKQ2021_R1_trimmed.fq.gz	366197	335362
MP_E1077_SKQ2021_R1_trimmed.fq.gz	305898	290797
MP_E1078_SKQ2021_R1_trimmed.fq.gz	298236	279726
MP_E1079_SKQ2021_R1_trimmed.fq.gz	296091	278293
MP_E1080_SKQ2021_R1_trimmed.fq.gz	275856	263931
MP_E1081_SKQ2021_R1_trimmed.fq.gz	225776	211290
MP_E1082_SKQ2021_R1_trimmed.fq.gz	303811	285672
MP_E1083_SKQ2021_R1_trimmed.fq.gz	281451	251982
MP_E1084_SKQ2021_R1_trimmed.fq.gz	438002	412423
MP_E1085_SKQ2021_R1_trimmed.fq.gz	355456	333912
MP_E1086_SKQ2021_R1_trimmed.fq.gz	322851	303437
MP_E1087_SKQ2021_R1_trimmed.fq.gz	389152	366568
MP_E1088_SKQ2021_R1_trimmed.fq.gz	305743	285008
MP_E1089_SKQ2021_R1_trimmed.fq.gz	346792	329501
MP_E1090_SKQ2021_R1_trimmed.fq.gz	324142	306603
MP_E1091_SKQ2021_R1_trimmed.fq.gz	353579	334397
MP_E1092_SKQ2021_R1_trimmed.fq.gz	337540	313356
MP_E1093_SKQ2021_R1_trimmed.fq.gz	408066	383661
MP_E1094_SKQ2021_R1_trimmed.fq.gz	293326	277242
MP_E1095_SKQ2021_R1_trimmed.fq.gz	330828	314422
MP_E1096_SKQ2021_R1_trimmed.fq.gz	340294	321532
MP_E1097_SKQ2021_R1_trimmed.fq.gz	314487	296310
MP_E1098_SKQ2021_R1_trimmed.fq.gz	315403	297324
MP_E1099_SKQ2021_R1_trimmed.fq.gz	346332	327858
MP_E1100_SKQ2021_R1_trimmed.fq.gz	289413	267356
MP_E1101_SKQ2021_R1_trimmed.fq.gz	340220	324892
MP_E1102_SKQ2021_R1_trimmed.fq.gz	328792	314406
MP_E1103_SKQ2021_R1_trimmed.fq.gz	295386	281336
MP_E1104_SKQ2021_R1_trimmed.fq.gz	356086	335937
MP_E1105_SKQ2021_R1_trimmed.fq.gz	314934	297564
MP_E1106_SKQ2021_R1_trimmed.fq.gz	323455	307057
MP_E1107_SKQ2021_R1_trimmed.fq.gz	313056	293354
MP_E1108_SKQ2021_R1_trimmed.fq.gz	362496	341922
MP_E1109_SKQ2021_R1_trimmed.fq.gz	321597	299454
MP_E1110_SKQ2021_R1_trimmed.fq.gz	366532	349192
MP_E1111_SKQ2021_R1_trimmed.fq.gz	300386	287169
MP_E1112_SKQ2021_R1_trimmed.fq.gz	295308	278956
MP_E1113_SKQ2021_R1_trimmed.fq.gz	317853	300888
MP_E1114_SKQ2021_R1_trimmed.fq.gz	257254	243448
MP_E1115_SKQ2021_R1_trimmed.fq.gz	612	558
MP_E1116_SKQ2021_R1_trimmed.fq.gz	328186	310650
MP_E1117_SKQ2021_R1_trimmed.fq.gz	360273	337420
MP_E1118_SKQ2021_R1_trimmed.fq.gz	307031	290513
MP_E1119_SKQ2021_R1_trimmed.fq.gz	334121	315195
MP_E1120_SKQ2021_R1_trimmed.fq.gz	306873	289408
MP_E1121_SKQ2021_R1_trimmed.fq.gz	323726	302265
MP_E1122_SKQ2021_R1_trimmed.fq.gz	309217	293040
MP_E1123_SKQ2021_R1_trimmed.fq.gz	314762	295957
MP_E1124_SKQ2021_R1_trimmed.fq.gz	316572	296809
MP_E1125_SKQ2021_R1_trimmed.fq.gz	368879	348889
MP_E1126_SKQ2021_R1_trimmed.fq.gz	344354	324317
MP_E1127_SKQ2021_R1_trimmed.fq.gz	375167	357007
MP_E1128_SKQ2021_R1_trimmed.fq.gz	358050	338672
MP_E1129_SKQ2021_R1_trimmed.fq.gz	303517	283946
MP_E1130_SKQ2021_R1_trimmed.fq.gz	308723	291047
MP_E1131_SKQ2021_R1_trimmed.fq.gz	320307	300755
MP_E1132_SKQ2021_R1_trimmed.fq.gz	338736	320799
MP_E1133_SKQ2021_R1_trimmed.fq.gz	379004	353301
MP_E1134_SKQ2021_R1_trimmed.fq.gz	355179	331995
MP_E1135_SKQ2021_R1_trimmed.fq.gz	383294	359564
MP_E1136_SKQ2021_R1_trimmed.fq.gz	309740	292545
MP_E1137_SKQ2021_R1_trimmed.fq.gz	438092	410032
MP_E1138_SKQ2021_R1_trimmed.fq.gz	380961	361610
MP_E1139_SKQ2021_R1_trimmed.fq.gz	329188	308813
MP_E1140_SKQ2021_R1_trimmed.fq.gz	322506	306713
MP_E1141_SKQ2021_R1_trimmed.fq.gz	370968	346059
MP_E1142_SKQ2021_R1_trimmed.fq.gz	331283	310679
MP_E1143_SKQ2021_R1_trimmed.fq.gz	436638	410652
MP_E1144_SKQ2021_R1_trimmed.fq.gz	379901	356334
MP_E1145_SKQ2021_R1_trimmed.fq.gz	274996	249523
MP_E1146_SKQ2021_R1_trimmed.fq.gz	351903	331919
MP_POSITIVE_R1_trimmed.fq.gz	165885	119185
