x	MP_E446_1B_PCR2	MP_E446_1B_PCR3	MP_E446_2B_PCR2	MP_E446_2B_PCR3	MP_E446_3B_PCR2	MP_E446_3B_PCR3	MP_E449_1B_PCR2	MP_E449_1B_PCR3	MP_E449_2B_PCR2	MP_E449_2B_PCR3	MP_E449_3B_PCR2	MP_E449_3B_PCR3	MP_E475_PCR2	MP_E475_PCR3	MP_E486_PCR2	MP_E486_PCR3	MP_E492_1B_PCR2	MP_E492_1B_PCR3	MP_E573_1B_PCR2	MP_E573_1B_PCR3	MP_E573_2B_PCR2	MP_E573_2B_PCR3	MP_E573_3B_PCR2	MP_E573_3B_PCR3	MP_E598_1B_PCR2	MP_E598_1B_PCR3	MP_E598_2B_PCR2	MP_E598_2B_PCR3	MP_E598_3B_PCR2	MP_E598_3B_PCR3
ASV_1	5950	257	4602	8135	11217	14566	78692	98252	163537	179500	161822	169647	1610	1812	527	290	0	0	0	0	0	0	0	0	0	0	0	0	0	326
ASV_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11061	3912	6737	872	24029	6281	7324	15429	7875	3399	12407	2736	8048	0
ASV_100	0	0	0	0	214	0	64	0	2	190	0	840	0	0	0	12	0	0	0	30	0	0	0	0	0	0	0	0	0	850
ASV_1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1280	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_102	0	45	0	169	363	97	46	88	0	89	43	38	1	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0
ASV_1028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV_103	2413	0	984	834	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	401	523	340	0	0	0	0	1028	114	0	0
ASV_1039	0	0	0	176	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	1	0	0	0	0	0	0	0	0
ASV_104	15880	1854	0	0	18728	3402	0	0	871	2606	0	0	0	0	0	11112	0	16711	2792	0	0	1873	0	0	0	0	0	0	0	0
ASV_105	0	0	0	0	1209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_106	0	0	397	0	0	0	0	0	0	0	0	0	0	0	810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_107	2843	275	750	1586	456	764	0	37	6	27	10	71	0	0	1234	1711	2919	1357	118	319	599	613	544	905	134	384	770	90	234	84
ASV_108	7	8	86	93	1423	887	53	8	11	6	34	43	0	0	674	1167	990	706	151	112	211	60	159	64	0	138	0	0	1702	184
