Sample	ASV	count	Kingdom	Phylum	Class	Order	Family	Genus	Species	(common name)
MP_E446_1B_PCR2	ASV_1	5873	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus		
MP_E446_1B_PCR3	ASV_1	220	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus		
MP_E446_2B_PCR2	ASV_1	4270	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus		
MP_E446_2B_PCR3	ASV_1	7221	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus		
MP_E446_3B_PCR2	ASV_1	11022	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus		
MP_E446_3B_PCR3	ASV_1	13692	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus		
MP_E449_1B_PCR2	ASV_1	72436	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus		
MP_E449_1B_PCR3	ASV_1	89776	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus		
MP_E449_2B_PCR2	ASV_1	162988	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus		
MP_E449_2B_PCR3	ASV_1	178539	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus		
MP_E449_3B_PCR2	ASV_1	161730	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus		
MP_E449_3B_PCR3	ASV_1	169537	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus		
MP_E475_PCR2	ASV_1	1177	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus		
MP_E475_PCR3	ASV_1	1281	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus		
MP_E486_PCR2	ASV_1	406	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus		
MP_E486_PCR3	ASV_1	290	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus		
MP_E598_3B_PCR3	ASV_1	326	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus		
MP_E492_1B_PCR2	ASV_10	11061	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius		
MP_E492_1B_PCR3	ASV_10	3912	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius		
MP_E573_1B_PCR2	ASV_10	5824	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius		
MP_E573_1B_PCR3	ASV_10	872	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius		
