ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	NA
ASV_10	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	NA
ASV_100	Eukaryota	Chordata	Mammalia	Artiodactyla	NA	NA	NA
ASV_1000	Unknown	NA	NA	NA	NA	NA	NA
ASV_1001	Unknown	NA	NA	NA	NA	NA	NA
ASV_1002	Unknown	NA	NA	NA	NA	NA	NA
ASV_1003	Unknown	NA	NA	NA	NA	NA	NA
ASV_1004	Bacteria	NA	NA	NA	NA	NA	NA
ASV_1005	Unknown	NA	NA	NA	NA	NA	NA
ASV_1006	Unknown	NA	NA	NA	NA	NA	NA
ASV_1007	Unknown	NA	NA	NA	NA	NA	NA
ASV_1008	Unknown	NA	NA	NA	NA	NA	NA
ASV_1009	Unknown	NA	NA	NA	NA	NA	NA
ASV_101	Eukaryota	Arthropoda	Thecostraca	Lepadidae__o	Lepadidae	Lepas	NA
ASV_1010	Unknown	NA	NA	NA	NA	NA	NA
ASV_1011	Unknown	NA	NA	NA	NA	NA	NA
ASV_1012	Unknown	NA	NA	NA	NA	NA	NA
ASV_1013	Unknown	NA	NA	NA	NA	NA	NA
ASV_1014	Unknown	NA	NA	NA	NA	NA	NA
ASV_1015	Unknown	NA	NA	NA	NA	NA	NA
ASV_1016	Unknown	NA	NA	NA	NA	NA	NA
ASV_1017	Unknown	NA	NA	NA	NA	NA	NA
ASV_1018	Unknown	NA	NA	NA	NA	NA	NA
ASV_1019	Unknown	NA	NA	NA	NA	NA	NA
ASV_102	Eukaryota	Echinodermata	Holothuroidea	Molpadida	NA	NA	NA
ASV_1020	Unknown	NA	NA	NA	NA	NA	NA
ASV_1021	Unknown	NA	NA	NA	NA	NA	NA
ASV_1022	Unknown	NA	NA	NA	NA	NA	NA
ASV_1023	Unknown	NA	NA	NA	NA	NA	NA
ASV_1024	Unknown	NA	NA	NA	NA	NA	NA
ASV_1025	Unknown	NA	NA	NA	NA	NA	NA
ASV_1026	Unknown	NA	NA	NA	NA	NA	NA
ASV_1027	Unknown	NA	NA	NA	NA	NA	NA
ASV_1028	Eukaryota	Chlorophyta	Chlorophyceae	NA	NA	NA	NA
ASV_1029	Unknown	NA	NA	NA	NA	NA	NA
ASV_103	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_1030	Unknown	NA	NA	NA	NA	NA	NA
ASV_1031	Unknown	NA	NA	NA	NA	NA	NA
ASV_1032	Unknown	NA	NA	NA	NA	NA	NA
ASV_1033	Unknown	NA	NA	NA	NA	NA	NA
ASV_1034	Unknown	NA	NA	NA	NA	NA	NA
ASV_1035	Unknown	NA	NA	NA	NA	NA	NA
ASV_1036	Unknown	NA	NA	NA	NA	NA	NA
ASV_1037	Unknown	NA	NA	NA	NA	NA	NA
ASV_1038	Unknown	NA	NA	NA	NA	NA	NA
ASV_1039	Eukaryota	Chordata	Mammalia	Primates	Hominidae	NA	NA
ASV_104	Eukaryota	Chordata	Actinopteri	Perciformes	NA	NA	NA
ASV_1040	Eukaryota	Chordata	Mammalia	Primates	Hominidae	NA	NA
ASV_105	Eukaryota	Chordata	Mammalia	Carnivora	Otariidae	NA	NA
ASV_106	Eukaryota	Echinodermata	Asteroidea	Valvatida	Poraniidae	Dermasterias	Dermasterias imbricata
ASV_107	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	NA	NA	NA
ASV_108	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	Sagittidae	NA	NA
ASV_109	Eukaryota	Echinodermata	Holothuroidea	Dendrochirotida	NA	NA	NA
ASV_11	Eukaryota	Arthropoda	Thecostraca	Balanomorpha	NA	NA	NA
ASV_110	Eukaryota	Arthropoda	Branchiopoda	Diplostraca	Podonidae	NA	NA
ASV_111	Eukaryota	Echinodermata	Asteroidea	Paxillosida	Luidiidae	Luidia	Luidia foliolata
