Sample	Mytilus	Homo sapiens	Perciformes	Balanomorpha	Picozoa	Poecilosclerida	Actinopteri	Flustridae	Stichopodidae	Clathrinida	Crassadoma gigantea	Demospongiae	Eukaryota	Sciaridae	Mytilus californianus	Anthozoa	Tellinidae	Candidatus Karelsulcia__f	Sapromyza palpella	Thysanoessa	Rhynchozoon sp_ MHD_2004	Anaspidacea	Aplysinidae	Calanoida	Metacarcinus magister	Dendroceratida	Chironomidae	Saccoglossus	Axinellida	Bitectiporidae	Cochlodesma	Unknown	Carybdeida	Aphragmophora	Chaetopteridae__o	Tethyidae	Siphonophorae	Cerebratulus	Echinoidea	Verongiida	Carinoma mutabilis	Euphausia pacifica	Candidatus Pseudothioglobus__f	Magelonidae	Homo	Acartia longiremis	Cephalothrix	Centropagidae	Spongillida	Oweniidae	Actinomycetaceae	Amphipoda	Apedinella radians	Sagittidae	Chordata	Macoma	Homoscleromorpha	Taenianotus	Neogastropoda	Pseudocalanus elongatus	Pinnixa	Molpadida	Siliqua alta	Ophiopholis mirabilis	Thyasiridae	Amphimedon compressa	Monostilifera	Candidae	Velatida	Negombata	Sinonovacula	Watersiporidae	Decapoda	Cheilostomatida	Margarites	Citharichthys xanthostigma	Elusimicrobiota	Dermasterias imbricata	Dendrochirotida	Luidia foliolata	Carinoma hamanako	Micrura wilsoni	Chlamys hastata	Spionida	Lepraliellidae	Galeommatida	Tubulanus sp_ 3 TCH_2015	Patinopecten caurinus	Mytilidae	Tubulaniformes	Celleporina souleae	Veneridae	Nipponnemertes arenaria	Alvania	Lampropidae	Lineus sp_ 1 TCH_2015	Harrimaniidae__o	Macoma nasuta	Nassariidae	Candidatus Woesebacteria	Olindiasidae	Trochida	Diplostraca	Parasagitta elegans	Pilidiophora	Osmeriformes	Enteroctopus	Tubulanus	Farrellidae	Mopalia	Hominidae	Crella	Spatangus raschi	Gurjanovella littoralis	Cerianthidae	Dictyodendrillidae	Ophiuroidea	Pachycheles	Negombata magnifica	Bugulidae	Heptacarpus sp_ A KMH_2021a	Carinina sp_ chocolate	Bacteroidales	Synchaetidae	Rhodobacterales	Artiodactyla	Otariidae	Forcipulatida	Glebocarcinus oregonensis	Oshurkovia littoralis	Henricia	Cellariidae	Asteroidea	Spatangoida	Suberitida	Megaptera novaeangliae	Cyclopecten sp_ DJC_2016	Ophiura sarsii	Tresus	Columbellidae	Gemmatimonadales	Synergistales	candidate division WOR_3	Semelidae	Maculaura alaskensis	Bacteroidia	Sphaeropleales	Nitrososphaerota	Breviturma doederleini	Loxosomella	Cardiida	Crellidae	Crangon sp_ UF_53625	Betta midas	Candidatus Chazhemtobacteraceae	Chuniphyes multidentata	Podonidae	Evadne	Enhydra lutris	Phocoena phocoena	Sclerodactylidae	Moerella	Callyspongia	Lepadidae__o	Chthamalus	Cucumaria	Halosaurus carinicauda	Eubacteriales	Bugulina turbinata	Terebratalia transversa	Tubulanus sexlineatus	Asteriidae	Cephalopoda	Psolidium	Mytilus coruscus	Uroconger syringinus	Microporella cf_ ciliata AW214	Venerida	Gymnolaemata	Celleporella hyalina	Adapedonta	Amphibalanus	Parasmittina jeffreysi	Pinnotheridae	Rajidae	Maculaura magna	Cephalothrix major	Pagurus	Cliona patera	Ischyroceridae	Phoca	Scrupocellaria varians	Suberites domuncula	Evelineus	Riserius sp_ no eyes	Lineus flavescens	Aoroides columbiae	Phoronidae__o	Gastropoda	Smittinidae	Paranemertes californica	Latrunculiidae	Cerebratulus albifrons	Ostreococcus sp_ _lucimarinus_	Chromochloridaceae	Farrella	Mopalia vespertina	Amphiuridae	Pachycheles haigae	Chrysaora	Carcinonemertes	Nuttallia	Mya	Solanaceae	Prosorhochmidae	Bacillota	Cottus	Eurytemora	Oerstedia sp_ Simushir 22	Euphilomedes japonica	Cephalothrix sp_ 4 TCH_2015	Merluccius	Lepas	Psammobiidae	Macoma balthica	Pandalus	Aves	Terebratulina unguicula	Comatulida	Candidatus Pseudothioglobus__f__o	Neotrypaea	Ctenostomatida	Escharinidae	Camelus dromedarius	Aeromonadales	Cecidomyiidae	Aphididae	Maculaura	Beringraja inornata	Callianassidae	Doliolum nationalis	Limnophyes sp_ YF_2022	Ophiopholis sp_ EAC01	Acanthella acuta	Pseudocnus	Candidatus Beckwithbacteria	Gallus	Antedonidae	Microctenopoma nanum	Holothuroidea	Mollusca	Bacteria	Colloniidae	Gymnothorax zonipectis	Actiniaria	Citharichthys	Parasagitta	Octopodidae	Aglantha digitale	Cricotopus	Chlorophyceae	Megabalanus	Mycoplasmatales	Synurales	Metacarcinus gracilis	Mammalia	Euphausia	Euphausiidae	Micrura purpurea	Halosaurus ovenii	Suidae	Mallomonadaceae	Lamna	Lamna ditropis	Agelasida	
MP_E446_1B_PCR2	5950	2413	15880	769	5910	10377	23955	801	20	681	191	99	99989	795	250	6	510	3589	62	95	192	102	365	13	17	644	523	389	2122	208	173	1657	41	2843	72	41	4	6	1089	89	520	789	12	752	7	5423	1359	195	2	38	1	16	2	7	126	98	4	3	3	409	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E446_1B_PCR3	257	0	1854	9	550	891	2873	0	12	62	0	40	9097	0	15	0	2	378	0	44	0	0	0	0	0	49	3	181	196	0	0	305	0	275	0	0	8	0	116	0	0	34	0	13	0	652	23	13	0	0	0	0	0	8	255	4	0	0	0	50	69	45	1	39	9	7	11	14	12	10	5	16	6	11	32	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E446_2B_PCR2	4602	984	0	79	3305	5863	15163	233	18	0	0	179	115303	0	148	8	0	1910	0	57	0	17	0	7866	14	523	6	950	1518	78	4	1267	19	750	0	80	9	0	1078	0	15	353	0	0	11	9695	0	325	7	26	0	9	0	86	6143	0	0	0	0	56	0	0	32	12	0	5	115	154	0	0	160	0	0	5	0	0	0	397	71	290	288	526	146	633	106	60	89	63	342	255	310	60	46	10	5	21	20	18	4	13	12	12	11	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E446_2B_PCR3	8135	834	0	93	5587	10233	16003	0	304	310	0	22	143083	0	439	16	38	3494	94	550	0	1	0	11049	0	848	4	3099	2436	0	0	1659	19	1586	31	0	3	0	2629	0	0	994	2	1371	18	14634	0	385	3	39	0	10	2	93	13178	0	0	0	0	114	0	169	14	35	123	105	0	0	99	9	24	67	84	76	0	0	0	0	0	0	0	423	285	0	314	0	0	282	156	0	133	0	0	0	11	0	0	0	0	8	0	0	0	0	0	7444	302	415	288	268	176	97	94	90	38	5	579	32	24	29	26	58	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E446_3B_PCR2	11217	0	18728	0	4814	6147	51495	0	604	367	0	103	35107	0	0	26	62	1555	83	1615	0	56	0	21	95	490	0	1436	1533	0	47	1536	23	456	8	0	2	47	3015	0	0	1630	4	155	6	9203	0	966	6	33	0	22	0	1423	8389	0	0	0	0	148	0	363	0	155	0	86	97	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	398	30	0	260	113	0	0	0	301	0	0	0	0	0	0	47	0	7	0	0	0	0	0	0	0	0	0	0	4	0	0	0	33	0	0	0	0	0	0	0	0	0	0	214	1209	824	37	157	459	285	262	267	14	4434	67	9	24	5	24	3	9	16	126	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E446_3B_PCR3	14566	0	3402	0	5780	9655	50182	0	0	533	519	99	36823	0	54	13	0	3334	164	1325	0	63	0	19	0	611	0	1990	1943	0	49	2038	8	764	0	46	20	227	1412	0	1634	860	5	0	2	11868	0	1294	3	36	0	0	0	887	14691	0	0	0	0	200	0	97	0	262	60	135	620	0	0	0	104	0	21	210	0	0	0	0	284	0	0	0	0	0	0	84	156	0	44	0	709	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	19	0	398	0	0	0	0	89	0	0	6	0	0	0	0	361	0	0	0	0	0	0	80	122	21	7	0	0	9	0	0	0	0	0	167	133	54	17	11	5	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E449_1B_PCR2	78692	0	0	67384	404	443	52142	0	0	0	0	4	3807	0	0	0	0	0	0	0	41	74	0	24	16	79	0	1453	75	0	0	107	0	0	0	0	0	0	546	0	215	14	0	0	0	2420	552	42	0	760	0	0	1	53	61	51	0	0	0	46	0	46	0	7	0	5	15	0	0	0	449	0	0	6	0	0	0	0	53	0	216	0	0	43	0	0	0	0	5	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1791	4	0	0	0	0	0	0	0	0	0	156	7	0	0	0	0	0	0	0	64	0	0	22	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	34	31	136	660	46	16	31	19	47	27	46	9	8	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E449_1B_PCR3	98252	0	0	89865	578	516	64921	0	0	0	0	9	3886	0	0	3	0	2	0	0	139	0	0	34	30	142	0	2017	114	0	0	190	2	37	0	0	1	3	657	0	279	51	0	148	1	3221	580	43	0	952	0	4	0	8	210	35	0	0	0	25	0	88	0	0	0	0	34	0	0	0	562	0	0	70	0	0	0	0	41	0	24	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	1727	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	6	0	0	0	0	0	0	24	0	0	14	0	0	49	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	5	55	177	319	21	0	2	18	0	27	0	0	0	3	0	162	43	20	41	34	16	15	12	12	5	7	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E449_2B_PCR2	163537	0	871	115	529	497	11486	0	0	0	76	7	5609	0	16	1	0	4	0	17	31	19	0	267	5	116	0	2218	76	0	0	171	0	6	0	0	0	0	464	0	788	48	0	0	0	1033	315	48	0	378	0	6	1	11	24	17	0	0	0	75	0	0	0	0	0	0	12	0	0	0	2906	0	8	27	0	0	0	0	48	0	50	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1612	6	0	0	0	0	0	35	0	0	0	128	8	3	0	0	21	0	0	0	2	0	0	68	0	0	29	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	302	0	1536	9	0	18	12	19	11	0	0	0	0	0	89	0	12	0	0	0	0	0	0	0	0	5	0	30	20	20	14	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E449_2B_PCR3	179500	0	2606	184	538	618	24063	0	0	0	54	7	4368	0	0	0	0	12	0	18	80	9	0	238	135	159	0	1919	107	0	0	272	1	27	0	0	5	7	767	0	646	7	1	0	0	930	619	34	0	374	0	4	0	6	95	37	0	0	0	60	0	89	0	5	0	0	2	0	0	0	3290	0	2	13	0	0	2	0	41	0	77	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	1819	3	0	0	0	0	0	0	0	0	0	283	0	0	0	0	48	0	0	0	190	0	0	53	0	0	7	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	130	59	6	58	18	0	0	0	0	0	1	0	157	104	34	0	0	0	0	0	0	0	0	8	0	0	15	0	0	0	0	156	42	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
