ASV	Multi_taxID_entry	USED
ASV_10	247647, 79698, 89952, 8063, 307687, 89949;89952	FALSE
ASV_104	394696, 394708, 72060, 72093, 72057, 72055, 214483, 394695, 214485;394695, 201708, 72089, 72099, 72105, 72067, 41446, 394691, 72110, 72108, 72106, 72101, 72098, 394704, 394703, 72094, 72084, 72081, 72079, 72078, 72076, 72073, 72070, 72069, 72063, 72059, 214485, 72074, 2027910, 72092, 72075, 394693, 201702, 72103, 1156140, 394690, 1182200, 394702, 1311485, 274698, 2996719, 2969293, 394707, 72071, 72097, 72096, 72086, 72065, 98657, 72085, 72087, 72107, 72088, 72066, 394698, 3038064, 290524, 105747, 214487, 201703, 201709, 201710, 202727, 143344, 160819, 290523, 1472224, 72109, 72095, 72058, 72064;72097, 72072, 72082, 72072;72079, 72085;72102, 72057;72095, 72063;72084, 72078;72092;72093, 72064, 72064;72072;72079;72097;72100, 1502952, 72076;72085, 214485;394703, 72080;72093, 72083, 1502953, 320568, 201706, 8110, 160818, 394699, 72091, 394686, 394688, 72075;72089;72100;72103, 72056, 201707, 72078;72080;72093, 72073;72088, 72064;72072;72079, 72076;72085;72102, 394697, 394705, 394700, 201705, 201712, 201704, 214493, 214491, 394692, 214490, 173978, 105747;160817;160818, 214486, 72102, 394701, 394699;394708, 72082;72099;72105, 72077, 72071;72106;72107;72108, 72069;394689;394694;394706, 72065;72067;394707, 72064;72074;72075;72079;72089;72090;72100;72103;72104, 72078;72080;72092;72093;394702, 72063;72084;394688, 72062, 72056;72101, 72061, 201710;214485;394687;394703	FALSE
ASV_125	283036, 69293, 134920, 147210, 147208, 304288, 192376, 255458, 80977, 476925, 239743, 476920, 998431, 238839, 476918, 980339, 1522419, 433387, 255551, 1530446, 980329, 426098, 8103, 980387, 1302273, 479980, 255533, 573213, 270609, 1642177, 215434, 1266874, 1266875, 215432, 1042645, 215414, 1266884, 215418, 980417, 425520, 8204, 1266873, 248959, 270554, 72450, 270543, 96903, 181467, 512273, 1419731, 291111, 1633458, 355514, 870289, 153719, 274808, 8097, 470924, 1638153, 435301, 290630, 2010393, 1807190, 313238, 313237, 65739, 1176151, 980326, 2153193, 2153194, 1526734, 2070693, 2070695, 1010786, 215336, 2059687, 2059685, 2059686, 81389, 61641, 200676, 446433, 446432, 214916, 300318, 334942, 290627, 369910, 1984848, 98378, 548164, 508554, 242812, 1744849, 238838, 255555, 1043177, 1358735, 283024, 1920503, 360505, 1911260, 3019859, 304292, 163838, 54331, 147211, 274777, 740938, 214925, 932717, 255539, 255718, 980336, 1154617, 320590, 215425, 762048, 2012906, 997974, 482919, 1266866, 94911, 1536606, 137882, 274768, 433392, 320612, 980342, 200682, 215428, 1633468, 1042649, 181404, 209541, 433386, 433390, 274741, 192378, 428036, 2996727, 1049575, 1573627, 274770, 255553, 470226, 470227, 274759, 980343, 390314, 1508112, 643647, 283027, 1206991, 135771, 135770, 1811511, 476915, 1480063, 1480062, 1480064, 1483110, 1638160, 1317002, 1638156, 641285, 572250, 428027, 34773, 428030, 274775, 433391, 271501, 283620, 322683, 435299, 291231, 980331, 1358732, 2876673, 171736, 948067, 430040, 229290, 192377, 225387, 228254, 1358730, 163823, 1311532, 148607, 214914, 304281, 304285, 238741, 283028, 57779, 320617, 304265, 304283, 304271, 214920, 214921, 304276, 304266, 304278, 304287, 1046055, 1473247, 486151, 2675451, 171735, 163149, 2948625, 2829149, 1520341, 2650949, 2830935, 232276, 229074, 229070, 367269, 157167, 103866, 1450717, 137882;1302306, 2936623, 1042647, 1317005, 1317009, 1317004, 1049578, 980344, 986104, 283026, 470928, 200680, 708428, 61643, 191725, 56723, 443798, 980385, 230148, 283029, 1517458, 433395, 557408, 740695, 557414, 2747500, 1395008, 1395007, 1395006, 1395005, 1395004, 1395003, 1395001, 1395002, 1395000, 1394998, 1394999, 1394996, 429650, 1394994, 435131, 753915, 1156471, 34787, 1225888, 274758, 52273, 8096, 328410, 1738886, 2872160, 79686, 61628, 37346, 274743, 283621, 557364, 1154625, 557412, 240152, 283367, 1154603, 1154629, 740932, 740928, 215426, 433379, 557338, 274780;433390, 557350, 57818, 320591, 526620, 1156758, 1447896, 1679030, 1354033, 1354032, 56726, 1001963, 1317007, 1382205, 283025, 2607498, 1358734, 561260, 1358733, 1358731, 1358737, 641279, 57790, 1358729, 200675, 57734, 61626, 61627, 8197, 2845262, 2845261, 2845260, 1302306, 1156116, 1169589, 1045544, 980419, 182643, 481459, 360508, 274766, 1633460, 1633511, 2805493, 36221, 57780, 1010714, 1010713, 1154658, 1181261, 875789;1010707, 1010707, 1010792, 450224, 248065, 2580390, 229101, 2580389, 980344;1049573, 1138469, 983304, 98377, 433411;1159143, 351694, 80995, 997977, 229078, 490876, 1141927, 986104;986105, 1127570, 512206, 497904, 2719052, 171732, 651718, 166766, 932718, 470926, 932715, 875789, 8199, 598664, 2576622, 670497, 48416;435299, 163141, 163139, 646049, 80989, 161905, 229092, 641271, 641275, 641289, 641277, 641282, 98376, 561508, 283367;470928, 390674, 561509, 512207, 512202;512204, 512202, 561510, 512203, 512205, 76340, 161456, 240154, 561261, 492019, 305505, 446823, 433402, 446791, 430039, 433411, 433399, 433396, 320615, 274786, 433403, 283636, 320618, 1772091, 283624, 159452, 271503, 209235, 270332, 203321, 317254, 203346, 171737, 191726, 191724, 171733, 2928631, 1582965, 130472, 202597, 202598, 202605;202606, 202600, 202599, 56723;202587;202588, 113515, 202592, 202583, 320607, 57849, 320408, 320406, 181459, 137881, 166256, 126353	FALSE
ASV_132	247647, 79698, 89952, 8063, 307687, 89949;89952	FALSE
ASV_136	34774, 170859, 336262, 581012, 278165, 180520, 1104234, 2033369, 316163, 40831, 999358, 999357, 1001915, 210633, 278182, 341101, 1504029, 1147041, 136810, 96888, 486222, 997026, 259987, 681939, 224703, 469659, 34773, 180523, 210638, 435231, 227286, 370370, 425481, 71765, 67537, 1648921, 1870920;1870922, 1870921, 370369, 370357, 1711722, 533311, 643391, 329116, 210635, 172919, 643358, 643357, 303010, 464752, 241472, 643421, 643328, 643327, 136829, 1539876, 224707, 329022, 329023, 224711, 696857, 205135, 196071, 3046864, 232998, 1027347, 1396440, 457514, 1396451, 365056, 464755, 469658, 1142215, 2995195, 71773, 180519, 552516, 164605, 180522, 71751, 71769, 180524, 2978584, 369659, 1606558, 1206574, 27708, 1606556, 209199, 203118;1620475;1620476;1620477, 1620460, 303025, 203118, 1620464, 568884, 241451, 492049, 1451183, 1711723, 327694, 1080299, 1080294, 137031, 367866, 622374, 993561, 1300979, 263546, 2830026, 2830022;2830023;2830024;2830025;2830027, 2830019, 1304287, 1304286, 137135, 403224, 1972590, 394299, 999359, 1157301, 1390635, 71754, 67541, 691795, 521036, 521033, 689628, 521034, 689653, 521031, 1336672, 703242, 71757, 303008, 224708, 71752, 492030, 492026, 224716, 402406, 34773;278165, 224713, 55124, 1386171, 464751, 210638;464754, 464750, 400000, 369668, 373250, 224716;942859, 278164, 90751, 303032, 303026, 303016;303017, 303015, 303012, 303007, 303006, 303005, 304046, 304252, 322131, 28381, 303017, 303017;303025, 71771, 71767, 71756, 71755, 71753, 71750, 71763, 155074, 392307	FALSE
ASV_14	394696, 394708, 72060, 72093, 72057, 72055, 214483, 394695, 214485;394695, 201708, 72089, 72099, 72105, 72067, 41446, 394691, 72110, 72108, 72106, 72101, 72098, 394704, 394703, 72094, 72084, 72081, 72079, 72078, 72076, 72073, 72070, 72069, 72063, 72059, 214485, 72074, 2027910, 72092, 72075, 394693, 201702, 72103, 1156140, 394690, 1182200, 394702, 1311485, 274698, 2996719, 2969293, 394707, 72071, 72097, 72096, 72086, 72065, 98657, 72085, 72087, 72107, 72088, 72066, 394698, 3038064, 290524, 105747, 214487, 201703, 201709, 201710, 202727, 143344, 160819, 290523, 1472224, 72109, 72095, 72058, 72064;72097, 72072, 72082, 72072;72079, 72085;72102, 72057;72095, 72063;72084, 72078;72092;72093, 72064, 72064;72072;72079;72097;72100, 1502952, 72076;72085, 214485;394703, 72080;72093, 72083, 1502953, 320568, 201706, 8110, 160818, 394699, 72091, 394686, 394688, 72075;72089;72100;72103, 72056, 201707, 72078;72080;72093, 72073;72088, 72064;72072;72079, 72076;72085;72102, 394697, 394705, 394700, 201705, 201712, 201704, 214493, 214491, 394692, 214490, 173978, 105747;160817;160818, 214486, 72102, 394701, 394699;394708, 72082;72099;72105, 72077, 72071;72106;72107;72108, 72069;394689;394694;394706, 72065;72067;394707, 72064;72074;72075;72079;72089;72090;72100;72103;72104, 72078;72080;72092;72093;394702, 72063;72084;394688, 72062, 72056;72101, 72061, 201710;214485;394687;394703	FALSE
ASV_142	283036, 69293, 134920, 147210, 147208, 304288, 192376, 255458, 80977, 476925, 239743, 476920, 998431, 238839, 476918, 980339, 1522419, 433387, 255551, 1530446, 980329, 426098, 8103, 980387, 1302273, 479980, 255533, 573213, 270609, 1642177, 215434, 1266874, 1266875, 215432, 1042645, 215414, 1266884, 215418, 980417, 425520, 8204, 1266873, 248959, 270554, 72450, 270543, 96903, 181467, 512273, 1419731, 291111, 1633458, 355514, 870289, 153719, 274808, 8097, 470924, 1638153, 435301, 290630, 2010393, 1807190, 313238, 313237, 65739, 1176151, 980326, 2153193, 2153194, 1526734, 2070693, 2070695, 1010786, 215336, 2059687, 2059685, 2059686, 81389, 61641, 200676, 446433, 446432, 214916, 300318, 334942, 290627, 369910, 1984848, 98378, 548164, 508554, 242812, 1744849, 238838, 255555, 1043177, 1358735, 283024, 1920503, 360505, 1911260, 3019859, 304292, 163838, 54331, 147211, 274777, 740938, 214925, 932717, 255539, 255718, 980336, 1154617, 320590, 215425, 762048, 2012906, 997974, 482919, 1266866, 94911, 1536606, 137882, 274768, 433392, 320612, 980342, 200682, 215428, 1633468, 1042649, 181404, 209541, 433386, 433390, 274741, 192378, 428036, 2996727, 1049575, 1573627, 274770, 255553, 470226, 470227, 274759, 980343, 390314, 1508112, 643647, 283027, 1206991, 135771, 135770, 1811511, 476915, 1480063, 1480062, 1480064, 1483110, 1638160, 1317002, 1638156, 641285, 572250, 428027, 34773, 428030, 274775, 433391, 271501, 283620, 322683, 435299, 291231, 980331, 1358732, 2876673, 171736, 948067, 430040, 229290, 192377, 225387, 228254, 1358730, 163823, 1311532, 148607, 214914, 304281, 304285, 238741, 283028, 57779, 320617, 304265, 304283, 304271, 214920, 214921, 304276, 304266, 304278, 304287, 1046055, 1473247, 486151, 2675451, 171735, 163149, 2948625, 2829149, 1520341, 2650949, 2830935, 232276, 229074, 229070, 367269, 157167, 103866, 1450717, 137882;1302306, 2936623, 1042647, 1317005, 1317009, 1317004, 1049578, 980344, 986104, 283026, 470928, 200680, 708428, 61643, 191725, 56723, 443798, 980385, 230148, 283029, 1517458, 433395, 557408, 740695, 557414, 1395008, 1395007, 1395006, 1395005, 1395004, 1395003, 1395001, 1395002, 1395000, 1394998, 1394999, 1394996, 429650, 1394994, 435131, 753915, 1156471, 34787, 1225888, 274758, 52273, 8096, 328410, 1738886, 2872160, 79686, 61628, 37346, 274743, 283621, 557364, 1154625, 557412, 240152, 283367, 1154603, 1154629, 740932, 740928, 215426, 433379, 557338, 274780;433390, 557350, 57818, 320591, 526620, 1156758, 1447896, 1679030, 1354033, 1354032, 56726, 1001963, 1317007, 1382205, 283025, 2607498, 1358734, 561260, 1358733, 1358731, 1358737, 641279, 57790, 1358729, 200675, 57734, 61626, 61627, 8197, 2845262, 2845261, 2845260, 1302306, 1156116, 1169589, 1045544, 980419, 182643, 481459, 274766, 1633460, 1633511, 2805493, 36221, 57780, 1010714, 1010713, 1154658, 1181261, 875789;1010707, 1010707, 1010792, 450224, 248065, 2580390, 229101, 2580389, 980344;1049573, 1138469, 983304, 98377, 433411;1159143, 351694, 80995, 997977, 229078, 490876, 1141927, 986104;986105, 1127570, 512206, 497904, 2719052, 171732, 651718, 166766, 932718, 470926, 932715, 875789, 8199, 598664, 2576622, 670497, 48416;435299, 163141, 163139, 646049, 80989, 161905, 229092, 641271, 641275, 641289, 641277, 641282, 98376, 561508, 283367;470928, 390674, 561509, 512207, 512202;512204, 512202, 561510, 512203, 512205, 76340, 161456, 240154, 561261, 492019, 305505, 446823, 433402, 446791, 430039, 433411, 433399, 433396, 320615, 274786, 433403, 283636, 320618, 1772091, 283624, 159452, 271503, 209235, 270332, 203321, 317254, 203346, 171737, 191726, 191724, 171733, 2928631, 1582965, 130472, 202597, 202598, 202605;202606, 202600, 202599, 56723;202587;202588, 113515, 202592, 202583, 320607, 57849, 320408, 320406, 181459, 137881, 166256, 126353	FALSE
ASV_153	360972, 2709724, 2706846, 239011, 205097, 1399339, 2598117, 1399335, 2598109, 2598121, 2610849, 2598120, 1399332, 2598115, 2598114, 2598113, 68568, 361155, 2598111, 1150258, 1458158, 204378, 204385, 204329, 47982, 204331, 287897, 1695233, 1306265, 204326, 204327, 204328, 1695232, 287904, 1499518, 2546725;2546730;2546745;2546758, 2546723;2546763, 2546722, 2546718, 204322;2546716;2546735;2546761, 204322, 2546715;2546737;2546772, 204384, 2497966, 2025594, 1502934, 239010, 1458677, 317547, 2025592, 1809422, 599903, 1852275, 317549, 3092771, 1864531, 1864528, 1864538, 2750468, 722757, 1806088, 51768, 2508183, 2782021, 2782022, 2782020, 2884899, 1562871, 722766, 1566131, 1566130, 2940152, 2940147, 2940135, 1329944, 1194756, 767285, 2916588, 360990, 1267071, 51815, 2916579, 2069431, 1593418, 2916577, 1427717, 2916575, 767282, 2916574, 2916573, 2916587, 204389, 2916571, 2044751, 767314, 767312, 767310, 86515, 437162, 2916569, 767270, 86530, 360968, 1203185, 1309716, 500566, 2201459, 2916568, 1267105, 2916567, 2916566, 2916583, 768844, 1497542, 859389, 124278, 767298, 767263, 1267101, 2916565, 668525, 1458157, 1226274, 98366, 142104, 396355, 2853323, 2723027, 2722863, 2818405, 1214922, 58800, 285277, 536042, 634736, 634733, 634740, 634734, 1150263, 444732, 70919, 287906, 287901, 204327;2546709;2546710;2546713;2546714;2546717;2546719;2546726;2546727;2546729;2546731;2546732;2546734;2546739;2546742;2546744;2546748;2546750;2546751;2546752;2546759;2546764;2546767;2546771;2546773;2546774;2546775;2546776;2546779, 502345, 44202, 44306, 44195, 44209, 44243, 44197, 44206, 44208, 44190, 44176, 639604, 859426, 425751, 639606, 44166, 634739, 44187, 360985, 767320, 668487, 767283, 358800, 560255, 204331;287902, 308462, 1427716, 768845, 1267083, 767279, 1267079, 361153, 767277, 767276, 1267067, 1267065, 204386, 767273, 1267064, 1267072, 767278;767308;1267099, 1267097;1267098, 1267110, 767306, 1267074, 1586378, 2698222, 204323;1267118, 124282, 124279, 1427712, 44211	FALSE
ASV_16	8014, 182223, 240822, 240825, 476919, 203539, 29151, 240832, 182228, 260508, 182227, 240824, 306639, 433393, 300346, 137520, 2996152, 170203, 2977555, 2977553, 2977556, 2977561, 2977560, 2977557, 2977559, 2977558, 2977554, 240830, 350774, 136040, 221867, 418454, 1458067, 30960, 350768, 350769, 61084, 137522, 2905919, 240826;350771, 240825;350772;350774;1028178, 182223;240831, 240831	FALSE
ASV_162	283036, 69293, 134920, 147210, 147208, 304288, 192376, 255458, 80977, 476925, 239743, 476920, 998431, 238839, 476918, 980339, 1522419, 433387, 255551, 1530446, 980329, 426098, 8103, 980387, 1302273, 479980, 255533, 573213, 270609, 1642177, 215434, 1266874, 1266875, 215432, 1042645, 215414, 1266884, 215418, 980417, 425520, 8204, 1266873, 248959, 270554, 72450, 270543, 1365719, 96903, 181467, 512273, 1419731, 291111, 1633458, 146921, 355514, 870289, 153719, 274808, 8097, 86205, 470924, 1638153, 435301, 290630, 2010393, 1807190, 313238, 313237, 65739, 1176151, 980326, 2153193, 2153194, 1526734, 2070693, 2070695, 1010786, 215336, 2059687, 2059685, 2059686, 81389, 61641, 200676, 446433, 446432, 214916, 300318, 334942, 290627, 369910, 1984848, 98378, 548164, 508554, 242812, 1744849, 238838, 255555, 1043177, 1358735, 283024, 508046, 1920503, 360505, 245875, 1911260, 3019859, 304292, 163838, 54331, 147211, 274777, 740938, 214925, 932717, 255539, 255718, 980336, 1154617, 320590, 215425, 762048, 2012906, 997974, 482919, 1266866, 94911, 1536606, 137882, 274768, 433392, 320612, 980342, 200682, 215428, 1633468, 1042649, 181404, 209541, 433386, 433390, 274741, 192378, 428036, 2996727, 1049575, 1573627, 274770, 255553, 470226, 470227, 274759, 980343, 390314, 1508112, 643647, 283027, 1206991, 135771, 135770, 1811511, 476915, 1480063, 1480062, 1480064, 1483110, 1638160, 1317002, 1638156, 641285, 572250, 428027, 34773, 428030, 274775, 433391, 271501, 283620, 322683, 435299, 291231, 980331, 1358732, 2876673, 171736, 948067, 430040, 229290, 192377, 225387, 228254, 1358730, 163823, 1311532, 148607, 214914, 304281, 304285, 238741, 283028, 57779, 320617, 304265, 304283, 304271, 214920, 214921, 304276, 304266, 304278, 304287, 1046055, 1473247, 486151, 2675451, 171735, 163149, 2948625, 2829149, 1520341, 2650949, 2830935, 232276, 229074, 229070, 367269, 157167, 103866, 1450717, 137882;1302306, 166755, 2936623, 1042647, 1317005, 1317009, 1317004, 1049578, 980344, 986104, 283026, 470928, 200680, 708428, 61643, 191725, 56723, 443798, 980385, 230148, 283029, 1517458, 433395, 557408, 740695, 557414, 1395008, 1395007, 1395006, 1395005, 1395004, 1395003, 1395001, 1395002, 1395000, 1394998, 1394999, 1394996, 429650, 1394994, 435131, 753915, 1156471, 1163774, 34787, 1225888, 274758, 52273, 8096, 328410, 1738886, 2872160, 79686, 61628, 37346, 274743, 283621, 557364, 1154625, 557412, 240152, 283367, 1154603, 1154629, 740932, 740928, 215426, 433379, 557338, 274780;433390, 557350, 57818, 320591, 526620, 1156758, 1447896, 1679030, 1354033, 1354032, 56726, 1001963, 1317007, 1382205, 283025, 2607498, 1358734, 561260, 1358733, 1358731, 1358737, 641279, 57790, 1358729, 200675, 57734, 61626, 61627, 8197, 2845262, 2845261, 2845260, 1302306, 1156116, 1169589, 1045544, 980419, 182643, 481459, 274766, 1633460, 1633511, 2805493, 36221, 57780, 1010714, 1010713, 1154658, 1181261, 875789;1010707, 1010707, 1010792, 450224, 248065, 2580390, 229101, 2580389, 980344;1049573, 1138469, 983304, 98377, 433411;1159143, 351694, 80995, 997977, 229078, 490876, 1141927, 986104;986105, 1127570, 512206, 497904, 2719052, 171732, 651718, 166766, 932718, 470926, 932715, 875789, 8199, 598664, 2576622, 670497, 48416;435299, 163141, 163139, 646049, 80989, 161905, 229092, 641271, 641275, 641289, 641277, 641282, 98376, 561508, 283367;470928, 390674, 561509, 512207, 512202;512204, 512202, 561510, 512203, 512205, 76340, 161456, 240154, 561261, 492019, 305505, 446823, 433402, 446791, 430039, 433411, 433399, 433396, 320615, 274786, 433403, 283636, 320618, 1772091, 283624, 159452, 271503, 209235, 270332, 203321, 317254, 203346, 171737, 191726, 191724, 171733, 2928631, 1582965, 130472, 202597, 202598, 202605;202606, 202600, 202599, 56723;202587;202588, 113515, 202592, 202583, 320607, 57849, 320408, 320406, 181459, 137881, 166256, 126353	FALSE
