x	MP_E446_1B_PCR2	MP_E446_1B_PCR3	MP_E446_2B_PCR2	MP_E446_2B_PCR3	MP_E446_3B_PCR2	MP_E446_3B_PCR3	MP_E449_1B_PCR2	MP_E449_1B_PCR3	MP_E449_2B_PCR2	MP_E449_2B_PCR3	MP_E449_3B_PCR2	MP_E449_3B_PCR3	MP_E475_PCR2	MP_E475_PCR3	MP_E486_PCR2	MP_E486_PCR3	MP_E492_1B_PCR2	MP_E492_1B_PCR3	MP_E573_1B_PCR2	MP_E573_1B_PCR3	MP_E573_2B_PCR2	MP_E573_2B_PCR3	MP_E573_3B_PCR2	MP_E573_3B_PCR3	MP_E598_1B_PCR2	MP_E598_1B_PCR3	MP_E598_2B_PCR2	MP_E598_2B_PCR3	MP_E598_3B_PCR2	MP_E598_3B_PCR3
ASV_1	5873	220	4270	7221	11022	13692	72436	89776	162988	178539	161730	169537	1177	1281	406	290	0	0	0	0	0	0	0	0	0	0	0	0	0	326
ASV_2	76376	8436	108184	128244	31175	33509	1386	2384	2874	1776	6626	11344	1	3	1863	29	0	0	68586	36985	37698	46855	1472	8120	1866	0	34880	0	1057	14947
ASV_3	16469	2560	11691	15380	47753	40751	51137	63771	10433	21017	12146	15345	0	14	0	0	0	3125	10157	5673	35953	13939	4000	10929	50587	31804	17657	3992	12402	0
ASV_4	25	67	749	2090	1969	927	535	640	451	748	269	743	206467	228722	0	0	0	0	798	0	2459	0	0	0	0	0	0	0	0	0
ASV_5	5423	652	9695	14634	9203	11868	2420	3221	1033	930	1457	1888	98	128	0	0	76	43	34863	21594	65546	65913	62318	62025	2	0	0	0	4	0
ASV_6	3201	0	3024	8981	0	0	1812	187	1529	2236	1403	3183	0	0	119265	58935	0	0	13976	0	13129	0	17488	13448	0	0	0	0	0	0
ASV_7	2376	275	3376	151	2110	2195	0	0	0	0	0	0	0	0	8110	20454	0	0	6597	10533	25680	40625	32745	27448	0	0	0	0	0	0
ASV_8	126	253	6123	12603	8321	14529	61	210	24	93	372	0	5	2	6932	21366	8110	11827	6093	5720	6006	20144	8652	16068	0	0	0	0	0	0
ASV_9	703	34	353	871	1630	860	14	51	48	7	47	38	0	0	5989	6673	19338	13448	2374	0	0	287	434	629	6092	7917	16625	6729	8560	7956
ASV_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11061	3912	5824	872	23992	6281	7324	15268	5053	3399	12158	2655	8048	0
ASV_11	108	9	49	76	0	0	34208	47294	7	19	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11095	11435	0	0
ASV_12	10377	891	5850	10233	6147	9655	443	516	497	587	430	555	0	0	2119	2709	1336	782	5743	2608	4727	5110	4590	4666	3510	2226	4023	3608	5100	3403
ASV_13	661	0	30	17	0	0	32838	42044	98	153	10728	12015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	361	632	41
