x	MP_E446_1B_PCR2	MP_E446_1B_PCR3	MP_E446_2B_PCR2	MP_E446_2B_PCR3	MP_E446_3B_PCR2	MP_E446_3B_PCR3	MP_E449_1B_PCR2	MP_E449_1B_PCR3	MP_E449_2B_PCR2	MP_E449_2B_PCR3	MP_E449_3B_PCR2	MP_E449_3B_PCR3	MP_E475_PCR2	MP_E475_PCR3	MP_E486_PCR2	MP_E486_PCR3	MP_E492_1B_PCR2	MP_E492_1B_PCR3	MP_E573_1B_PCR2	MP_E573_1B_PCR3	MP_E573_2B_PCR2	MP_E573_2B_PCR3	MP_E573_3B_PCR2	MP_E573_3B_PCR3	MP_E598_1B_PCR2	MP_E598_1B_PCR3	MP_E598_2B_PCR2	MP_E598_2B_PCR3	MP_E598_3B_PCR2	MP_E598_3B_PCR3
ASV_1	3.11438426791033	1.40737089973167	2.53146453089245	3.20053820974443	6.53983838430952	8.59782191659534	36.8686135148684	36.3128347088195	83.5122354767546	79.7717505788452	72.7607091630958	68.6671496861048	0.749387922287076	0.760727645228869	0.316701021015246	0.188606845778133	0	0	0	0	0	0	0	0	0	0	0	0	0	0.672997522708505
ASV_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.8304526396851	6.01134041212717	3.18995804805061	0.635999620734171	9.02423086167528	2.55482023518501	4.36084763827114	8.44471445929526	10.0898153723943	6.09390967603134	10.1420723931596	5.56029752469211	12.5852254957153	0
ASV_100	0	0	0	0	0.12476824589839	0	0.0299851479813905	0	0.00102132527167252	0.0844380646795575	0	0.340002509542332	0	0	0	0.00780442120461241	0	0	0	0.0218807208968178	0	0	0	0	0	0	0	0	0	1.75474814203138
ASV_1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00119083769477639	0	0	0	0	0	0	0
ASV_101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36904252588346	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_102	0	0.246426811237063	0	0.0664893617021277	0.21163959467811	0.0572558510167341	0.0215518251116244	0.032523810755772	0	0.0395525671393717	0.0193342715700777	0.0153810659078674	0.000465458336824271	0	0	0	0	0	0.141102493442049	0	0	0	0	0	0	0	0	0	0	0
ASV_1028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00163489520321747	0	0	0
ASV_103	1.26302676276767	0	0.541277944023939	0.328119098577364	0	0	0	0	0	0	0.0391181773627154	0	0	0	0	0	0	0	0	0.292472302654131	0.196415695228939	0.138296271288474	0	0	0	0	0.840336134453782	0.231679063528838	0	0
ASV_1039	0	0	0	0.0692433589323933	0.00233211674576429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00072935736322726	0.00600889316187958	0.000406753739083747	0	0	0	0	0	0	0	0
ASV_104	8.3120037267926	10.152784622967	0	0	10.9189706036684	2.00808665112298	0	0	0.444787155813383	1.15813471871014	0	0	0	0	0	7.22689403547109	0	25.6788112543602	1.32200725399396	0	0	0.761849753303857	0	0	0	0	0	0	0	0
ASV_105	0	0	0	0	0.704882286407258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_106	0	0	0.218381446928358	0	0	0	0	0	0	0	0	0	0	0	0.486770070251137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_107	1.48809991154102	1.50594162422649	0.412559408554832	0.623977086743044	0.265861309017129	0.450963610069947	0	0.0136747840677678	0.00306397581501757	0.0119990934018319	0.00449634222559948	0.0287383073541733	0	0	0.741573168752967	1.11278039009099	3.1220586976983	2.08522212148685	0.0558727994166501	0.232664998869496	0.224957937747867	0.249340042058337	0.323907852979178	0.495331297275404	0.171687017130264	0.688455815120928	0.629434653238727	0.182904523838556	0.365922311878401	0.173410404624277
ASV_108	0.00366398149165921	0.0438092108865889	0.0473068121809541	0.0365888203449578	0.829650532305647	0.523566390225187	0.024831450672089	0.00295671006870655	0.00561728899419887	0.00266646520040708	0.0152875635670382	0.0174048903694289	0	0	0.405040774505267	0.758979962148557	1.05886882861299	1.08486869400864	0.0714982433213065	0.0816880246814532	0.079242278572287	0.0244052243450248	0.094671596734723	0.0350289536194761	0	0.247413808559083	0	0	2.66153749921811	0.379851362510322
ASV_109	0	0	0.0390556240098574	0	0	0.167635687512912	0.024831450672089	0.0151531391021211	0.0245118065201405	0.018220845536115	0	0.0113334169847444	0	0	0	0	0	0	0	0	0	0	0	0	0.586810849594485	0.200799612743604	0	0	0	0
ASV_11	0.402514538155133	0.0492853622474125	0.043456257701109	0.0365888203449578	0	0	31.5706126809065	33.2130937905393	0.05872620312117	0.0817715994791505	4.88257802277847	4.95796516593337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.56577183402544	24.497012559444	0.9883029961844	0.255986787778695
ASV_110	0	0	0	0	0	0	0.0159296098651137	0.00184794379294159	0.0142985538034153	0.0168876129359115	0.0458626907011146	0.0178096552617412	0.184321501382411	0.20151725701427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_111	0	0	0.159522971307868	0	0	0	0	0	0	0	0	0	0	0	0	0.533952484082233	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_113	3.09344723081513	3.01188324845299	1.81801179369829	2.19808321792773	2.80670250352733	3.41174040079096	0.189281246632527	0.213622302464048	0.270140534357382	0.239093046303168	0.241003943292132	0.236382697110383	0.00418912503141844	0.00629741428169594	0.852148098291497	1.07701012623651	2.63005903995893	1.99456029011786	0.850876445353561	0.75342615621376	0.67938048311501	0.7057177373103	1.47485248498056	1.37652841176535	2.08586913349306	2.52075228140631	1.759147238662	4.07673860911271	3.5137924563708	3.6065235342692
ASV_114	52.3368350527875	49.8165489294124	63.425783312797	56.292883671157	20.4684056483868	21.7353835256618	1.78364778695552	1.43622191587421	2.86430672440559	1.94118666589635	4.03187007369505	6.14716441954691	0.742871505571536	0.724202642395033	73.8099673683768	39.2581897645016	0	0.281205341364845	54.9201208367662	57.2669520885148	22.9002673957457	19.364732010299	11.3641641212511	12.3865663962869	2.39080577585876	0	30.5610960337442	0	11.8643272659035	31.3191577208918
ASV_115	12.5386680903852	15.7329828596462	8.34085108255589	6.29603109656301	30.0230879557831	29.6207537703273	24.4294622819635	23.9940717963122	5.8654710352153	10.6938586862326	6.00756284762346	6.83121708755469	0	0.00587758666291621	4.89474348419199	13.3293010490443	0	4.9495213362632	8.479881057227	12.0227267754382	24.1309638264632	22.4353159866422	22.9891216976582	21.6566505752411	66.3301259465208	61.6705810638794	14.4794493672956	8.33434946957688	28.8437480452868	0
ASV_116	0.412983056702731	0.186189146268003	0.194177961626474	0.391067606697721	0.950337573898949	0.507629194581353	0.00655925112092916	0.0188490266880043	0.0245118065201405	0.00311087606714159	0.0211328084603175	0.0153810659078674	0	0	3.59909376633835	4.59745445795043	21.9421151707025	20.664750987292	1.12408496453498	0	0	0.116738323117035	0.288778140983275	0.346458244392631	7.80535304744455	15.117342273697	13.5900663767453	13.7483233751981	13.3858760242697	16.8538398018167
ASV_118	0	0	0	0	0	0	0.309221838558089	0.117898813989674	0.784377808644497	0.0577734126754867	0.352962864709559	0.290621192680232	0	0	0	0	0	0	2.25195791547108	0	0.191533469534912	0	4.64248075308576	0	0	0	0	0	0	0
ASV_12	5.43159084842109	4.87925086249384	3.22511441647597	4.02595052247262	3.58388040905328	5.69902310893368	0.207553446183687	0.190707799431572	0.253799330010622	0.274645915641929	0.193342715700777	0.224644515233327	0	0	1.27341454180514	1.76184808694125	1.42893813639086	1.20165342594158	2.71930073771035	1.9021640032967	1.7752523735128	2.09478175628129	2.73297250951182	2.55382964981993	4.49717485169573	3.99089230327913	3.28859170127195	7.33243913343901	7.97522987427285	7.0251857968621
ASV_121	0.419264167831289	0	0.128168456257701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_126	0	0	0	0	0.480416049627444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0863357328712883	0	0	0	0	0	0	0
ASV_127	0	0	0.158422812885055	0	0	0	0.101199874437193	0.00887013020611965	0.0255331317918131	0.0342196367385575	0.0899268445119895	0.0457384328312899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_128	0.0104685185475977	0.0657138163298834	0.00990142580531597	0.119602165428679	0.352149628610408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_129	0	0	0.289341665199789	0.166420118343195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_133	0.356453056545703	0.339521384371064	0	0.121962734483193	0.213971711423874	0.314612047339374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_134	0	0	0.0803115648653406	0.112127030089387	0.232045616203547	0	0	0	0	0	0.025629150685917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_135	0.0999743521295584	0	0	0	0	0.306348316264794	0	0	0.0388103603235558	0.0239981868036637	0.0143882951219183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_138	0.0518191668106088	0.219046054432945	0.0984641788417532	0.00865541986654916	0.0600520062034305	0.0584363840273884	0.0018740717488369	0.00332629882729487	0.00357463845085383	0.00311087606714159	0.000899268445119895	0.0004047648923123	0	0	0.00420665492809625	0.0026014737348708	0.00213912894669291	0.0138297708867956	0.00284098980084662	0.00583485890581808	0.0476955894724192	0.0919263450329267	0.00178625654216459	0.00437861920243451	0	0	0.0106268188209136	0.00812908994838028	0.573903796834928	0
ASV_140	0	0	0	0	0	0	0	0.0598733788913076	0.0454489745894272	0.0697725060773186	0.0143882951219183	0	0	0	0	0	0	0	0	0	0	0	0.33641164877433	0.263264479546375	0	0	0	0	0	0
ASV_143	0	0	0	0	0.0215720798983197	0	0.010307394618603	0.00887013020611965	0.0347250592368658	0.0235537759369292	0.0274276875761568	0.0995721635088259	0	0	0.0426674999849762	0	0	0	0	0.172857695084861	0	0.00732156730350744	0	0.000547327400304314	0	0	0	0	0	0
ASV_146	0.41612361226701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_148	0.266947222963742	0.0109523027216472	0	0.0149502706785849	0.0361478095593465	0	0	0	0	0	0	0	0	0	0	0.0539805799985692	0.365791049884487	0.37647709636277	0	0	0	0.0248119780841085	0	0	0	0	0	0	0.12353787452305	0
ASV_150	0.130856481844972	0.0821422704123542	0.0814117232881535	0.172714969155231	0	0.0318743912876664	0	0	0.00817060217338018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_152	0	0	0.348200140820278	0	0.0174908755932322	0	0.0201462712999967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0227782093886898	0	0	0	0	0	0	0	0
ASV_153	0.00314055556427932	0	0.00440063369125154	0.00629485081203575	0.0151587588474679	0.00767346456925302	0	0.00110876627576496	0.000510662635836261	0	0.00359707378047958	0.0004047648923123	0	0	0.00661045774415125	0.0533302115648515	0.218191152562676	0.441016027167817	0.0340918776101594	0.0466788712465447	0.0153977887273164	0.0101688434770937	0.147663874152272	0.112202117062384	0	0	0.00572213321126116	0	0	0
ASV_157	0	0.00547615136082361	0.0176025347650062	0.00550799446053129	0	0	0	0	0	0	0	0	0.0409603336405358	0.0369448304526162	0	0	0	0	0	0.0131284325380907	0.0015022232904699	0	0.00714502616865834	0.250128621939072	0	0	0	0	0	0
ASV_159	0.393616297389675	0.071189967690707	0	0.539390028956314	0.0903695238983663	0	0	0.0546991362710712	0	0	0	0	0	0	1.26440028124493	0.615898906730663	0	0	0	0	1.37566097824781	1.21456666490407	0	0	0	0	0	0	0	0
ASV_16	0	0	0	2.92867934029963	0	0	0.839115625541724	0.638279786082027	0.823188168968053	0.80838336659008	1.04315139633908	1.16369906539786	0.0232729168412135	0.0344258647399378	0.976544894022343	6.99666360993503	32.6281338239069	1.51820151512823	0	0	0	0	0	4.65775617658971	0	0	3.73900532975836	0	0	0
ASV_164	0	0.0602376649690597	0.0632591093117409	0	0.0565538310847841	0.365965233302836	0.00702776905813839	0.0125660177920028	0.00612795163003513	0.000888821733469027	0.00449634222559948	0.0048571787077476	0	0	0	0	0	0	0	0.0269862224394086	0.00375555822617474	0	0	0	0	0	0	0	0	0
ASV_165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.964846437730656	0
ASV_166	0	0	0.140270198908643	0	0	0	0	0	0	0	0	0	0	0	0	0	0.650295199794644	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_167	0	0	0	0	0	0	0.014524056053486	0.0203273817223575	0.154220116022551	0	0	0.070024326370028	0.00605095837871552	0.00209913809389865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_17	0	0	0	0	0	0	0	0	0	0	7.24360732544075	7.33555414337582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.459293582083486	0	0
ASV_170	2.83853880418113	3.570450687257	5.33301795458546	5.7574279239582	5.3656176028172	7.00528288522268	1.13381340804633	1.19044539141297	0.527514502818858	0.413302106063097	0.655117062269843	0.764196116685623	0.0456149170087785	0.0537379352038053	0	0	0.0812868999743305	0.0660755720146903	16.5075712378193	15.7497429015295	24.7371109241678	26.810359204227	37.3869448463522	33.9479820038751	0.00256249279298902	0	0	0	0.00625508225433164	0
ASV_172	0.00314055556427932	0	0	0	0.0274023717627304	0.133990496709264	0	0.00110876627576496	0	0.00311087606714159	0	0.0016190595692492	0.0502695003770213	0.0520586247286864	0.0282446830886462	0	0	0	0.0364593691108649	0	0.0315466890998678	0.0435226500819609	0.0184579842690341	0	0	0	0	0	0	0
ASV_173	0.0659516668498657	1.39641859701002	3.37913659566978	5.18459650006295	4.89103184505416	8.67160522976124	0.0285795941697628	0.0776136393035469	0.0122559032600703	0.0422190323397788	0.1672639307923	0	0.00232729168412135	0.000839655237559458	4.2090587309123	13.9438992189075	8.72122871566698	18.3213731425849	2.90254457986496	4.2032864842787	2.3126727556784	8.21561202201351	5.17538062149819	8.93019386336519	0	0	0	0	0	0
ASV_174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.389476831963357	0	0	0	0	0	0	0	0	0	0
ASV_175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.590197168361508	0	0	0
ASV_177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0710247450211654	0.215160422152042	0	0.0154566420851824	0.0130992146425403	0.0120412028066949	0	0	0	0	0	0
ASV_178	0	0	0	0	0.0915355822712485	0.213086208423103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0823887042245518	0.240687929864996	4.76317449825742	7.88085369474759	0	0	0	0	0	0	0	0
ASV_181	0	0.213569903072121	0.00660095053687731	0.0137699861513282	0.0903695238983663	0.154649824395715	0.00327962556046458	0	0	0.00222205433367257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_184	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000419827618779729	0.14903577459541	0.161941739995708	0	0	0	0	0	0	0	0	0	0	0	0	0	0
