x	E446.WCOA21	E449.WCOA21	E475.WCOA21	E486.WCOA21	E492.WCOA21	E573.WCOA21	E598.WCOA21
ASV_1	4.23190303486396	62.9822155214147	0.755057783757973	0.25265393339669	0	0	0.112166253784751
ASV_10	0	0	0	0	8.92089652590615	4.70176181053525	7.41188674366543
ASV_100	0.0207947076497316	0.0759078412458255	0	0.00390221060230621	0	0.0036467868161363	0.292458023671896
ASV_1004	0	0	0	0	0	0.000198472949129398	0
ASV_101	0	0	0	0	0.68452126294173	0	0
ASV_102	0.0969686031056723	0.0213905900807855	0.000232729168412135	0	0	0.0235170822403414	0
ASV_1028	0	0	0	0	0	0	0.000272482533869579
ASV_103	0.355403967561495	0.00651969622711924	0	0	0	0.104530711528591	0.17866919966377
ASV_1039	0.0119292459463596	0	0	0	0	0.00119083404403176	0
ASV_104	5.23197426742516	0.267153645753921	0	3.61344701773555	12.8394056271801	0.347309501216303	0
ASV_105	0.117480381067876	0	0	0	0	0	0
ASV_106	0.0363969078213929	0	0	0.243385035125569	0	0	0
ASV_107	0.791233825025411	0.0103287504773983	0	0.927176779421977	2.60364040959258	0.263679154724489	0.368635787638526
ASV_108	0.247430957905832	0.0114607281453114	0	0.582010368326912	1.07186876131081	0.0644223868790451	0.548133778381253
ASV_109	0.0344485519204616	0.015675109802535	0	0	0	0	0.131268410389682
ASV_11	0.0886408297414354	12.460791243793	0	0	0	0	5.88451236290542
ASV_110	0	0.0187726777267063	0.192919379198341	0	0	0	0
ASV_111	0.0265871618846447	0	0	0.266976242041116	0	0	0
ASV_113	2.72331139920207	0.231587295026607	0.00524326965655719	0.964579112264005	2.31230966503839	0.973463619789757	2.92713720888568
ASV_114	44.0126400233671	3.0340662643956	0.733537073983284	56.5340785664392	0.140602670682422	29.7004671414773	12.6892311327331
ASV_115	17.0920624758768	12.970273955817	0.0029387933314581	9.11202226661814	2.4747606681316	18.619109986445	29.9430423154266
ASV_116	0.440397423295872	0.0149241391274001	0	4.09827411214439	21.3034330789972	0.31267661217132	13.4168001498619
ASV_118	0	0.318809321876256	0	0	0	1.18099535634863	0
ASV_12	4.47413502797508	0.224115620366986	0	1.51763131437319	1.31529578116622	2.29638350502215	5.68491894347013
ASV_121	0.0912387706814984	0	0	0	0	0	0
ASV_126	0.0800693416045741	0	0	0	0	0.0143892888118814	0
ASV_127	0.0264038021475092	0.0509146750861604	0	0	0	0	0
ASV_128	0.0929725924536474	0	0	0	0	0	0
ASV_129	0.075960297257164	0	0	0	0	0	0
ASV_133	0.224420155693868	0	0	0	0	0	0
ASV_134	0.0707473685263791	0.0042715251143195	0	0	0	0	0
ASV_135	0.067720444732392	0.0128661403748563	0	0	0	0	0
ASV_138	0.0827455350304458	0.00219831973859323	0	0.00340406433148353	0.00798444991674427	0.0257437764927683	0.0987766176007037
ASV_140	0	0.0315805257799953	0	0	0	0.0999460213867842	0
ASV_143	0.00359534664971995	0.0340760351805834	0	0.0213337499924881	0	0.0301210982981121	0
ASV_146	0.069353935377835	0	0	0	0	0	0
ASV_148	0.0548329343205535	0	0	0.0269902899992846	0.371134073123629	0.00413532968068476	0.0205896457538417
ASV_150	0.0831666393313961	0.0013617670288967	0	0	0	0	0
ASV_152	0.0609485027355851	0.00335771188333279	0	0	0	0.0037963682314483	0
ASV_153	0.00611137724738126	0.000936877930732183	0	0.0299703346545014	0.329603589865247	0.0610338953792952	0.000953688868543526
ASV_157	0.00476444676439351	0	0.038952582046576	0	0	0.0453173839893817	0
ASV_159	0.18242763632251	0.0091165227118452	0	0.940149593987796	0	0.431704607191979	0
ASV_16	0.488113223383273	0.885969568153137	0.0288493907905757	3.98660425197869	17.0731676695176	0.776292696098285	0.623167554959727
ASV_164	0.0910026397780702	0.00599401352449875	0	0	0	0.00512363011093056	0
ASV_165	0	0	0	0	0	0	0.160807739621776
ASV_166	0.0233783664847738	0	0	0	0.325147599897322	0	0
ASV_167	0	0.0431826466947371	0.00407504823630708	0	0	0	0
ASV_17	0	2.42986024480276	0	0	0	0	0.0765489303472476
ASV_170	4.97838930967028	0.780731431216121	0.0496764261062919	0	0.0736812359945104	25.8566185196618	0.00146959584122011
ASV_172	0.027422237339379	0.000973116985359292	0.0511640625528538	0.0141223415443231	0	0.0216644487602879	0
ASV_173	3.931456739068	0.0546553499775765	0.00158347346084041	9.07647897490991	13.521300929126	5.28994838778316	0
ASV_174	0	0	0	0	0	0.0649128053272262	0
ASV_175	0	0	0	0	0	0	0.098366194726918
ASV_177	0	0	0	0	0	0.0544637044512708	0
ASV_178	0.0507702984490586	0	0	0	0	0	0
ASV_18	0	0	0	0	0	2.16118413784909	0
ASV_181	0.0798266980090679	0.000916946649022858	0	0	0	0	0
ASV_184	0	0	0.000209913809389865	0.155488757295559	0	0	0
ASV_19	1.54140152021649	0.0022369285652739	0	4.53832415694146	4.01094070955422	1.88057094291152	5.23381667776331
ASV_194	0.0198025515128625	0.00104521336067634	0	0	0	0.0129007416934109	0
ASV_200	0	0	0.0166789654241529	0.0455257903602391	0	0.0133322317029203	0
ASV_201	0.0303074739325474	0	0	0	0	0	0
ASV_202	0	0.00170220878612087	0	0	0	0.0509334558653704	0
ASV_203	0.0272121154895296	0	0	0	0	0	0
ASV_204	0	0	0	0	0	0.0267087018263253	0
ASV_206	0.0446017327627421	0.00117129484302307	0	0	0	0	0
ASV_207	0.0357716308944209	6.74608153853834e-05	0	0	0	0	0
ASV_208	0.0390291212677578	0	0	0	0	0	0
ASV_21	0.377018565058673	0.00459391704208978	0.10485617944284	0.540275151166069	0.779421332081907	0.751442318882206	3.23000142259777
ASV_210	0.0167496296761564	0.0281897990663618	0	0	0	0	0
ASV_214	0.0459122686587911	0.0153304661199387	0	0	0	0	0
ASV_217	0.0221617739397868	0.0104303956593323	0	0	0	0	0
ASV_218	0.0318417439156098	0	0	0	0	0	0
ASV_221	0	0	0	0	0	0	0.107571221112645
ASV_222	0.0344868204523418	0	0	0	0	0	0
ASV_226	0.0221821696974278	0	0	0	0.0379695388037991	0.0195710892465982	0
ASV_227	0.0771201638134586	0.0529255519927206	0.470347025063273	0.160027639365927	0	0	0
ASV_229	0	0	0	0.0393622711129006	0.11604774535809	0	0
ASV_23	1.45069570073032	0.0621133827541228	0.0141828150704968	0.692166142185112	0	0	0
ASV_230	0.0119978537395084	0.015785719673147	0	0	0	0	0
ASV_231	0.0242669559801227	0	0	0	0	0	0
ASV_233	0.312178895104581	0.0539683040970587	0	0.0689580038208392	0.0243595827524871	0.150906793512612	1.08155076399339
ASV_239	0.0491757336789332	0	0	0.021787342529543	0	0	0
ASV_24	0.824744251147094	0.881371617290243	0	0	0	0	0
ASV_242	0	0.0215226082884312	0	0	0	0	0
ASV_249	0.0188845524361073	0	0	0	0	0	0
ASV_25	1.00301972105563	0.041018019654062	0.000652556787191865	0.231396100043063	0.409865070765917	0.187682746743652	1.38328856228109
ASV_250	0.0252964618974532	0	0	0	0	0	0
ASV_251	0.027693886355951	0.00639698311561131	0	0	0	0	0
ASV_253	0	0	0	0	0	0.0279846858272452	0
ASV_256	0.0015547444971762	0	0	0	0.210519845721223	0	0
ASV_257	0.0248464054676845	0	0	0	0	0	0
ASV_259	0.0353699837149801	0.000390431614341022	0	0	0.0445625950796748	0.000486238242151507	0
ASV_260	0.0175731251835998	0	0	0	0	0	0
ASV_261	0	0	0	0	0	0.0210706743562791	0
ASV_262	0.0122436129152625	0.000369588758588319	0	0	0	0.196551250639384	0
ASV_265	0.0254589411412602	0	0	0	0	0	0
ASV_28	0.0259447987966278	0	0.423714380459096	0	6.71680250395705	0	0.873798807441724
ASV_280	0.136140206717793	0.00132746748875947	0	0	0	0.0250153549536504	0
ASV_282	0	0	0	0	0	0.0177561862552913	0
ASV_286	0	0.0146835056546254	0	0	0	0	0
ASV_292	0.000641759079974183	0	0	0	0.106956447334645	0	0
ASV_296	0	0	0	0.0634109222874759	0	0	0
ASV_299	0.00136040143502917	0.00449777969706735	0	0	0	0.0102637384817104	0
ASV_307	0.00958648445155869	0.000197264730651858	0	0.000950843785724576	0.00076832060482198	0.000236749150070551	0.0202303304774169
ASV_312	0	0.00281323595295715	0	0	0	0.0110163041301126	0
ASV_315	0	0.00311087606714159	0	0	0	0	0.0519927568711117
ASV_318	0	0	0	0	0	0.0155076096752889	0
ASV_320	0.0268963862680205	0.000269843261541534	0	0	0	0	0
ASV_321	0.0154365098633567	0	0	0	0	0.0155801265066578	0
ASV_323	0.0164290843982725	0	0	0	0	0	0
ASV_326	0.0361407614169941	0.0171928678071602	0	0	0	0.0104541222062574	0
ASV_329	0	0	0	0	0	0.0108467663755666	0
ASV_330	0.00909119561853329	0	0	0.00800606109721138	0	0.648541553041643	0
ASV_338	0	0.0115546825350973	0	0	0	0	0
ASV_34	0.430858568779953	0	0	0.178777192677812	0	0.437349486239215	1.25550509221029
ASV_341	0	0.010021565650307	0	0	0	0	0.00463220307578284
ASV_342	0.0143807126529541	0	0	0	0	0	0
ASV_344	0	0	0	0	0	0	2.28901624463141
ASV_352	0.0130842408680853	0	0	0	0	0	0
ASV_353	0.0128766293879804	0	0	0	0	0	0
ASV_355	0.0108342167509081	0.000499401330762198	0	0.0012019014080275	0.00858693765379322	0.00205182277415687	0.0075770600060273
ASV_357	0	0	0	0	0.0347608453837597	0	0.00803823474915258
ASV_361	0	0.00230093937109423	0.0202931309018252	0.016826619712385	0	0	0
ASV_363	0	0	0	0	0	0	0.0317966681261859
ASV_366	0.0122000577210872	0.0116598510820537	0.375009988698233	0	0	0.000486238242151507	0
ASV_373	0.0174438676215591	0	0	0	0	0	0
ASV_374	0.00971706119833437	0	0	0	0	0.0103151932768043	0
ASV_38	0.0310372372335378	0.615960920136844	0.0394180403834003	0	0	0	0
ASV_385	0.00638884325429422	0	0	0.03565465747778	0	0.296841124825533	0
ASV_391	0	7.49390370933246e-05	0	0	0	0.00972085383119651	0
ASV_392	0.00636042217466113	0	0	0	0	0	0
ASV_393	0	0	0	0	0	0.00600889316187958	0
ASV_396	0.00616370808678501	0.00297886537571152	0	0	0	0	0
ASV_397	0	0	0	0.0404830030009588	0	0.00476335077910556	0.0130745939994495
ASV_399	0.0162567391154258	0.00105383758130649	0.0133477354111268	0	0.0347608453837597	0	0
ASV_4	0.903973626560464	0.253263964038535	96.4795274556455	0.0144642966784676	0.00958879662676395	0.23673366288045	0.135830941274176
ASV_40	0	0	0	0	0	0	2.47488301679053
ASV_401	0.00590142263628352	0	0	0	0	0	0
ASV_402	0.00756754957205938	0	0	0	0	0	0
ASV_404	0.00776415125613499	0	0	0	0	0	0
ASV_405	0.207488023352202	0.324891261718158	0.144073457173229	0	0	0	0
ASV_413	0	0.00953346536600634	0	0	0.0197869427569094	0	0
ASV_417	0.00205856945874386	7.40684777890856e-05	0	0.0131882686758842	0.00741924581304945	0.00560926753852352	0.00733586919034718
ASV_420	0.0189963515914296	0	0	0	0	0	0
ASV_431	0	7.49390370933246e-05	0	0	0	0.00728357626874967	0
ASV_432	0	0	0	0	0.0706756590755982	0	0
ASV_441	0	0.000749390370933246	0	0	0	0.00427091426037934	0
ASV_442	0.0062172995946744	0	0	0.0237384478306961	0	0	0
ASV_454	0	0.00507137219350246	0	0	0	0	0
ASV_46	0	0.00255331317918131	0	0	1.85318929883062	0.21623627807648	0
ASV_462	0	0.0049469642821369	0	0	0	0	0
ASV_463	0	0.00528715552162043	0	0	0	0	0
ASV_467	0	0.00740550029881512	0	0	0	0	0
ASV_473	0	0	0	0	0	0	0.0216763005780347
ASV_474	0	0	0	0	0.0476358774989628	0	0
ASV_477	0	0.00119154615028461	0	0	0	0	0.00844695854995695
ASV_483	0.00357921135166184	6.15981264313865e-05	0	0	0	0.000929544445191858	0.000408723800804368
ASV_484	0.00550079211406443	0	0	0	0	0	0
ASV_485	0	0	0	0	0	0.189168312597985	0
ASV_487	0	0.000307990632156932	0	0	0	0.00459516394837837	0
ASV_488	0.00439804951440934	0.000809529784624601	0.000232729168412135	0	0	0	0
ASV_489	0	0	0.0109702374307715	0.002403802816055	0	0	0
ASV_49	0.139547886101368	0.18180495182085	0	0.474189017434338	0	0.209768239192768	0
ASV_493	0.0053123985479444	0	0	0	0	0	0
ASV_494	0	0	0	0	0	0.00426148470126992	0
ASV_496	0.00117450191158258	7.40684777890856e-05	0	0	0	0.00327131289200038	0
ASV_499	0.000327856813126862	0	0	0	0.00955837475974236	0.00093092101537526	0.00743689471164395
ASV_501	0	0	0	0	0	0.00325481712935144	0
ASV_502	0.00501440859999369	0.00216261498571605	0	0	0	0.00223714556496061	0
ASV_513	0.00209828360401192	0.00163225266683808	0	0	0	0	0
ASV_519	0.00421727395411606	0	0	0	0	0	0
ASV_520	0	0.0035919708519374	0	0	0	0	0
ASV_521	0	0.000149878074186649	0	0	0	0.00287926130673397	0
ASV_526	0.00542877946187869	0	0	0	0	0	0
ASV_53	0	0	0	0	0	0.259034339506499	0
ASV_534	0	0.00252552318368684	0	0	0	0	0
ASV_535	0	0	0	0	0.0219260717036023	0	0
ASV_537	0	0	0	0	0	0.00374007056874615	0
ASV_541	0	0	0	0	0.0208565072302558	0	0
ASV_542	0	0	0	0	0	0.00387022250802327	0.00597914985030771
ASV_559	0.127980940145463	0.0177206182297345	0	0.0639161114837119	0.00076832060482198	0.00401738548484861	0
ASV_56	0.305085777816151	0.0163169445717948	0.00235468262133305	0	0	0.0225420315272816	0
ASV_563	0	0	0	0	0	0	0.0121936349225704
ASV_566	0.000916798685677404	0.00194178875547128	0	0	0	0	0
ASV_571	0	0	0	0.0113814475900598	0	0	0
ASV_574	0	0.00209433629866714	0	0	0	0	0
ASV_575	0	0.00229366772310304	0	0	0	0	0
ASV_579	0.00189111091608158	0.000134921630770767	0	0.000325184216858851	0.00213912894669291	0.000431496466865858	0
ASV_582	0.0292061405910593	0	0	0	0	0	0
ASV_584	0.0011796843317178	0	0	0	0	0.0010014821936466	0
ASV_585	0.00157371270300894	0.000630026503384753	0	0	0	0	0.00928984310487201
ASV_586	0.00233211674576429	0.000610285018765708	0	0	0	0	0
ASV_591	0	0	0	0.0100807107226244	0	0	0
ASV_593	0	0	0	0	0	0	0.00422347927497847
ASV_598	0.0019015695161358	0.000974207482213219	0	0	0	0	0
ASV_60	0	0	0	0	0	0	0.834010967244219
ASV_603	0	0.0017276389921414	0	0	0	0	0
ASV_607	0.00170485542825968	0	0	0	0	0	0
ASV_609	0.000291514593220537	6.74608153853834e-05	0	0	0	0.000203376869541873	0.00653729699972475
ASV_610	0	0.00175398120001997	0	0	0	0	0
ASV_613	0	0.00187347592733311	0	0	0	0	0
ASV_617	0.00192527723992255	0.000134921630770767	0	0	0	0	0
ASV_619	0	0	0	0	0.00230496181446594	0.0011155892033824	0.00173557415033498
ASV_62	0.0150042501559456	0.203267691648219	0.018641211363918	0.000325184216858851	0	0.000949989018966453	0
ASV_620	0	0.000449634222559947	0	0	0	0	0.00779037786719777
ASV_625	0.00239660990989819	0.00104716814933357	0	0.00210332746404812	0	0.0024484951027313	0.0011952357901405
ASV_626	0	0	0	0	0	0.00218320244042338	0
ASV_628	0	0	0	0	0	0.00142363808679311	0
ASV_630	0.00183359737135481	0	0	0	0	0	0
ASV_642	0	0	0	0	0	0.00176357246948219	0
ASV_643	0	0	0	0	0	0.00118926010495533	0
ASV_644	0	0	0	0	0	0	0.00643552954246772
ASV_647	0.00175994353765234	0	0	0	0	0	0
ASV_652	8.72376545633145e-05	0	0	0.00227628951801195	0.0038416030241099	0.00017815285792155	0.00055225314726493
ASV_655	0.00167242176509361	0.000234258968604613	0	0	0	0	0
ASV_660	0	0	0	0	0	0.00134157851706646	0
ASV_664	0.000366719474270962	0.000846920893164307	0	0	0	0	0
ASV_666	0	0.00107937304616613	0	0	0	0	0
ASV_672	0	0.000923971896470797	0	0	0	0	0
ASV_673	0	0.00112408555639987	0	0	0	0	0
ASV_682	0.000305618034377374	0.000313074836360897	0	0	0	0.000312963185514562	0
ASV_686	0	0.00126449252456845	0	0	0	0	0
ASV_691	0.00108215525976645	0	0	0	0	0.000881299768014784	0
ASV_694	0.00110015842281289	0	0	0	0	0	0
ASV_697	0	0.000739177517176638	0	0	0	0	0
ASV_698	0	0.000739177517176638	0	0	0	0	0
ASV_702	0.00100847855424514	0	0	0	0	0	0
ASV_706	0	0	0	0.00330522887207562	0	0	0
ASV_713	0	0.000749390370933246	0	0	0	0	0
ASV_722	0	0.000702776905813839	0	0	0	0	0
ASV_723	0	0	0	0	0	0.000563333733926211	0
ASV_729	0	0.000624690582945635	0	0	0	0	0
ASV_730	0	0.000680883514448348	0	0	0	0	0
ASV_731	0	0.000592547822312685	0	0	0	0	0
ASV_748	0	0.000493121825687858	0	0	0	0	0
ASV_749	0	0.000431186885019705	0	0	0	0	0
ASV_76	0.0125587588612911	0.00712108017924862	0.000419827618779729	0	0	0.123697581204612	0
ASV_763	0	0	0	0	0	0	0.000953688868543526
ASV_766	0	0	0	0	0	0	0.00182439899084673
ASV_772	0.000786980593203273	0	0	0	0	0	0
ASV_789	0.000491888754439296	0	0	0	0	0	0
ASV_794	0	0.000425552196530218	0	0	0	0	0
ASV_797	0	0	0	0.00150237676003437	0	0	0
ASV_801	0	0	0	0	0.0038416030241099	0	0
ASV_803	0.00026228545050149	0	0	0	0	0.000905507226383481	0
ASV_811	0	0	0	0	0	0	0.00172034131571704
ASV_815	0.000348950618253258	0	0	0	0	0	0
ASV_82	0	0	0	0	0	0.170587499776718	0
ASV_822	0.000366719474270962	0	0	0	0	0	0
ASV_826	0.00026228545050149	0	0	0	0	0	0
ASV_827	0.000388686124294049	0	0	0	0	0	0
ASV_837	0.00273807568041181	0.00029801502976482	0	0	0	0	0
ASV_838	0	0.000299756148373298	0	0	0	0	0
ASV_842	0	0.000269843261541534	0	0	0	0	0
ASV_844	0	0.000269843261541534	0	0	0	0	0
ASV_845	0	0	0.000839655237559458	0	0	0	0
ASV_871	0.000261712963689943	0	0	0	0	0	0
ASV_873	0.000261712963689943	0	0	0	0	0	0
ASV_884	0.000291514593220537	0	0	0	0	0.000236749150070551	0
ASV_885	0.000295133252663578	0	0	0	0	0	0
ASV_891	0	0.000234258968604613	0	0	0	0	0
ASV_895	0	0.000184794379294159	0	0	0	0	0
ASV_898	0	0.000222205433367257	0	0	0	0	0
ASV_919	0	0	0	0	0	0.00036467868161363	0
ASV_923	0	0	0	0	0	0.000501086293235971	0
ASV_931	0	0	0	0	0	0	0.000640623198247255
ASV_94	0	0	0	0	0	0	0.187195500768401
ASV_964	0.000194343062147024	0	0	0	0	0	0
ASV_966	0.000196755501775718	0	0	0	0	0	0
ASV_97	0.0636736418859781	0	0	0.322987189564691	0.0213912894669291	0.00907593237992228	0
ASV_973	0	0.000149878074186649	0	0	0	0	0
ASV_99	0	0	0	0	0	0.0811200576853743	0
ASV_990	0	0	0	0	0	0.000243119121075753	0
