x	MP_E1032_OC0821_PCR1	MP_E1032_OC0821_PCR2	MP_E1032_OC0821_PCR3	MP_E1033_OC0821_PCR1	MP_E1033_OC0821_PCR2	MP_E1033_OC0821_PCR3	MP_E1034_OC0821_PCR1	MP_E1034_OC0821_PCR2	MP_E1034_OC0821_PCR3	MP_E1053_SKQ2021	MP_E1054_SKQ2021	MP_E1055_SKQ2021	MP_E1056_SKQ2021	MP_E1057_SKQ2021	MP_E1058_SKQ2021	MP_E1059_SKQ2021	MP_E1060_SKQ2021	MP_E1061_SKQ2021	MP_E1062_SKQ2021	MP_E1063_SKQ2021	MP_E1064_SKQ2021	MP_E1065_SKQ2021	MP_E1066_SKQ2021	MP_E1067_SKQ2021	MP_E1068_SKQ2021	MP_E1069_SKQ2021	MP_E1070_SKQ2021	MP_E1071_SKQ2021	MP_E1072_SKQ2021	MP_E1073_SKQ2021	MP_E1074_SKQ2021	MP_E1075_SKQ2021	MP_E1076_SKQ2021	MP_E1077_SKQ2021	MP_E1078_SKQ2021	MP_E1079_SKQ2021	MP_E1080_SKQ2021	MP_E1081_SKQ2021	MP_E1082_SKQ2021	MP_E1083_SKQ2021	MP_E1084_SKQ2021	MP_E1085_SKQ2021	MP_E1086_SKQ2021	MP_E1087_SKQ2021	MP_E1088_SKQ2021	MP_E1089_SKQ2021	MP_E1090_SKQ2021	MP_E1091_SKQ2021	MP_E1092_SKQ2021	MP_E1093_SKQ2021	MP_E1094_SKQ2021	MP_E1095_SKQ2021	MP_E1096_SKQ2021	MP_E1097_SKQ2021	MP_E1098_SKQ2021	MP_E1099_SKQ2021	MP_E1100_SKQ2021	MP_E1101_SKQ2021	MP_E1102_SKQ2021	MP_E1103_SKQ2021	MP_E1104_SKQ2021	MP_E1105_SKQ2021	MP_E1106_SKQ2021	MP_E1107_SKQ2021	MP_E1108_SKQ2021	MP_E1109_SKQ2021	MP_E1110_SKQ2021	MP_E1111_SKQ2021	MP_E1112_SKQ2021	MP_E1113_SKQ2021	MP_E1114_SKQ2021	MP_E1115_SKQ2021	MP_E1116_SKQ2021	MP_E1117_SKQ2021	MP_E1118_SKQ2021	MP_E1119_SKQ2021	MP_E1120_SKQ2021	MP_E1121_SKQ2021	MP_E1122_SKQ2021	MP_E1123_SKQ2021	MP_E1124_SKQ2021	MP_E1125_SKQ2021	MP_E1126_SKQ2021	MP_E1127_SKQ2021	MP_E1128_SKQ2021	MP_E1129_SKQ2021	MP_E1130_SKQ2021	MP_E1131_SKQ2021	MP_E1132_SKQ2021	MP_E1133_SKQ2021	MP_E1134_SKQ2021	MP_E1135_SKQ2021	MP_E1136_SKQ2021	MP_E1137_SKQ2021	MP_E1138_SKQ2021	MP_E1139_SKQ2021	MP_E1140_SKQ2021	MP_E1141_SKQ2021	MP_E1142_SKQ2021	MP_E1143_SKQ2021	MP_E1144_SKQ2021	MP_E1145_SKQ2021	MP_E1146_SKQ2021	MP_E1172_OC0622	MP_E1173_OC0622	MP_E1174_OC0622	MP_E1229_OC0822_PCR1	MP_E1229_OC0822_PCR2	MP_E1229_OC0822_PCR3	MP_E1230_OC0822_PCR1	MP_E1230_OC0822_PCR2	MP_E1230_OC0822_PCR3	MP_E1231_OC0822_PCR1	MP_E1231_OC0822_PCR2	MP_E1231_OC0822_PCR3	MP_E1240_OC0922	MP_E1241_OC0922	MP_E1242_OC0922	MP_E1243_OC0922	MP_E1244_OC0922	MP_E1245_OC0922	MP_E1246_OC0922	MP_E1247_OC0922	MP_E1248_OC0922	MP_E1249_OC0922	MP_E1250_OC0922	MP_E1251_OC0922	MP_E1252_OC0922	MP_E1253_OC0922	MP_E1254_OC0922	MP_E1255_OC0922	MP_E1256_OC0922	MP_E1257_OC0922	MP_E1258_OC0922	MP_E1259_OC0922	MP_E1260_OC0922	MP_E1261_OC0922	MP_E1262_OC0922	MP_E1263_OC0922	MP_E1265_OC0922_PCR1	MP_E1265_OC0922_PCR2	MP_E1265_OC0922_PCR3	MP_E1266_OC0922_PCR1	MP_E1266_OC0922_PCR2	MP_E1266_OC0922_PCR3	MP_E1267_OC0922_PCR1	MP_E1267_OC0922_PCR2	MP_E1267_OC0922_PCR3	MP_E1275_OC1021	MP_E1276_OC1021	MP_E1277_OC1021	MP_E1278_OC1021	MP_E1279_OC1021	MP_E1280_OC1021	MP_E1281_OC1021	MP_E1282_OC1021	MP_E1283_OC1021	MP_E1284_OC1021	MP_E1285_OC1021	MP_E1286_OC1021	MP_E1287_OC1021	MP_E1288_OC1021	MP_E1289_OC1021	MP_E1290_OC1021	MP_E1291_OC1021	MP_E1292_OC1021	MP_E1293_OC1021	MP_E1294_OC1021	MP_E1295_OC1021	MP_E1296_OC1021	MP_E1297_OC1021	MP_E1298_OC1021	MP_E1299_OC1021	MP_E1300_OC1021	MP_E1301_OC1021	MP_E1302_OC1021	MP_E1303_OC1021	MP_E1304_OC1021	MP_E1305_OC1021	MP_E1306_OC1021	MP_E1307_OC1021	MP_E1308_OC1021	MP_E1309_OC1021	MP_E1310_OC1021	MP_E1312_OC1021	MP_E1313_OC1021	MP_E1315_OC1021	MP_E1316_OC1021	MP_E1317_OC1021	MP_E1318_OC1021	MP_E1319_OC1021	MP_E1320_OC1021	MP_E1321_OC1021	MP_E1322_OC1021	MP_E1323_OC1021_PCR1	MP_E1323_OC1021_PCR2	MP_E1323_OC1021_PCR3	MP_E1324_OC1021_PCR1	MP_E1324_OC1021_PCR2	MP_E1324_OC1021_PCR3	MP_E1325_OC1021_PCR1	MP_E1325_OC1021_PCR2	MP_E1325_OC1021_PCR3	MP_E1389_OC0722	MP_E1390_OC0722	MP_E1391_OC0722	MP_E1403_OC0722	MP_E1404_OC0722	MP_E1406_OC0722	MP_E1408_OC0722	MP_E1410_OC0722	MP_E1412_OC0722	MP_E1414_OC0722	MP_E1416_OC0722	MP_E1418_OC0722	MP_E1420_OC0722	MP_E1422_OC0722	MP_E1424_OC0722	MP_E1426_OC0722	MP_E1845_OC0623	MP_E1846_OC0623	MP_E1847_OC0623	MP_E1849_OC0723	MP_E1850_OC0723	MP_E1851_OC0723	MP_E1852_OC0723	MP_E1853_OC0723	MP_E1854_OC0723	MP_E1855_OC0723	MP_E1856_OC0723	MP_E1857_OC0723	MP_E1858_OC0723	MP_E1859_OC0723	MP_E1860_OC0723	MP_E1861_OC0723	MP_E1862_OC0723	MP_E1863_OC0723	MP_E1864_OC0723	MP_E1865_OC0723	MP_E1866_OC0723	MP_E1867_OC0723	MP_E1868_OC0723	MP_E1869_OC0723	MP_E1870_OC0723	MP_E1871_OC0723	MP_E1872_OC0723	MP_E1873_OC0723	MP_E1874_OC0723	MP_E1875_OC0723	MP_E2128_1B	MP_E2128_2B	MP_E2128_4B	MP_E2129_1B	MP_E2129_2B	MP_E2129_3B	MP_E2129_4B	MP_E2129_5B	MP_E2130_1B	MP_E2130_2B	MP_E2130_3B	MP_E2130_4B	MP_E2130_5B	MP_E2131_1B	MP_E2131_2B	MP_E2131_3B	MP_E2131_4B	MP_E2131_5B	MP_E2132_1B	MP_E2132_2B	MP_E2132_3B	MP_E2132_4B	MP_E2132_5B	MP_E2133_1B	MP_E2133_2B	MP_E2133_3B	MP_E2133_4B	MP_E2133_5B	MP_E2134_2B	MP_E2134_4B	MP_E2134_5B	MP_E2135_2B	MP_E2135_3B	MP_E2135_4B	MP_E2135_5B	MP_E2136_2B	MP_E2136_3B	MP_E2136_4B	MP_E2136_5B	MP_E2137_1B	MP_E446_1B_PCR2	MP_E446_1B_PCR3	MP_E446_2B_PCR2	MP_E446_2B_PCR3	MP_E446_3B_PCR2	MP_E446_3B_PCR3	MP_E447_1B_MiFishMod	MP_E447_1B_PCR2	MP_E447_1B_PCR3	MP_E447_2B_MiFishMod	MP_E447_2B_PCR2	MP_E447_2B_PCR3	MP_E447_3B_MiFishMod	MP_E447_3B_PCR2	MP_E447_3B_PCR3	MP_E448_1B_PCR2	MP_E448_1B_PCR3	MP_E448_2B_PCR2	MP_E448_2B_PCR3	MP_E448_3B_PCR2	MP_E448_3B_PCR3	MP_E449_1B_PCR2	MP_E449_1B_PCR3	MP_E449_2B_PCR2	MP_E449_2B_PCR3	MP_E449_3B_PCR2	MP_E449_3B_PCR3	MP_E450_1B_MiFishMod	MP_E450_1B_PCR2	MP_E450_1B_PCR3	MP_E450_2B_MiFishMod	MP_E450_2B_PCR2	MP_E450_2B_PCR3	MP_E450_3B_MiFishMod	MP_E450_3B_PCR2	MP_E450_3B_PCR3	MP_E474_MiFishMod	MP_E475_PCR2	MP_E475_PCR3	MP_E486_PCR2	MP_E486_PCR3	MP_E491_MiFishMod	MP_E492_1B_PCR2	MP_E492_1B_PCR3	MP_E494_PCR2	MP_E494_PCR3	MP_E496_1T_PCR2	MP_E496_1T_PCR3	MP_E496_3B_PCR2	MP_E496_3B_PCR3	MP_E498_1B_PCR2	MP_E498_1B_PCR3	MP_E498_2B_PCR2	MP_E498_2B_PCR3	MP_E498_3B_PCR2	MP_E498_3B_PCR3	MP_E573_1B_PCR2	MP_E573_1B_PCR3	MP_E573_2B_PCR2	MP_E573_2B_PCR3	MP_E573_3B_PCR2	MP_E573_3B_PCR3	MP_E574_1B_PCR2	MP_E574_1B_PCR3	MP_E574_2B_PCR2	MP_E574_2B_PCR3	MP_E574_3B_PCR2	MP_E574_3B_PCR3	MP_E575_1B_PCR2	MP_E575_1B_PCR3	MP_E575_2B_PCR2	MP_E575_2B_PCR3	MP_E575_3B_PCR2	MP_E575_3B_PCR3	MP_E598_1B_PCR2	MP_E598_1B_PCR3	MP_E598_2B_PCR2	MP_E598_2B_PCR3	MP_E598_3B_PCR2	MP_E598_3B_PCR3	MP_E600_1B_PCR2	MP_E600_1B_PCR3	MP_E600_2B_PCR2	MP_E600_2B_PCR3	MP_E600_3B_PCR2	MP_E600_3B_PCR3	MP_E610_NC	MP_E690_MiFishMod	MP_POSITIVE
ASV_1	13544	3604	7891	3461	5369	17344	7548	0	2086	0	0	5	7	2	2	0	0	0	2	1	3	3	3	0	4	0	2	5	0	1	1	0	4	0	0	1	1	1	0	4106	7	0	2	2	1	1535	2	0	0	2	0	5	0	1	2	1	0	0	0	2358	1	0	0	0	0	1	2	0	0	0	0	0	0	2	2	1	6	0	0	0	0	2	4	0	3	1	0	1	0	1	5197	2	0	1	1	0	2	0	2184	9	8	3	4251	0	0	0	0	1	1	1179	0	2385	1	2	0	0	2317	5845	3859	11614	4368	3799	7717	2	113	6487	47240	19323	14156	4816	4506	2714	2887	25480	49232	16855	16035	6707	0	0	0	0	2642	1467	1	2642	4448	0	49075	7822	9989	4819	813	4215	1	0	4703	12908	8077	12100	3371	16025	14021	90	42097	0	6346	51999	26801	27800	0	1	0	2	4	0	2	0	0	0	0	0	4	0	0	0	3	0	0	0	6	0	0	0	21584	29355	26068	53017	57458	54748	8875	20061	18885	0	21986	13363	5553	1	8037	1	10066	15276	0	4130	3709	7523	5610	1049	25587	1341	3152	5104	4224	0	5801	4	3102	4	2914	0	3204	4017	2758	2047	19373	1705	4016	0	1283	0	2	4304	14240	2188	2578	4243	0	3558	3873	0	0	1	0	1	0	0	0	2	4	0	2	0	0	2	1	1	3	0	2	0	0	8179	0	2	1	0	2	0	2	9	0	2750	1	0	1	1	6	3	0	2543	0	5767	18921	8158	8993	39153	33525	33477	11979	21655	22355	32	159	230	61605	38385	52349	39399	6673	60945	59829	71740	39437	55127	16520	18336	57991	21346	35707	53783	44981	46390	40047	20014	34360	470	1	1614	1312	0	1	0	1618	0	0	0	1	0	2	0	0	0	0	0	0	2662	13	4050	6	1049	6026	0	2	1365	1910	4939	3391	33212	22515	10464	23259	13428	6140	15477	11607	6286	7089	2951	2255	1406	3496	3350	1867	0	2	0	0	0
ASV_10	3038	0	3377	5418	8616	0	0	0	1	1	0	1	0	4	0	0	0	0	1	2	0	1	1	4	0	0	0	0	0	4	0	0	0	0	0	0	1	2	2	0	0	0	2	0	0	0	0	4	3	2	1	0	0	1	0	0	8	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0	0	1	6	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	2	0	0	0	5	0	2880	5923	4635	4957	4896	0	0	0	0	2575	10140	12174	6545	10190	4122	8631	2252	5119	0	3919	0	2	29264	6873	1765	2730	4054	1666	4671	3246	5420	7201	6452	9016	10357	5083	3700	5	231	11784	8785	8819	7241	3517	12806	41563	4014	11414	4902	3231	2932	20876	7585	3547	8115	2609	7300	60	0	0	3605	5734	1160	6195	0	0	3	0	0	0	0	0	0	0	24	0	0	0	0	0	0	1	3	0	0	0	0	0	2800	0	0	1	0	0	0	0	0	0	3876	3591	22266	0	6366	0	7125	1613	0	0	1191	2610	0	0	5523	0	12217	2468	3392	0	7755	2742	438	1729	4944	0	7573	1910	0	17777	2231	9159	3901	0	1317	0	8005	0	14547	17998	2470	7316	2311	7690	1171	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1	1	0	2	1	3	0	2	0	0	0	2	0	4	1	0	0	0	3	1	0	0	0	1	0	3	2670	0	2136	5	1293	0	7994	10561	3028	6455	5869	0	105161	144061	151381	0	848	0	3513	1	1480	0	0	0	0	0	0	778	1	0	702	1	0	0	0	0	0	0	3	7992	10972	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	7971	5047	16717	21932	16185	12200	0	2	0	0	0	0	5	1741	0	0	70331	35984	0	1	0	0	1	0	0	3650	0	0	732	4253	0	0	1
ASV_100	8968	4811	13429	13633	10855	8798	24594	23472	24017	1058	54	1761	1425	3654	4151	1514	353	7091	6880	3177	27787	2078	4539	27361	2265	10839	29967	2355	3781	18044	2403	909	6933	1714	1389	2979	2485	3811	1322	2548	6145	1636	1559	2877	1388	972	4638	2907	3399	1629	783	90	2725	1256	415	3561	4386	7246	7575	3661	8378	10744	1794	6407	6357	4479	8482	583	2826	4168	5652	1656	5823	6359	1169	6749	10165	1546	6456	10285	4896	3181	4998	5544	5563	5281	1550	851	2347	3667	3991	4657	4050	4508	2836	3850	3691	3770	2301	4061	6053	4120	2482	35616	30515	31078	15447	16744	15919	14263	16874	13942	19769	15047	13857	9160	6874	8828	15745	8386	18721	11503	7041	15070	4253	17985	17784	16209	20286	5636	11381	29796	27587	27330	23447	22304	9076	20195	16822	3479	3429	4432	10823	10014	1619	8704	7464	5757	7531	421	3262	13889	6403	2633	3583	12055	8247	4124	6341	14090	12456	8703	4234	41	4168	4635	2877	679	4	1357	8631	14138	10	0	180	15	245	12	0	2	44	24	15	9	227	545	1161	824	453	262	324	971	1444	533	1116	2331	1355	816	2521	1217	3240	2808	1726	27182	12975	12381	16602	3043	31434	13	6614	25649	23330	36164	18063	20342	30197	15808	14034	25578	27974	28093	11641	6608	13971	11383	20187	16163	16684	24343	11644	3900	9257	9737	4099	17313	12817	8344	8598	46703	25851	12025	10876	8152	8514	9772	15755	15022	17100	7474	12151	6515	3761	3899	19208	15789	2158	2365	2494	3866	3567	6785	4195	637	1414	2356	3550	8423	10159	9292	14363	1097	16888	4237	11830	8133	7807	10794	4331	5201	8894	8335	5228	14156	4620	17437	3537	7098	3072	30346	31487	15268	23662	10084	28178	6777	7082	8082	9545	8668	7759	6	5	22	4653	2866	7079	5892	7655	3493	15676	19252	13764	21420	29268	29737	12555	22922	19116	168	22001	18872	21115	37926	27902	62	22572	26696	3185	3990	12102	908	79	657	831	5422	5197	7104	5651	17949	16141	16225	19108	13772	13296	4721	5364	4690	5085	5113	6195	17727	19033	16279	15101	13132	13759	5073	5065	18637	16532	8648	6359	2215	2587	2823	4420	2394	2952	21680	29620	22409	19283	22048	24411	2	1779	3
ASV_1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	1490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10000	1266	228	642	439	318	625	543	431	349	11853	2979	1808	828	435	698	1052	380	613	1377	198	683	1386	3120	1	1631	1410	191	761	1228	0	2377	1496	0	1543	204	419	1676	532	913	2813	1575	3319	1857	322	2006	2518	1359	5774	5766	2093	8523	10309	2181	9526	13595	1095	1122	752	372	1502	888	476	562	709	234	646	322	6	2312	7	569	3074	200	209	4593	1131	159	3080	358	278	1620	1082	0	20	593	2289	2002	32	0	2239	1133	1013	1382	855	377	2855	329	1560	920	1724	554	2149	2049	221	103	83	81	17	0	61	4	160	34	0	0	848	535	385	688	634	721	336	511	263	60	570	236	27	353	590	1988	798	358	217	354	214	508	1377	211	278	505	403	379	180	23	237	250	125	345	378	384	15	701	2220	181	435	189	233	72	501	162	92	1253	0	38	0	736	101	0	253	114	473	5	113	779	561	476	116	0	7	80	0	3810	0	109	968	1972	347	3	210	810	2369	2692	325	488	897	1397	206	826	829	814	1414	1855	0	225	349	154	147	418	312	151	443	397	314	159	413	1892	2316	417	119	465	109	31	432	239	363	168	108	56	6	661	272	893	575	718	168	337	121	375	4	30	154	745	817	479	538	249	368	120	1	1416	55	0	0	0	0	0	0	89	0	0	0	443	0	0	675	0	250	0	215	0	598	35	1153	6	970	0	319	394	0	1388	727	27	435	0	0	0	0	1409	177	2388	374	180	64	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	90	114	340	560	573	0	0	1	0	0	0	0	0	0	1	40	215	2495	1507	0	13	8	23	46	1	0	0	0	0	0	0	0	0	0	1054	596	941	67	504	629	122	11	11	385	102	120	0	0	0	0	0	0	211	160	352	13	344	133	0	0	0	1	0	0	0	4	0
ASV_10001	6976	5401	9402	18217	17091	12861	7799	8376	8338	7535	2280	4925	6009	11967	8993	7737	3994	12520	5894	5055	2907	5330	10147	2013	9269	4876	3129	3992	6642	561	12556	8295	1424	6297	3835	6409	5795	6998	5461	6944	4570	7165	8796	4424	6014	7259	5869	5925	7672	3699	8031	11458	1918	6402	7766	6026	14260	16316	27498	34178	35800	29991	26988	32367	23446	20887	16660	1723	35190	12350	14099	13512	10297	14461	11649	18317	10752	10781	5343	4516	4171	3179	3674	2285	888	11200	11072	5437	324	11392	10820	7128	6189	6290	2498	5794	6141	3864	6436	15885	8414	2436	1466	5772	12615	6231	26187	26802	20219	26996	32154	26419	28055	23523	20818	20019	11859	14505	23171	18696	14692	16066	20580	25042	896	9526	2673	2156	10467	27067	34506	7092	9423	8726	4307	5221	2070	10411	7762	3776	3184	2692	2280	3736	584	5796	4931	4066	9874	2135	7862	9638	18970	21194	20548	9861	6669	7566	9912	8271	7945	5027	21769	73	2853	2368	1012	416	8	2092	4335	2527	21337	2861	16860	8318	9964	3881	2172	1048	19692	9023	28482	10538	20654	5573	8038	4031	7035	5816	11416	12822	17314	17805	10350	21059	17226	10490	15217	7910	18199	13828	11074	3093	8569	10379	8013	26793	16253	19569	3974	10248	5275	9899	12058	15913	8008	23630	8713	8467	7213	6533	3456	28610	26527	12051	13286	8432	25193	11144	14962	28213	20133	20946	9698	13234	9696	17740	22105	11967	3255	10228	15117	10432	8597	8772	8621	6649	6980	1134	9028	6192	3219	1974	1036	25	1009	9208	6378	12677	9356	1779	20574	6605	8503	13518	15635	18111	9639	12232	77	1962	10635	6686	3487	5512	7598	463	3724	3909	10042	19987	7132	12587	41	626	1200	0	4132	16564	16543	9977	16565	5619	14148	15470	26685	29258	12752	23867	23799	7	73	173	25168	19387	14507	13304	45241	19627	1204	1336	978	1689	4332	4065	652	6846	2649	86	5297	2459	611	3909	3922	56	13186	13909	25299	33757	23946	50578	11061	40161	38044	27814	30127	33059	35148	18748	19151	20394	28721	28132	24920	32260	24581	27284	29520	30773	32281	32640	33560	24777	27042	29071	28510	1086	1465	3261	3039	1670	961	40503	26486	31601	29271	34579	36350	7400	10306	13748	13262	21194	27076	111	793	0
ASV_10002	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10004	3	0	0	4	1	0	0	0	0	15	0	0	0	0	0	0	3	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	13	0	0	0	49	0	0	0	0	92	0	0	21	827	0	0	33	0	0	0	0	7	0	0	39	0	9	0	0	0	0	0	0	0	0	0	4	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	1	0	213	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	4	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	9	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	10	0	4	0	5	3	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	19	15	13	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10006	0	7	0	31	22	16	5	0	10	397	185	3	221	139	80	653	134	259	81	169	0	358	483	1	29	136	84	244	571	0	194	1955	0	164	69	5	140	0	26	11	45	86	190	3	233	168	0	508	51	77	79	375	21	289	643	52	2	100	9	72	1007	3	51	5	12	356	2	21	236	0	1	268	214	0	907	88	0	235	3	0	41	472	0	6	0	492	81	6	0	286	154	66	34	33	0	904	5	32	99	26	0	562	95	0	0	14	0	0	0	35	0	0	36	0	0	340	19	49	116	5	0	0	67	55	2	131	19	0	31	187	46	4	5	7	0	110	1	8	78	4	12	8	0	0	0	5	39	3	0	0	8	1	0	4	0	48	6	0	0	1	0	0	5	0	0	0	64	0	0	1	0	0	7	0	71	970	4	0	0	15	168	76	135	0	1	22077	1082	13406	9	5249	593	153	694	862	3	4	3	0	13	146	17	2	63	0	3	0	0	125	0	15	4	99	4	8	6	1	289	72	47	265	9	86	0	1862	71	15	23	0	21	0	90	0	107	89	429	209	11	170	79	21	0	0	12	21	0	7	2	6	1	0	15	645	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	99	13	4	348	0	0	0	0	1	398	149	0	10	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	61	78	0	138	26	5	58	0	0	0	0	0	0	1	0	0	0	56	107	2	113	24	6	0	0	0	5	0	33	0	0	0	0	0	0	3	0	13	22	2	0	0	0	0	0	0	0	0	0	0
ASV_10007	6407	3578	9597	11073	8014	8536	8342	6800	6482	377	546	1569	4150	23630	14752	2134	3406	19368	1657	2110	602	3058	2904	277	611	1056	253	1084	3823	13	1614	3072	1	2846	3313	5499	5553	2446	7841	5975	4811	7136	3399	499	3483	2363	715	1219	2921	673	544	187	486	532	768	718	4495	6897	8052	9645	5568	5251	6876	4555	5086	5908	5566	248	7918	13126	10941	14473	18454	18001	10344	15206	12278	6594	6311	6650	6302	747	524	411	407	5219	7587	15	1	6025	3999	3631	3648	5241	1508	3521	2918	3134	5536	6369	3474	1408	578	1802	2681	2773	6539	6408	3897	6811	6484	5885	6424	6576	5295	18897	10422	5701	8662	8332	3230	5520	5007	7637	418	4837	2073	1981	3091	7397	5000	4254	3214	3056	2219	2671	284	4090	2533	2372	1532	1386	2982	2526	468	3383	5019	1637	3297	804	3469	2997	8011	14771	5893	1834	2104	1427	1752	2555	1043	1555	4514	11	1511	16	1601	301	0	1476	1790	2143	5914	577	15548	4402	2781	92	324	224	7088	426	19686	295	3367	814	14568	1392	3548	7847	6889	5765	17508	7836	7117	6621	3895	2287	2313	2877	3666	5823	3874	408	3091	2119	1137	9667	4749	610	667	2634	1626	4663	3381	5141	3996	9879	2353	1640	1970	1796	310	11248	6514	2298	8798	2612	7901	2146	4950	7674	5937	4704	2775	3726	1991	5790	7774	10645	1211	8334	7300	4241	1762	1610	3778	1574	1763	510	2848	1101	211	3	1	1	3	778	212	720	112	314	2096	59	2112	2808	1609	8545	3302	4576	2	1641	1920	1648	972	2843	2104	0	3515	32	1378	9065	2197	3444	0	2517	159	0	2862	10616	9574	3842	5220	3118	7951	2096	2429	3135	1920	3119	4083	0	20	26	2233	1391	2178	2028	3412	2283	314	427	160	221	1541	1414	38	110	112	9	86	84	3	357	64	16	803	1186	10180	10496	4127	21455	2749	23600	19472	3302	2501	2104	2823	493	1514	567	476	303	337	12368	9537	10965	11131	12015	11574	10593	13732	13127	12121	6256	8735	304	83	646	192	58	62	53249	38860	38817	37232	38892	34543	181	518	546	283	242	381	1	306	0
