dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
MP_E1032_OC0821_PCR1	86085	80304	80276	80277	80019	79610	92.5
MP_E1032_OC0821_PCR2	49441	37522	37337	37489	37118	36820	74.5
MP_E1032_OC0821_PCR3	103130	93948	93900	93903	93661	92857	90
MP_E1033_OC0821_PCR1	100318	93902	93724	93877	93036	92580	92.3
MP_E1033_OC0821_PCR2	90089	85395	85384	85376	85197	84975	94.3
MP_E1033_OC0821_PCR3	80394	74395	74376	74370	74178	73403	91.3
MP_E1034_OC0821_PCR1	86725	81669	81646	81652	81295	80700	93.1
MP_E1034_OC0821_PCR2	84752	76911	76875	76889	76583	75590	89.2
MP_E1034_OC0821_PCR3	85092	80425	80408	80365	79865	78529	92.3
MP_E1053_SKQ2021	79203	71142	71009	71053	70481	70463	89
MP_E1054_SKQ2021	31512	21482	21456	21463	21359	21359	67.8
MP_E1055_SKQ2021	73510	64606	64585	64563	63753	63378	86.2
MP_E1056_SKQ2021	71168	60140	60107	60090	59640	59568	83.7
MP_E1057_SKQ2021	94900	85594	85499	85490	84761	83208	87.7
MP_E1058_SKQ2021	72910	63240	63198	63179	63029	62791	86.1
MP_E1059_SKQ2021	71070	66287	66261	66261	64543	64316	90.5
MP_E1060_SKQ2021	50502	41287	41268	41262	40950	40926	81
MP_E1061_SKQ2021	88087	77661	77594	77562	76121	75819	86.1
MP_E1062_SKQ2021	60429	54274	54233	54251	54012	53945	89.3
MP_E1063_SKQ2021	72264	61406	61357	61355	61241	61025	84.4
MP_E1064_SKQ2021	83732	76433	76388	76374	75910	75254	89.9
MP_E1065_SKQ2021	60006	52790	52754	52754	52487	52319	87.2
MP_E1066_SKQ2021	69679	63924	63891	63874	61921	61866	88.8
MP_E1067_SKQ2021	82034	70394	70340	70338	69364	66996	81.7
MP_E1068_SKQ2021	66586	54409	54386	54359	53494	53315	80.1
MP_E1069_SKQ2021	62603	56428	56390	56398	55943	55858	89.2
MP_E1070_SKQ2021	79220	69431	69391	69319	67716	66355	83.8
MP_E1071_SKQ2021	48633	42904	42874	42872	42299	42278	86.9
MP_E1072_SKQ2021	58139	53485	53425	53435	52948	52865	90.9
MP_E1073_SKQ2021	43788	37787	37774	37776	37466	37345	85.3
MP_E1074_SKQ2021	79857	74093	74038	74059	73867	73819	92.4
MP_E1075_SKQ2021	89762	81104	81024	80988	80408	80128	89.3
MP_E1076_SKQ2021	49772	25348	25341	25335	24192	23607	47.4
MP_E1077_SKQ2021	91800	83995	83902	83957	83520	83341	90.8
MP_E1078_SKQ2021	55324	49073	49030	49048	48455	48376	87.4
