reads.in	reads.out
MP_E1032_OC0821_PCR1_R1_trimmed.fq.gz	86085	80304
MP_E1032_OC0821_PCR2_R1_trimmed.fq.gz	49441	37522
MP_E1032_OC0821_PCR3_R1_trimmed.fq.gz	103130	93948
MP_E1033_OC0821_PCR1_R1_trimmed.fq.gz	100318	93902
MP_E1033_OC0821_PCR2_R1_trimmed.fq.gz	90089	85395
MP_E1033_OC0821_PCR3_R1_trimmed.fq.gz	80394	74395
MP_E1034_OC0821_PCR1_R1_trimmed.fq.gz	86725	81669
MP_E1034_OC0821_PCR2_R1_trimmed.fq.gz	84752	76911
MP_E1034_OC0821_PCR3_R1_trimmed.fq.gz	85092	80425
MP_E1053_SKQ2021_R1_trimmed.fq.gz	79203	71142
MP_E1054_SKQ2021_R1_trimmed.fq.gz	31512	21482
MP_E1055_SKQ2021_R1_trimmed.fq.gz	73510	64606
MP_E1056_SKQ2021_R1_trimmed.fq.gz	71168	60140
MP_E1057_SKQ2021_R1_trimmed.fq.gz	94900	85594
MP_E1058_SKQ2021_R1_trimmed.fq.gz	72910	63240
MP_E1059_SKQ2021_R1_trimmed.fq.gz	71070	66287
MP_E1060_SKQ2021_R1_trimmed.fq.gz	50502	41287
MP_E1061_SKQ2021_R1_trimmed.fq.gz	88087	77661
MP_E1062_SKQ2021_R1_trimmed.fq.gz	60429	54274
MP_E1063_SKQ2021_R1_trimmed.fq.gz	72264	61406
MP_E1064_SKQ2021_R1_trimmed.fq.gz	83732	76433
MP_E1065_SKQ2021_R1_trimmed.fq.gz	60006	52790
MP_E1066_SKQ2021_R1_trimmed.fq.gz	69679	63924
MP_E1067_SKQ2021_R1_trimmed.fq.gz	82034	70394
MP_E1068_SKQ2021_R1_trimmed.fq.gz	66586	54409
MP_E1069_SKQ2021_R1_trimmed.fq.gz	62603	56428
MP_E1070_SKQ2021_R1_trimmed.fq.gz	79220	69431
MP_E1071_SKQ2021_R1_trimmed.fq.gz	48633	42904
MP_E1072_SKQ2021_R1_trimmed.fq.gz	58139	53485
MP_E1073_SKQ2021_R1_trimmed.fq.gz	43788	37787
MP_E1074_SKQ2021_R1_trimmed.fq.gz	79857	74093
MP_E1075_SKQ2021_R1_trimmed.fq.gz	89762	81104
MP_E1076_SKQ2021_R1_trimmed.fq.gz	49772	25348
MP_E1077_SKQ2021_R1_trimmed.fq.gz	91800	83995
MP_E1078_SKQ2021_R1_trimmed.fq.gz	55324	49073
MP_E1079_SKQ2021_R1_trimmed.fq.gz	73638	67797
MP_E1080_SKQ2021_R1_trimmed.fq.gz	85072	78720
MP_E1081_SKQ2021_R1_trimmed.fq.gz	79622	72360
MP_E1082_SKQ2021_R1_trimmed.fq.gz	64478	54461
MP_E1083_SKQ2021_R1_trimmed.fq.gz	83540	70083
MP_E1084_SKQ2021_R1_trimmed.fq.gz	100947	88186
MP_E1085_SKQ2021_R1_trimmed.fq.gz	79719	70604
MP_E1086_SKQ2021_R1_trimmed.fq.gz	80956	74746
MP_E1087_SKQ2021_R1_trimmed.fq.gz	74001	67190
MP_E1088_SKQ2021_R1_trimmed.fq.gz	92580	86049
MP_E1089_SKQ2021_R1_trimmed.fq.gz	92774	86570
MP_E1090_SKQ2021_R1_trimmed.fq.gz	83783	78404
MP_E1091_SKQ2021_R1_trimmed.fq.gz	109649	95790
MP_E1092_SKQ2021_R1_trimmed.fq.gz	92833	85269
MP_E1093_SKQ2021_R1_trimmed.fq.gz	119866	109679
MP_E1094_SKQ2021_R1_trimmed.fq.gz	83471	77325
MP_E1095_SKQ2021_R1_trimmed.fq.gz	70824	64555
MP_E1096_SKQ2021_R1_trimmed.fq.gz	104349	95442
MP_E1097_SKQ2021_R1_trimmed.fq.gz	80839	73485
MP_E1098_SKQ2021_R1_trimmed.fq.gz	86260	77063
MP_E1099_SKQ2021_R1_trimmed.fq.gz	96449	88897
MP_E1100_SKQ2021_R1_trimmed.fq.gz	73591	63720
MP_E1101_SKQ2021_R1_trimmed.fq.gz	85551	79984
MP_E1102_SKQ2021_R1_trimmed.fq.gz	118001	110791
MP_E1103_SKQ2021_R1_trimmed.fq.gz	80529	75435
MP_E1104_SKQ2021_R1_trimmed.fq.gz	99132	90730
MP_E1105_SKQ2021_R1_trimmed.fq.gz	89918	82845
MP_E1106_SKQ2021_R1_trimmed.fq.gz	75738	71698
MP_E1107_SKQ2021_R1_trimmed.fq.gz	82001	76226
MP_E1108_SKQ2021_R1_trimmed.fq.gz	77837	72587
MP_E1109_SKQ2021_R1_trimmed.fq.gz	75822	69869
MP_E1110_SKQ2021_R1_trimmed.fq.gz	87985	81153
MP_E1111_SKQ2021_R1_trimmed.fq.gz	6343	5887
MP_E1112_SKQ2021_R1_trimmed.fq.gz	94770	86007
MP_E1113_SKQ2021_R1_trimmed.fq.gz	74729	69385
MP_E1114_SKQ2021_R1_trimmed.fq.gz	75407	68755
MP_E1115_SKQ2021_R1_trimmed.fq.gz	91856	83153
MP_E1116_SKQ2021_R1_trimmed.fq.gz	96528	90197
MP_E1117_SKQ2021_R1_trimmed.fq.gz	100857	90982
MP_E1118_SKQ2021_R1_trimmed.fq.gz	113891	106561
MP_E1119_SKQ2021_R1_trimmed.fq.gz	107957	98499
MP_E1120_SKQ2021_R1_trimmed.fq.gz	106978	99245
MP_E1121_SKQ2021_R1_trimmed.fq.gz	94604	86455
MP_E1122_SKQ2021_R1_trimmed.fq.gz	98623	92285
MP_E1123_SKQ2021_R1_trimmed.fq.gz	110029	102552
MP_E1124_SKQ2021_R1_trimmed.fq.gz	48483	44844
MP_E1125_SKQ2021_R1_trimmed.fq.gz	88652	76732
MP_E1126_SKQ2021_R1_trimmed.fq.gz	71936	65124
MP_E1127_SKQ2021_R1_trimmed.fq.gz	83256	70708
MP_E1128_SKQ2021_R1_trimmed.fq.gz	76324	65921
MP_E1129_SKQ2021_R1_trimmed.fq.gz	55921	49931
MP_E1130_SKQ2021_R1_trimmed.fq.gz	103123	95465
MP_E1131_SKQ2021_R1_trimmed.fq.gz	39863	36937
MP_E1132_SKQ2021_R1_trimmed.fq.gz	52666	46523
MP_E1133_SKQ2021_R1_trimmed.fq.gz	106494	99122
MP_E1134_SKQ2021_R1_trimmed.fq.gz	91794	83099
MP_E1135_SKQ2021_R1_trimmed.fq.gz	103535	94517
MP_E1136_SKQ2021_R1_trimmed.fq.gz	107258	101308
MP_E1137_SKQ2021_R1_trimmed.fq.gz	143450	135505
MP_E1138_SKQ2021_R1_trimmed.fq.gz	88643	83509
MP_E1139_SKQ2021_R1_trimmed.fq.gz	107287	102146
MP_E1140_SKQ2021_R1_trimmed.fq.gz	101997	94282
MP_E1141_SKQ2021_R1_trimmed.fq.gz	76194	69955
MP_E1142_SKQ2021_R1_trimmed.fq.gz	92371	84602
MP_E1143_SKQ2021_R1_trimmed.fq.gz	117586	108799
MP_E1144_SKQ2021_R1_trimmed.fq.gz	102485	93578
MP_E1145_SKQ2021_R1_trimmed.fq.gz	77499	70325
MP_E1146_SKQ2021_R1_trimmed.fq.gz	84589	79184
MP_E1172_OC0622_R1_trimmed.fq.gz	110727	101038
MP_E1173_OC0622_R1_trimmed.fq.gz	118700	110723
MP_E1174_OC0622_R1_trimmed.fq.gz	109492	101383
MP_E1229_OC0822_PCR1_R1_trimmed.fq.gz	98492	89669
MP_E1229_OC0822_PCR2_R1_trimmed.fq.gz	102150	94434
MP_E1229_OC0822_PCR3_R1_trimmed.fq.gz	85377	79392
MP_E1230_OC0822_PCR1_R1_trimmed.fq.gz	100793	93826
MP_E1230_OC0822_PCR2_R1_trimmed.fq.gz	108935	101289
MP_E1230_OC0822_PCR3_R1_trimmed.fq.gz	93878	86265
MP_E1231_OC0822_PCR1_R1_trimmed.fq.gz	110256	103620
MP_E1231_OC0822_PCR2_R1_trimmed.fq.gz	88478	81946
MP_E1231_OC0822_PCR3_R1_trimmed.fq.gz	89606	81348
MP_E1240_OC0922_R1_trimmed.fq.gz	109244	103717
MP_E1241_OC0922_R1_trimmed.fq.gz	112860	106929
MP_E1242_OC0922_R1_trimmed.fq.gz	115209	108767
MP_E1243_OC0922_R1_trimmed.fq.gz	131959	119716
MP_E1244_OC0922_R1_trimmed.fq.gz	116720	105103
MP_E1245_OC0922_R1_trimmed.fq.gz	98925	83717
MP_E1246_OC0922_R1_trimmed.fq.gz	107139	96175
MP_E1247_OC0922_R1_trimmed.fq.gz	99638	89502
MP_E1248_OC0922_R1_trimmed.fq.gz	108781	99176
MP_E1249_OC0922_R1_trimmed.fq.gz	16524	11144
MP_E1250_OC0922_R1_trimmed.fq.gz	92479	88497
MP_E1251_OC0922_R1_trimmed.fq.gz	143628	137317
MP_E1252_OC0922_R1_trimmed.fq.gz	109056	103425
MP_E1253_OC0922_R1_trimmed.fq.gz	111878	104506
MP_E1254_OC0922_R1_trimmed.fq.gz	109896	104147
MP_E1255_OC0922_R1_trimmed.fq.gz	121704	115875
MP_E1256_OC0922_R1_trimmed.fq.gz	109428	100076
MP_E1257_OC0922_R1_trimmed.fq.gz	103888	98565
MP_E1258_OC0922_R1_trimmed.fq.gz	117801	111016
MP_E1259_OC0922_R1_trimmed.fq.gz	140783	131988
MP_E1260_OC0922_R1_trimmed.fq.gz	112606	107029
MP_E1261_OC0922_R1_trimmed.fq.gz	146846	139731
MP_E1262_OC0922_R1_trimmed.fq.gz	120343	114352
MP_E1263_OC0922_R1_trimmed.fq.gz	83330	67594
MP_E1265_OC0922_PCR1_R1_trimmed.fq.gz	108612	98718
MP_E1265_OC0922_PCR2_R1_trimmed.fq.gz	110941	102975
MP_E1265_OC0922_PCR3_R1_trimmed.fq.gz	122181	113937
MP_E1266_OC0922_PCR1_R1_trimmed.fq.gz	117952	108978
MP_E1266_OC0922_PCR2_R1_trimmed.fq.gz	110948	102599
MP_E1266_OC0922_PCR3_R1_trimmed.fq.gz	20283	18411
MP_E1267_OC0922_PCR1_R1_trimmed.fq.gz	127435	118900
MP_E1267_OC0922_PCR2_R1_trimmed.fq.gz	123285	111643
MP_E1267_OC0922_PCR3_R1_trimmed.fq.gz	95674	84210
MP_E1275_OC1021_R1_trimmed.fq.gz	123423	117901
MP_E1276_OC1021_R1_trimmed.fq.gz	95365	91879
MP_E1277_OC1021_R1_trimmed.fq.gz	112693	108137
MP_E1278_OC1021_R1_trimmed.fq.gz	105865	100134
MP_E1279_OC1021_R1_trimmed.fq.gz	99271	93562
MP_E1280_OC1021_R1_trimmed.fq.gz	115275	110555
MP_E1281_OC1021_R1_trimmed.fq.gz	59021	55427
MP_E1282_OC1021_R1_trimmed.fq.gz	93569	89267
MP_E1283_OC1021_R1_trimmed.fq.gz	121095	115333
MP_E1284_OC1021_R1_trimmed.fq.gz	132770	126312
MP_E1285_OC1021_R1_trimmed.fq.gz	106274	101971
MP_E1286_OC1021_R1_trimmed.fq.gz	98260	93651
MP_E1287_OC1021_R1_trimmed.fq.gz	84799	80715
MP_E1288_OC1021_R1_trimmed.fq.gz	71860	68137
MP_E1289_OC1021_R1_trimmed.fq.gz	122788	116954
MP_E1290_OC1021_R1_trimmed.fq.gz	632	614
MP_E1291_OC1021_R1_trimmed.fq.gz	106444	100288
MP_E1292_OC1021_R1_trimmed.fq.gz	34065	31707
MP_E1293_OC1021_R1_trimmed.fq.gz	50947	49163
MP_E1294_OC1021_R1_trimmed.fq.gz	104846	101378
MP_E1295_OC1021_R1_trimmed.fq.gz	30806	29618
MP_E1296_OC1021_R1_trimmed.fq.gz	104604	100930
MP_E1297_OC1021_R1_trimmed.fq.gz	28111	26266
MP_E1298_OC1021_R1_trimmed.fq.gz	32118	29354
MP_E1299_OC1021_R1_trimmed.fq.gz	102456	96904
MP_E1300_OC1021_R1_trimmed.fq.gz	69188	64892
MP_E1301_OC1021_R1_trimmed.fq.gz	72966	69322
MP_E1302_OC1021_R1_trimmed.fq.gz	85222	81269
MP_E1303_OC1021_R1_trimmed.fq.gz	106695	100845
MP_E1304_OC1021_R1_trimmed.fq.gz	63035	59104
MP_E1305_OC1021_R1_trimmed.fq.gz	16855	14201
MP_E1306_OC1021_R1_trimmed.fq.gz	114565	106132
MP_E1307_OC1021_R1_trimmed.fq.gz	96903	91832
MP_E1308_OC1021_R1_trimmed.fq.gz	87984	78059
MP_E1309_OC1021_R1_trimmed.fq.gz	112332	106323
MP_E1310_OC1021_R1_trimmed.fq.gz	79248	74183
MP_E1312_OC1021_R1_trimmed.fq.gz	134056	126236
MP_E1313_OC1021_R1_trimmed.fq.gz	82593	77315
MP_E1315_OC1021_R1_trimmed.fq.gz	59769	56578
MP_E1316_OC1021_R1_trimmed.fq.gz	85416	79648
MP_E1317_OC1021_R1_trimmed.fq.gz	59175	55867
MP_E1318_OC1021_R1_trimmed.fq.gz	105018	95557
MP_E1319_OC1021_R1_trimmed.fq.gz	100204	88663
MP_E1320_OC1021_R1_trimmed.fq.gz	94171	88633
MP_E1321_OC1021_R1_trimmed.fq.gz	79906	75445
MP_E1322_OC1021_R1_trimmed.fq.gz	94145	88079
MP_E1323_OC1021_PCR1_R1_trimmed.fq.gz	79626	73626
MP_E1323_OC1021_PCR2_R1_trimmed.fq.gz	90532	86188
MP_E1323_OC1021_PCR3_R1_trimmed.fq.gz	69505	63405
MP_E1324_OC1021_PCR1_R1_trimmed.fq.gz	94827	86070
MP_E1324_OC1021_PCR2_R1_trimmed.fq.gz	109808	103395
MP_E1324_OC1021_PCR3_R1_trimmed.fq.gz	95367	88627
MP_E1325_OC1021_PCR1_R1_trimmed.fq.gz	84211	77414
MP_E1325_OC1021_PCR2_R1_trimmed.fq.gz	83149	74639
MP_E1325_OC1021_PCR3_R1_trimmed.fq.gz	85737	77817
MP_E1389_OC0722_R1_trimmed.fq.gz	86829	80998
MP_E1390_OC0722_R1_trimmed.fq.gz	108367	102914
MP_E1391_OC0722_R1_trimmed.fq.gz	99524	94090
MP_E1403_OC0722_R1_trimmed.fq.gz	149583	142466
MP_E1404_OC0722_R1_trimmed.fq.gz	91074	84150
MP_E1406_OC0722_R1_trimmed.fq.gz	151814	144191
MP_E1408_OC0722_R1_trimmed.fq.gz	84120	79343
MP_E1410_OC0722_R1_trimmed.fq.gz	104005	100456
MP_E1412_OC0722_R1_trimmed.fq.gz	125261	117512
MP_E1414_OC0722_R1_trimmed.fq.gz	88783	84759
MP_E1416_OC0722_R1_trimmed.fq.gz	118409	111285
MP_E1418_OC0722_R1_trimmed.fq.gz	108756	102489
MP_E1420_OC0722_R1_trimmed.fq.gz	124639	116895
MP_E1422_OC0722_R1_trimmed.fq.gz	129295	121738
MP_E1424_OC0722_R1_trimmed.fq.gz	127823	118978
MP_E1426_OC0722_R1_trimmed.fq.gz	138793	131715
MP_E1845_OC0623_R1_trimmed.fq.gz	110239	97001
MP_E1846_OC0623_R1_trimmed.fq.gz	125379	117894
MP_E1847_OC0623_R1_trimmed.fq.gz	94779	88011
MP_E1849_OC0723_R1_trimmed.fq.gz	103621	96019
MP_E1850_OC0723_R1_trimmed.fq.gz	107160	98814
MP_E1851_OC0723_R1_trimmed.fq.gz	135130	127452
MP_E1852_OC0723_R1_trimmed.fq.gz	88514	81441
MP_E1853_OC0723_R1_trimmed.fq.gz	113822	107286
MP_E1854_OC0723_R1_trimmed.fq.gz	153267	144730
MP_E1855_OC0723_R1_trimmed.fq.gz	128812	121229
MP_E1856_OC0723_R1_trimmed.fq.gz	106475	98764
MP_E1857_OC0723_R1_trimmed.fq.gz	120757	114752
MP_E1858_OC0723_R1_trimmed.fq.gz	138140	130682
MP_E1859_OC0723_R1_trimmed.fq.gz	96268	90028
MP_E1860_OC0723_R1_trimmed.fq.gz	132415	125612
MP_E1861_OC0723_R1_trimmed.fq.gz	104724	98989
MP_E1862_OC0723_R1_trimmed.fq.gz	92697	87271
MP_E1863_OC0723_R1_trimmed.fq.gz	110006	104461
MP_E1864_OC0723_R1_trimmed.fq.gz	95506	85099
MP_E1865_OC0723_R1_trimmed.fq.gz	108246	101329
MP_E1866_OC0723_R1_trimmed.fq.gz	98001	91408
MP_E1867_OC0723_R1_trimmed.fq.gz	117550	111994
MP_E1868_OC0723_R1_trimmed.fq.gz	53508	50114
MP_E1869_OC0723_R1_trimmed.fq.gz	131118	124787
MP_E1870_OC0723_R1_trimmed.fq.gz	82737	77690
MP_E1871_OC0723_R1_trimmed.fq.gz	86430	81823
MP_E1872_OC0723_R1_trimmed.fq.gz	90008	85424
MP_E1873_OC0723_R1_trimmed.fq.gz	98512	92492
MP_E1874_OC0723_R1_trimmed.fq.gz	100928	95450
MP_E1875_OC0723_R1_trimmed.fq.gz	89208	84638
MP_E2128_1B_R1_trimmed.fq.gz	43347	32401
MP_E2128_2B_R1_trimmed.fq.gz	85514	75610
MP_E2128_4B_R1_trimmed.fq.gz	70451	60459
MP_E2129_1B_R1_trimmed.fq.gz	30660	22353
MP_E2129_2B_R1_trimmed.fq.gz	18528	17259
MP_E2129_3B_R1_trimmed.fq.gz	50666	36331
MP_E2129_4B_R1_trimmed.fq.gz	30956	26441
MP_E2129_5B_R1_trimmed.fq.gz	21180	14957
MP_E2130_1B_R1_trimmed.fq.gz	63526	58973
MP_E2130_2B_R1_trimmed.fq.gz	51668	48044
MP_E2130_3B_R1_trimmed.fq.gz	49884	46567
MP_E2130_4B_R1_trimmed.fq.gz	57840	49594
MP_E2130_5B_R1_trimmed.fq.gz	33514	30242
MP_E2131_1B_R1_trimmed.fq.gz	81375	73567
MP_E2131_2B_R1_trimmed.fq.gz	14900	13139
MP_E2131_3B_R1_trimmed.fq.gz	39992	35757
MP_E2131_4B_R1_trimmed.fq.gz	64445	59186
MP_E2131_5B_R1_trimmed.fq.gz	73430	66865
MP_E2132_1B_R1_trimmed.fq.gz	104933	99156
MP_E2132_2B_R1_trimmed.fq.gz	92395	85131
MP_E2132_3B_R1_trimmed.fq.gz	93794	85306
MP_E2132_4B_R1_trimmed.fq.gz	61136	56809
MP_E2132_5B_R1_trimmed.fq.gz	30257	22996
MP_E2133_1B_R1_trimmed.fq.gz	98796	90087
MP_E2133_2B_R1_trimmed.fq.gz	62002	49960
MP_E2133_3B_R1_trimmed.fq.gz	43132	38633
MP_E2133_4B_R1_trimmed.fq.gz	76922	66540
MP_E2133_5B_R1_trimmed.fq.gz	62512	56866
MP_E2134_2B_R1_trimmed.fq.gz	36731	29693
MP_E2134_4B_R1_trimmed.fq.gz	57546	40620
MP_E2134_5B_R1_trimmed.fq.gz	21012	18936
MP_E2135_2B_R1_trimmed.fq.gz	95791	88264
MP_E2135_3B_R1_trimmed.fq.gz	109458	101765
MP_E2135_4B_R1_trimmed.fq.gz	51073	47216
MP_E2135_5B_R1_trimmed.fq.gz	106922	96974
MP_E2136_2B_R1_trimmed.fq.gz	11237	8249
MP_E2136_3B_R1_trimmed.fq.gz	62919	56805
MP_E2136_4B_R1_trimmed.fq.gz	37032	33713
MP_E2136_5B_R1_trimmed.fq.gz	21162	19122
MP_E2137_1B_R1_trimmed.fq.gz	26168	23842
MP_E446_1B_PCR2_R1_trimmed.fq.gz	117596	109817
MP_E446_1B_PCR3_R1_trimmed.fq.gz	106991	101030
MP_E446_2B_PCR2_R1_trimmed.fq.gz	75250	70935
MP_E446_2B_PCR3_R1_trimmed.fq.gz	120599	115405
MP_E446_3B_PCR2_R1_trimmed.fq.gz	51101	48453
MP_E446_3B_PCR3_R1_trimmed.fq.gz	119544	109567
MP_E447_1B_MiFishMod_R1_trimmed.fq.gz	110657	105455
MP_E447_1B_PCR2_R1_trimmed.fq.gz	121305	114798
MP_E447_1B_PCR3_R1_trimmed.fq.gz	113582	108395
MP_E447_2B_MiFishMod_R1_trimmed.fq.gz	81904	77406
MP_E447_2B_PCR2_R1_trimmed.fq.gz	107795	101264
MP_E447_2B_PCR3_R1_trimmed.fq.gz	104146	98552
MP_E447_3B_MiFishMod_R1_trimmed.fq.gz	109245	105532
MP_E447_3B_PCR2_R1_trimmed.fq.gz	150255	145102
MP_E447_3B_PCR3_R1_trimmed.fq.gz	158206	152870
MP_E448_1B_PCR2_R1_trimmed.fq.gz	122757	116156
MP_E448_1B_PCR3_R1_trimmed.fq.gz	83518	79350
MP_E448_2B_PCR2_R1_trimmed.fq.gz	98624	92244
MP_E448_2B_PCR3_R1_trimmed.fq.gz	87246	82716
MP_E448_3B_PCR2_R1_trimmed.fq.gz	102267	96216
MP_E448_3B_PCR3_R1_trimmed.fq.gz	109729	101912
MP_E449_1B_PCR2_R1_trimmed.fq.gz	101364	96829
MP_E449_1B_PCR3_R1_trimmed.fq.gz	127232	121828
MP_E449_2B_PCR2_R1_trimmed.fq.gz	82940	76710
MP_E449_2B_PCR3_R1_trimmed.fq.gz	110681	103369
MP_E449_3B_PCR2_R1_trimmed.fq.gz	109131	103343
MP_E449_3B_PCR3_R1_trimmed.fq.gz	116888	110619
MP_E450_1B_MiFishMod_R1_trimmed.fq.gz	115868	111005
MP_E450_1B_PCR2_R1_trimmed.fq.gz	92981	88651
MP_E450_1B_PCR3_R1_trimmed.fq.gz	103425	99182
MP_E450_2B_MiFishMod_R1_trimmed.fq.gz	70010	67645
MP_E450_2B_PCR2_R1_trimmed.fq.gz	110615	105777
MP_E450_2B_PCR3_R1_trimmed.fq.gz	103648	98655
MP_E450_3B_MiFishMod_R1_trimmed.fq.gz	100156	95369
MP_E450_3B_PCR2_R1_trimmed.fq.gz	108011	102346
MP_E450_3B_PCR3_R1_trimmed.fq.gz	110916	105363
MP_E474_MiFishMod_R1_trimmed.fq.gz	135229	129665
MP_E475_PCR2_R1_trimmed.fq.gz	103083	97006
MP_E475_PCR3_R1_trimmed.fq.gz	109490	104320
MP_E486_PCR2_R1_trimmed.fq.gz	123478	115023
MP_E486_PCR3_R1_trimmed.fq.gz	128325	122350
MP_E491_MiFishMod_R1_trimmed.fq.gz	100838	94047
MP_E492_1B_PCR2_R1_trimmed.fq.gz	156389	147735
MP_E492_1B_PCR3_R1_trimmed.fq.gz	42692	40743
MP_E494_PCR2_R1_trimmed.fq.gz	106323	100507
MP_E494_PCR3_R1_trimmed.fq.gz	91163	86243
MP_E496_1T_PCR2_R1_trimmed.fq.gz	91063	85451
MP_E496_1T_PCR3_R1_trimmed.fq.gz	106965	101098
MP_E496_3B_PCR2_R1_trimmed.fq.gz	96239	91183
MP_E496_3B_PCR3_R1_trimmed.fq.gz	96481	91224
MP_E498_1B_PCR2_R1_trimmed.fq.gz	98418	93040
MP_E498_1B_PCR3_R1_trimmed.fq.gz	89003	83197
MP_E498_2B_PCR2_R1_trimmed.fq.gz	94117	87866
MP_E498_2B_PCR3_R1_trimmed.fq.gz	115961	108673
MP_E498_3B_PCR2_R1_trimmed.fq.gz	102516	94750
