Sample	lat	long	replicates	sites	controls	group1	group2	group3	group4	group5	group6	samp_vol	depth
E1032.OC0821.PCR1	47.87823333	-124.73565	E1032.OC0821	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	Niskin	1000	33.3404
E1032.OC0821.PCR2	47.87823333	-124.73565	E1032.OC0821	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	Niskin	1000	33.3404
E1032.OC0821.PCR3	47.87823333	-124.73565	E1032.OC0821	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	Niskin	1000	33.3404
E1033.OC0821.PCR1	47.87823333	-124.73565	E1033.OC0821	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	Niskin	1000	33.02
E1033.OC0821.PCR2	47.87823333	-124.73565	E1033.OC0821	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	Niskin	1000	33.02
E1033.OC0821.PCR3	47.87823333	-124.73565	E1033.OC0821	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	Niskin	1000	33.02
E1034.OC0821.PCR1	47.87823333	-124.73565	E1034.OC0821	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	Niskin	1000	32.9666
E1034.OC0821.PCR2	47.87823333	-124.73565	E1034.OC0821	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	Niskin	1000	32.9666
E1034.OC0821.PCR3	47.87823333	-124.73565	E1034.OC0821	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	Niskin	1000	32.9666
E1053.SKQ2021	67.67663333	-168.9495	E1053.SKQ2021	DBO3.8	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	46
E1054.SKQ2021	67.67663333	-168.9495	E1054.SKQ2021	DBO3.8	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30
E1055.SKQ2021	67.67663333	-168.9495	E1055.SKQ2021	DBO3.8	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
E1056.SKQ2021	71.19315	-160.2647333	E1056.SKQ2021	DBO4.1	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	49
E1057.SKQ2021	71.19315	-160.2647333	E1057.SKQ2021	DBO4.1	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30
E1058.SKQ2021	71.19315	-160.2647333	E1058.SKQ2021	DBO4.1	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
